"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","27.585","39.832","43.084","40.682","33.340","26.892","23.562","23.722","26.689","7.616"
"Brussels Hoofdstedelijk Gewest","8.705","16.914","18.397","17.092","13.790","10.844","9.353","10.685","13.994","4.544"
"Brussel-Hoofdstad","8.705","16.914","18.397","17.092","13.790","10.844","9.353","10.685","13.994","4.544"
"Brussel (Brussel-Hoofdstad)","8.705","16.914","18.397","17.092","13.790","10.844","9.353","10.685","13.994","4.544"
"BRUSSEL HOOFDSTAD ELSENE","4.662","9.447","10.844","10.299","8.193","6.169","5.207","6.038","8.373","2.761"
"Brussel","4.084","7.926","8.986","8.949","7.081","5.373","4.299","5.282","7.350","2.423"
"Elsene","578","1.521","1.858","1.350","1.112","796","908","756","1.023","338"
"BRUSSEL-WEST","487","1.090","1.195","894","925","763","684","694","830","263"
"Ganshoren","11","68","48","32","38","34","28","44","54","7"
"Jette","106","332","411","229","232","191","168","166","232","89"
"Koekelberg","57","119","147","98","102","83","55","64","76","18"
"Sint-Agatha-Berchem","37","97","88","63","69","53","62","56","70","22"
"Sint-Jans-Molenbeek","276","474","501","472","484","402","371","364","398","127"
"Geen PZ toegekend - Eurostar","0","1","1","0","0","0","0","0","0","0"
"PZ POLBRUNO","863","1.639","1.507","1.569","1.214","1.171","1.155","1.284","1.691","474"
"Evere","52","187","156","132","146","120","123","125","122","40"
"Schaarbeek","646","1.180","1.008","1.080","814","775","785","909","1.256","342"
"Sint-Joost-ten-Node","165","272","343","357","254","276","247","250","313","92"
"UKKEL/W-B/OUDERGEM","465","816","789","606","530","349","366","371","342","104"
"Oudergem","102","128","152","128","124","63","58","72","73","25"
"Ukkel","319","629","572","413","356","256","259","262","227","63"
"Watermaal-Bosvoorde","44","59","65","65","50","30","49","37","42","16"
"ZONE MONTGOMERY","418","694","824","821","610","430","409","428","459","190"
"Etterbeek","148","366","433","425","320","208","157","223","208","96"
"Sint-Lambrechts-Woluwe","189","226","272","252","183","147","165","149","168","56"
"Sint-Pieters-Woluwe","81","102","119","144","107","75","87","56","83","38"
"ZONE ZUID","1.810","3.227","3.237","2.903","2.318","1.962","1.532","1.870","2.299","752"
"Anderlecht","893","1.150","1.124","961","937","794","698","862","767","181"
"Sint-Gillis","798","1.799","1.867","1.728","1.211","992","692","848","1.394","547"
"Vorst","119","278","246","214","170","176","142","160","138","24"
"Vlaams Gewest","9.496","16.189","18.022","17.138","13.849","10.804","9.016","8.181","7.885","1.825"
"Antwerpen","3.931","6.671","6.951","6.422","5.492","4.260","3.614","3.490","3.418","711"
"Antwerpen","3.931","6.671","6.951","6.422","5.492","4.260","3.614","3.490","3.418","711"
"ANTWERPEN","2.375","4.818","4.922","4.233","3.444","2.513","2.161","1.994","2.066","519"
"Antwerpen","2.375","4.818","4.922","4.233","3.444","2.513","2.161","1.994","2.066","519"
"BALEN - DESSEL - MOL","54","87","90","162","91","89","74","79","82","7"
"Balen","3","13","19","18","8","3","6","3","5","1"
"Dessel","0","11","25","68","16","28","20","28","26","0"
"Mol","51","63","46","76","67","58","48","48","51","6"
"BERLAAR - NIJLEN","7","30","13","18","7","14","10","11","9","4"
"Berlaar","3","14","8","10","2","5","5","4","1","1"
"Nijlen","4","16","5","8","5","9","5","7","8","3"
"BODUKAP","22","39","57","45","51","32","34","41","34","6"
"Bonheiden","5","6","10","1","6","1","1","4","2","0"
"Duffel","4","17","22","13","13","12","22","19","19","3"
"Putte","4","4","12","16","20","12","5","12","6","3"
"Sint-Katelijne-Waver","9","12","13","15","12","7","6","6","7","0"
"GRENS","8","51","28","36","27","35","13","15","5","4"
"Essen","4","16","5","11","7","16","5","6","0","3"
"Kalmthout","2","16","14","15","11","9","4","4","3","1"
"Wuustwezel","2","19","9","10","9","10","4","5","2","0"
"HEKLA","105","89","100","94","84","53","81","79","44","14"
"Aartselaar","37","19","14","19","13","6","16","13","10","3"
