"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","0","1.805","1.294","756","458","609","623","326","246","78"
"Brussels Hoofdstedelijk Gewest","0","1.660","1.178","632","400","570","582","307","222","68"
"Brussel-Hoofdstad","0","1.660","1.178","632","400","570","582","307","222","68"
"Brussel (Brussel-Hoofdstad)","0","1.660","1.178","632","400","570","582","307","222","68"
"BRUSSEL HOOFDSTAD ELSENE","0","346","242","171","132","75","123","88","95","22"
"Brussel","0","320","223","167","120","64","111","85","93","22"
"Elsene","0","26","19","4","12","11","12","3","2","0"
"BRUSSEL-WEST","0","521","327","190","55","97","164","91","73","17"
"Ganshoren","0","28","23","20","2","11","23","12","9","1"
"Jette","0","31","31","19","2","3","8","3","17","1"
"Koekelberg","0","43","23","7","7","6","12","8","0","1"
"Sint-Agatha-Berchem","0","12","9","2","5","2","32","24","17","3"
"Sint-Jans-Molenbeek","0","407","241","142","39","75","89","44","30","11"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","0","39","53","31","10","5","3","4","2","0"
"Evere","0","7","6","13","6","1","1","0","0","0"
"Schaarbeek","0","28","41","17","2","3","2","1","2","0"
"Sint-Joost-ten-Node","0","4","6","1","2","1","0","3","0","0"
"UKKEL/W-B/OUDERGEM","0","88","58","43","32","6","17","5","1","1"
"Oudergem","0","5","11","3","0","0","1","0","0","0"
"Ukkel","0","83","46","40","32","6","15","5","1","1"
"Watermaal-Bosvoorde","0","0","1","0","0","0","1","0","0","0"
"ZONE MONTGOMERY","0","10","2","0","2","3","1","3","2","1"
"Etterbeek","0","6","1","0","1","2","0","1","1","0"
"Sint-Lambrechts-Woluwe","0","3","1","0","1","1","0","2","0","1"
"Sint-Pieters-Woluwe","0","1","0","0","0","0","1","0","1","0"
"ZONE ZUID","0","656","496","197","169","384","274","116","49","27"
"Anderlecht","0","216","185","113","72","281","235","91","27","22"
"Sint-Gillis","0","285","196","34","21","20","20","18","20","5"
"Vorst","0","155","115","50","76","83","19","7","2","0"
"Vlaams Gewest","0","118","94","99","32","13","30","8","13","4"
"Antwerpen","0","28","39","51","16","3","8","2","5","2"
"Antwerpen","0","28","39","51","16","3","8","2","5","2"
"ANTWERPEN","0","24","37","49","16","3","6","2","1","2"
"Antwerpen","0","24","37","49","16","3","6","2","1","2"
"BALEN - DESSEL - MOL","0","0","0","0","0","0","0","0","0","0"
"Balen","0","0","0","0","0","0","0","0","0","0"
"Dessel","0","0","0","0","0","0","0","0","0","0"
"Mol","0","0","0","0","0","0","0","0","0","0"
"BERLAAR - NIJLEN","0","0","0","0","0","0","1","0","0","0"
"Berlaar","0","0","0","0","0","0","1","0","0","0"
"Nijlen","0","0","0","0","0","0","0","0","0","0"
"BODUKAP","0","0","0","0","0","0","0","0","0","0"
"Bonheiden","0","0","0","0","0","0","0","0","0","0"
"Duffel","0","0","0","0","0","0","0","0","0","0"
"Putte","0","0","0","0","0","0","0","0","0","0"
"Sint-Katelijne-Waver","0","0","0","0","0","0","0","0","0","0"
"GRENS","0","0","0","0","0","0","0","0","0","0"
"Essen","0","0","0","0","0","0","0","0","0","0"
"Kalmthout","0","0","0","0","0","0","0","0","0","0"
"Wuustwezel","0","0","0","0","0","0","0","0","0","0"
"HEKLA","0","1","0","0","0","0","0","0","0","0"
"Aartselaar","0","0","0","0","0","0","0","0","0","0"
"Edegem","0","1","0","0","0","0","0","0","0","0"
"Hove","0","0","0","0","0","0","0","0","0","0"
"Kontich","0","0","0","0","0","0","0","0","0","0"
"Lint","0","0","0","0","0","0","0","0","0","0"
"MINOS","0","1","0","0","0","0","0","0","0","0"
"Boechout","0","0","0","0","0","0","0","0","0","0"
"Borsbeek","0","0","0","0","0","0","0","0","0","0"
"Mortsel","0","1","0","0","0","0","0","0","0","0"
"Wijnegem","0","0","0","0","0","0","0","0","0","0"
"Wommelgem","0","0","0","0","0","0","0","0","0","0"
"POLITIE REGIO TURNHOUT","0","0","0","0","0","0","0","0","0","0"
"Baarle-Hertog","0","0","0","0","0","0","0","0","0","0"
"Beerse","0","0","0","0","0","0","0","0","0","0"
"Kasterlee","0","0","0","0","0","0","0","0","0","0"
"Lille","0","0","0","0","0","0","0","0","0","0"
"Oud-Turnhout","0","0","0","0","0","0","0","0","0","0"
"Turnhout","0","0","0","0","0","0","0","0","0","0"
"Vosselaar","0","0","0","0","0","0","0","0","0","0"
"POLITIE ZARA","0","0","0","0","0","0","0","0","0","0"
"Ranst","0","0","0","0","0","0","0","0","0","0"
"Zandhoven","0","0","0","0","0","0","0","0","0","0"
"POLITIEZONE HEIST","0","0","0","0","0","0","0","0","0","0"
"Heist-op-den-Berg","0","0","0","0","0","0","0","0","0","0"
"POLITIEZONE KEMPEN N-O","0","0","0","0","0","0","0","0","0","0"
"Arendonk","0","0","0","0","0","0","0","0","0","0"
"Ravels","0","0","0","0","0","0","0","0","0","0"
"Retie","0","0","0","0","0","0","0","0","0","0"
"POLITIEZONE NOORD","0","0","0","0","0","0","0","0","0","0"
"Kapellen","0","0","0","0","0","0","0","0","0","0"
"Stabroek","0","0","0","0","0","0","0","0","0","0"
"POLITIEZONE NOORDERKEMPEN","0","0","0","0","0","0","0","0","0","0"
"Hoogstraten","0","0","0","0","0","0","0","0","0","0"
"Merksplas","0","0","0","0","0","0","0","0","0","0"
"Rijkevorsel","0","0","0","0","0","0","0","0","0","0"
"POLITIEZONE RUPEL","0","0","0","0","0","0","0","0","0","0"
"Boom","0","0","0","0","0","0","0","0","0","0"
"Hemiksem","0","0","0","0","0","0","0","0","0","0"
"Niel","0","0","0","0","0","0","0","0","0","0"
"Rumst","0","0","0","0","0","0","0","0","0","0"
"Schelle","0","0","0","0","0","0","0","0","0","0"
"PZ BRASSCHAAT","0","0","0","0","0","0","0","0","0","0"
"Brasschaat","0","0","0","0","0","0","0","0","0","0"
"PZ GEEL/LAAKDAL/MEERHOUT","0","0","0","0","0","0","0","0","0","0"
"Geel","0","0","0","0","0","0","0","0","0","0"
"Laakdal","0","0","0","0","0","0","0","0","0","0"
"Meerhout","0","0","0","0","0","0","0","0","0","0"
"PZ KLEIN-BRABANT","0","1","0","1","0","0","0","0","0","0"
"Bornem","0","1","0","0","0","0","0","0","0","0"
"Puurs-Sint-Amands","0","0","0","1","0","0","0","0","0","0"
"PZ LIER","0","0","0","0","0","0","0","0","0","0"
"Lier","0","0","0","0","0","0","0","0","0","0"
"PZ MEWI","0","1","1","1","0","0","1","0","3","0"
"Mechelen","0","1","1","1","0","0","0","0","3","0"
"Willebroek","0","0","0","0","0","0","1","0","0","0"
"PZ SCHOTEN","0","0","1","0","0","0","0","0","0","0"
"Schoten","0","0","1","0","0","0","0","0","0","0"
"PZ ZWIJNDRECHT","0","0","0","0","0","0","0","0","0","0"
"Zwijndrecht","0","0","0","0","0","0","0","0","0","0"
"VOORKEMPEN","0","0","0","0","0","0","0","0","1","0"
"Brecht","0","0","0","0","0","0","0","0","0","0"
"Malle","0","0","0","0","0","0","0","0","0","0"
"Schilde","0","0","0","0","0","0","0","0","1","0"
"Zoersel","0","0","0","0","0","0","0","0","0","0"
"ZONE NETELAND","0","0","0","0","0","0","0","0","0","0"
"Grobbendonk","0","0","0","0","0","0","0","0","0","0"
"Herentals","0","0","0","0","0","0","0","0","0","0"
"Herenthout","0","0","0","0","0","0","0","0","0","0"
"Olen","0","0","0","0","0","0","0","0","0","0"
"Vorselaar","0","0","0","0","0","0","0","0","0","0"
"ZUIDERKEMPEN","0","0","0","0","0","0","0","0","0","0"
"Herselt","0","0","0","0","0","0","0","0","0","0"
"Hulshout","0","0","0","0","0","0","0","0","0","0"
"Westerlo","0","0","0","0","0","0","0","0","0","0"
