"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","17.443","28.027","26.007","26.147","26.194","26.387","27.119","27.081","28.261","6.457"
"Brussels Hoofdstedelijk Gewest","2.279","3.389","3.177","3.111","3.130","3.170","3.103","3.073","3.262","727"
"Brussel-Hoofdstad","2.279","3.389","3.177","3.111","3.130","3.170","3.103","3.073","3.262","727"
"Brussel (Brussel-Hoofdstad)","2.279","3.389","3.177","3.111","3.130","3.170","3.103","3.073","3.262","727"
"BRUSSEL HOOFDSTAD ELSENE","649","874","877","830","892","924","859","857","934","180"
"Brussel","463","678","675","625","665","689","641","683","709","135"
"Elsene","186","196","202","205","227","235","218","174","225","45"
"BRUSSEL-WEST","394","574","517","577","545","574","566","541","598","121"
"Ganshoren","36","60","50","65","57","66","60","61","77","17"
"Jette","82","144","118","142","118","142","129","108","110","25"
"Koekelberg","37","56","48","59","43","49","56","50","67","14"
"Sint-Agatha-Berchem","33","51","57","55","58","56","59","42","62","7"
"Sint-Jans-Molenbeek","206","263","244","256","269","261","262","280","282","58"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","400","699","569","483","457","474","489","552","601","152"
"Evere","67","143","100","83","79","99","91","118","121","39"
"Schaarbeek","250","452","379","316","296","306","301","359","368","91"
"Sint-Joost-ten-Node","83","104","90","84","82","69","97","75","112","22"
"UKKEL/W-B/OUDERGEM","190","250","248","236","287","274","274","284","248","60"
"Oudergem","49","49","60","58","70","72","70","66","47","15"
"Ukkel","108","163","157","140","170","144","159","172","165","38"
"Watermaal-Bosvoorde","33","38","31","38","47","58","45","46","36","7"
"ZONE MONTGOMERY","183","281","275","259","305","302","263","316","287","73"
"Etterbeek","65","111","110","101","145","113","93","135","109","27"
"Sint-Lambrechts-Woluwe","76","104","108","112","101","107","109","116","118","28"
"Sint-Pieters-Woluwe","42","66","57","46","59","82","61","65","60","18"
"ZONE ZUID","463","711","691","726","644","622","652","523","594","141"
"Anderlecht","244","376","370","425","346","355","360","296","346","79"
"Sint-Gillis","114","169","158","152","167","162","163","111","136","32"
"Vorst","105","166","163","149","131","105","129","116","112","30"
"Vlaams Gewest","7.775","13.586","12.913","12.732","12.759","12.751","13.506","13.431","13.844","3.243"
"Antwerpen","1.949","4.525","4.184","4.159","4.069","4.095","4.383","4.183","4.395","1.051"
"Antwerpen","1.949","4.525","4.184","4.159","4.069","4.095","4.383","4.183","4.395","1.051"
"ANTWERPEN","751","2.175","1.952","1.961","1.851","1.872","2.010","1.882","1.910","477"
"Antwerpen","751","2.175","1.952","1.961","1.851","1.872","2.010","1.882","1.910","477"
"BALEN - DESSEL - MOL","60","94","77","56","89","62","81","68","73","17"
"Balen","18","41","21","19","25","21","25","17","18","6"
"Dessel","7","10","10","8","10","5","15","6","9","3"
"Mol","35","43","46","29","54","36","41","45","46","8"
"BERLAAR - NIJLEN","20","41","37","46","38","46","45","34","44","7"
"Berlaar","10","14","17","20","14","12","19","8","15","4"
"Nijlen","10","27","20","26","24","34","26","26","29","3"
"BODUKAP","57","97","89","84","89","75","85","84","85","17"
"Bonheiden","15","8","8","9","15","11","10","10","18","3"
"Duffel","15","31","29","23","22","22","24","30","17","8"
"Putte","16","30","18","22","18","24","22","16","21","3"
"Sint-Katelijne-Waver","11","28","34","30","34","18","29","28","29","3"
"GRENS","55","95","100","101","91","115","146","90","146","33"
"Essen","19","25","32","32","32","51","52","31","61","16"
"Kalmthout","20","35","25","22","25","22","46","22","35","4"
"Wuustwezel","16","35","43","47","34","42","48","37","50","13"
"HEKLA","52","109","107","140","138","128","139","136","123","30"
"Aartselaar","12","21","21","30","25","24","36","33","20","7"
"Edegem","17","30","35","43","55","52","44","44","40","16"
"Hove","7","8","7","8","4","9","7","15","8","1"
"Kontich","10","38","34","42","39","31","33","28","43","4"
"Lint","6","12","10","17","15","12","19","16","12","2"
"MINOS","77","140","139","157","145","156","177","209","218","63"
"Boechout","9","19","19","19","18","16","26","25","30","8"
"Borsbeek","11","32","33","38","28","45","32","38","54","13"
"Mortsel","26","53","56","59","63","55","79","94","63","28"
"Wijnegem","17","13","16","18","15","21","14","21","30","2"
"Wommelgem","14","23","15","23","21","19","26","31","41","12"
"POLITIE REGIO TURNHOUT","102","187","197","183","163","170","155","152","176","36"
"Baarle-Hertog","2","2","1","2","2","2","2","2","0","0"
"Beerse","6","24","27","23","17","25","14","25","33","5"
"Kasterlee","11","20","26","19","17","16","12","15","10","3"
"Lille","10","12","21","14","14","16","15","19","13","4"
"Oud-Turnhout","3","17","12","11","20","22","8","7","12","0"
"Turnhout","65","102","95","103","88","85","92","77","97","23"
"Vosselaar","5","10","15","11","5","4","12","7","11","1"
"POLITIE ZARA","26","41","23","46","47","32","52","37","30","17"
"Ranst","20","29","19","29","37","18","28","20","18","8"
