"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","7.885","5.548","4.972","4.413","4.053","4.052","3.584","3.412","3.022","819"
"Brussels Hoofdstedelijk Gewest","1.524","1.581","1.324","1.126","910","1.046","861","810","871","213"
"Brussel-Hoofdstad","1.524","1.581","1.324","1.126","910","1.046","861","810","871","213"
"Brussel (Brussel-Hoofdstad)","1.524","1.581","1.324","1.126","910","1.046","861","810","871","213"
"BRUSSEL HOOFDSTAD ELSENE","533","652","517","417","319","381","312","289","362","88"
"Brussel","460","525","422","354","265","330","262","242","307","76"
"Elsene","73","127","95","63","54","51","50","47","55","12"
"BRUSSEL-WEST","236","253","200","189","163","174","118","130","112","18"
"Ganshoren","29","14","12","12","18","12","12","8","11","1"
"Jette","40","53","38","32","34","30","24","19","36","4"
"Koekelberg","40","26","29","18","16","23","11","18","12","1"
"Sint-Agatha-Berchem","19","15","11","16","17","28","13","8","11","1"
"Sint-Jans-Molenbeek","108","145","110","111","78","81","58","77","42","11"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","278","173","160","166","105","127","140","104","159","33"
"Evere","63","22","21","20","16","19","19","8","18","1"
"Schaarbeek","162","125","110","122","67","82","89","76","110","25"
"Sint-Joost-ten-Node","53","26","29","24","22","26","32","20","31","7"
"UKKEL/W-B/OUDERGEM","137","102","91","69","62","60","49","42","40","14"
"Oudergem","39","22","15","12","12","19","13","8","9","2"
"Ukkel","92","69","61","50","48","31","31","25","21","8"
"Watermaal-Bosvoorde","6","11","15","7","2","10","5","9","10","4"
"ZONE MONTGOMERY","115","73","60","51","39","59","52","39","23","12"
"Etterbeek","42","31","26","19","16","23","18","12","6","1"
"Sint-Lambrechts-Woluwe","38","28","24","24","15","24","20","18","9","7"
"Sint-Pieters-Woluwe","35","14","10","8","8","12","14","9","8","4"
"ZONE ZUID","225","328","296","234","222","245","190","206","175","48"
"Anderlecht","119","154","139","122","131","149","91","112","98","30"
"Sint-Gillis","73","120","119","83","53","63","56","61","54","14"
"Vorst","33","54","38","29","38","33","43","33","23","4"
"Vlaams Gewest","2.530","1.677","1.646","1.463","1.289","1.200","1.071","1.091","910","255"
"Antwerpen","1.150","752","772","671","598","527","426","454","370","106"
"Antwerpen","1.150","752","772","671","598","527","426","454","370","106"
"ANTWERPEN","691","528","535","473","417","347","274","291","224","58"
"Antwerpen","691","528","535","473","417","347","274","291","224","58"
