"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","11.748","4.554","3.727","3.242","3.657","3.519","3.185","2.975","2.346","517"
"Brussels Hoofdstedelijk Gewest","438","306","236","198","257","279","260","300","284","69"
"Brussel-Hoofdstad","438","306","236","198","257","279","260","300","284","69"
"Brussel (Brussel-Hoofdstad)","438","306","236","198","257","279","260","300","284","69"
"BRUSSEL HOOFDSTAD ELSENE","126","74","67","53","67","73","60","91","106","27"
"Brussel","84","49","46","40","51","52","42","66","86","25"
"Elsene","42","25","21","13","16","21","18","25","20","2"
"BRUSSEL-WEST","62","37","30","35","41","30","41","42","30","3"
"Ganshoren","10","2","4","6","3","2","9","2","1","0"
"Jette","11","10","7","6","15","9","7","13","7","1"
"Koekelberg","10","5","0","4","4","1","1","0","3","1"
"Sint-Agatha-Berchem","9","6","2","5","3","1","5","2","2","0"
"Sint-Jans-Molenbeek","22","14","17","14","16","17","19","25","17","1"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","42","44","18","32","38","46","61","49","46","11"
"Evere","7","11","2","6","9","8","15","12","10","0"
"Schaarbeek","31","29","15","23","25","30","38","34","27","10"
"Sint-Joost-ten-Node","4","4","1","3","4","8","8","3","9","1"
"UKKEL/W-B/OUDERGEM","65","47","32","23","23","29","25","24","17","10"
"Oudergem","15","8","7","2","10","7","4","7","2","0"
"Ukkel","43","33","22","18","12","18","17","15","10","10"
"Watermaal-Bosvoorde","7","6","3","3","1","4","4","2","5","0"
"ZONE MONTGOMERY","52","15","7","8","24","26","29","35","24","7"
"Etterbeek","10","4","1","1","10","16","12","8","8","3"
"Sint-Lambrechts-Woluwe","31","6","3","4","13","5","13","16","5","3"
"Sint-Pieters-Woluwe","11","5","3","3","1","5","4","11","11","1"
"ZONE ZUID","91","89","82","47","64","75","44","59","61","11"
"Anderlecht","46","35","38","27","37","38","23","21","23","3"
"Sint-Gillis","25","35","25","11","11","15","12","24","24","4"
"Vorst","20","19","19","9","16","22","9","14","14","4"
"Vlaams Gewest","7.035","2.633","2.223","1.946","2.076","2.055","1.841","1.791","1.337","309"
"Antwerpen","1.786","756","596","586","547","660","487","556","444","79"
"Antwerpen","1.786","756","596","586","547","660","487","556","444","79"
"ANTWERPEN","667","326","230","283","245","277","219","235","169","27"
"Antwerpen","667","326","230","283","245","277","219","235","169","27"
"BALEN - DESSEL - MOL","70","34","17","27","36","19","22","14","10","5"
"Balen","15","8","5","7","8","2","5","1","1","2"
"Dessel","4","1","2","1","4","3","2","1","0","0"
"Mol","51","25","10","19","24","14","15","12","9","3"
"BERLAAR - NIJLEN","15","5","4","9","2","3","3","1","3","0"
"Berlaar","5","0","1","4","0","1","1","0","1","0"
"Nijlen","10","5","3","5","2","2","2","1","2","0"
"BODUKAP","49","16","9","7","4","9","5","12","12","3"
"Bonheiden","6","5","2","0","1","1","2","2","2","0"
"Duffel","19","4","5","2","2","5","2","4","1","3"
"Putte","10","7","1","3","0","1","0","5","2","0"
"Sint-Katelijne-Waver","14","0","1","2","1","2","1","1","7","0"
"GRENS","19","11","8","4","5","4","5","6","4","2"
"Essen","6","5","3","0","3","1","1","1","1","1"
"Kalmthout","8","2","2","2","0","2","2","2","1","0"
"Wuustwezel","5","4","3","2","2","1","2","3","2","1"
"HEKLA","35","28","39","20","13","17","11","17","15","3"
"Aartselaar","6","2","8","2","2","3","3","2","0","1"
"Edegem","8","11","10","2","2","6","3","2","1","0"
"Hove","8","2","7","1","1","1","0","3","0","2"
"Kontich","10","12","14","13","7","4","4","10","13","0"
"Lint","3","1","0","2","1","3","1","0","1","0"
"MINOS","67","44","41","30","31","35","16","18","11","4"
"Boechout","5","2","3","6","3","6","1","2","1","1"
"Borsbeek","8","15","10","6","7","7","3","3","0","0"
"Mortsel","35","18","21","14","14","15","6","12","7","0"
"Wijnegem","13","4","4","2","1","4","1","0","1","2"
"Wommelgem","6","5","3","2","6","3","5","1","2","1"
"POLITIE REGIO TURNHOUT","162","44","41","31","33","48","34","20","45","9"
"Baarle-Hertog","1","0","0","0","0","1","0","0","1","0"
"Beerse","17","4","3","1","4","5","3","4","2","3"
"Kasterlee","7","6","0","3","3","3","1","2","0","0"
"Lille","16","5","3","1","1","2","4","0","1","0"
"Oud-Turnhout","7","2","1","0","2","4","1","1","0","0"
"Turnhout","104","27","31","26","22","31","24","12","39","6"
"Vosselaar","10","0","3","0","1","2","1","1","2","0"
"POLITIE ZARA","6","2","8","3","2","7","3","1","3","1"
"Ranst","3","1","6","3","2","5","1","1","2","1"
"Zandhoven","3","1","2","0","0","2","2","0","1","0"
"POLITIEZONE HEIST","27","10","8","5","6","11","5","7","5","0"
"Heist-op-den-Berg","27","10","8","5","6","11","5","7","5","0"
"POLITIEZONE KEMPEN N-O","10","0","3","4","4","13","6","5","6","1"
"Arendonk","3","0","0","2","0","3","3","2","3","0"
"Ravels","6","0","0","0","3","7","1","2","3","0"
"Retie","1","0","3","2","1","3","2","1","0","1"
"POLITIEZONE NOORD","40","10","7","9","5","8","4","4","2","0"
"Kapellen","21","8","6","5","4","6","3","3","1","0"
"Stabroek","19","2","1","4","1","2","1","1","1","0"
"POLITIEZONE NOORDERKEMPEN","9","8","7","9","9","6","8","3","1","0"
"Hoogstraten","5","4","3","4","4","4","3","1","0","0"
"Merksplas","1","1","1","1","1","1","4","2","1","0"
"Rijkevorsel","3","3","3","4","4","1","1","0","0","0"
"POLITIEZONE RUPEL","86","55","40","23","28","41","20","16","13","3"
"Boom","31","30","21","7","9","21","10","6","6","2"
"Hemiksem","17","5","1","2","4","2","1","3","2","1"
"Niel","19","10","8","3","9","6","4","1","4","0"
"Rumst","12","5","5","9","3","9","3","5","1","0"
"Schelle","7","5","5","2","3","3","2","1","0","0"
"PZ BRASSCHAAT","23","6","9","5","6","5","5","13","9","1"
"Brasschaat","23","6","9","5","6","5","5","13","9","1"
"PZ GEEL/LAAKDAL/MEERHOUT","69","21","14","15","16","26","11","12","13","4"
"Geel","54","14","12","13","12","19","11","8","11","3"
