"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","27.204","20.846","20.444","18.921","17.567","16.011","13.913","13.815","11.695","2.751"
"Brussels Hoofdstedelijk Gewest","4.152","3.503","3.172","2.853","2.601","2.595","2.418","2.588","2.296","597"
"Brussel-Hoofdstad","4.152","3.503","3.172","2.853","2.601","2.595","2.418","2.588","2.296","597"
"Brussel (Brussel-Hoofdstad)","4.152","3.503","3.172","2.853","2.601","2.595","2.418","2.588","2.296","597"
"BRUSSEL HOOFDSTAD ELSENE","1.638","1.556","1.416","1.166","969","912","855","1.018","1.034","264"
"Brussel","1.298","1.112","1.030","919","748","664","650","765","778","216"
"Elsene","340","444","386","247","221","248","205","253","256","48"
"BRUSSEL-WEST","490","384","365","352","392","496","407","323","241","99"
"Ganshoren","34","32","25","17","23","47","21","18","21","12"
"Jette","91","119","104","93","110","174","135","110","74","22"
"Koekelberg","59","38","34","32","31","33","37","30","24","13"
"Sint-Agatha-Berchem","57","41","39","48","56","77","49","35","32","15"
"Sint-Jans-Molenbeek","249","154","163","162","172","165","165","130","90","37"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","632","396","331","338","313","286","336","355","274","80"
"Evere","93","56","49","56","48","35","79","53","50","13"
"Schaarbeek","420","244","200","207","222","197","215","220","161","53"
"Sint-Joost-ten-Node","119","96","82","75","43","54","42","82","63","14"
"UKKEL/W-B/OUDERGEM","310","302","223","210","224","164","179","182","181","57"
"Oudergem","92","49","30","35","49","28","20","37","33","20"
"Ukkel","195","201","169","162","145","101","115","128","132","29"
"Watermaal-Bosvoorde","23","52","24","13","30","35","44","17","16","8"
"ZONE MONTGOMERY","311","179","126","152","133","156","133","161","122","22"
"Etterbeek","128","75","51","64","68","90","55","67","61","10"
"Sint-Lambrechts-Woluwe","141","55","48","58","42","42","57","58","39","7"
"Sint-Pieters-Woluwe","42","49","27","30","23","24","21","36","22","5"
"ZONE ZUID","771","686","711","635","570","581","508","549","444","75"
"Anderlecht","443","347","345","358","281","314","247","232","210","46"
"Sint-Gillis","199","243","273","186","185","199","179","243","180","16"
"Vorst","129","96","93","91","104","68","82","74","54","13"
"Vlaams Gewest","11.879","10.001","10.122","9.658","8.490","7.449","6.075","6.470","5.404","1.167"
"Antwerpen","4.306","3.629","3.767","3.465","2.926","2.480","2.146","2.424","1.884","428"
"Antwerpen","4.306","3.629","3.767","3.465","2.926","2.480","2.146","2.424","1.884","428"
"ANTWERPEN","2.060","1.816","1.744","1.598","1.320","941","877","942","844","188"
"Antwerpen","2.060","1.816","1.744","1.598","1.320","941","877","942","844","188"
"BALEN - DESSEL - MOL","171","84","110","88","113","80","40","45","62","19"
"Balen","40","18","40","16","19","11","9","11","14","3"
"Dessel","29","11","7","11","6","11","7","6","12","1"
