"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Mol","102","55","63","61","88","58","24","28","36","15"
"BERLAAR - NIJLEN","30","16","25","16","19","28","13","17","17","2"
"Berlaar","13","9","7","7","8","11","7","7","5","2"
"Nijlen","17","7","18","9","11","17","6","10","12","0"
"BODUKAP","68","78","106","72","47","64","90","49","27","2"
"Bonheiden","19","23","19","23","14","8","12","9","3","0"
"Duffel","18","15","15","17","7","22","27","10","5","0"
"Putte","11","9","35","15","13","12","18","11","6","0"
"Sint-Katelijne-Waver","20","31","37","17","13","22","33","19","13","2"
"GRENS","85","64","69","66","63","50","43","68","28","3"
"Essen","42","29","22","16","16","17","17","22","11","1"
"Kalmthout","32","22","20","25","17","23","12","25","8","2"
"Wuustwezel","11","13","27","25","30","10","14","21","9","0"
"HEKLA","119","98","137","103","136","111","83","95","87","28"
"Aartselaar","42","35","42","37","45","41","20","30","21","10"
"Edegem","22","22","20","15","27","16","30","20","27","5"
"Hove","12","3","9","9","7","11","3","7","2","0"
"Kontich","38","32","58","33","49","35","26","36","34","11"
"Lint","5","6","8","9","8","8","4","2","3","2"
"MINOS","202","142","131","131","108","123","68","123","105","17"
"Boechout","7","12","19","11","15","4","5","20","13","2"
"Borsbeek","20","27","18","14","18","13","7","14","10","0"
"Mortsel","93","44","45","40","28","47","29","50","43","11"
"Wijnegem","36","34","26","28","19","26","11","18","19","1"
"Wommelgem","46","25","23","38","28","33","16","21","20","3"
"POLITIE REGIO TURNHOUT","167","148","195","186","150","130","117","128","109","23"
"Baarle-Hertog","10","11","8","7","4","9","4","3","5","0"
"Beerse","15","16","19","29","8","11","15","12","18","2"
"Kasterlee","17","27","24","38","34","7","18","20","8","5"
"Lille","17","11","19","23","16","14","6","13","14","2"
"Oud-Turnhout","11","7","26","14","6","13","11","10","8","2"
"Turnhout","87","71","98","70","77","74","59","70","53","11"
"Vosselaar","10","5","1","5","5","2","4","0","3","1"
"POLITIE ZARA","46","35","51","74","55","27","39","55","27","8"
"Ranst","25","21","23","42","33","19","28","24","16","4"
"Zandhoven","21","14","28","32","22","8","11","31","11","4"
"POLITIEZONE HEIST","55","45","61","45","40","37","35","36","15","6"
"Heist-op-den-Berg","55","45","61","45","40","37","35","36","15","6"
"POLITIEZONE KEMPEN N-O","47","67","55","48","41","38","31","42","47","11"
"Arendonk","19","14","29","13","13","11","14","14","14","3"
"Ravels","12","49","21","19","17","21","8","16","21","4"
"Retie","16","4","5","16","11","6","9","12","12","4"
"POLITIEZONE NOORD","37","55","42","32","19","38","21","31","12","0"
"Kapellen","30","31","29","25","10","22","17","17","4","0"
"Stabroek","7","24","13","7","9","16","4","14","8","0"
"POLITIEZONE NOORDERKEMPEN","41","65","73","55","49","78","52","74","41","6"
"Hoogstraten","28","48","47","45","32","55","37","54","30","5"
"Merksplas","2","6","12","3","5","11","7","7","3","0"
"Rijkevorsel","11","11","14","7","12","12","8","13","8","1"
"POLITIEZONE RUPEL","141","115","124","96","77","84","75","73","57","18"
"Boom","63","32","48","32","25","25","28","22","11","7"
"Hemiksem","13","25","19","13","10","12","8","2","2","5"
"Niel","10","9","8","5","4","8","4","10","5","1"
"Rumst","41","39","35","25","21","24","18","24","28","3"
"Schelle","14","10","14","21","17","15","17","15","11","2"
"PZ BRASSCHAAT","33","30","47","32","27","17","23","17","5","2"
"Brasschaat","33","30","47","32","27","17","23","17","5","2"
"PZ GEEL/LAAKDAL/MEERHOUT","141","81","134","127","79","73","79","88","37","11"
"Geel","87","55","102","91","52","37","53","66","27","10"
"Laakdal","29","12","26","22","16","23","17","13","7","1"
"Meerhout","25","14","6","14","11","13","9","9","3","0"
"PZ KLEIN-BRABANT","66","79","57","72","54","65","36","66","51","11"
"Bornem","30","42","28","30","15","27","15","41","36","4"
"Puurs-Sint-Amands","36","37","29","42","39","38","21","25","15","7"
"PZ LIER","84","67","58","53","54","62","40","50","28","1"
"Lier","84","67","58","53","54","62","40","50","28","1"
"PZ MEWI","274","255","240","232","191","156","132","99","104","33"
"Mechelen","205","197","182","192","124","115","105","75","88","22"
"Willebroek","69","58","58","40","67","41","27","24","16","11"
"PZ SCHOTEN","62","37","36","37","31","30","16","19","23","3"
"Schoten","62","37","36","37","31","30","16","19","23","3"
"PZ ZWIJNDRECHT","27","46","28","24","12","12","15","26","22","5"
"Zwijndrecht","27","46","28","24","12","12","15","26","22","5"
"VOORKEMPEN","91","78","83","103","62","77","62","80","51","11"
"Brecht","31","24","21","32","16","29","15","25","17","3"
"Malle","21","12","22","33","17","17","15","14","11","4"
"Schilde","25","25","17","20","10","17","20","16","13","3"
"Zoersel","14","17","23","18","19","14","12","25","10","1"
"ZONE NETELAND","178","87","91","116","120","89","111","151","67","12"
"Grobbendonk","39","15","11","15","17","13","24","19","9","3"
"Herentals","74","46","37","68","48","52","34","64","35","6"
"Herenthout","10","6","7","8","9","9","23","21","8","2"
"Olen","46","19","26","20","44","15","27","34","12","1"
"Vorselaar","9","1","10","5","2","0","3","13","3","0"
"ZUIDERKEMPEN","81","41","70","59","59","70","48","50","18","8"
"Herselt","17","12","14","18","19","17","19","10","5","6"
"Hulshout","9","5","19","5","12","16","8","6","3","0"
"Westerlo","55","24","37","36","28","37","21","34","10","2"
"Limburg","1.962","1.098","1.493","1.525","1.195","1.008","857","922","677","156"
"Limburg","1.962","1.098","1.493","1.525","1.195","1.008","857","922","677","156"
"KEMPENLAND","130","54","91","66","50","32","34","19","17","9"
"Hechtel-Eksel","25","16","15","21","8","8","4","4","6","3"
"Leopoldsburg","39","14","35","19","10","9","11","7","6","0"
"Peer","66","24","41","26","32","15","19","8","5","6"
"LIMBURG REGIO HOOFDSTAD","348","182","288","309","277","231","251","224","138","33"
"Diepenbeek","29","10","26","30","13","9","17","7","4","1"
"Halen","14","10","5","14","10","7","6","10","5","1"
"Hasselt","243","120","197","191","203","157","185","159","105","20"
"Herk-de-Stad","14","6","16","18","10","9","14","10","9","4"
"Lummen","23","16","16","18","14","13","10","9","4","2"
"Zonhoven","25","20","28","38","27","36","19","29","11","5"
"POLITIEZONE MAASLAND","72","56","92","92","56","28","11","36","10","9"
"Dilsen-Stokkem","27","28","34","33","30","13","5","12","7","4"
"Maaseik","45","28","58","59","26","15","6","24","3","5"
"PZ BERINGEN/HAM/TESSENDERLO","177","83","74","83","75","76","40","62","59","6"
"Beringen","93","46","53","42","43","41","20","31","34","3"
"Ham","19","13","9","15","3","10","9","11","11","0"
"Tessenderlo","65","24","12","26","29","25","11","20","14","3"
"PZ BILZEN/HOESELT/RIEMST","76","64","75","64","37","41","27","32","30","10"
"Bilzen","41","21","28","41","23","21","9","13","13","4"
"Hoeselt","4","20","18","11","2","5","5","1","3","3"
"Riemst","31","23","29","12","12","15","13","18","14","3"
"PZ CARMA","416","261","362","350","261","242","205","192","179","33"
"As","16","5","8","10","4","9","1","3","0","0"
"Bocholt","21","10","16","11","8","8","11","3","9","1"
"Bree","25","27","29","35","23","15","12","15","10","1"
"Genk","196","102","158","161","112","124","116","104","90","21"
"Houthalen-Helchteren","102","75","91","69","64","49","37","40","43","5"
"Kinrooi","18","11","15","15","17","10","13","14","10","2"
"Oudsbergen","23","18","36","39","23","26","12","8","15","2"
"Zutendaal","15","13","9","10","10","1","3","5","2","1"
"PZ GINGELOM/NIEUWERKERKEN/SINT-TRUIDEN","131","100","86","89","102","55","48","50","45","11"
"Gingelom","5","3","3","2","3","3","6","2","3","0"
"Nieuwerkerken","2","4","6","2","4","2","12","2","3","0"
"Sint-Truiden","124","93","77","85","95","50","30","46","39","11"
"PZ HAMONT-ACHEL/PELT","90","22","64","59","55","52","35","57","35","7"
"Hamont-Achel","31","3","17","15","20","24","11","20","13","2"
"Pelt","59","19","47","44","35","28","24","37","22","5"
"PZ HEUSDEN-ZOLDER","74","34","45","29","27","31","27","48","21","8"
"Heusden-Zolder","74","34","45","29","27","31","27","48","21","8"
"PZ KANTON BORGLOON","60","30","50","63","34","18","19","26","25","5"
"Alken","22","13","26","24","9","6","8","8","9","1"
"Borgloon","13","8","10","15","10","6","3","6","5","3"
"Heers","5","2","9","13","3","3","4","7","4","1"
"Kortessem","10","5","1","4","5","2","0","4","5","0"
"Wellen","10","2","4","7","7","1","4","1","2","0"
"PZ LANAKEN/MAASMECHELEN","188","144","160","172","122","80","74","73","55","15"
"Lanaken","89","68","70","86","46","42","38","41","22","8"
"Maasmechelen","99","76","90","86","76","38","36","32","33","7"
"PZ LOMMEL","127","37","65","100","49","75","45","55","33","7"
"Lommel","127","37","65","100","49","75","45","55","33","7"
"PZ VOEREN","6","4","1","3","4","0","7","5","2","0"
"Voeren","6","4","1","3","4","0","7","5","2","0"
"TONGEREN - HERSTAPPE","67","27","40","46","46","47","34","43","28","3"
"Herstappe","0","0","0","0","0","0","0","0","0","0"
"Tongeren","67","27","40","46","46","47","34","43","28","3"
"Oost-Vlaanderen","2.114","1.852","1.669","1.800","1.652","1.523","1.121","1.098","1.092","216"
"Oost-Vlaanderen","2.114","1.852","1.669","1.800","1.652","1.523","1.121","1.098","1.092","216"
"BRAKEL","10","16","13","31","14","12","7","7","18","1"
"Brakel","6","2","8","19","7","4","5","5","9","0"
"Horebeke","1","3","0","3","0","0","0","0","1","0"
"Maarkedal","2","5","2","0","2","0","0","0","2","1"
"Zwalm","1","6","3","9","5","8","2","2","6","0"
"BUGGENHOUT - LEBBEKE","13","13","43","38","38","27","4","24","19","3"
"Buggenhout","7","9","28","19","13","16","2","1","6","2"
"Lebbeke","6","4","15","19","25","11","2","23","13","1"
"GERAARDSBERGEN - LIERDE","29","21","33","31","24","26","18","26","25","4"
"Geraardsbergen","29","21","33","28","22","25","17","26","24","3"
"Lierde","0","0","0","3","2","1","1","0","1","1"
"LOKEREN","111","81","40","63","72","43","23","28","30","6"
"Lokeren","111","81","40","63","72","43","23","28","30","6"
"MEETJESLAND CENTRUM","37","35","16","43","42","36","22","18","22","8"
"Eeklo","29","28","14","23","31","31","15","13","16","4"
"Kaprijke","4","2","0","16","7","2","4","1","2","0"
"Sint-Laureins","4","5","2","4","4","3","3","4","4","4"
"POLITIE SINT-NIKLAAS","180","78","84","125","86","95","41","50","51","16"
"Sint-Niklaas","180","78","84","125","86","95","41","50","51","16"
"POLITIEZONE SCHELDE - LEIE","38","50","31","37","48","29","27","25","23","3"
"De Pinte","3","4","4","2","7","3","5","1","2","0"
"Gavere","7","19","7","12","7","9","8","7","1","1"
"Nazareth","18","13","10","13","7","10","7","10","8","1"
"Sint-Martens-Latem","10","14","10","10","27","7","7","7","12","1"
"PZ AALST","152","89","81","74","89","80","64","70","48","16"
"Aalst","152","89","81","74","89","80","64","70","48","16"
"PZ AALTER","22","42","32","24","24","37","36","12","8","0"
"Aalter","22","42","32","24","24","37","36","12","8","0"
"PZ ASSENEDE/EVERGEM","45","28","28","27","46","28","26","20","21","4"
"Assenede","8","7","5","6","12","11","11","10","8","0"
"Evergem","37","21","23","21","34","17","15","10","13","4"
"PZ BERLARE/ZELE","48","26","26","34","19","16","13","19","29","2"
"Berlare","10","12","13","15","7","5","5","7","14","1"
"Zele","38","14","13","19","12","11","8","12","15","1"
"PZ DEINZE/ZULTE/LIEVEGEM","82","76","83","83","55","73","54","29","33","4"
"Deinze","47","46","45","45","31","33","28","18","18","2"
"Lievegem","13","17","28","21","16","24","21","4","6","2"
"Zulte","22","13","10","17","8","16","5","7","9","0"
"PZ DENDERLEEUW/HAALTERT","41","34","21","24","20","35","17","16","11","2"
"Denderleeuw","24","20","16","16","12","19","8","13","6","0"
"Haaltert","17","14","5","8","8","16","9","3","5","2"
"PZ DENDERMONDE","73","53","58","50","59","42","27","29","45","6"
"Dendermonde","73","53","58","50","59","42","27","29","45","6"
"PZ ERPE-MERE/LEDE","41","47","35","28","31","31","16","17","15","6"
"Erpe-Mere","26","32","22","21","18","24","11","10","13","4"
"Lede","15","15","13","7","13","7","5","7","2","2"
"PZ GENT","617","534","508","492","428","393","352","324","399","56"
"Gent","617","534","508","492","428","393","352","324","399","56"
"PZ HAMME/WAASMUNSTER","35","34","32","53","33","37","29","26","22","8"
"Hamme","25","24","24","31","20","23","19","12","10","5"
"Waasmunster","10","10","8","22","13","14","10","14","12","3"
"PZ KRUIBEKE/TEMSE","69","68","65","86","47","56","30","45","25","7"
"Kruibeke","14","21","20","24","18","15","15","12","7","4"
"Temse","55","47","45","62","29","41","15","33","18","3"
"PZ MALDEGEM","14","19","21","26","14","18","11","14","11","2"
"Maldegem","14","19","21","26","14","18","11","14","11","2"
"PZ NINOVE","59","59","37","41","55","41","27","27","23","3"
"Ninove","59","59","37","41","55","41","27","27","23","3"
"PZ RONSE","45","41","32","25","42","31","31","23","29","4"
"Ronse","45","41","32","25","42","31","31","23","29","4"
"PZ WAASLAND-NOORD","75","95","75","105","107","72","55","63","67","18"
"Beveren","59","53","46","61","75","44","28","34","31","5"
"Sint-Gillis-Waas","8","27","9","22","14","19","14","18","21","4"
"Stekene","8","15","20","22","18","9","13","11","15","9"
"PZ WETTEREN LAARNE WICHELEN","69","67","55","49","62","60","44","29","47","17"
"Laarne","7","13","5","6","7","7","13","7","10","3"
"Wetteren","55","48","40","37","43","43","18","20","34","13"
"Wichelen","7","6","10","6","12","10","13","2","3","1"
"REGIO PUYENBROECK","70","55","50","42","51","42","37","34","10","5"
"Lochristi","33","30","25","23","23","23","10","13","4","3"
"Moerbeke","6","2","4","5","7","7","6","7","1","0"
"Wachtebeke","9","6","7","5","5","1","3","5","4","1"
"Zelzate","22","17","14","9","16","11","18","9","1","1"
"REGIO RHODE & SCHELDE","50","78","57","62","68","60","47","31","25","9"
"Destelbergen","12","16","13","23","9","10","14","12","11","3"
"Melle","22","23","16","16","21","11","8","3","7","2"
"Merelbeke","13","31","16","20","28","23","12","11","5","3"
"Oosterzele","3","8","12","3","10","16","13","5","2","1"
"VLAAMSE ARDENNEN","50","70","79","82","40","64","42","59","30","4"
"Kluisbergen","4","9","9","9","2","14","9","9","0","0"
"Kruisem","16","21","19","10","3","10","11","12","7","1"
"Oudenaarde","28","33","43","59","34","33","16","37","23","3"
"Wortegem-Petegem","2","7","8","4","1","7","6","1","0","0"
"ZOTTEGEM HERZELE StLHOUTEM","39","43","34","25","38","39","21","33","6","2"
"Herzele","9","8","6","8","23","9","3","11","1","0"
"Sint-Lievens-Houtem","4","7","14","4","3","5","5","6","2","1"
"Zottegem","26","28","14","13","12","25","13","16","3","1"
"Vlaams Brabant","1.638","1.681","1.644","1.493","1.427","1.180","890","1.029","881","181"
"Brussel (Halle-Vilvoorde)","1.054","933","917","936","930","737","577","653","566","130"
"Geen PZ toegekend - Brussels Airport","80","17","11","6","11","9","2","4","1","2"
"Brussels Airport","80","17","11","6","11","9","2","4","1","2"
"KASTZE","86","62","53","74","57","38","30","33","19","6"
"Kampenhout","35","19","14","22","28","15","14","6","5","0"
"Steenokkerzeel","22","8","10","15","8","10","3","8","5","1"
"Zemst","29","35","29","37","21","13","13","19","9","5"
"PAJOTTENLAND","30","27","15","21","26","14","14","20","16","7"
"Bever","3","1","0","0","1","2","1","1","1","0"
"Galmaarden","5","3","1","1","3","2","0","4","2","4"
"Gooik","7","4","2","1","7","2","4","4","4","1"
"Herne","7","2","0","3","4","2","1","5","4","0"
"Lennik","6","15","10","16","9","5","7","4","5","2"
"Pepingen","2","2","2","0","2","1","1","2","0","0"
"POL AMOW","115","98","137","122","88","77","75","91","67","14"
"Asse","51","50","68","61","49","33","39","46","35","5"
"Merchtem","15","12","29","28","14","12","11","11","3","3"
"Opwijk","12","13","7","5","7","9","4","10","12","1"
"Wemmel","37","23","33","28","18","23","21","24","17","5"
"POLITIEZONE K-L-M","70","53","79","67","87","44","31","18","41","4"
"Kapelle-op-den-Bos","16","5","5","8","6","2","3","1","2","0"
"Londerzeel","31","26","37","24","54","17","20","8","16","2"
"Meise","23","22","37","35","27","25","8","9","23","2"
"POLITIEZONE TARL","54","61","35","48","84","55","37","38","30","9"
"Affligem","12","10","14","16","19","17","6","4","11","3"
"Liedekerke","9","14","3","6","8","9","7","12","4","3"
"Roosdaal","8","5","2","5","13","9","2","1","6","0"
"Ternat","25","32","16","21","44","20","22","21","9","3"
"PZ DILBEEK","47","62","87","95","70","80","54","45","54","10"
"Dilbeek","47","62","87","95","70","80","54","45","54","10"
"PZ DRUIVENSTREEK","41","45","35","23","40","35","31","36","30","11"
"Hoeilaart","7","17","4","6","16","11","6","6","10","4"
"Overijse","34","28","31","17","24","24","25","30","20","7"
"PZ GRIMBERGEN","47","45","40","43","54","50","34","29","26","3"
"Grimbergen","47","45","40","43","54","50","34","29","26","3"
"PZ ZAVENTEM","72","91","72","96","88","78","56","85","60","8"
"Zaventem","72","91","72","96","88","78","56","85","60","8"
"PZ ZENNEVALLEI","142","174","149","143","155","117","111","131","90","25"
"Beersel","32","56","46","42","32","27","21","22","27","8"
"Halle","52","48","47","36","41","34","32","32","31","4"
"Sint-Pieters-Leeuw","58","70","56","65","82","56","58","77","32","13"
"VILVOORDE - MACHELEN","187","138","144","124","99","93","64","77","86","17"
"Machelen","64","58","52","37","34","38","25","38","48","8"
"Vilvoorde","123","80","92","87","65","55","39","39","38","9"
"WOKRA","13","11","7","11","16","10","5","11","12","2"
"Kraainem","11","8","4","6","8","6","4","5","8","1"
"Wezembeek-Oppem","2","3","3","5","8","4","1","6","4","1"
"ZONE RODE","70","49","53","63","55","37","33","35","34","12"
"Drogenbos","39","30","27","39","34","25","16","20","23","4"
"Linkebeek","12","7","12","8","6","4","2","4","2","2"
"Sint-Genesius-Rode","19","12","14","16","15","8","15","11","9","6"
"Leuven","584","748","727","557","497","443","313","376","315","51"
"DEMERDAL - DSZ","90","51","86","66","47","37","41","57","44","13"
"Diest","52","28","54","41","32","27","23","48","36","12"
"Scherpenheuvel-Zichem","38","23","32","25","15","10","18","9","8","1"
"HAACHT","33","43","43","39","50","38","17","16","24","4"
"Boortmeerbeek","13","15","22","24","19","21","6","9","12","4"
"Haacht","12","20","12","11","26","11","6","6","8","0"
"Keerbergen","8","8","9","4","5","6","5","1","4","0"
"HERKO","28","14","38","42","46","28","19","23","21","0"
"Herent","14","8","21","25","27","18","14","18","9","0"
"Kortenberg","14","6","17","17","19","10","5","5","12","0"
"POLITIEZONE AARSCHOT","41","64","54","41","33","27","21","27","15","2"
"Aarschot","41","64","54","41","33","27","21","27","15","2"
"POLITIEZONE BRT","31","44","56","37","20","21","16","13","12","3"
"Begijnendijk","7","7","10","7","4","7","4","2","3","0"
"Rotselaar","17","27","25","18","10","11","6","8","6","1"
"Tremelo","7","10","21","12","6","3","6","3","3","2"
"PZ BIERBEEK/BOUTERSEM/HOLSBEEK/LUBBEEK","14","35","41","26","33","30","14","18","14","3"
"Bierbeek","5","9","11","10","10","9","4","5","6","1"
"Boutersem","6","9","16","6","7","10","2","1","6","2"
"Holsbeek","1","8","3","6","6","7","3","2","0","0"
"Lubbeek","2","9","11","4","10","4","5","10","2","0"
"PZ GETEVALLEI","98","95","100","88","59","70","40","75","25","6"
"Hoegaarden","8","12","3","10","4","4","4","3","0","0"
"Landen","16","14","13","8","3","8","1","6","4","2"
"Linter","5","3","1","0","2","3","2","5","1","0"
"Tienen","55","55","76","62","42","50","29","53","19","4"
"Zoutleeuw","14","11","7","8","8","5","4","8","1","0"
"PZ LEUVEN","210","350","237","161","155","148","99","101","113","12"
"Leuven","210","350","237","161","155","148","99","101","113","12"
"PZ VOER EN DIJLE","21","29","40","27","20","24","29","24","33","6"
"Bertem","6","10","14","6","3","3","4","3","2","0"
"Huldenberg","4","5","7","5","7","0","9","5","4","3"
"Oud-Heverlee","2","9","9","12","5","6","5","3","10","2"
"Tervuren","9","5","10","4","5","15","11","13","17","1"
"ZONE HAGELAND","18","23","32","30","34","20","17","22","14","2"
"Bekkevoort","3","4","4","5","8","4","3","2","0","0"
"Geetbets","3","6","0","4","2","4","7","1","4","0"
"Glabbeek","5","0","3","4","3","2","0","2","0","1"
"Kortenaken","0","0","1","2","3","2","1","1","0","0"
"Tielt-Winge","7","13","24","15","18","8","6","16","10","1"
"West-Vlaanderen","1.859","1.741","1.549","1.375","1.290","1.258","1.061","997","870","186"
"West-Vlaanderen","1.859","1.741","1.549","1.375","1.290","1.258","1.061","997","870","186"
"GAVERS","32","76","44","21","38","54","43","42","25","8"
"Deerlijk","6","33","14","6","6","13","16","12","6","2"
"Harelbeke","26","43","30","15","32","41","27","30","19","6"
"GRENSLEIE","122","175","138","116","92","96","94","92","86","18"
"Ledegem","7","3","13","18","5","14","12","3","10","3"
"Menen","78","130","91","59","60","49","37","60","51","8"
"Wevelgem","37","42","34","39","27","33","45","29","25","7"
"Geen PZ toegekend - Noordzee","0","0","0","0","0","0","0","0","0","0"
"Noordzee","0","0","0","0","0","0","0","0","0","0"
"MIDOW","36","46","44","41","19","40","30","31","16","1"
"Dentergem","4","8","9","3","3","1","7","8","2","0"
"Ingelmunster","11","9","23","15","3","9","5","6","3","0"
"Meulebeke","9","7","2","11","6","10","5","4","6","0"
"Oostrozebeke","4","5","3","3","3","9","8","3","1","0"
"Wielsbeke","8","17","7","9","4","11","5","10","4","1"
"MIRA","112","157","113","91","75","88","92","93","63","10"
"Anzegem","20","18","18","15","9","16","20","16","4","2"
"Avelgem","18","23","6","11","6","11","11","7","4","0"
"Spiere-Helkijn","8","5","5","4","2","2","9","2","3","0"
"Waregem","40","94","63","52","44","40","32","56","42","8"
"Zwevegem","26","17","21","9","14","19","20","12","10","0"
"POLDER","51","29","34","48","42","30","38","27","17","6"
"Diksmuide","26","14","15","22","11","18","12","10","9","2"
"Houthulst","4","4","2","4","9","1","6","13","1","1"
"Koekelare","7","7","7","9","4","3","5","1","4","0"
"Kortemark","14","4","10","13","18","8","15","3","3","3"
"POLITIEZONE ARRO IEPER","173","177","119","128","94","84","84","79","71","20"
"Heuvelland","12","26","10","16","11","10","14","7","4","1"
"Ieper","57","57","28","41","24","16","32","17","20","9"
"Langemark-Poelkapelle","8","7","1","3","4","5","3","4","2","0"
"Mesen","3","0","0","0","0","0","1","0","0","0"
"Moorslede","15","15","24","11","5","7","7","5","9","2"
"Poperinge","33","22","12","16","12","10","10","7","10","2"
"Staden","15","9","7","13","7","13","9","14","4","0"
"Vleteren","1","6","3","0","2","5","1","2","2","0"
"Wervik","24","24","28","19","20","12","4","15","9","4"
"Zonnebeke","5","11","6","9","9","6","3","8","11","2"
"POLITIEZONE HET HOUTSCHE","53","66","56","79","55","64","39","35","29","4"
"Beernem","10","11","20","27","16","23","8","0","15","1"
"Oostkamp","22","22","24","25","21","19","15","25","10","2"
"Zedelgem","21","33","12","27","18","22","16","10","4","1"
"POLITIEZONE KOUTER","73","58","67","75","45","58","32","33","27","7"
"Gistel","11","12","22","5","5","12","7","9","7","2"
"Ichtegem","18","5","10","14","5","15","2","6","4","0"
"Jabbeke","10","11","8","9","13","11","7","3","8","0"
"Oudenburg","5","3","9","6","4","5","2","2","1","3"
"Torhout","29","27","18","41","18","15","14","13","7","2"
"POLITIEZONE MIDDELKERKE","40","40","55","20","17","28","12","26","20","3"
"Middelkerke","40","40","55","20","17","28","12","26","20","3"
"POLITIEZONE RIHO","129","140","121","124","135","102","102","70","73","17"
"Hooglede","8","12","9","5","12","5","5","3","6","1"
"Izegem","37","34","27","29","26","21","21","24","12","3"
"Roeselare","84","94","85","90","97","76","76","43","55","13"
"POLITIEZONE SPOORKIN","21","24","16","16","15","17","15","12","6","8"
"Alveringem","5","8","1","4","2","0","2","6","0","2"
"Lo-Reninge","2","6","4","2","0","1","5","0","0","1"
"Veurne","14","10","11","10","13","16","8","6","6","5"
"PZ BLANKENBERGE/ZUIENKERKE","47","18","31","29","35","23","18","53","27","2"
"Blankenberge","47","15","31","29","35","21","18","50","26","2"
"Zuienkerke","0","3","0","0","0","2","0","3","1","0"
"PZ BREDENE/DE HAAN","73","56","36","32","32","38","23","18","31","3"
"Bredene","20","27","13","11","15","15","7","8","15","2"
"De Haan","53","29","23","21","17","23","16","10","16","1"
"PZ BRUGGE","209","125","174","127","231","127","91","101","98","14"
"Brugge","209","125","174","127","231","127","91","101","98","14"
"PZ DAMME/KNOKKE-HEIST","69","49","44","46","41","25","25","35","23","3"
"Damme","6","6","11","7","10","2","1","3","0","0"
"Knokke-Heist","63","43","33","39","31","23","24","32","23","3"
"PZ OOSTENDE","232","144","168","118","105","127","81","109","82","25"
"Oostende","232","144","168","118","105","127","81","109","82","25"
"REGIO TIELT","67","86","70","87","47","49","51","28","29","5"
"Ardooie","15","19","10","12","13","4","4","7","5","2"
"Lichtervelde","9","5","7","15","1","11","13","3","5","1"
"Pittem","9","9","8","12","4","13","2","2","3","0"
"Ruiselede","6","5","2","5","5","0","1","1","1","0"
"Tielt","19","32","31","20","11","12","15","9","10","2"
"Wingene","9","16","12","23","13","9","16","6","5","0"
"VLAS","173","202","168","114","105","174","147","82","107","21"
