"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","20.304","21.796","20.638","18.483","17.875","18.347","16.930","15.606","15.432","3.537"
"Brussels Hoofdstedelijk Gewest","7.043","9.417","8.749","6.600","6.326","7.379","6.444","6.288","6.102","1.381"
"Brussel-Hoofdstad","7.043","9.417","8.749","6.600","6.326","7.379","6.444","6.288","6.102","1.381"
"Brussel (Brussel-Hoofdstad)","7.043","9.417","8.749","6.600","6.326","7.379","6.444","6.288","6.102","1.381"
"BRUSSEL HOOFDSTAD ELSENE","2.848","3.499","3.373","2.717","2.572","2.971","2.649","2.836","3.097","676"
"Brussel","2.378","3.021","2.989","2.361","2.186","2.549","2.228","2.450","2.673","588"
"Elsene","470","478","384","356","386","422","421","386","424","88"
"BRUSSEL-WEST","933","1.820","1.571","1.052","926","1.111","999","923","749","141"
"Ganshoren","54","113","96","78","52","81","82","68","73","6"
"Jette","193","271","240","188","216","228","187","221","168","34"
"Koekelberg","152","220","193","105","114","125","89","104","68","13"
"Sint-Agatha-Berchem","47","86","72","56","68","93","121","91","96","20"
"Sint-Jans-Molenbeek","487","1.130","970","625","476","584","520","439","344","68"
"Geen PZ toegekend - Eurostar","0","0","1","0","0","0","0","0","0","0"
"PZ POLBRUNO","718","683","725","637","548","671","694","647","665","152"
"Evere","82","69","60","106","79","97","116","83","107","25"
"Schaarbeek","444","454","504","390","359","435","435","401","430","97"
"Sint-Joost-ten-Node","192","160","161","141","110","139","143","163","128","30"
"UKKEL/W-B/OUDERGEM","421","530","447","380","341","323","328","257","258","73"
"Oudergem","90","94","84","68","57","66","70","63","60","21"
"Ukkel","276","406","328","279","246","205","208","159","157","40"
"Watermaal-Bosvoorde","55","30","35","33","38","52","50","35","41","12"
"ZONE MONTGOMERY","466","445","351","353","342","340","301","289","221","65"
"Etterbeek","148","167","150","150","164","154","113","92","85","24"
"Sint-Lambrechts-Woluwe","214","163","132","134","111","125","115","141","92","27"
"Sint-Pieters-Woluwe","104","115","69","69","67","61","73","56","44","14"
"ZONE ZUID","1.657","2.440","2.281","1.461","1.597","1.963","1.473","1.336","1.112","274"
"Anderlecht","779","1.075","939","713","820","1.237","938","722","499","148"
"Sint-Gillis","684","983","996","507","451","450","381","450","453","97"
"Vorst","194","382","346","241","326","276","154","164","160","29"
"Vlaams Gewest","6.210","6.467","6.172","5.771","5.492","5.084","4.928","4.383","4.587","1.025"
"Antwerpen","3.161","3.031","2.745","2.545","2.226","2.009","1.977","1.813","1.748","411"
"Antwerpen","3.161","3.031","2.745","2.545","2.226","2.009","1.977","1.813","1.748","411"
"ANTWERPEN","2.453","2.292","2.049","1.829","1.596","1.327","1.349","1.169","1.080","259"
"Antwerpen","2.453","2.292","2.049","1.829","1.596","1.327","1.349","1.169","1.080","259"
"BALEN - DESSEL - MOL","28","21","12","20","23","17","26","33","14","4"
"Balen","4","4","1","1","6","4","2","6","2","1"
"Dessel","4","2","0","6","3","1","5","5","1","0"
"Mol","20","15","11","13","14","12","19","22","11","3"
"BERLAAR - NIJLEN","5","3","6","9","5","14","4","6","9","2"
"Berlaar","1","0","3","4","0","4","1","2","3","1"
"Nijlen","4","3","3","5","5","10","3","4","6","1"
"BODUKAP","17","11","16","19","17","23","15","26","11","5"
"Bonheiden","2","6","2","3","5","5","1","5","2","0"
"Duffel","6","3","6","7","5","7","8","8","4","1"
"Putte","5","0","3","3","3","5","2","6","0","2"
"Sint-Katelijne-Waver","4","2","5","6","4","6","4","7","5","2"
"GRENS","18","16","13","17","14","12","24","7","22","5"
"Essen","5","6","5","6","2","5","7","4","9","1"
"Kalmthout","10","4","3","7","5","2","10","1","3","1"
"Wuustwezel","3","6","5","4","7","5","7","2","10","3"
"HEKLA","47","39","36","34","28","40","22","24","37","9"
"Aartselaar","3","7","7","5","6","6","1","0","3","3"
"Edegem","26","18","13","15","12","14","6","12","14","3"
"Hove","3","3","1","4","3","4","2","2","0","0"
"Kontich","14","10","12","9","5","14","12","9","14","3"
"Lint","1","1","3","1","2","2","1","1","6","0"
"MINOS","66","66","65","52","47","59","40","49","51","11"
"Boechout","8","8","5","6","11","12","4","3","3","0"
"Borsbeek","13","4","7","5","5","9","4","6","11","1"
"Mortsel","31","30","34","19","15","25","20","23","21","5"
"Wijnegem","11","17","17","12","12","7","10","11","10","3"
"Wommelgem","3","7","2","10","4","6","2","6","6","2"
"POLITIE REGIO TURNHOUT","74","89","111","71","69","61","84","64","73","19"
"Baarle-Hertog","1","0","4","1","0","1","2","2","1","0"
"Beerse","4","5","8","5","6","8","6","9","4","3"
"Kasterlee","6","7","5","3","3","6","1","3","1","3"
"Lille","8","5","7","7","8","0","6","4","2","0"
"Oud-Turnhout","2","4","5","3","1","2","5","4","2","2"
"Turnhout","49","66","79","51","48","42","60","40","59","10"
"Vosselaar","4","2","3","1","3","2","4","2","4","1"
"POLITIE ZARA","5","8","11","12","10","13","7","9","15","2"
"Ranst","1","4","8","5","6","6","6","8","10","1"
"Zandhoven","4","4","3","7","4","7","1","1","5","1"
"POLITIEZONE HEIST","3","5","11","11","13","23","11","16","17","3"
"Heist-op-den-Berg","3","5","11","11","13","23","11","16","17","3"
"POLITIEZONE KEMPEN N-O","9","8","12","9","7","10","10","17","9","3"
"Arendonk","4","4","4","2","0","5","4","6","5","2"
"Ravels","5","3","6","5","5","5","4","9","2","0"
"Retie","0","1","2","2","2","0","2","2","2","1"
"POLITIEZONE NOORD","9","15","14","21","20","20","19","20","18","5"
"Kapellen","7","10","9","12","15","11","8","16","12","4"
"Stabroek","2","5","5","9","5","9","11","4","6","1"
"POLITIEZONE NOORDERKEMPEN","4","12","15","16","14","14","8","13","12","2"
"Hoogstraten","2","5","11","11","7","6","3","6","9","1"
"Merksplas","0","4","1","4","1","4","2","0","0","0"
"Rijkevorsel","2","3","3","1","6","4","3","7","3","1"
"POLITIEZONE RUPEL","32","72","51","67","65","63","44","61","63","10"
"Boom","18","41","32","36","36","32","30","35","47","6"
