"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Hemiksem","4","8","0","9","5","7","2","8","4","1"
"Niel","3","5","6","5","9","8","3","7","3","1"
"Rumst","5","11","9","10","11","12","8","4","5","1"
"Schelle","2","7","4","7","4","4","1","7","4","1"
"PZ BRASSCHAAT","11","19","32","11","19","18","22","16","24","4"
"Brasschaat","11","19","32","11","19","18","22","16","24","4"
"PZ GEEL/LAAKDAL/MEERHOUT","26","18","23","20","28","21","20","18","23","7"
"Geel","19","12","20","17","21","14","14","12","21","7"
"Laakdal","2","3","0","1","4","3","5","3","1","0"
"Meerhout","5","3","3","2","3","4","1","3","1","0"
"PZ KLEIN-BRABANT","15","22","12","16","21","12","18","21","29","7"
"Bornem","8","10","6","3","8","4","10","11","13","1"
"Puurs-Sint-Amands","7","12","6","13","13","8","8","10","16","6"
"PZ LIER","30","38","23","38","21","22","16","25","36","4"
"Lier","30","38","23","38","21","22","16","25","36","4"
"PZ MEWI","214","169","145","177","111","148","132","126","115","28"
"Mechelen","199","152","125","143","91","119","102","104","97","24"
"Willebroek","15","17","20","34","20","29","30","22","18","4"
"PZ SCHOTEN","30","35","23","20","15","30","26","13","20","9"
"Schoten","30","35","23","20","15","30","26","13","20","9"
"PZ ZWIJNDRECHT","9","12","16","9","15","14","14","12","14","2"
"Zwijndrecht","9","12","16","9","15","14","14","12","14","2"
"VOORKEMPEN","24","26","22","28","27","26","25","30","28","7"
"Brecht","8","8","10","6","9","6","14","11","10","2"
"Malle","2","5","7","5","9","5","4","2","8","1"
"Schilde","8","5","3","15","5","6","5","10","7","1"
"Zoersel","6","8","2","2","4","9","2","7","3","3"
"ZONE NETELAND","21","28","20","26","23","18","26","26","20","1"
"Grobbendonk","4","6","3","4","3","2","2","4","1","0"
"Herentals","12","11","11","15","13","10","19","14","13","0"
"Herenthout","2","2","1","3","5","4","1","4","2","1"
"Olen","2","7","5","1","1","1","3","4","0","0"
"Vorselaar","1","2","0","3","1","1","1","0","4","0"
"ZUIDERKEMPEN","11","7","7","13","18","4","15","12","8","3"
"Herselt","4","1","1","4","4","1","5","8","4","0"
"Hulshout","2","2","2","3","4","0","2","0","0","0"
"Westerlo","5","4","4","6","10","3","8","4","4","3"
"Limburg","556","444","460","411","479","507","468","362","380","88"
"Limburg","556","444","460","411","479","507","468","362","380","88"
"KEMPENLAND","12","18","14","10","15","14","11","7","5","5"
"Hechtel-Eksel","3","3","3","2","5","4","2","2","0","1"
"Leopoldsburg","7","10","5","6","7","6","7","4","3","3"
"Peer","2","5","6","2","3","4","2","1","2","1"
"LIMBURG REGIO HOOFDSTAD","142","144","131","137","141","172","118","90","81","18"
"Diepenbeek","10","9","5","6","8","8","4","6","4","2"
"Halen","3","1","2","1","1","0","2","3","0","0"
"Hasselt","114","126","115","112","120","143","92","72","67","13"
"Herk-de-Stad","2","0","1","5","3","2","4","0","1","0"
"Lummen","7","1","1","5","3","6","7","2","2","2"
"Zonhoven","6","7","7","8","6","13","9","7","7","1"
"POLITIEZONE MAASLAND","17","16","26","7","25","10","10","9","20","9"
"Dilsen-Stokkem","10","5","15","1","7","2","6","6","5","2"
"Maaseik","7","11","11","6","18","8","4","3","15","7"
"PZ BERINGEN/HAM/TESSENDERLO","45","28","20","18","14","18","28","17","20","5"
"Beringen","27","15","12","9","12","13","15","8","16","3"
"Ham","4","9","2","2","0","1","3","2","1","0"
"Tessenderlo","14","4","6","7","2","4","10","7","3","2"
"PZ BILZEN/HOESELT/RIEMST","20","20","24","13","23","19","17","14","27","9"
"Bilzen","15","15","14","9","13","14","10","9","19","7"
"Hoeselt","2","3","6","3","4","1","4","2","1","0"
"Riemst","3","2","4","1","6","4","3","3","7","2"
"PZ CARMA","130","89","86","71","100","106","125","92","91","18"
"As","4","2","1","2","6","5","3","0","0","1"
"Bocholt","2","4","1","1","0","3","6","6","3","1"
"Bree","3","5","7","2","5","3","9","7","8","2"
"Genk","88","46","62","49","71","67","70","49","50","9"
"Houthalen-Helchteren","23","20","10","11","7","15","21","19","16","2"
"Kinrooi","1","1","3","3","3","4","7","1","4","0"
"Oudsbergen","3","8","2","2","6","7","6","8","5","1"
"Zutendaal","6","3","0","1","2","2","3","2","5","2"
"PZ GINGELOM/NIEUWERKERKEN/SINT-TRUIDEN","55","30","43","28","35","43","45","39","43","6"
"Gingelom","4","1","2","2","2","5","0","2","1","0"
"Nieuwerkerken","1","0","1","3","1","1","0","2","2","0"
"Sint-Truiden","50","29","40","23","32","37","45","35","40","6"
"PZ HAMONT-ACHEL/PELT","10","9","12","10","16","11","16","10","9","2"
"Hamont-Achel","2","2","6","4","3","4","6","2","3","1"
"Pelt","8","7","6","6","13","7","10","8","6","1"
"PZ HEUSDEN-ZOLDER","25","9","9","12","6","11","13","11","9","1"
"Heusden-Zolder","25","9","9","12","6","11","13","11","9","1"
"PZ KANTON BORGLOON","11","7","8","11","11","15","11","14","13","3"
"Alken","4","2","1","1","5","5","1","2","1","0"
"Borgloon","4","3","2","5","2","6","5","7","6","2"
"Heers","1","2","3","1","1","1","1","0","3","0"
"Kortessem","1","0","2","3","3","2","2","1","1","0"
"Wellen","1","0","0","1","0","1","2","4","2","1"
"PZ LANAKEN/MAASMECHELEN","38","32","39","41","38","35","35","19","21","6"
"Lanaken","12","8","13","13","11","13","13","7","9","1"
"Maasmechelen","26","24","26","28","27","22","22","12","12","5"
"PZ LOMMEL","33","10","21","15","17","10","15","13","12","4"
"Lommel","33","10","21","15","17","10","15","13","12","4"
"PZ VOEREN","2","3","5","1","0","2","0","1","2","0"
"Voeren","2","3","5","1","0","2","0","1","2","0"
"TONGEREN - HERSTAPPE","16","29","22","37","38","41","24","26","27","2"
"Herstappe","0","0","0","0","0","0","0","0","0","0"
"Tongeren","16","29","22","37","38","41","24","26","27","2"
"Oost-Vlaanderen","1.061","1.293","1.317","1.236","1.226","1.097","1.044","955","1.089","229"
"Oost-Vlaanderen","1.061","1.293","1.317","1.236","1.226","1.097","1.044","955","1.089","229"
"BRAKEL","2","8","11","5","3","6","5","3","9","0"
"Brakel","2","4","10","2","2","2","3","2","2","0"
"Horebeke","0","1","0","0","0","0","0","0","2","0"
"Maarkedal","0","2","1","2","1","3","1","0","5","0"
"Zwalm","0","1","0","1","0","1","1","1","0","0"
"BUGGENHOUT - LEBBEKE","4","9","5","11","18","10","4","3","7","1"
"Buggenhout","1","3","1","3","8","2","0","3","3","0"
"Lebbeke","3","6","4","8","10","8","4","0","4","1"
"GERAARDSBERGEN - LIERDE","15","26","23","28","25","24","19","20","29","5"
"Geraardsbergen","15","25","22","27","23","21","17","20","29","5"
"Lierde","0","1","1","1","2","3","2","0","0","0"
"LOKEREN","57","24","16","25","39","29","32","18","26","5"
"Lokeren","57","24","16","25","39","29","32","18","26","5"
"MEETJESLAND CENTRUM","13","36","21","24","12","23","25","29","21","3"
"Eeklo","12","33","20","20","11","19","22","28","19","3"
"Kaprijke","1","1","1","4","0","3","1","1","2","0"
"Sint-Laureins","0","2","0","0","1","1","2","0","0","0"
"POLITIE SINT-NIKLAAS","124","105","97","89","87","84","79","73","77","15"
"Sint-Niklaas","124","105","97","89","87","84","79","73","77","15"
"POLITIEZONE SCHELDE - LEIE","18","15","16","8","18","13","10","11","20","2"
"De Pinte","3","3","4","2","3","1","1","2","3","1"
"Gavere","6","0","1","2","1","2","1","3","4","0"
"Nazareth","6","7","8","2","12","8","6","5","3","1"
"Sint-Martens-Latem","3","5","3","2","2","2","2","1","10","0"
"PZ AALST","89","94","80","86","78","88","87","82","73","21"
"Aalst","89","94","80","86","78","88","87","82","73","21"
"PZ AALTER","1","8","11","8","4","11","2","4","27","6"
"Aalter","1","8","11","8","4","11","2","4","27","6"
"PZ ASSENEDE/EVERGEM","10","13","7","5","15","17","16","8","16","4"
"Assenede","3","2","2","2","1","3","3","1","6","1"
"Evergem","7","11","5","3","14","14","13","7","10","3"
"PZ BERLARE/ZELE","13","10","9","7","12","15","16","11","14","1"
"Berlare","0","0","3","5","6","5","6","4","9","0"
"Zele","13","10","6","2","6","10","10","7","5","1"
"PZ DEINZE/ZULTE/LIEVEGEM","16","23","33","22","24","30","21","21","25","3"
"Deinze","11","16","21","18","15","15","15","13","13","1"
"Lievegem","4","5","9","3","8","10","5","4","7","0"
"Zulte","1","2","3","1","1","5","1","4","5","2"
"PZ DENDERLEEUW/HAALTERT","9","20","11","17","13","20","18","18","25","3"
"Denderleeuw","3","17","7","14","9","11","15","16","17","3"
"Haaltert","6","3","4","3","4","9","3","2","8","0"
"PZ DENDERMONDE","20","16","26","16","30","26","25","29","20","5"
"Dendermonde","20","16","26","16","30","26","25","29","20","5"
"PZ ERPE-MERE/LEDE","14","13","3","5","5","4","11","5","8","2"
"Erpe-Mere","7","7","0","2","2","2","8","0","1","1"
"Lede","7","6","3","3","3","2","3","5","7","1"
"PZ GENT","477","657","714","625","602","477","434","392","413","87"
"Gent","477","657","714","625","602","477","434","392","413","87"
"PZ HAMME/WAASMUNSTER","18","9","10","6","15","9","10","10","16","3"
"Hamme","6","6","6","6","11","8","8","7","9","2"
"Waasmunster","12","3","4","0","4","1","2","3","7","1"
"PZ KRUIBEKE/TEMSE","16","24","25","15","24","15","23","23","28","7"
"Kruibeke","6","7","10","5","5","4","6","6","5","1"
"Temse","10","17","15","10","19","11","17","17","23","6"
"PZ MALDEGEM","4","2","9","10","5","4","4","8","5","0"
"Maldegem","4","2","9","10","5","4","4","8","5","0"
"PZ NINOVE","6","22","16","40","30","25","27","19","33","4"
"Ninove","6","22","16","40","30","25","27","19","33","4"
"PZ RONSE","42","27","29","25","22","34","20","25","26","6"
"Ronse","42","27","29","25","22","34","20","25","26","6"
"PZ WAASLAND-NOORD","24","31","27","43","38","39","43","41","47","6"
"Beveren","19","27","19","25","18","21","26","25","34","6"
"Sint-Gillis-Waas","3","1","2","9","9","7","8","4","6","0"
"Stekene","2","3","6","9","11","11","9","12","7","0"
"PZ WETTEREN LAARNE WICHELEN","14","31","23","24","25","20","24","17","25","10"
"Laarne","3","3","3","2","2","1","5","5","2","1"
"Wetteren","11","25","17","18","21","16","15","11","19","7"
"Wichelen","0","3","3","4","2","3","4","1","4","2"
"REGIO PUYENBROECK","20","17","22","16","24","16","18","10","35","5"
"Lochristi","6","3","6","5","9","4","4","5","14","1"
"Moerbeke","2","0","0","3","0","2","0","0","1","1"
"Wachtebeke","2","3","1","0","5","1","4","1","5","1"
"Zelzate","10","11","15","8","10","9","10","4","15","2"
"REGIO RHODE & SCHELDE","16","21","20","26","22","19","22","19","21","8"
"Destelbergen","7","5","3","10","3","5","6","2","7","2"
"Melle","3","5","3","5","6","3","6","3","2","0"
"Merelbeke","3","8","9","11","9","6","8","9","10","2"
"Oosterzele","3","3","5","0","4","5","2","5","2","4"
"VLAAMSE ARDENNEN","11","16","37","35","24","25","35","28","16","7"
"Kluisbergen","0","0","1","2","1","0","4","1","0","0"
"Kruisem","1","2","3","9","1","3","5","3","1","1"
"Oudenaarde","10","14","32","22","22","22","26","23","14","6"
"Wortegem-Petegem","0","0","1","2","0","0","0","1","1","0"
"ZOTTEGEM HERZELE StLHOUTEM","8","16","16","15","12","14","14","28","27","10"
"Herzele","1","3","3","1","2","6","3","9","5","2"
"Sint-Lievens-Houtem","0","2","0","2","1","0","4","2","2","0"
"Zottegem","7","11","13","12","9","8","7","17","20","8"
"Vlaams Brabant","648","833","820","867","858","743","747","637","678","155"
"Brussel (Halle-Vilvoorde)","409","517","492","503","493","478","467","410","416","91"
"Geen PZ toegekend - Brussels Airport","16","7","9","10","4","8","3","5","2","2"
"Brussels Airport","16","7","9","10","4","8","3","5","2","2"
"KASTZE","15","20","11","19","12","20","21","13","18","0"
"Kampenhout","3","2","0","5","1","2","6","5","5","0"
"Steenokkerzeel","2","4","3","6","3","7","5","4","7","0"
"Zemst","10","14","8","8","8","11","10","4","6","0"
"PAJOTTENLAND","14","9","8","10","12","8","16","8","10","2"
"Bever","1","0","0","1","1","0","0","1","2","0"
"Galmaarden","2","1","0","0","0","0","3","0","0","0"
"Gooik","1","0","1","1","2","1","0","0","0","0"
"Herne","3","4","2","1","1","0","4","3","1","1"
"Lennik","5","3","4","4","5","6","5","4","6","0"
"Pepingen","2","1","1","3","3","1","4","0","1","1"
"POL AMOW","51","55","46","55","52","60","53","60","76","13"
"Asse","24","28","24","16","21","30","22","22","19","4"
"Merchtem","6","2","3","10","9","6","5","2","9","4"
"Opwijk","2","3","2","2","1","4","3","10","11","2"
"Wemmel","19","22","17","27","21","20","23","26","37","3"
"POLITIEZONE K-L-M","18","4","10","11","12","7","15","10","17","2"
"Kapelle-op-den-Bos","5","0","2","0","1","0","0","1","1","1"
"Londerzeel","4","1","1","5","6","0","7","4","5","0"
"Meise","9","3","7","6","5","7","8","5","11","1"
"POLITIEZONE TARL","12","13","21","25","26","28","19","16","24","5"
"Affligem","3","2","6","6","4","6","6","4","5","1"
"Liedekerke","6","8","9","7","10","8","2","6","9","2"
"Roosdaal","1","1","4","4","3","6","5","0","3","0"
"Ternat","2","2","2","8","9","8","6","6","7","2"
"PZ DILBEEK","24","49","41","40","43","40","44","42","37","7"
"Dilbeek","24","49","41","40","43","40","44","42","37","7"
"PZ DRUIVENSTREEK","10","15","18","20","15","15","15","10","15","9"
"Hoeilaart","2","8","5","6","5","5","3","2","6","3"
"Overijse","8","7","13","14","10","10","12","8","9","6"
"PZ GRIMBERGEN","24","34","43","26","28","30","30","30","23","7"
"Grimbergen","24","34","43","26","28","30","30","30","23","7"
"PZ ZAVENTEM","17","21","26","29","29","25","30","22","22","6"
"Zaventem","17","21","26","29","29","25","30","22","22","6"
"PZ ZENNEVALLEI","72","108","83","113","125","120","109","96","80","14"
"Beersel","10","15","14","13","30","18","21","22","14","5"
"Halle","44","41","29","63","51","69","47","43","36","3"
"Sint-Pieters-Leeuw","18","52","40","37","44","33","41","31","30","6"
"VILVOORDE - MACHELEN","77","64","99","62","69","66","57","44","46","10"
"Machelen","14","13","13","10","12","17","9","8","15","3"
"Vilvoorde","63","51","86","52","57","49","48","36","31","7"
"WOKRA","23","22","18","17","18","19","22","25","26","6"
"Kraainem","13","12","15","13","12","10","14","14","11","5"
"Wezembeek-Oppem","10","10","3","4","6","9","8","11","15","1"
"ZONE RODE","36","96","59","66","48","32","33","29","20","8"
"Drogenbos","13","76","41","46","28","17","20","21","8","1"
"Linkebeek","8","8","6","6","6","4","3","7","3","2"
"Sint-Genesius-Rode","15","12","12","14","14","11","10","1","9","5"
"Leuven","239","316","328","364","365","265","280","227","262","64"
"DEMERDAL - DSZ","26","16","25","17","23","22","20","12","17","3"
"Diest","20","12","21","15","18","14","14","9","11","1"
"Scherpenheuvel-Zichem","6","4","4","2","5","8","6","3","6","2"
"HAACHT","16","6","11","11","8","7","14","11","17","2"
"Boortmeerbeek","7","2","3","4","4","1","7","4","5","1"
"Haacht","4","3","4","6","2","2","5","6","6","1"
"Keerbergen","5","1","4","1","2","4","2","1","6","0"
"HERKO","16","9","11","8","11","10","11","6","10","2"
"Herent","5","1","7","4","4","6","4","4","3","1"
"Kortenberg","11","8","4","4","7","4","7","2","7","1"
"POLITIEZONE AARSCHOT","12","11","11","3","17","9","18","12","11","3"
"Aarschot","12","11","11","3","17","9","18","12","11","3"
"POLITIEZONE BRT","1","3","2","11","3","11","7","5","8","3"
"Begijnendijk","1","0","0","0","1","1","2","1","3","0"
"Rotselaar","0","2","2","7","1","4","2","1","1","2"
"Tremelo","0","1","0","4","1","6","3","3","4","1"
"PZ BIERBEEK/BOUTERSEM/HOLSBEEK/LUBBEEK","10","8","8","9","9","7","14","6","9","1"
"Bierbeek","5","3","4","2","3","2","4","3","1","1"
"Boutersem","4","0","0","2","1","3","1","1","1","0"
"Holsbeek","0","1","3","3","3","0","1","1","3","0"
"Lubbeek","1","4","1","2","2","2","8","1","4","0"
"PZ GETEVALLEI","27","27","27","29","25","29","33","22","26","9"
"Hoegaarden","2","2","2","0","1","0","1","0","2","0"
"Landen","2","6","5","3","7","12","7","3","6","2"
"Linter","1","1","0","1","0","1","2","0","0","0"
"Tienen","22","17","20","23","15","15","21","15","16","7"
"Zoutleeuw","0","1","0","2","2","1","2","4","2","0"
"PZ LEUVEN","109","228","216","261","245","147","149","124","140","33"
"Leuven","109","228","216","261","245","147","149","124","140","33"
"PZ VOER EN DIJLE","19","5","11","9","17","16","9","27","14","5"
"Bertem","1","0","0","1","1","4","4","2","2","0"
"Huldenberg","0","1","1","0","1","1","0","6","1","0"
"Oud-Heverlee","3","0","1","1","7","1","0","3","3","2"
"Tervuren","15","4","9","7","8","10","5","16","8","3"
"ZONE HAGELAND","3","3","6","6","7","7","5","2","10","3"
"Bekkevoort","0","0","1","1","3","2","1","0","2","1"
"Geetbets","1","2","1","2","0","1","1","0","1","1"
"Glabbeek","0","1","1","0","2","1","1","1","3","0"
"Kortenaken","0","0","0","1","0","0","1","0","0","0"
"Tielt-Winge","2","0","3","2","2","3","1","1","4","1"
"West-Vlaanderen","784","866","830","712","703","728","692","616","692","142"
"West-Vlaanderen","784","866","830","712","703","728","692","616","692","142"
"GAVERS","5","11","11","14","14","18","17","14","13","3"
"Deerlijk","1","3","3","1","3","2","9","2","4","1"
"Harelbeke","4","8","8","13","11","16","8","12","9","2"
"GRENSLEIE","49","63","68","52","53","57","48","40","41","7"
"Ledegem","1","2","1","1","0","3","1","2","1","0"
"Menen","42","44","44","33","39","35","32","27","31","5"
"Wevelgem","6","17","23","18","14","19","15","11","9","2"
"Geen PZ toegekend - Noordzee","0","0","0","0","0","0","0","0","0","0"
"Noordzee","0","0","0","0","0","0","0","0","0","0"
"MIDOW","8","23","13","8","13","21","16","10","6","6"
"Dentergem","0","3","2","0","1","2","1","2","0","0"
"Ingelmunster","3","15","6","3","4","7","7","2","2","2"
"Meulebeke","1","1","1","4","3","5","2","3","1","2"
"Oostrozebeke","2","2","1","1","0","4","3","1","2","2"
"Wielsbeke","2","2","3","0","5","3","3","2","1","0"
"MIRA","20","28","39","22","24","38","29","27","34","7"
"Anzegem","1","4","4","2","5","7","4","2","3","0"
"Avelgem","3","3","3","4","2","0","6","5","2","0"
"Spiere-Helkijn","1","1","1","1","2","1","2","1","0","0"
"Waregem","12","15","21","13","15","25","13","13","22","4"
"Zwevegem","3","5","10","2","0","5","4","6","7","3"
"POLDER","12","12","4","5","9","12","9","11","14","4"
"Diksmuide","7","5","1","2","5","7","4","6","10","2"
"Houthulst","1","1","0","1","3","3","1","0","0","0"
"Koekelare","0","3","0","1","0","1","3","2","0","1"
"Kortemark","4","3","3","1","1","1","1","3","4","1"
"POLITIEZONE ARRO IEPER","39","46","58","45","48","41","59","34","42","12"
"Heuvelland","0","2","1","4","5","2","6","1","3","1"
"Ieper","20","20","23","20","17","17","25","18","14","3"
"Langemark-Poelkapelle","3","3","4","5","0","2","1","2","3","1"
"Mesen","0","0","0","1","1","0","1","0","1","0"
"Moorslede","1","1","4","4","6","2","1","0","2","1"
"Poperinge","2","7","11","4","6","3","9","3","6","4"
"Staden","1","2","2","1","1","6","3","2","3","0"
"Vleteren","0","0","0","0","0","0","2","0","0","1"
"Wervik","10","11","11","4","12","4","10","7","6","1"
"Zonnebeke","2","0","2","2","0","5","1","1","4","0"
"POLITIEZONE HET HOUTSCHE","4","12","15","9","11","16","10","7","14","3"
"Beernem","4","2","8","4","4","3","5","0","4","1"
"Oostkamp","0","9","5","2","7","5","3","5","5","1"
"Zedelgem","0","1","2","3","0","8","2","2","5","1"
"POLITIEZONE KOUTER","17","11","25","20","11","12","14","20","39","4"
"Gistel","2","3","6","12","3","2","5","4","7","0"
"Ichtegem","2","2","7","1","1","1","0","0","4","0"
"Jabbeke","5","0","4","0","4","2","1","4","6","0"
"Oudenburg","1","1","0","0","1","3","1","3","7","0"
"Torhout","7","5","8","7","2","4","7","9","15","4"
"POLITIEZONE MIDDELKERKE","25","18","30","17","18","18","14","11","18","1"
"Middelkerke","25","18","30","17","18","18","14","11","18","1"
"POLITIEZONE RIHO","59","61","80","72","64","81","78","56","53","14"
"Hooglede","1","0","5","1","3","2","5","3","0","3"
"Izegem","10","17","19","11","22","16","19","11","7","0"
"Roeselare","48","44","56","60","39","63","54","42","46","11"
"POLITIEZONE SPOORKIN","4","8","6","2","6","5","6","8","12","2"
"Alveringem","1","1","1","0","0","2","0","0","1","0"
"Lo-Reninge","0","0","0","0","0","1","1","4","0","1"
"Veurne","3","7","5","2","6","2","5","4","11","1"
"PZ BLANKENBERGE/ZUIENKERKE","33","29","25","33","29","21","24","17","27","4"
"Blankenberge","33","29","25","33","28","21","23","16","25","4"
"Zuienkerke","0","0","0","0","1","0","1","1","2","0"
"PZ BREDENE/DE HAAN","17","9","8","17","18","15","11","16","25","2"
"Bredene","5","4","5","8","9","8","10","12","13","1"
"De Haan","12","5","3","9","9","7","1","4","12","1"
"PZ BRUGGE","87","107","109","105","99","101","91","74","93","25"
"Brugge","87","107","109","105","99","101","91","74","93","25"
"PZ DAMME/KNOKKE-HEIST","38","34","31","35","24","27","39","35","33","5"
"Damme","2","1","0","3","1","2","3","0","5","1"
"Knokke-Heist","36","33","31","32","23","25","36","35","28","4"
"PZ OOSTENDE","174","178","148","94","105","105","106","122","86","12"
"Oostende","174","178","148","94","105","105","106","122","86","12"
"REGIO TIELT","14","18","20","24","26","23","20","17","21","6"
"Ardooie","1","3","3","2","6","0","0","1","2","1"
"Lichtervelde","8","0","3","1","2","3","1","2","1","0"
"Pittem","0","1","1","5","1","2","4","0","0","1"
"Ruiselede","0","2","0","2","1","2","3","1","6","0"
"Tielt","5","12","11","13","10","13","10","10","6","1"
"Wingene","0","0","2","1","6","3","2","3","6","3"
"VLAS","122","174","109","111","102","83","76","73","99","18"
