"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","3.698","3.056","2.549","2.182","1.976","1.094","907","773","740","148"
"Brussels Hoofdstedelijk Gewest","1.671","1.384","1.027","776","718","467","354","311","299","68"
"Brussel-Hoofdstad","1.671","1.384","1.027","776","718","467","354","311","299","68"
"Brussel (Brussel-Hoofdstad)","1.671","1.384","1.027","776","718","467","354","311","299","68"
"BRUSSEL HOOFDSTAD ELSENE","604","533","364","287","281","157","126","126","129","21"
"Brussel","483","453","314","237","234","143","109","111","119","19"
"Elsene","121","80","50","50","47","14","17","15","10","2"
"BRUSSEL-WEST","242","260","224","130","98","87","66","51","41","12"
"Ganshoren","11","21","27","18","7","11","3","2","4","0"
"Jette","34","49","45","26","27","21","21","17","11","4"
"Koekelberg","37","44","29","17","7","7","2","6","6","1"
"Sint-Agatha-Berchem","11","20","17","6","6","10","8","6","5","3"
"Sint-Jans-Molenbeek","149","126","106","63","51","38","32","20","15","4"
"Geen PZ toegekend - Eurostar","0","0","1","0","0","0","0","0","0","0"
"PZ POLBRUNO","126","100","89","68","48","46","37","24","37","7"
"Evere","28","9","10","15","4","11","9","4","5","0"
"Schaarbeek","75","66","51","38","37","27","22","16","30","6"
"Sint-Joost-ten-Node","23","25","28","15","7","8","6","4","2","1"
"UKKEL/W-B/OUDERGEM","99","72","51","43","52","30","30","14","22","7"
"Oudergem","26","17","14","6","8","4","3","3","7","0"
"Ukkel","56","48","32","32","42","18","21","8","12","6"
"Watermaal-Bosvoorde","17","7","5","5","2","8","6","3","3","1"
"ZONE MONTGOMERY","106","99","61","54","46","28","13","18","10","4"
"Etterbeek","41","32","27","21","22","12","4","4","3","0"
"Sint-Lambrechts-Woluwe","56","44","22","23","10","10","5","11","6","2"
"Sint-Pieters-Woluwe","9","23","12","10","14","6","4","3","1","2"
"ZONE ZUID","494","320","237","194","193","119","82","78","60","17"
"Anderlecht","272","163","99","86","86","81","53","37","27","7"
"Sint-Gillis","197","116","96","68","51","21","19","32","23","7"
"Vorst","25","41","42","40","56","17","10","9","10","3"
"Vlaams Gewest","852","927","854","735","580","307","243","215","196","29"
"Antwerpen","523","499","472","392","266","139","138","90","90","12"
"Antwerpen","523","499","472","392","266","139","138","90","90","12"
"ANTWERPEN","426","407","385","314","221","111","108","80","63","9"
"Antwerpen","426","407","385","314","221","111","108","80","63","9"
"BALEN - DESSEL - MOL","5","0","4","0","0","0","2","0","2","0"
"Balen","0","0","0","0","0","0","0","0","0","0"
"Dessel","1","0","0","0","0","0","0","0","0","0"
"Mol","4","0","4","0","0","0","2","0","2","0"
"BERLAAR - NIJLEN","0","0","0","0","0","0","0","0","0","0"
"Berlaar","0","0","0","0","0","0","0","0","0","0"
"Nijlen","0","0","0","0","0","0","0","0","0","0"
"BODUKAP","1","2","0","1","1","2","0","0","1","0"
"Bonheiden","0","1","0","0","0","0","0","0","0","0"
"Duffel","1","1","0","0","1","1","0","0","1","0"
"Putte","0","0","0","0","0","1","0","0","0","0"
"Sint-Katelijne-Waver","0","0","0","1","0","0","0","0","0","0"
"GRENS","2","2","0","1","1","0","0","0","0","0"
"Essen","1","1","0","0","0","0","0","0","0","0"
"Kalmthout","1","1","0","1","0","0","0","0","0","0"
"Wuustwezel","0","0","0","0","1","0","0","0","0","0"
"HEKLA","4","6","7","6","4","0","0","2","0","0"
"Aartselaar","0","3","0","0","1","0","0","0","0","0"
"Edegem","2","1","3","4","3","0","0","0","0","0"
"Hove","0","0","0","0","0","0","0","0","0","0"
"Kontich","2","2","4","2","0","0","0","2","0","0"
"Lint","0","0","0","0","0","0","0","0","0","0"
"MINOS","6","6","6","5","3","1","7","0","3","0"
"Boechout","0","1","0","0","1","0","0","0","2","0"
"Borsbeek","0","0","1","0","0","0","1","0","0","0"
"Mortsel","4","4","4","3","1","1","4","0","1","0"
"Wijnegem","2","1","1","0","1","0","2","0","0","0"
"Wommelgem","0","0","0","2","0","0","0","0","0","0"
"POLITIE REGIO TURNHOUT","9","18","11","5","7","2","1","0","1","0"
"Baarle-Hertog","0","0","1","0","0","0","0","0","0","0"
"Beerse","0","0","1","0","1","0","0","0","0","0"
"Kasterlee","0","2","1","1","0","0","0","0","0","0"
"Lille","0","0","0","0","0","0","0","0","0","0"
"Oud-Turnhout","0","1","0","0","0","0","0","0","1","0"
"Turnhout","9","15","8","4","6","1","1","0","0","0"
"Vosselaar","0","0","0","0","0","1","0","0","0","0"
"POLITIE ZARA","0","0","1","1","0","1","0","1","0","0"
"Ranst","0","0","1","1","0","0","0","1","0","0"
