"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","12.032","55.335","50.127","44.817","42.483","38.998","35.712","34.574","33.918","8.104"
"Brussels Hoofdstedelijk Gewest","1.767","7.507","6.914","6.028","5.571","5.184","4.744","4.645","4.539","1.099"
"Brussel-Hoofdstad","1.767","7.507","6.914","6.028","5.571","5.184","4.744","4.645","4.539","1.099"
"Brussel (Brussel-Hoofdstad)","1.767","7.507","6.914","6.028","5.571","5.184","4.744","4.645","4.539","1.099"
"BRUSSEL HOOFDSTAD ELSENE","765","2.574","2.064","1.831","1.712","1.508","1.426","1.440","1.345","388"
"Brussel","722","1.735","1.420","1.290","1.271","1.096","1.035","1.080","970","269"
"Elsene","43","839","644","541","441","412","391","360","375","119"
"BRUSSEL-WEST","246","1.116","1.122","1.031","924","783","770","718","822","196"
"Ganshoren","14","130","126","113","112","100","90","82","90","16"
"Jette","40","213","213","215","222","185","176","145","200","48"
"Koekelberg","32","119","106","128","102","76","88","70","64","13"
"Sint-Agatha-Berchem","44","130","118","110","119","117","95","87","110","26"
"Sint-Jans-Molenbeek","116","524","559","465","369","305","321","334","358","93"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","87","979","923","797","680","706","608","632","632","182"
"Evere","66","193","177","175","187","157","139","130","164","39"
"Schaarbeek","13","618","606","478","390","442","367","388","357","100"
"Sint-Joost-ten-Node","8","168","140","144","103","107","102","114","111","43"
"UKKEL/W-B/OUDERGEM","201","781","792","668","592","557","499","434","401","84"
"Oudergem","52","197","203","156","133","181","113","117","117","18"
"Ukkel","144","428","452","369","346","285","291","243","217","53"
"Watermaal-Bosvoorde","5","156","137","143","113","91","95","74","67","13"
"ZONE MONTGOMERY","140","730","746","623","565","562","544","515","509","104"
"Etterbeek","11","249","271","214","202","185","183","156","165","30"
"Sint-Lambrechts-Woluwe","47","314","301","258","219","224","226","234","215","35"
"Sint-Pieters-Woluwe","82","167","174","151","144","153","135","125","129","39"
"ZONE ZUID","328","1.327","1.267","1.078","1.098","1.068","897","906","830","145"
"Anderlecht","159","706","661","593","588","597","516","497","447","82"
"Sint-Gillis","110","340","328","233","268","240","215","245","226","36"
"Vorst","59","281","278","252","242","231","166","164","157","27"
"Vlaams Gewest","5.282","27.198","24.598","21.647","20.010","18.704","17.293","16.879","16.366","3.968"
"Antwerpen","1.474","8.302","7.409","6.325","5.688","5.118","4.825","4.747","4.836","1.236"
"Antwerpen","1.474","8.302","7.409","6.325","5.688","5.118","4.825","4.747","4.836","1.236"
"ANTWERPEN","239","3.541","3.277","2.897","2.697","2.438","2.246","2.235","2.170","588"
"Antwerpen","239","3.541","3.277","2.897","2.697","2.438","2.246","2.235","2.170","588"
"BALEN - DESSEL - MOL","55","197","163","121","118","108","60","68","94","14"
"Balen","13","58","36","16","20","31","12","22","25","5"
"Dessel","2","12","13","10","8","10","14","8","4","0"
"Mol","40","127","114","95","90","67","34","38","65","9"
"BERLAAR - NIJLEN","10","70","67","52","43","36","47","37","39","11"
"Berlaar","1","17","19","21","15","10","10","18","15","2"
"Nijlen","9","53","48","31","28","26","37","19","24","9"
"BODUKAP","20","174","121","141","127","105","109","94","121","13"
"Bonheiden","5","24","20","14","12","17","19","7","16","2"
"Duffel","6","71","39","43","39","28","47","35","38","4"
"Putte","2","33","19","24","22","18","16","16","21","4"
"Sint-Katelijne-Waver","7","46","43","60","54","42","27","36","46","3"
"GRENS","53","159","146","114","113","114","88","50","31","16"
"Essen","21","70","51","46","32","40","30","29","19","10"
"Kalmthout","14","52","62","46","46","43","23","8","4","4"
"Wuustwezel","18","37","33","22","35","31","35","13","8","2"
"HEKLA","93","279","263","249","191","146","143","157","140","25"
"Aartselaar","9","39","40","38","39","37","35","24","31","10"
"Edegem","26","89","78","80","35","36","36","56","38","6"
"Hove","13","27","35","37","25","10","7","16","20","3"
"Kontich","38","96","74","73","70","41","51","51","43","3"
"Lint","7","28","36","21","22","22","14","10","8","3"
"MINOS","105","282","320","274","246","200","218","215","224","55"
"Boechout","15","48","27","26","29","27","36","30","35","2"
"Borsbeek","4","39","64","50","48","36","25","33","32","7"
"Mortsel","50","92","118","113","90","74","84","94","91","30"
"Wijnegem","20","55","59","37","32","31","33","30","31","6"
"Wommelgem","16","48","52","48","47","32","40","28","35","10"
"POLITIE REGIO TURNHOUT","118","531","395","319","308","300","242","315","275","48"
"Baarle-Hertog","3","5","3","2","3","6","2","6","11","1"
"Beerse","6","44","31","26","30","29","20","28","23","2"
"Kasterlee","11","55","50","26","30","19","24","18","32","7"
"Lille","4","48","34","26","33","24","18","28","18","3"
"Oud-Turnhout","5","23","25","18","25","15","23","17","16","4"
"Turnhout","83","301","222","196","168","178","139","205","166","27"
"Vosselaar","6","55","30","25","19","29","16","13","9","4"
"POLITIE ZARA","17","91","70","97","66","65","60","47","49","18"
"Ranst","12","70","48","55","45","42","33","30","29","17"
