"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","15.475","23.845","22.549","22.644","21.817","21.225","21.460","21.180","22.363","5.686"
"Brussels Hoofdstedelijk Gewest","2.357","3.773","3.329","3.066","3.068","2.953","2.472","2.279","2.505","604"
"Brussel-Hoofdstad","2.357","3.773","3.329","3.066","3.068","2.953","2.472","2.279","2.505","604"
"Brussel (Brussel-Hoofdstad)","2.357","3.773","3.329","3.066","3.068","2.953","2.472","2.279","2.505","604"
"BRUSSEL HOOFDSTAD ELSENE","1.116","1.707","1.498","1.348","1.441","1.308","1.130","1.003","1.127","263"
"Brussel","870","1.277","1.156","1.066","1.063","995","835","729","844","213"
"Elsene","246","430","342","282","378","313","295","274","283","50"
"BRUSSEL-WEST","182","419","331","320","329","317","235","256","277","76"
"Ganshoren","6","19","7","12","11","15","14","7","5","1"
"Jette","52","99","122","97","114","93","76","79","100","27"
"Koekelberg","7","15","12","14","7","8","2","4","6","2"
"Sint-Agatha-Berchem","45","131","79","90","90","83","73","58","73","19"
"Sint-Jans-Molenbeek","72","155","111","107","107","118","70","108","93","27"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","157","251","180","163","136","192","156","146","198","57"
"Evere","52","76","68","65","63","97","64","61","104","28"
"Schaarbeek","83","125","86","73","59","85","79","77","83","24"
"Sint-Joost-ten-Node","22","50","26","25","14","10","13","8","11","5"
"UKKEL/W-B/OUDERGEM","252","332","319","340","273","287","221","215","236","52"
"Oudergem","89","136","129","122","90","92","73","86","81","18"
"Ukkel","153","185","185","198","166","179","138","120","139","32"
"Watermaal-Bosvoorde","10","11","5","20","17","16","10","9","16","2"
"ZONE MONTGOMERY","211","353","312","254","230","205","187","187","176","39"
"Etterbeek","45","151","138","113","90","74","66","66","56","5"
"Sint-Lambrechts-Woluwe","152","160","143","116","116","109","97","92","101","27"
"Sint-Pieters-Woluwe","14","42","31","25","24","22","24","29","19","7"
"ZONE ZUID","439","711","689","641","659","644","543","472","491","117"
"Anderlecht","287","483","435","385","445","427","396","300","315","85"
"Sint-Gillis","73","174","192","212","165","181","112","136","139","25"
"Vorst","79","54","62","44","49","36","35","36","37","7"
"Vlaams Gewest","8.424","13.870","13.395","13.596","12.804","12.361","12.658","12.753","13.397","3.450"
"Antwerpen","3.276","4.893","4.863","5.104","4.570","4.417","4.622","4.408","4.455","1.173"
"Antwerpen","3.276","4.893","4.863","5.104","4.570","4.417","4.622","4.408","4.455","1.173"
"ANTWERPEN","1.918","2.938","2.879","3.015","2.708","2.397","2.605","2.339","2.386","714"
"Antwerpen","1.918","2.938","2.879","3.015","2.708","2.397","2.605","2.339","2.386","714"
"BALEN - DESSEL - MOL","65","96","69","90","81","85","83","89","68","16"
"Balen","7","9","2","6","10","9","5","11","0","1"
"Dessel","0","1","0","0","3","0","0","0","2","2"
"Mol","58","86","67","84","68","76","78","78","66","13"
"BERLAAR - NIJLEN","9","20","12","16","17","10","13","14","13","0"
"Berlaar","5","11","6","10","6","4","5","10","8","0"
"Nijlen","4","9","6","6","11","6","8","4","5","0"
"BODUKAP","16","39","23","45","26","71","76","53","46","16"
"Bonheiden","0","3","2","0","1","3","5","2","6","0"
"Duffel","5","17","7","19","9","15","16","14","7","6"
"Putte","4","5","4","14","9","10","11","8","5","5"
"Sint-Katelijne-Waver","7","14","10","12","7","43","44","29","28","5"
"GRENS","17","27","34","48","44","68","72","91","51","19"
"Essen","9","6","18","19","11","29","22","38","23","3"
"Kalmthout","4","16","11","22","22","30","34","33","19","10"
"Wuustwezel","4","5","5","7","11","9","16","20","9","6"
