"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","40.801","12.858","11.784","10.889","10.610","10.156","8.958","8.581","7.674","1.875"
"Brussels Hoofdstedelijk Gewest","6.763","2.542","2.088","1.888","1.928","1.733","1.624","1.617","1.393","316"
"Brussel-Hoofdstad","6.763","2.542","2.088","1.888","1.928","1.733","1.624","1.617","1.393","316"
"Brussel (Brussel-Hoofdstad)","6.763","2.542","2.088","1.888","1.928","1.733","1.624","1.617","1.393","316"
"BRUSSEL HOOFDSTAD ELSENE","2.099","762","653","558","514","515","441","482","394","89"
"Brussel","1.516","549","468","421","371","376","312","360","297","64"
"Elsene","583","213","185","137","143","139","129","122","97","25"
"BRUSSEL-WEST","1.218","496","300","337","317","286","314","253","219","64"
"Ganshoren","104","53","29","46","37","33","32","28","28","4"
"Jette","281","93","66","69","72","57","67","47","56","12"
"Koekelberg","130","42","22","26","40","26","25","15","21","10"
"Sint-Agatha-Berchem","108","49","25","28","42","29","35","27","24","8"
"Sint-Jans-Molenbeek","595","259","158","168","126","141","155","136","90","30"
"Geen PZ toegekend - Eurostar","0","0","1","0","0","0","0","0","0","0"
"PZ POLBRUNO","923","339","319","284","291","245","237","216","202","30"
"Evere","131","62","50","50","63","53","46","47","31","6"
"Schaarbeek","635","231","221","198","199","169","163","145","154","19"
"Sint-Joost-ten-Node","157","46","48","36","29","23","28","24","17","5"
"UKKEL/W-B/OUDERGEM","634","214","193","169","161","166","137","152","139","38"
"Oudergem","131","34","39","29","31","24","21","27","28","14"
"Ukkel","418","137","121","116","95","116","96","103","83","19"
"Watermaal-Bosvoorde","85","43","33","24","35","26","20","22","28","5"
"ZONE MONTGOMERY","546","148","136","127","155","133","121","143","126","23"
"Etterbeek","218","52","68","61","62","52","37","43","34","9"
"Sint-Lambrechts-Woluwe","208","68","53","44","61","51","58","56","58","10"
"Sint-Pieters-Woluwe","120","28","15","22","32","30","26","44","34","4"
"ZONE ZUID","1.343","583","486","413","490","388","374","371","313","72"
"Anderlecht","702","358","266","248","297","224","238","226","197","49"
"Sint-Gillis","368","116","121","93","77","91","73","73","65","15"
"Vorst","273","109","99","72","116","73","63","72","51","8"
"Vlaams Gewest","11.562","4.249","3.761","3.521","3.422","3.255","2.844","2.378","2.107","524"
"Antwerpen","4.402","1.592","1.485","1.362","1.207","1.060","993","802","604","160"
"Antwerpen","4.402","1.592","1.485","1.362","1.207","1.060","993","802","604","160"
"ANTWERPEN","2.299","940","885","782","664","580","518","413","282","84"
"Antwerpen","2.299","940","885","782","664","580","518","413","282","84"
"BALEN - DESSEL - MOL","110","24","32","15","26","15","17","21","13","5"
"Balen","25","5","10","6","8","5","7","6","2","1"
"Dessel","9","6","4","5","2","3","2","4","3","1"
"Mol","76","13","18","4","16","7","8","11","8","3"
"BERLAAR - NIJLEN","24","12","9","6","4","9","6","8","4","0"
"Berlaar","10","3","4","2","3","7","3","4","1","0"
"Nijlen","14","9","5","4","1","2","3","4","3","0"
"BODUKAP","78","25","17","16","10","12","10","13","11","2"
"Bonheiden","20","5","2","4","5","5","2","2","0","0"
"Duffel","26","5","8","7","2","2","3","3","5","2"
"Putte","17","3","3","1","0","3","0","4","1","0"
"Sint-Katelijne-Waver","15","12","4","4","3","2","5","4","5","0"
"GRENS","87","27","41","35","32","16","18","22","14","1"
"Essen","22","6","25","15","12","4","10","10","7","0"
"Kalmthout","35","9","9","11","6","2","5","6","2","0"
"Wuustwezel","30","12","7","9","14","10","3","6","5","1"
"HEKLA","150","39","38","26","38","33","37","23","24","7"
"Aartselaar","40","16","7","8","10","7","9","4","4","2"
"Edegem","38","5","12","5","10","15","9","8","5","4"
"Hove","15","5","3","0","1","4","2","2","5","0"
"Kontich","51","12","14","11","14","3","15","7","10","1"
"Lint","6","1","2","2","3","4","2","2","0","0"
"MINOS","168","60","42","56","48","37","29","26","17","8"
"Boechout","11","3","2","3","1","1","5","1","3","3"
"Borsbeek","25","7","6","7","5","6","4","5","2","2"
"Mortsel","45","21","17","12","19","10","10","10","7","1"
"Wijnegem","38","13","5","18","13","9","2","6","2","2"
"Wommelgem","49","16","12","16","10","11","8","4","3","0"
"POLITIE REGIO TURNHOUT","160","70","52","56","32","28","44","36","25","12"
"Baarle-Hertog","2","4","2","3","2","1","1","3","1","0"
"Beerse","16","13","6","4","1","0","8","6","3","1"
"Kasterlee","19","9","7","8","1","5","5","6","2","2"
"Lille","42","10","5","8","8","6","12","3","4","1"
"Oud-Turnhout","5","4","3","3","2","5","3","5","6","1"
"Turnhout","66","26","27","29","16","11","11","12","9","6"
"Vosselaar","10","4","2","1","2","0","4","1","0","1"
"POLITIE ZARA","67","14","19","24","17","17","8","10","6","2"
"Ranst","37","10","11","17","9","9","4","4","2","2"
"Zandhoven","30","4","8","7","8","8","4","6","4","0"
"POLITIEZONE HEIST","28","13","11","10","9","13","6","10","5","3"
"Heist-op-den-Berg","28","13","11","10","9","13","6","10","5","3"
"POLITIEZONE KEMPEN N-O","57","39","30","27","20","26","22","18","12","7"
"Arendonk","21","10","15","9","4","6","8","5","4","2"
"Ravels","13","23","11","14","10","10","11","11","7","5"
"Retie","23","6","4","4","6","10","3","2","1","0"
"POLITIEZONE NOORD","64","18","12","17","20","15","15","14","9","0"
"Kapellen","46","11","8","16","14","9","7","10","2","0"
"Stabroek","18","7","4","1","6","6","8","4","7","0"
"POLITIEZONE NOORDERKEMPEN","57","31","29","26","31","28","25","23","21","0"
"Hoogstraten","39","15","19","19","22","19","17","16","12","0"
"Merksplas","8","7","3","5","2","4","2","1","4","0"
"Rijkevorsel","10","9","7","2","7","5","6","6","5","0"
"POLITIEZONE RUPEL","136","31","41","37","26","29","31","19","24","5"
"Boom","52","14","16","10","8","9","11","7","7","1"
"Hemiksem","16","4","6","7","5","6","6","5","2","1"
"Niel","20","4","0","3","3","6","2","2","4","0"
"Rumst","33","9","17","13","8","4","8","4","8","1"
"Schelle","15","0","2","4","2","4","4","1","3","2"
"PZ BRASSCHAAT","56","11","23","24","14","26","19","9","12","2"
"Brasschaat","56","11","23","24","14","26","19","9","12","2"
"PZ GEEL/LAAKDAL/MEERHOUT","115","27","35","30","26","21","27","16","12","3"
"Geel","74","17","17","18","17","16","15","4","5","3"
"Laakdal","27","6","13","10","6","4","7","8","4","0"
"Meerhout","14","4","5","2","3","1","5","4","3","0"
"PZ KLEIN-BRABANT","44","15","5","14","17","11","19","12","11","2"
"Bornem","18","4","3","5","4","4","7","6","4","1"
"Puurs-Sint-Amands","26","11","2","9","13","7","12","6","7","1"
"PZ LIER","47","11","13","15","10","8","10","8","12","1"
"Lier","47","11","13","15","10","8","10","8","12","1"
"PZ MEWI","249","67","65","59","51","45","42","31","35","7"
"Mechelen","198","49","49","43","36","32","33","25","28","5"
"Willebroek","51","18","16","16","15","13","9","6","7","2"
"PZ SCHOTEN","43","29","16","17","21","13","12","9","6","0"
"Schoten","43","29","16","17","21","13","12","9","6","0"
"PZ ZWIJNDRECHT","20","16","9","5","7","8","8","9","8","1"
