"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","402","5.126","4.325","4.099","4.345","4.030","3.339","2.966","2.277","544"
"Brussels Hoofdstedelijk Gewest","12","940","1.012","909","981","1.024","795","587","475","117"
"Brussel-Hoofdstad","12","940","1.012","909","981","1.024","795","587","475","117"
"Brussel (Brussel-Hoofdstad)","12","940","1.012","909","981","1.024","795","587","475","117"
"BRUSSEL HOOFDSTAD ELSENE","7","412","480","372","431","409","360","285","240","68"
"Brussel","6","317","256","237","293","249","188","178","158","56"
"Elsene","1","95","224","135","138","160","172","107","82","12"
"BRUSSEL-WEST","0","103","71","62","75","114","67","48","41","14"
"Ganshoren","0","15","7","2","4","8","5","0","5","0"
"Jette","0","35","22","18","23","39","14","12","10","2"
"Koekelberg","0","14","11","8","11","11","12","12","4","2"
"Sint-Agatha-Berchem","0","8","8","12","9","20","11","5","5","4"
"Sint-Jans-Molenbeek","0","31","23","22","28","36","25","19","17","6"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","0","73","101","74","86","87","42","36","38","11"
"Evere","0","5","21","11","10","22","11","5","7","2"
"Schaarbeek","0","50","68","48","68","55","25","24","24","3"
"Sint-Joost-ten-Node","0","18","12","15","8","10","6","7","7","6"
"UKKEL/W-B/OUDERGEM","0","140","129","147","104","141","109","57","31","4"
"Oudergem","0","27","36","40","26","19","35","16","4","1"
"Ukkel","0","84","71","78","54","107","63","33","20","2"
"Watermaal-Bosvoorde","0","29","22","29","24","15","11","8","7","1"
"ZONE MONTGOMERY","3","77","107","113","165","117","87","57","33","6"
"Etterbeek","1","46","66","70","122","71","46","29","23","4"
"Sint-Lambrechts-Woluwe","0","23","31","21","36","38","27","18","6","1"
"Sint-Pieters-Woluwe","2","8","10","22","7","8","14","10","4","1"
"ZONE ZUID","2","135","124","141","120","156","130","104","92","14"
"Anderlecht","1","29","31","29","28","43","35","44","32","6"
"Sint-Gillis","0","59","61","63","52","60","53","34","38","4"
"Vorst","1","47","32","49","40","53","42","26","22","4"
"Vlaams Gewest","203","2.230","1.919","1.863","1.861","1.594","1.407","1.558","1.052","257"
"Antwerpen","38","742","619","576","466","478","354","396","298","86"
"Antwerpen","38","742","619","576","466","478","354","396","298","86"
"ANTWERPEN","5","292","297","300","261","227","188","259","137","66"
"Antwerpen","5","292","297","300","261","227","188","259","137","66"
"BALEN - DESSEL - MOL","1","36","16","1","9","5","4","6","3","1"
"Balen","0","3","1","0","4","0","1","2","1","0"
"Dessel","0","0","2","0","0","0","0","0","1","0"
"Mol","1","33","13","1","5","5","3","4","1","1"
"BERLAAR - NIJLEN","2","3","4","2","3","5","8","1","5","0"
"Berlaar","0","0","2","0","0","3","7","0","1","0"
"Nijlen","2","3","2","2","3","2","1","1","4","0"
"BODUKAP","0","7","4","5","2","0","3","5","4","0"
"Bonheiden","0","4","0","1","0","0","0","0","0","0"
"Duffel","0","3","2","1","2","0","2","3","3","0"
"Putte","0","0","0","1","0","0","0","1","0","0"
"Sint-Katelijne-Waver","0","0","2","2","0","0","1","1","1","0"
"GRENS","5","17","18","4","14","11","5","0","2","0"
"Essen","2","6","7","1","2","7","3","0","2","0"
"Kalmthout","2","3","7","1","9","1","1","0","0","0"
"Wuustwezel","1","8","4","2","3","3","1","0","0","0"
"HEKLA","0","16","16","49","5","6","8","4","7","0"
"Aartselaar","0","1","1","30","1","3","3","2","2","0"
"Edegem","0","4","6","8","1","0","3","0","2","0"
"Hove","0","4","5","0","1","0","1","0","1","0"
"Kontich","0","7","3","11","2","2","1","1","2","0"
"Lint","0","0","1","0","0","1","0","1","0","0"
"MINOS","5","17","40","12","9","6","7","15","4","0"
"Boechout","0","2","5","4","0","1","1","1","0","0"
"Borsbeek","0","3","5","1","4","0","0","2","1","0"
"Mortsel","4","12","22","2","5","4","5","5","0","0"
"Wijnegem","1","0","4","2","0","0","1","3","1","0"
"Wommelgem","0","0","4","3","0","1","0","4","2","0"
"POLITIE REGIO TURNHOUT","1","42","52","62","19","51","22","27","25","3"
"Baarle-Hertog","0","1","0","0","2","1","0","1","1","0"
"Beerse","0","6","2","1","1","0","3","8","1","0"
"Kasterlee","0","3","3","2","1","0","1","3","7","0"
"Lille","0","3","1","3","0","2","0","1","0","1"
"Oud-Turnhout","0","4","2","3","0","8","6","1","1","0"
"Turnhout","1","25","44","53","12","37","11","13","10","2"
"Vosselaar","0","0","0","0","3","3","1","0","5","0"
"POLITIE ZARA","0","1","0","3","0","1","2","3","1","0"
"Ranst","0","0","0","1","0","1","1","3","0","0"
"Zandhoven","0","1","0","2","0","0","1","0","1","0"
"POLITIEZONE HEIST","1","5","11","6","2","10","5","1","3","0"
"Heist-op-den-Berg","1","5","11","6","2","10","5","1","3","0"
"POLITIEZONE KEMPEN N-O","1","8","6","4","2","2","4","4","3","0"
"Arendonk","1","2","6","0","1","0","0","3","0","0"
"Ravels","0","1","0","1","0","2","1","0","0","0"
"Retie","0","5","0","3","1","0","3","1","3","0"
"POLITIEZONE NOORD","1","7","8","4","0","8","2","8","7","3"
"Kapellen","1","3","3","2","0","3","1","4","4","1"
"Stabroek","0","4","5","2","0","5","1","4","3","2"
"POLITIEZONE NOORDERKEMPEN","1","4","3","3","1","2","2","1","36","0"
"Hoogstraten","1","3","3","2","0","1","2","0","35","0"
"Merksplas","0","0","0","1","0","0","0","0","1","0"
"Rijkevorsel","0","1","0","0","1","1","0","1","0","0"
"POLITIEZONE RUPEL","2","28","41","24","19","24","19","5","8","0"
"Boom","0","8","11","10","5","3","8","2","4","0"
"Hemiksem","1","7","11","4","0","5","2","0","1","0"
"Niel","1","3","8","2","4","12","5","3","1","0"
"Rumst","0","4","6","0","2","1","0","0","0","0"
"Schelle","0","6","5","8","8","3","4","0","2","0"
"PZ BRASSCHAAT","1","100","7","5","12","27","2","2","9","2"
"Brasschaat","1","100","7","5","12","27","2","2","9","2"
"PZ GEEL/LAAKDAL/MEERHOUT","1","10","3","2","0","0","4","11","4","2"
"Geel","1","8","2","2","0","0","4","9","1","0"
"Laakdal","0","2","0","0","0","0","0","0","2","2"
"Meerhout","0","0","1","0","0","0","0","2","1","0"
"PZ KLEIN-BRABANT","2","21","16","15","5","4","5","6","3","1"
"Bornem","2","10","10","11","3","2","5","2","1","0"
"Puurs-Sint-Amands","0","11","6","4","2","2","0","4","2","1"
"PZ LIER","0","16","14","5","7","6","22","2","7","2"
"Lier","0","16","14","5","7","6","22","2","7","2"
"PZ MEWI","5","67","36","40","77","42","29","15","9","6"
"Mechelen","5","62","33","28","61","24","28","9","6","2"
"Willebroek","0","5","3","12","16","18","1","6","3","4"
"PZ SCHOTEN","2","2","7","6","4","22","2","11","15","0"
"Schoten","2","2","7","6","4","22","2","11","15","0"
"PZ ZWIJNDRECHT","0","9","2","2","6","6","4","2","2","0"
"Zwijndrecht","0","9","2","2","6","6","4","2","2","0"
"VOORKEMPEN","0","12","4","22","8","12","6","5","3","0"
"Brecht","0","3","3","2","7","6","1","3","1","0"
"Malle","0","5","0","1","0","4","1","1","0","0"
"Schilde","0","2","1","5","0","0","1","0","1","0"
"Zoersel","0","2","0","14","1","2","3","1","1","0"
"ZONE NETELAND","2","14","7","0","0","0","1","1","0","0"
"Grobbendonk","0","2","1","0","0","0","1","0","0","0"
"Herentals","2","9","4","0","0","0","0","0","0","0"
"Herenthout","0","0","0","0","0","0","0","1","0","0"
"Olen","0","2","0","0","0","0","0","0","0","0"
"Vorselaar","0","1","2","0","0","0","0","0","0","0"
"ZUIDERKEMPEN","0","8","7","0","1","1","0","2","1","0"
"Herselt","0","1","1","0","1","0","0","0","1","0"
"Hulshout","0","5","3","0","0","0","0","0","0","0"
"Westerlo","0","2","3","0","0","1","0","2","0","0"
"Limburg","38","174","144","132","145","187","173","200","142","41"
"Limburg","38","174","144","132","145","187","173","200","142","41"
"KEMPENLAND","2","6","4","7","18","3","3","0","7","2"
"Hechtel-Eksel","0","1","0","3","5","1","1","0","3","0"
"Leopoldsburg","2","3","3","4","11","2","1","0","2","2"
"Peer","0","2","1","0","2","0","1","0","2","0"
"LIMBURG REGIO HOOFDSTAD","6","36","29","26","22","92","51","32","36","5"
"Diepenbeek","1","0","2","4","0","1","1","2","1","1"
"Halen","1","1","1","2","3","0","1","0","0","0"
"Hasselt","4","23","22","17","12","84","46","24","26","3"
"Herk-de-Stad","0","5","1","0","2","1","0","0","1","0"
"Lummen","0","1","2","1","1","4","1","5","6","0"
"Zonhoven","0","6","1","2","4","2","2","1","2","1"
"POLITIEZONE MAASLAND","0","9","4","11","6","8","2","59","8","0"
