"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","75.125","70.045","75.647","75.478","72.717","67.149","56.558","53.483","52.158","12.791"
"Brussels Hoofdstedelijk Gewest","7.830","10.673","10.178","9.261","9.227","8.726","7.370","7.483","7.363","1.745"
"Brussel-Hoofdstad","7.830","10.673","10.178","9.261","9.227","8.726","7.370","7.483","7.363","1.745"
"Brussel (Brussel-Hoofdstad)","7.830","10.673","10.178","9.261","9.227","8.726","7.370","7.483","7.363","1.745"
"BRUSSEL HOOFDSTAD ELSENE","1.734","2.990","2.774","2.426","2.278","2.057","1.816","1.795","1.923","446"
"Brussel","1.154","1.799","1.845","1.575","1.579","1.297","1.243","1.225","1.200","271"
"Elsene","580","1.191","929","851","699","760","573","570","723","175"
"BRUSSEL-WEST","1.093","1.592","1.742","1.750","1.615","1.681","1.333","1.212","1.116","350"
"Ganshoren","127","270","254","227","181","202","163","122","148","47"
"Jette","310","384","376","381","494","477","383","370","302","99"
"Koekelberg","101","157","176","198","133","152","106","102","87","30"
"Sint-Agatha-Berchem","139","184","220","333","212","246","186","171","198","64"
"Sint-Jans-Molenbeek","416","597","716","611","595","604","495","447","381","110"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","976","1.266","1.162","1.047","1.198","1.150","1.102","1.187","973","203"
"Evere","241","301","207","247","339","323","283","266","242","59"
"Schaarbeek","647","765","805","710","757","708","714","794","643","122"
"Sint-Joost-ten-Node","88","200","150","90","102","119","105","127","88","22"
"UKKEL/W-B/OUDERGEM","1.601","1.539","1.380","1.350","1.505","1.176","865","939","1.183","382"
"Oudergem","279","271","233","260","353","281","172","172","239","72"
"Ukkel","1.022","1.002","949","845","824","655","567","579","741","239"
"Watermaal-Bosvoorde","300","266","198","245","328","240","126","188","203","71"
"ZONE MONTGOMERY","1.265","1.163","977","994","1.105","1.016","878","919","888","212"
"Etterbeek","281","351","352","296","325","353","306","255","210","41"
"Sint-Lambrechts-Woluwe","513","471","330","395","452","343","329","380","374","98"
"Sint-Pieters-Woluwe","471","341","295","303","328","320","243","284","304","73"
"ZONE ZUID","1.161","2.123","2.143","1.694","1.526","1.646","1.376","1.431","1.280","152"
"Anderlecht","607","870","1.041","817","764","929","702","759","684","88"
"Sint-Gillis","193","734","636","434","386","375","390","334","274","31"
"Vorst","361","519","466","443","376","342","284","338","322","33"
"Vlaams Gewest","34.036","30.767","32.715","32.331","31.907","29.723","24.789","22.320","21.536","5.512"
"Antwerpen","13.793","10.941","11.423","9.994","9.667","9.385","7.399","7.421","6.981","1.715"
"Antwerpen","13.793","10.941","11.423","9.994","9.667","9.385","7.399","7.421","6.981","1.715"
"ANTWERPEN","4.579","4.560","4.686","3.767","3.911","3.805","2.725","2.870","2.795","664"
"Antwerpen","4.579","4.560","4.686","3.767","3.911","3.805","2.725","2.870","2.795","664"
"BALEN - DESSEL - MOL","207","177","256","197","265","187","206","137","118","34"
"Balen","74","53","96","57","107","52","82","42","35","7"
"Dessel","33","20","23","24","22","28","17","24","10","1"
"Mol","100","104","137","116","136","107","107","71","73","26"
