"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","8.351","6.965","6.568","5.713","6.349","5.717","5.547","5.304","4.640","986"
"Brussels Hoofdstedelijk Gewest","1.107","671","654","576","671","611","655","638","504","142"
"Brussel-Hoofdstad","1.107","671","654","576","671","611","655","638","504","142"
"Brussel (Brussel-Hoofdstad)","1.107","671","654","576","671","611","655","638","504","142"
"BRUSSEL HOOFDSTAD ELSENE","455","231","249","220","229","214","209","231","193","41"
"Brussel","347","167","189","178","186","158","169","190","161","37"
"Elsene","108","64","60","42","43","56","40","41","32","4"
"BRUSSEL-WEST","122","90","82","72","106","101","109","96","55","24"
"Ganshoren","20","12","10","6","10","5","18","9","11","2"
"Jette","27","25","34","27","38","29","23","26","13","2"
"Koekelberg","13","8","2","6","4","5","5","5","7","5"
"Sint-Agatha-Berchem","17","10","10","13","12","15","8","16","3","1"
"Sint-Jans-Molenbeek","45","35","26","20","42","47","55","40","21","14"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","140","81","60","47","67","75","88","70","74","17"
"Evere","23","15","8","12","15","24","24","16","16","4"
"Schaarbeek","101","45","31","22","45","40","46","37","48","8"
"Sint-Joost-ten-Node","16","21","21","13","7","11","18","17","10","5"
"UKKEL/W-B/OUDERGEM","95","69","65","67","61","44","73","65","64","41"
"Oudergem","23","16","13","4","10","4","12","10","15","22"
"Ukkel","58","41","45","55","45","37","54","51","37","10"
"Watermaal-Bosvoorde","14","12","7","8","6","3","7","4","12","9"
"ZONE MONTGOMERY","120","89","69","63","69","61","74","50","35","14"
"Etterbeek","48","34","30","23","20","22","23","14","13","5"
"Sint-Lambrechts-Woluwe","43","35","26","30","39","27","36","21","13","7"
"Sint-Pieters-Woluwe","29","20","13","10","10","12","15","15","9","2"
"ZONE ZUID","175","111","129","107","139","116","102","126","83","5"
"Anderlecht","120","55","72","63","93","75","63","79","45","3"
"Sint-Gillis","21","23","31","22","19","19","24","23","22","1"
"Vorst","34","33","26","22","27","22","15","24","16","1"
"Vlaams Gewest","2.974","3.562","3.541","3.050","3.312","2.921","2.677","2.703","2.307","480"
"Antwerpen","892","1.116","1.189","1.059","996","934","917","937","659","171"
"Antwerpen","892","1.116","1.189","1.059","996","934","917","937","659","171"
"ANTWERPEN","384","378","396","329","270","273","304","313","235","62"
"Antwerpen","384","378","396","329","270","273","304","313","235","62"
"BALEN - DESSEL - MOL","19","36","33","32","26","25","27","11","18","4"
"Balen","6","6","12","6","6","4","11","2","9","4"
"Dessel","6","1","2","3","3","2","5","1","2","0"
"Mol","7","29","19","23","17","19","11","8","7","0"
"BERLAAR - NIJLEN","5","7","11","14","15","20","8","12","7","0"
"Berlaar","3","7","4","9","5","14","5","6","3","0"
"Nijlen","2","0","7","5","10","6","3","6","4","0"
"BODUKAP","29","68","39","26","21","30","25","22","18","2"
"Bonheiden","8","20","6","7","6","6","7","1","2","1"
"Duffel","9","10","8","4","4","12","8","10","5","0"
"Putte","5","27","17","10","3","6","6","5","4","1"
"Sint-Katelijne-Waver","7","11","8","5","8","6","4","6","7","0"
"GRENS","19","15","27","38","54","22","21","16","14","6"
"Essen","11","4","3","13","2","4","2","2","6","2"
"Kalmthout","8","3","3","6","13","9","5","5","6","4"
"Wuustwezel","0","8","21","19","39","9","14","9","2","0"
"HEKLA","38","96","68","73","59","50","77","74","59","9"
"Aartselaar","5","18","13","13","12","7","7","8","6","0"
"Edegem","16","21","30","26","12","14","43","34","22","6"
"Hove","2","10","12","7","6","4","4","9","8","3"
"Kontich","10","25","10","5","11","22","14","22","18","0"
"Lint","5","22","3","22","18","3","9","1","5","0"
"MINOS","36","45","63","29","48","48","72","76","43","12"
"Boechout","7","6","12","4","7","8","11","9","5","2"
"Borsbeek","4","5","13","4","10","3","8","19","6","2"
"Mortsel","19","20","23","9","6","18","43","32","24","5"
"Wijnegem","4","7","7","4","17","9","3","4","3","0"
"Wommelgem","2","7","8","8","8","10","7","12","5","3"
"POLITIE REGIO TURNHOUT","32","75","76","73","70","90","51","45","42","14"
"Baarle-Hertog","0","1","2","4","0","1","0","1","0","0"
"Beerse","3","15","20","11","16","9","8","11","19","5"
"Kasterlee","7","10","9","9","10","12","10","6","3","0"
"Lille","0","6","8","3","10","5","0","5","3","1"
"Oud-Turnhout","2","4","7","6","3","9","7","5","3","3"
"Turnhout","18","30","30","37","28","44","25","15","12","5"
"Vosselaar","2","9","0","3","3","10","1","2","2","0"
"POLITIE ZARA","4","17","27","23","19","15","15","24","4","1"
"Ranst","3","8","20","17","14","12","9","15","4","1"
"Zandhoven","1","9","7","6","5","3","6","9","0","0"
"POLITIEZONE HEIST","17","23","18","21","12","10","14","22","11","1"
"Heist-op-den-Berg","17","23","18","21","12","10","14","22","11","1"
"POLITIEZONE KEMPEN N-O","17","15","23","13","10","27","13","20","20","9"
"Arendonk","3","8","12","4","2","12","4","15","6","5"
"Ravels","2","4","7","8","5","12","6","3","5","1"
"Retie","12","3","4","1","3","3","3","2","9","3"
"POLITIEZONE NOORD","17","17","13","4","14","13","6","13","11","3"
"Kapellen","13","12","10","3","10","10","5","11","7","2"
"Stabroek","4","5","3","1","4","3","1","2","4","1"
"POLITIEZONE NOORDERKEMPEN","10","7","24","19","22","15","22","15","1","3"
"Hoogstraten","6","5","10","11","16","13","19","7","1","1"
"Merksplas","1","1","1","2","3","2","1","4","0","2"
"Rijkevorsel","3","1","13","6","3","0","2","4","0","0"
"POLITIEZONE RUPEL","32","37","43","33","41","21","21","24","14","1"
"Boom","14","17","20","4","18","4","4","4","2","0"
"Hemiksem","3","4","4","6","4","0","1","0","0","0"
