"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"PZ LIER","2","2","2","7","1","4","6","6","1","2"
"Lier","2","2","2","7","1","4","6","6","1","2"
"PZ MEWI","7","4","6","9","5","6","12","5","9","0"
"Mechelen","5","2","4","8","4","5","9","5","6","0"
"Willebroek","2","2","2","1","1","1","3","0","3","0"
"PZ SCHOTEN","0","3","1","5","3","3","5","0","2","0"
"Schoten","0","3","1","5","3","3","5","0","2","0"
"PZ ZWIJNDRECHT","1","3","1","1","1","2","2","1","0","1"
"Zwijndrecht","1","3","1","1","1","2","2","1","0","1"
"VOORKEMPEN","5","1","0","3","6","7","2","4","4","2"
"Brecht","3","1","0","0","5","1","1","2","1","1"
"Malle","0","0","0","1","1","1","1","1","0","0"
"Schilde","0","0","0","1","0","3","0","0","2","0"
"Zoersel","2","0","0","1","0","2","0","1","1","1"
"ZONE NETELAND","3","4","5","5","6","4","4","3","7","1"
"Grobbendonk","1","1","3","2","3","2","0","0","1","0"
"Herentals","1","0","2","1","3","2","2","2","4","1"
"Herenthout","0","0","0","1","0","0","2","0","0","0"
"Olen","1","1","0","1","0","0","0","1","0","0"
"Vorselaar","0","2","0","0","0","0","0","0","2","0"
"ZUIDERKEMPEN","1","2","0","3","3","2","2","4","3","0"
"Herselt","0","0","0","0","1","0","0","2","2","0"
"Hulshout","1","2","0","0","1","0","0","0","0","0"
"Westerlo","0","0","0","3","1","2","2","2","1","0"
"Limburg","33","49","59","40","43","31","43","39","36","12"
"Limburg","33","49","59","40","43","31","43","39","36","12"
"KEMPENLAND","1","4","7","2","3","3","4","5","4","2"
"Hechtel-Eksel","1","0","3","0","1","1","0","1","1","0"
"Leopoldsburg","0","2","2","0","1","1","3","4","2","2"
"Peer","0","2","2","2","1","1","1","0","1","0"
"LIMBURG REGIO HOOFDSTAD","6","15","13","7","7","5","5","4","8","2"
"Diepenbeek","2","1","1","0","1","1","0","1","3","1"
"Halen","1","4","4","1","1","1","0","0","0","0"
"Hasselt","2","7","6","5","4","1","2","1","4","0"
"Herk-de-Stad","0","2","0","0","1","2","1","0","0","1"
"Lummen","1","0","0","1","0","0","1","2","1","0"
"Zonhoven","0","1","2","0","0","0","1","0","0","0"
"POLITIEZONE MAASLAND","4","1","3","1","2","1","3","2","0","0"
"Dilsen-Stokkem","0","0","2","0","2","0","2","2","0","0"
"Maaseik","4","1","1","1","0","1","1","0","0","0"
"PZ BERINGEN/HAM/TESSENDERLO","5","5","0","7","3","3","5","11","1","0"
"Beringen","4","4","0","5","1","2","3","7","0","0"
"Ham","0","0","0","2","1","1","0","1","0","0"
"Tessenderlo","1","1","0","0","1","0","2","3","1","0"
"PZ BILZEN/HOESELT/RIEMST","1","5","6","2","3","1","0","0","3","1"
"Bilzen","1","4","5","2","2","1","0","0","2","1"
"Hoeselt","0","1","0","0","0","0","0","0","1","0"
"Riemst","0","0","1","0","1","0","0","0","0","0"
"PZ CARMA","5","6","10","9","6","6","9","8","13","2"
"As","0","1","0","0","0","0","0","0","0","0"
"Bocholt","0","1","1","0","2","2","0","0","1","0"
"Bree","1","1","0","0","1","0","1","1","0","0"
"Genk","3","1","3","2","0","1","5","6","8","0"
"Houthalen-Helchteren","1","0","6","3","3","1","1","0","2","1"
"Kinrooi","0","0","0","2","0","0","2","0","2","0"
"Oudsbergen","0","1","0","1","0","2","0","1","0","1"
"Zutendaal","0","1","0","1","0","0","0","0","0","0"
"PZ GINGELOM/NIEUWERKERKEN/SINT-TRUIDEN","5","2","2","1","7","4","1","1","1","3"
"Gingelom","0","1","2","0","0","1","0","0","0","0"
"Nieuwerkerken","2","0","0","0","1","0","0","0","0","0"
"Sint-Truiden","3","1","0","1","6","3","1","1","1","3"
"PZ HAMONT-ACHEL/PELT","0","1","5","1","2","2","3","1","0","0"
"Hamont-Achel","0","1","2","0","1","0","1","1","0","0"
"Pelt","0","0","3","1","1","2","2","0","0","0"
"PZ HEUSDEN-ZOLDER","0","2","3","0","0","2","0","0","1","0"
"Heusden-Zolder","0","2","3","0","0","2","0","0","1","0"
"PZ KANTON BORGLOON","1","2","1","2","0","1","1","2","2","0"
"Alken","0","0","0","1","0","1","1","0","0","0"
"Borgloon","0","0","0","0","0","0","0","1","0","0"
"Heers","0","2","1","0","0","0","0","0","0","0"
"Kortessem","0","0","0","0","0","0","0","1","1","0"
"Wellen","1","0","0","1","0","0","0","0","1","0"
"PZ LANAKEN/MAASMECHELEN","3","2","3","4","5","1","3","1","1","0"
"Lanaken","2","1","0","1","1","0","3","0","1","0"
"Maasmechelen","1","1","3","3","4","1","0","1","0","0"
"PZ LOMMEL","1","2","2","2","3","1","3","1","1","0"
"Lommel","1","2","2","2","3","1","3","1","1","0"
"PZ VOEREN","0","1","0","0","0","0","1","1","0","0"
"Voeren","0","1","0","0","0","0","1","1","0","0"
"TONGEREN - HERSTAPPE","1","1","4","2","2","1","5","2","1","2"
"Herstappe","0","0","0","0","0","0","0","0","0","0"
"Tongeren","1","1","4","2","2","1","5","2","1","2"
"Oost-Vlaanderen","97","127","97","97","100","85","121","103","89","19"
"Oost-Vlaanderen","97","127","97","97","100","85","121","103","89","19"
"BRAKEL","2","2","1","2","1","3","2","1","1","0"
"Brakel","0","0","0","1","0","0","1","1","1","0"
"Horebeke","0","0","0","0","0","0","0","0","0","0"
"Maarkedal","1","0","0","0","1","3","0","0","0","0"
"Zwalm","1","2","1","1","0","0","1","0","0","0"
"BUGGENHOUT - LEBBEKE","0","6","1","2","4","0","3","6","1","0"
"Buggenhout","0","1","1","1","1","0","0","1","0","0"
"Lebbeke","0","5","0","1","3","0","3","5","1","0"
"GERAARDSBERGEN - LIERDE","0","2","2","3","2","6","3","0","2","1"
"Geraardsbergen","0","2","2","2","2","5","3","0","2","1"
"Lierde","0","0","0","1","0","1","0","0","0","0"
"LOKEREN","3","2","3","3","6","4","7","5","6","1"
"Lokeren","3","2","3","3","6","4","7","5","6","1"
"MEETJESLAND CENTRUM","4","8","4","3","2","7","4","3","2","0"
"Eeklo","4","8","3","3","1","6","3","3","1","0"
"Kaprijke","0","0","1","0","1","1","1","0","1","0"
"Sint-Laureins","0","0","0","0","0","0","0","0","0","0"
"POLITIE SINT-NIKLAAS","2","1","8","7","11","2","9","6","6","1"
"Sint-Niklaas","2","1","8","7","11","2","9","6","6","1"
"POLITIEZONE SCHELDE - LEIE","1","1","0","1","1","2","2","3","3","0"
"De Pinte","1","1","0","0","0","0","0","0","0","0"
"Gavere","0","0","0","0","0","0","0","2","1","0"
"Nazareth","0","0","0","0","1","2","2","0","2","0"
"Sint-Martens-Latem","0","0","0","1","0","0","0","1","0","0"
"PZ AALST","6","6","10","3","4","7","5","7","5","0"
"Aalst","6","6","10","3","4","7","5","7","5","0"
"PZ AALTER","2","0","0","1","0","3","1","3","0","1"
"Aalter","2","0","0","1","0","3","1","3","0","1"
"PZ ASSENEDE/EVERGEM","2","2","3","4","3","1","3","5","2","3"
"Assenede","0","2","1","0","0","1","1","2","1","1"
"Evergem","2","0","2","4","3","0","2","3","1","2"
"PZ BERLARE/ZELE","1","11","2","6","2","5","3","1","2","2"
"Berlare","0","6","0","1","0","2","3","0","0","2"
"Zele","1","5","2","5","2","3","0","1","2","0"
"PZ DEINZE/ZULTE/LIEVEGEM","5","1","5","4","3","4","6","2","1","1"
"Deinze","3","0","4","3","3","1","0","2","0","0"
"Lievegem","1","0","0","1","0","2","2","0","1","1"
"Zulte","1","1","1","0","0","1","4","0","0","0"
"PZ DENDERLEEUW/HAALTERT","4","7","6","5","3","3","7","5","3","0"
"Denderleeuw","2","5","2","4","1","1","3","3","1","0"
"Haaltert","2","2","4","1","2","2","4","2","2","0"
"PZ DENDERMONDE","3","12","3","3","2","3","5","1","8","3"
"Dendermonde","3","12","3","3","2","3","5","1","8","3"
"PZ ERPE-MERE/LEDE","3","1","4","3","1","5","4","5","2","1"
"Erpe-Mere","2","0","1","2","0","2","2","3","1","1"
"Lede","1","1","3","1","1","3","2","2","1","0"
"PZ GENT","27","24","19","23","16","7","18","14","20","1"
"Gent","27","24","19","23","16","7","18","14","20","1"
"PZ HAMME/WAASMUNSTER","2","8","3","1","1","1","6","3","0","0"
"Hamme","2","8","1","0","1","0","3","3","0","0"
"Waasmunster","0","0","2","1","0","1","3","0","0","0"
"PZ KRUIBEKE/TEMSE","4","0","2","2","4","2","3","5","1","0"
"Kruibeke","0","0","1","0","2","0","1","2","0","0"
"Temse","4","0","1","2","2","2","2","3","1","0"
"PZ MALDEGEM","3","1","2","0","2","2","1","1","1","0"
"Maldegem","3","1","2","0","2","2","1","1","1","0"
"PZ NINOVE","2","4","3","3","6","2","3","0","1","0"
"Ninove","2","4","3","3","6","2","3","0","1","0"
"PZ RONSE","1","2","1","5","2","0","7","4","3","0"
"Ronse","1","2","1","5","2","0","7","4","3","0"
"PZ WAASLAND-NOORD","6","8","2","3","6","3","2","8","5","0"
"Beveren","3","3","0","2","4","0","2","4","3","0"
"Sint-Gillis-Waas","2","2","1","1","2","1","0","3","1","0"
"Stekene","1","3","1","0","0","2","0","1","1","0"
"PZ WETTEREN LAARNE WICHELEN","2","6","3","3","5","2","3","5","8","1"
"Laarne","0","1","1","0","1","0","1","1","1","0"
"Wetteren","1","5","2","2","3","1","2","3","7","1"
"Wichelen","1","0","0","1","1","1","0","1","0","0"
"REGIO PUYENBROECK","5","4","3","2","5","3","4","3","1","1"
"Lochristi","1","1","1","0","2","1","3","2","0","1"
"Moerbeke","0","0","0","1","0","1","0","0","0","0"
"Wachtebeke","1","0","1","0","0","1","1","0","0","0"
"Zelzate","3","3","1","1","3","0","0","1","1","0"
"REGIO RHODE & SCHELDE","3","4","0","3","2","1","5","0","2","0"
"Destelbergen","0","1","0","0","0","0","0","0","1","0"
"Melle","2","1","0","1","1","1","0","0","0","0"
"Merelbeke","0","2","0","2","1","0","1","0","0","0"
"Oosterzele","1","0","0","0","0","0","4","0","1","0"
"VLAAMSE ARDENNEN","2","2","6","0","3","4","3","6","3","2"
"Kluisbergen","1","0","1","0","2","0","2","0","0","0"
"Kruisem","1","1","2","0","0","1","0","1","1","1"
"Oudenaarde","0","1","2","0","1","3","1","5","2","1"
"Wortegem-Petegem","0","0","1","0","0","0","0","0","0","0"
"ZOTTEGEM HERZELE StLHOUTEM","2","2","1","2","3","3","2","1","0","0"
"Herzele","0","1","1","1","0","1","1","1","0","0"
"Sint-Lievens-Houtem","0","1","0","0","2","0","0","0","0","0"
