"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","16.471","22.155","20.344","19.098","19.153","17.023","17.118","17.016","17.200","3.896"
"Brussels Hoofdstedelijk Gewest","1.058","1.264","1.161","1.217","1.136","1.254","1.288","1.328","1.296","279"
"Brussel-Hoofdstad","1.058","1.264","1.161","1.217","1.136","1.254","1.288","1.328","1.296","279"
"Brussel (Brussel-Hoofdstad)","1.058","1.264","1.161","1.217","1.136","1.254","1.288","1.328","1.296","279"
"BRUSSEL HOOFDSTAD ELSENE","198","293","242","239","242","258","275","304","345","72"
"Brussel","128","199","162","155","166","152","174","202","254","53"
"Elsene","70","94","80","84","76","106","101","102","91","19"
"BRUSSEL-WEST","185","181","166","146","137","190","179","172","165","40"
"Ganshoren","21","22","10","19","13","28","41","21","13","3"
"Jette","43","52","34","25","30","51","40","45","38","15"
"Koekelberg","20","24","13","11","12","13","13","6","9","3"
"Sint-Agatha-Berchem","36","13","13","26","12","10","16","31","17","4"
"Sint-Jans-Molenbeek","65","70","96","65","70","88","69","69","88","15"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","177","255","205","206","199","211","251","255","298","73"
"Evere","44","64","51","32","41","47","58","49","75","23"
"Schaarbeek","109","165","124","137","133","131","165","160","176","47"
"Sint-Joost-ten-Node","24","26","30","37","25","33","28","46","47","3"
"UKKEL/W-B/OUDERGEM","159","143","131","127","133","97","162","127","116","18"
"Oudergem","37","22","22","46","27","15","38","32","20","2"
"Ukkel","101","91","93","64","74","46","77","70","77","14"
"Watermaal-Bosvoorde","21","30","16","17","32","36","47","25","19","2"
"ZONE MONTGOMERY","130","155","162","210","193","201","190","213","132","26"
"Etterbeek","55","45","43","89","67","72","65","67","59","9"
"Sint-Lambrechts-Woluwe","53","54","72","77","84","86","75","110","47","8"
"Sint-Pieters-Woluwe","22","56","47","44","42","43","50","36","26","9"
"ZONE ZUID","209","237","255","289","232","297","231","257","240","50"
"Anderlecht","102","114","107","137","130","172","110","153","124","21"
"Sint-Gillis","55","60","60","88","49","56","56","49","47","20"
"Vorst","52","63","88","64","53","69","65","55","69","9"
"Vlaams Gewest","8.512","11.128","10.209","9.539","9.525","7.941","8.279","8.260","8.169","1.877"
"Antwerpen","1.834","3.487","3.283","2.674","2.379","2.052","2.197","2.285","2.076","476"
"Antwerpen","1.834","3.487","3.283","2.674","2.379","2.052","2.197","2.285","2.076","476"
"ANTWERPEN","364","1.000","877","767","787","669","759","708","622","134"
"Antwerpen","364","1.000","877","767","787","669","759","708","622","134"
"BALEN - DESSEL - MOL","81","192","131","107","65","40","42","61","37","11"
"Balen","25","56","29","19","20","14","9","13","6","5"
"Dessel","27","13","19","11","6","9","2","7","4","1"
"Mol","29","123","83","77","39","17","31","41","27","5"
"BERLAAR - NIJLEN","31","50","51","36","34","23","32","20","32","9"
"Berlaar","13","25","15","14","10","8","10","4","7","5"
"Nijlen","18","25","36","22","24","15","22","16","25","4"
"BODUKAP","56","99","97","109","59","39","66","79","34","9"
"Bonheiden","9","8","12","6","17","5","6","5","6","0"
"Duffel","39","49","33","34","9","6","19","33","17","5"
"Putte","1","18","26","16","6","18","18","25","6","1"
"Sint-Katelijne-Waver","7","24","26","53","27","10","23","16","5","3"
"GRENS","52","62","89","67","63","121","94","127","140","34"
"Essen","27","18","28","24","19","37","24","35","45","12"
"Kalmthout","15","21","33","23","24","38","43","47","48","14"
"Wuustwezel","10","23","28","20","20","46","27","45","47","8"
"HEKLA","73","158","145","112","119","95","159","151","109","18"
"Aartselaar","42","23","18","14","17","14","31","31","23","1"
"Edegem","17","53","65","32","36","40","40","53","42","8"
"Hove","4","23","14","7","16","2","13","19","11","0"
"Kontich","4","42","42","50","39","27","46","33","27","9"
"Lint","6","17","6","9","11","12","29","15","6","0"
"MINOS","92","138","111","123","140","135","142","179","151","47"
"Boechout","6","31","32","16","20","16","23","23","26","17"
"Borsbeek","14","28","12","25","19","17","22","35","27","8"
"Mortsel","60","42","42","60","51","62","70","87","62","19"
"Wijnegem","8","11","12","11","11","20","9","15","9","0"
"Wommelgem","4","26","13","11","39","20","18","19","27","3"
"POLITIE REGIO TURNHOUT","247","248","257","143","96","77","63","90","76","16"
"Baarle-Hertog","0","5","19","1","0","0","1","0","0","0"
"Beerse","26","39","40","19","12","11","10","7","8","1"
"Kasterlee","14","17","35","11","14","3","8","13","8","1"
"Lille","35","21","10","15","7","9","6","14","13","2"
"Oud-Turnhout","16","19","26","36","9","11","6","8","9","4"
"Turnhout","148","134","99","52","47","37","29","39","33","7"
"Vosselaar","8","13","28","9","7","6","3","9","5","1"
"POLITIE ZARA","30","39","20","46","39","24","25","17","14","7"
"Ranst","24","17","14","29","23","15","17","11","4","6"
"Zandhoven","6","22","6","17","16","9","8","6","10","1"
"POLITIEZONE HEIST","74","50","42","72","87","70","53","56","66","14"
"Heist-op-den-Berg","74","50","42","72","87","70","53","56","66","14"
"POLITIEZONE KEMPEN N-O","39","43","64","35","18","22","27","22","22","3"
"Arendonk","11","9","18","15","8","14","12","13","13","2"
"Ravels","16","25","32","17","7","3","8","6","6","1"
"Retie","12","9","14","3","3","5","7","3","3","0"
"POLITIEZONE NOORD","65","58","51","28","83","55","40","32","30","9"
