"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","1.596","1.967","1.703","1.669","1.523","1.274","1.144","1.103","942","194"
"Brussels Hoofdstedelijk Gewest","358","464","408","415","418","294","329","368","291","71"
"Brussel-Hoofdstad","358","464","408","415","418","294","329","368","291","71"
"Brussel (Brussel-Hoofdstad)","358","464","408","415","418","294","329","368","291","71"
"BRUSSEL HOOFDSTAD ELSENE","114","118","111","128","125","83","83","116","90","21"
"Brussel","76","60","66","71","64","62","54","75","70","13"
"Elsene","38","58","45","57","61","21","29","41","20","8"
"BRUSSEL-WEST","65","42","58","44","56","46","38","53","40","7"
"Ganshoren","6","5","3","3","6","4","8","10","7","0"
"Jette","9","11","16","12","16","15","10","12","2","4"
"Koekelberg","15","9","5","4","5","7","5","5","5","0"
"Sint-Agatha-Berchem","4","3","6","5","6","4","6","5","4","0"
"Sint-Jans-Molenbeek","31","14","28","20","23","16","9","21","22","3"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","36","63","45","61","53","41","72","64","39","9"
"Evere","5","9","8","9","12","6","14","10","6","0"
"Schaarbeek","27","47","28","44","37","33","54","46","27","5"
"Sint-Joost-ten-Node","4","7","9","8","4","2","4","8","6","4"
"UKKEL/W-B/OUDERGEM","27","57","52","48","46","22","36","37","33","11"
"Oudergem","3","9","7","9","10","3","8","6","7","4"
"Ukkel","14","39","40","35","29","17","21","23","17","5"
"Watermaal-Bosvoorde","10","9","5","4","7","2","7","8","9","2"
"ZONE MONTGOMERY","37","41","30","44","45","19","20","31","33","9"
"Etterbeek","23","21","11","20","22","9","10","13","12","6"
"Sint-Lambrechts-Woluwe","9","15","10","20","16","5","9","12","15","3"
"Sint-Pieters-Woluwe","5","5","9","4","7","5","1","6","6","0"
"ZONE ZUID","79","143","112","90","93","83","80","67","56","14"
"Anderlecht","29","45","37","35","39","30","21","21","16","4"
"Sint-Gillis","30","66","54","36","32","29","33","29","24","5"
"Vorst","20","32","21","19","22","24","26","17","16","5"
"Vlaams Gewest","495","619","498","579","504","470","356","384","306","66"
"Antwerpen","171","214","158","182","153","164","114","133","114","22"
"Antwerpen","171","214","158","182","153","164","114","133","114","22"
"ANTWERPEN","70","90","82","73","74","73","52","59","61","9"
"Antwerpen","70","90","82","73","74","73","52","59","61","9"
"BALEN - DESSEL - MOL","7","1","1","2","6","3","4","5","2","0"
"Balen","3","0","1","0","4","2","2","1","0","0"
"Dessel","1","1","0","0","0","0","0","1","0","0"
"Mol","3","0","0","2","2","1","2","3","2","0"
"BERLAAR - NIJLEN","0","2","1","3","0","4","0","2","0","1"
"Berlaar","0","0","0","1","0","1","0","0","0","0"
"Nijlen","0","2","1","2","0","3","0","2","0","1"
