"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","7.709","9.257","8.866","7.246","6.573","6.809","5.880","6.507","6.895","1.396"
"Brussels Hoofdstedelijk Gewest","3.028","5.279","4.976","3.275","3.082","3.515","2.956","3.059","3.246","736"
"Brussel-Hoofdstad","3.028","5.279","4.976","3.275","3.082","3.515","2.956","3.059","3.246","736"
"Brussel (Brussel-Hoofdstad)","3.028","5.279","4.976","3.275","3.082","3.515","2.956","3.059","3.246","736"
"BRUSSEL HOOFDSTAD ELSENE","1.139","1.643","1.561","1.158","1.070","1.025","870","1.115","1.464","339"
"Brussel","948","1.434","1.406","1.021","921","908","768","1.021","1.366","311"
"Elsene","191","209","155","137","149","117","102","94","98","28"
"BRUSSEL-WEST","338","1.326","1.149","688","580","718","701","650","520","88"
"Ganshoren","18","77","80","55","28","56","55","51","47","3"
"Jette","44","158","156","109","120","145","120","146","127","18"
"Koekelberg","47","151","125","59","69","63","62","69","45","6"
"Sint-Agatha-Berchem","12","48","49","26","42","57","90","68","66","13"
"Sint-Jans-Molenbeek","217","892","739","439","321","397","374","316","235","48"
"Geen PZ toegekend - Eurostar","0","0","5","0","0","0","0","0","0","0"
"PZ POLBRUNO","257","304","380","301","226","328","366","320","386","70"
"Evere","43","37","31","59","50","52","68","49","67","7"
"Schaarbeek","173","188","257","181","136","200","226","195","254","46"
"Sint-Joost-ten-Node","41","79","92","61","40","76","72","76","65","17"
"UKKEL/W-B/OUDERGEM","162","226","188","138","130","79","102","88","72","22"
"Oudergem","48","26","37","13","15","14","12","22","13","3"
"Ukkel","89","192","140","117","110","50","76","57","50","17"
"Watermaal-Bosvoorde","25","8","11","8","5","15","14","9","9","2"
"ZONE MONTGOMERY","225","142","93","81","116","115","113","115","106","26"
"Etterbeek","90","51","39","34","56","45","41","48","43","9"
"Sint-Lambrechts-Woluwe","104","58","37","33","31","52","46","48","44","11"
"Sint-Pieters-Woluwe","31","33","17","14","29","18","26","19","19","6"
"ZONE ZUID","907","1.638","1.600","909","960","1.250","804","771","698","191"
"Anderlecht","402","724","661","461","500","839","564","432","310","95"
"Sint-Gillis","468","644","672","294","232","221","159","254","297","82"
"Vorst","37","270","267","154","228","190","81","85","91","14"
"Vlaams Gewest","2.573","2.163","2.033","1.796","1.385","1.160","1.059","1.548","1.733","311"
"Antwerpen","1.435","1.138","1.100","916","592","482","491","671","749","141"
"Antwerpen","1.435","1.138","1.100","916","592","482","491","671","749","141"
"ANTWERPEN","1.055","914","876","711","451","345","352","412","440","95"
"Antwerpen","1.055","914","876","711","451","345","352","412","440","95"
"BALEN - DESSEL - MOL","15","4","8","1","5","2","9","13","11","1"
"Balen","1","1","0","0","0","0","0","2","3","0"
"Dessel","2","0","0","1","1","0","1","3","1","0"
"Mol","12","3","8","0","4","2","8","8","7","1"
"BERLAAR - NIJLEN","2","3","1","0","0","1","1","2","2","1"
