"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","96.581","80.948","74.440","65.140","63.430","55.552","54.378","48.449","44.682","10.873"
"Brussels Hoofdstedelijk Gewest","27.741","28.844","23.046","18.827","16.929","14.133","14.650","13.333","11.940","2.706"
"Brussel-Hoofdstad","27.741","28.844","23.046","18.827","16.929","14.133","14.650","13.333","11.940","2.706"
"Brussel (Brussel-Hoofdstad)","27.741","28.844","23.046","18.827","16.929","14.133","14.650","13.333","11.940","2.706"
"BRUSSEL HOOFDSTAD ELSENE","11.189","12.226","9.988","7.993","6.896","5.690","5.614","5.767","5.265","1.301"
"Brussel","9.016","9.305","7.621","6.141","5.460","4.630","4.412","4.466","4.082","1.001"
"Elsene","2.173","2.921","2.367","1.852","1.436","1.060","1.202","1.301","1.183","300"
"BRUSSEL-WEST","3.645","4.143","2.848","2.456","2.209","2.008","2.374","1.643","1.321","285"
"Ganshoren","280","366","256","200","186","173","203","167","129","20"
"Jette","673","971","660","554","567","506","468","288","271","51"
"Koekelberg","515","411","275","235","147","126","133","113","80","14"
"Sint-Agatha-Berchem","224","385","282","213","261","207","279","208","194","41"
"Sint-Jans-Molenbeek","1.953","2.010","1.375","1.254","1.048","996","1.291","867","647","159"
"Geen PZ toegekend - Eurostar","0","0","2","0","0","0","0","0","0","0"
"PZ POLBRUNO","3.919","2.602","1.999","2.055","1.603","1.373","1.457","1.473","1.455","340"
"Evere","975","453","346","418","289","292","245","231","309","89"
"Schaarbeek","2.092","1.552","1.256","1.193","1.015","830","956","949","879","202"
"Sint-Joost-ten-Node","852","597","397","444","299","251","256","293","267","49"
"UKKEL/W-B/OUDERGEM","1.834","2.287","1.697","1.386","1.414","1.006","1.015","795","706","227"
"Oudergem","402","480","397","344","295","221","220","154","147","49"
"Ukkel","1.140","1.219","972","769","836","505","586","458","429","134"
"Watermaal-Bosvoorde","292","588","328","273","283","280","209","183","130","44"
"ZONE MONTGOMERY","1.874","1.525","1.278","1.152","1.284","1.001","859","726","639","148"
"Etterbeek","665","626","562","489","472","469","369","324","286","80"
"Sint-Lambrechts-Woluwe","821","599","488","453","459","321","262","224","205","43"
"Sint-Pieters-Woluwe","388","300","228","210","353","211","228","178","148","25"
"ZONE ZUID","5.280","6.061","5.234","3.785","3.523","3.055","3.331","2.929","2.554","405"
"Anderlecht","2.209","2.588","2.021","1.661","1.786","1.764","2.028","1.573","1.263","238"
"Sint-Gillis","1.987","2.362","2.237","1.356","994","755","821","970","927","122"
"Vorst","1.084","1.111","976","768","743","536","482","386","364","45"
"Vlaams Gewest","34.088","25.618","24.942","22.856","22.125","18.870","18.057","15.166","13.283","3.490"
"Antwerpen","16.736","9.572","10.260","10.285","9.292","8.229","7.213","6.036","4.837","1.560"
"Antwerpen","16.736","9.572","10.260","10.285","9.292","8.229","7.213","6.036","4.837","1.560"
"ANTWERPEN","11.650","6.247","6.987","7.529","6.125","5.509","4.074","3.410","2.955","1.097"
"Antwerpen","11.650","6.247","6.987","7.529","6.125","5.509","4.074","3.410","2.955","1.097"
"BALEN - DESSEL - MOL","219","144","109","93","115","89","148","89","99","23"
"Balen","26","26","27","18","27","16","17","16","16","5"
"Dessel","48","15","10","11","11","7","15","5","9","0"
"Mol","145","103","72","64","77","66","116","68","74","18"
"BERLAAR - NIJLEN","48","37","24","31","46","28","47","38","18","9"
"Berlaar","23","10","11","8","18","13","12","5","6","3"
"Nijlen","25","27","13","23","28","15","35","33","12","6"
"BODUKAP","181","87","69","64","93","84","132","76","83","11"
"Bonheiden","24","19","11","14","19","17","19","15","11","2"
