"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","35.921","38.152","36.117","34.096","35.482","34.557","34.213","33.280","31.222","5.930"
"Brussels Hoofdstedelijk Gewest","791","3.617","2.814","2.515","2.832","2.903","3.290","3.547","3.768","788"
"Brussel-Hoofdstad","791","3.617","2.814","2.515","2.832","2.903","3.290","3.547","3.768","788"
"Brussel (Brussel-Hoofdstad)","791","3.617","2.814","2.515","2.832","2.903","3.290","3.547","3.768","788"
"BRUSSEL HOOFDSTAD ELSENE","226","1.770","1.265","1.157","1.250","1.244","1.368","1.505","1.640","376"
"Brussel","147","1.109","906","825","953","999","993","1.128","1.165","245"
"Elsene","79","661","359","332","297","245","375","377","475","131"
"BRUSSEL-WEST","105","367","229","303","338","376","446","413","431","65"
"Ganshoren","7","36","21","23","24","35","34","28","33","10"
"Jette","45","108","74","108","110","120","171","145","153","19"
"Koekelberg","7","36","24","30","37","48","36","61","28","8"
"Sint-Agatha-Berchem","9","35","24","33","22","28","30","36","37","8"
"Sint-Jans-Molenbeek","37","152","86","109","145","145","175","143","180","20"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","116","281","199","216","223","324","337","397","364","75"
"Evere","27","49","38","49","53","94","85","108","67","23"
"Schaarbeek","77","199","123","135","127","194","198","232","240","43"
"Sint-Joost-ten-Node","12","33","38","32","43","36","54","57","57","9"
"UKKEL/W-B/OUDERGEM","93","309","313","254","278","232","274","335","390","85"
"Oudergem","34","124","167","75","79","68","85","70","165","22"
"Ukkel","38","130","102","144","136","118","143","214","143","46"
"Watermaal-Bosvoorde","21","55","44","35","63","46","46","51","82","17"
"ZONE MONTGOMERY","144","438","443","275","402","360","429","437","521","120"
"Etterbeek","29","143","161","114","125","134","137","143","184","36"
"Sint-Lambrechts-Woluwe","74","187","172","97","163","145","194","182","221","53"
"Sint-Pieters-Woluwe","41","108","110","64","114","81","98","112","116","31"
"ZONE ZUID","107","452","365","310","341","367","436","460","422","67"
"Anderlecht","46","130","132","121","144","162","173","178","167","24"
"Sint-Gillis","44","257","167","120","119","136","168","191","171","37"
"Vorst","17","65","66","69","78","69","95","91","84","6"
"Vlaams Gewest","32.214","31.720","30.873","29.308","29.989","28.886","28.049","26.805","24.579","4.738"
"Antwerpen","9.972","10.197","10.883","10.349","10.705","10.090","10.221","9.505","8.347","1.679"
"Antwerpen","9.972","10.197","10.883","10.349","10.705","10.090","10.221","9.505","8.347","1.679"
"ANTWERPEN","2.944","3.258","4.059","4.282","4.559","4.199","4.511","4.238","3.681","808"
"Antwerpen","2.944","3.258","4.059","4.282","4.559","4.199","4.511","4.238","3.681","808"
"BALEN - DESSEL - MOL","312","359","338","352","370","259","284","236","265","56"
"Balen","67","60","61","50","73","53","48","38","34","17"
"Dessel","43","28","46","49","38","26","25","23","25","3"
"Mol","202","271","231","253","259","180","211","175","206","36"
"BERLAAR - NIJLEN","199","119","122","111","104","100","99","68","76","8"
"Berlaar","34","20","28","41","26","32","18","24","21","2"
"Nijlen","165","99","94","70","78","68","81","44","55","6"
"BODUKAP","219","232","203","157","125","174","168","170","112","24"
"Bonheiden","35","35","32","31","19","30","16","21","5","3"
"Duffel","119","108","92","75","50","75","79","77","57","11"
"Putte","14","36","28","26","17","25","17","24","17","1"
"Sint-Katelijne-Waver","51","53","51","25","39","44","56","48","33","9"
"GRENS","272","306","277","290","239","237","238","245","203","30"
"Essen","135","97","97","99","63","73","73","88","71","10"
"Kalmthout","16","139","125","104","95","102","101","99","74","8"
"Wuustwezel","121","70","55","87","81","62","64","58","58","12"
"HEKLA","425","339","350","368","297","329","270","286","273","38"
"Aartselaar","23","41","28","42","40","42","23","28","24","3"
"Edegem","112","79","69","71","60","93","62","65","64","9"
"Hove","87","49","69","55","72","51","49","62","73","11"
"Kontich","166","128","146","143","87","109","105","101","80","11"
"Lint","37","42","38","57","38","34","31","30","32","4"
"MINOS","532","458","558","490","571","550","426","425","316","53"
"Boechout","14","93","104","83","92","108","77","91","57","12"
"Borsbeek","64","34","47","43","38","44","34","44","19","3"
"Mortsel","323","264","303","303","321","278","230","220","186","27"
"Wijnegem","59","31","50","33","81","88","53","33","25","5"
"Wommelgem","72","36","54","28","39","32","32","37","29","6"
"POLITIE REGIO TURNHOUT","521","979","792","721","793","742","651","587","713","106"
"Baarle-Hertog","0","2","1","2","7","10","5","3","7","1"
"Beerse","24","104","65","60","96","62","54","45","52","9"
"Kasterlee","149","119","104","97","103","72","56","68","45","9"
"Lille","40","97","77","67","62","55","45","29","41","9"
"Oud-Turnhout","40","32","39","27","27","38","33","33","19","3"
"Turnhout","225","563","465","432","453","454","430","366","512","71"
"Vosselaar","43","62","41","36","45","51","28","43","37","4"
"POLITIE ZARA","77","81","80","85","83","63","54","64","45","7"
"Ranst","35","49","33","50","65","46","31","34","24","3"
"Zandhoven","42","32","47","35","18","17","23","30","21","4"
"POLITIEZONE HEIST","242","148","189","133","118","133","114","135","135","24"
"Heist-op-den-Berg","242","148","189","133","118","133","114","135","135","24"
"POLITIEZONE KEMPEN N-O","119","167","132","151","158","166","130","139","109","32"
"Arendonk","16","83","56","60","65","81","73","49","51","14"
"Ravels","82","34","39","27","48","49","28","26","28","3"
"Retie","21","50","37","64","45","36","29","64","30","15"
"POLITIEZONE NOORD","213","176","188","159","139","136","164","137","111","17"
"Kapellen","155","139","150","124","104","104","125","107","75","15"
"Stabroek","58","37","38","35","35","32","39","30","36","2"
"POLITIEZONE NOORDERKEMPEN","220","187","132","141","196","170","172","125","111","25"
