"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","1.749","627","459","450","367","383","330","322","280","60"
"Brussels Hoofdstedelijk Gewest","310","131","84","78","71","84","80","82","62","13"
"Brussel-Hoofdstad","310","131","84","78","71","84","80","82","62","13"
"Brussel (Brussel-Hoofdstad)","310","131","84","78","71","84","80","82","62","13"
"BRUSSEL HOOFDSTAD ELSENE","78","40","21","27","18","38","31","31","25","5"
"Brussel","65","32","19","24","15","32","23","22","22","4"
"Elsene","13","8","2","3","3","6","8","9","3","1"
"BRUSSEL-WEST","63","27","16","15","13","11","10","6","6","1"
"Ganshoren","6","0","3","1","1","1","0","1","1","0"
"Jette","7","2","3","3","2","2","3","0","2","0"
"Koekelberg","8","2","2","2","1","2","0","0","1","0"
"Sint-Agatha-Berchem","8","7","2","1","4","3","3","0","1","0"
"Sint-Jans-Molenbeek","34","16","6","8","5","3","4","5","1","1"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","36","9","8","8","12","7","13","11","12","2"
"Evere","5","1","0","1","1","1","2","1","3","0"
"Schaarbeek","27","8","7","6","11","5","7","7","7","1"
"Sint-Joost-ten-Node","4","0","1","1","0","1","4","3","2","1"
"UKKEL/W-B/OUDERGEM","34","10","9","9","2","7","2","3","0","0"
"Oudergem","4","2","1","2","1","3","1","1","0","0"
"Ukkel","28","6","6","5","1","4","1","2","0","0"
"Watermaal-Bosvoorde","2","2","2","2","0","0","0","0","0","0"
"ZONE MONTGOMERY","34","8","5","2","3","1","3","2","0","0"
"Etterbeek","12","2","4","1","1","0","1","1","0","0"
"Sint-Lambrechts-Woluwe","14","4","1","1","2","1","2","1","0","0"
"Sint-Pieters-Woluwe","8","2","0","0","0","0","0","0","0","0"
"ZONE ZUID","65","37","25","17","23","20","21","29","19","5"
"Anderlecht","35","22","13","12","13","17","14","19","10","5"
"Sint-Gillis","19","8","7","4","4","2","5","6","6","0"
"Vorst","11","7","5","1","6","1","2","4","3","0"
"Vlaams Gewest","430","123","110","86","84","69","58","65","61","7"
"Antwerpen","113","43","48","38","37","35","16","26","26","0"
"Antwerpen","113","43","48","38","37","35","16","26","26","0"
"ANTWERPEN","75","27","31","26","22","21","9","12","17","0"
"Antwerpen","75","27","31","26","22","21","9","12","17","0"
"BALEN - DESSEL - MOL","2","0","1","0","1","1","0","1","0","0"
"Balen","2","0","0","0","0","1","0","1","0","0"
"Dessel","0","0","0","0","0","0","0","0","0","0"
"Mol","0","0","1","0","1","0","0","0","0","0"
"BERLAAR - NIJLEN","0","0","0","0","0","0","0","0","0","0"
"Berlaar","0","0","0","0","0","0","0","0","0","0"
"Nijlen","0","0","0","0","0","0","0","0","0","0"
"BODUKAP","0","0","0","0","1","0","0","0","0","0"
"Bonheiden","0","0","0","0","1","0","0","0","0","0"
"Duffel","0","0","0","0","0","0","0","0","0","0"
"Putte","0","0","0","0","0","0","0","0","0","0"
"Sint-Katelijne-Waver","0","0","0","0","0","0","0","0","0","0"
"GRENS","0","1","0","1","0","1","0","0","2","0"
"Essen","0","0","0","0","0","0","0","0","0","0"
"Kalmthout","0","0","0","1","0","0","0","0","0","0"
"Wuustwezel","0","1","0","0","0","1","0","0","2","0"
"HEKLA","4","0","1","1","1","3","1","0","0","0"
"Aartselaar","1","0","0","1","1","1","0","0","0","0"
"Edegem","3","0","1","0","0","1","0","0","0","0"
"Hove","0","0","0","0","0","1","0","0","0","0"
"Kontich","0","0","0","0","0","0","1","0","0","0"
"Lint","0","0","0","0","0","0","0","0","0","0"
"MINOS","6","1","0","1","0","3","1","1","1","0"
"Boechout","0","1","0","0","0","0","0","0","0","0"
"Borsbeek","0","0","0","1","0","1","1","0","1","0"
"Mortsel","6","0","0","0","0","0","0","0","0","0"
"Wijnegem","0","0","0","0","0","0","0","0","0","0"
"Wommelgem","0","0","0","0","0","2","0","1","0","0"
"POLITIE REGIO TURNHOUT","5","1","1","0","1","1","1","1","1","0"
"Baarle-Hertog","1","0","0","0","0","0","0","0","0","0"
"Beerse","0","0","0","0","0","0","0","0","0","0"
"Kasterlee","1","0","0","0","0","0","0","0","0","0"
"Lille","1","0","0","0","0","0","1","1","0","0"
"Oud-Turnhout","0","0","0","0","0","0","0","0","0","0"
"Turnhout","1","1","1","0","1","1","0","0","1","0"
