"","2000","2011","2012","2013","2014","2015","2016","2017","2018","2019 (*)"
"Nationaal","1.387","1.033","1.050","1.073","746","772","674","750","691","151"
"Brussels Hoofdstedelijk Gewest","16","95","76","49","47","60","72","67","46","5"
"Brussel-Hoofdstad","16","95","76","49","47","60","72","67","46","5"
"Brussel (Brussel-Hoofdstad)","16","95","76","49","47","60","72","67","46","5"
"BRUSSEL HOOFDSTAD ELSENE","0","23","24","13","9","12","13","10","11","1"
"Brussel","0","11","13","8","5","5","10","7","8","1"
"Elsene","0","12","11","5","4","7","3","3","3","0"
"BRUSSEL-WEST","5","19","7","10","7","8","15","3","5","2"
"Ganshoren","0","7","3","2","0","0","8","0","0","0"
"Jette","1","5","2","2","0","1","3","1","2","0"
"Koekelberg","1","1","0","3","3","1","0","0","1","0"
"Sint-Agatha-Berchem","0","3","0","1","2","1","2","0","0","1"
"Sint-Jans-Molenbeek","3","3","2","2","2","5","2","2","2","1"
"Geen PZ toegekend - Eurostar","0","0","0","0","0","0","0","0","0","0"
"PZ POLBRUNO","0","11","14","8","10","12","20","16","10","0"
"Evere","0","2","2","2","2","2","3","2","2","0"
"Schaarbeek","0","9","9","6","7","8","16","12","7","0"
"Sint-Joost-ten-Node","0","0","3","0","1","2","1","2","1","0"
"UKKEL/W-B/OUDERGEM","4","19","16","4","5","11","13","18","7","2"
"Oudergem","2","1","0","0","1","2","1","1","1","0"
"Ukkel","2","14","13","3","4","7","9","16","4","2"
"Watermaal-Bosvoorde","0","4","3","1","0","2","3","1","2","0"
"ZONE MONTGOMERY","6","8","7","1","2","6","3","2","4","0"
"Etterbeek","0","3","3","0","0","2","2","0","2","0"
"Sint-Lambrechts-Woluwe","0","4","3","1","1","2","1","1","1","0"
"Sint-Pieters-Woluwe","6","1","1","0","1","2","0","1","1","0"
"ZONE ZUID","1","15","8","13","14","11","8","18","9","0"
"Anderlecht","0","9","7","8","5","6","5","8","4","0"
"Sint-Gillis","0","5","1","2","1","1","1","3","1","0"
"Vorst","1","1","0","3","8","4","2","7","4","0"
"Vlaams Gewest","825","338","349","296","257","287","212","174","150","36"
"Antwerpen","308","111","116","78","85","55","66","51","38","8"
"Antwerpen","308","111","116","78","85","55","66","51","38","8"
"ANTWERPEN","26","20","28","17","19","11","13","18","5","2"
"Antwerpen","26","20","28","17","19","11","13","18","5","2"
"BALEN - DESSEL - MOL","1","3","9","0","3","1","3","1","1","1"
"Balen","0","1","2","0","2","1","2","1","0","0"
"Dessel","0","0","2","0","0","0","0","0","1","0"
"Mol","1","2","5","0","1","0","1","0","0","1"
"BERLAAR - NIJLEN","5","0","5","0","0","0","1","0","0","0"
"Berlaar","1","0","1","0","0","0","1","0","0","0"
"Nijlen","4","0","4","0","0","0","0","0","0","0"
"BODUKAP","19","0","3","1","3","3","3","4","2","0"
"Bonheiden","9","0","0","0","2","1","0","0","0","0"
"Duffel","2","0","0","1","1","0","2","2","0","0"
"Putte","6","0","2","0","0","0","0","1","0","0"
"Sint-Katelijne-Waver","2","0","1","0","0","2","1","1","2","0"
