
Series anuales. Hechos conocidos
Hechos conocidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos conocidos

,2017,
    8. ADMÓN. PÚBLICA,668.0,
    9. ADMÓN. JUSTICIA,29001.0,
    10. ORDEN PÚBLICO,19591.0,
    11. LEGISLACIÓN ESPECIAL,165.0,
    12. OTRAS INFRACCIONES PENALES,9772.0,
    TOTAL INFRACCIONES PENALES,2045784.0,
ANDALUCÍA,
    1. CONTRA LAS PERSONAS,35087.0,
    1.1.-Homicidios dolosos/asesinatos,256.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,49.0,
    1.2.-Lesiones,20068.0,
    1.3.-Malos tratos ámbito familiar,14179.0,
    1.4.-Otros contra las personas,584.0,
    2. CONTRA LA LIBERTAD,24427.0,
    2.1.-Malos tratos habituales en el ámbito familiar,2857.0,
    2.2.-Otros contra la libertad,21570.0,
    3. LIBERTAD SEXUAL,2064.0,
    3.1.-Agresión sexual,334.0,
    3.2.-Agresión sexual con penetración,173.0,
    3.3.-Corrupción de menores o incapacitados,104.0,
    3.4.-Pornografía de menores,153.0,
    3.5.-Otros contra la libertad e indemnidad sexual,1300.0,
    4. RELACIONES FAMILIARES,1561.0,
    5. PATRIMONIO,242164.0,
    5.1.-Hurtos,103746.0,
    5.2.-Robos con fuerza en las cosas,52435.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,19447.0,
    5.2.2.-Robos con fuerza en viviendas,17276.0,
    5.2.3.-Robos con fuerza en establecimientos,7303.0,
    5.3.-Robos con violencia o intimidación,7668.0,
    5.3.1.-Robos con violencia en vía pública,5116.0,
    5.3.2.-Robos con violencia en viviendas,568.0,
    5.3.3.-Robos con violencia en establecimientos,1146.0,
    5.4.-Sustracción de vehículos,8755.0,
    5.5.-Estafas,25201.0,
    5.5.1.-Estafas bancarias,1773.0,
    5.6.-Daños,35372.0,
    5.7.-Contra la propiedad intelectual/industrial,445.0,
    5.8.-Blanqueo de capitales,61.0,
    5.9.-Otros contra el patrimonio,8481.0,
    6. SEGURIDAD COLECTIVA,13039.0,
    6.1.-Tráfico de drogas,3472.0,
    6.2.-Contra la seguridad vial,9122.0,
    6.3.-Otros contra la seguridad colectiva,445.0,
    7. FALSEDADES,3594.0,
    8. ADMÓN. PÚBLICA,120.0,
    9. ADMÓN. JUSTICIA,6196.0,
    10. ORDEN PÚBLICO,3573.0,
    11. LEGISLACIÓN ESPECIAL,91.0,
    12. OTRAS INFRACCIONES PENALES,2415.0,
    TOTAL INFRACCIONES PENALES,334331.0,
ARAGÓN,
    1. CONTRA LAS PERSONAS,4146.0,
    1.1.-Homicidios dolosos/asesinatos,23.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,8.0,
    1.2.-Lesiones,2137.0,
    1.3.-Malos tratos ámbito familiar,1929.0,
    1.4.-Otros contra las personas,57.0,
    2. CONTRA LA LIBERTAD,2071.0,
    2.1.-Malos tratos habituales en el ámbito familiar,249.0,
    2.2.-Otros contra la libertad,1822.0,
    3. LIBERTAD SEXUAL,274.0,
    3.1.-Agresión sexual,32.0,
    3.2.-Agresión sexual con penetración,27.0,
    3.3.-Corrupción de menores o incapacitados,11.0,
    3.4.-Pornografía de menores,18.0,
    3.5.-Otros contra la libertad e indemnidad sexual,186.0,
    4. RELACIONES FAMILIARES,161.0,
    5. PATRIMONIO,28437.0,
    5.1.-Hurtos,11004.0,
    5.2.-Robos con fuerza en las cosas,5167.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1306.0,
    5.2.2.-Robos con fuerza en viviendas,1787.0,
    5.2.3.-Robos con fuerza en establecimientos,743.0,
    5.3.-Robos con violencia o intimidación,798.0,
    5.3.1.-Robos con violencia en vía pública,518.0,
    5.3.2.-Robos con violencia en viviendas,54.0,
    5.3.3.-Robos con violencia en establecimientos,148.0,
    5.4.-Sustracción de vehículos,392.0,
    5.5.-Estafas,4803.0,
    5.5.1.-Estafas bancarias,138.0,
    5.6.-Daños,5165.0,
    5.7.-Contra la propiedad intelectual/industrial,21.0,
    5.8.-Blanqueo de capitales,3.0,
    5.9.-Otros contra el patrimonio,1084.0,
    6. SEGURIDAD COLECTIVA,1093.0,
    6.1.-Tráfico de drogas,270.0,
    6.2.-Contra la seguridad vial,763.0,
    6.3.-Otros contra la seguridad colectiva,60.0,
    7. FALSEDADES,357.0,
    8. ADMÓN. PÚBLICA,6.0,
    9. ADMÓN. JUSTICIA,612.0,
    10. ORDEN PÚBLICO,473.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,247.0,
    TOTAL INFRACCIONES PENALES,37878.0,
ASTURIAS (PRINCIPADO DE),
    1. CONTRA LAS PERSONAS,3160.0,
    1.1.-Homicidios dolosos/asesinatos,16.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,5.0,
    1.2.-Lesiones,1906.0,
    1.3.-Malos tratos ámbito familiar,1189.0,
    1.4.-Otros contra las personas,49.0,
    2. CONTRA LA LIBERTAD,1842.0,
    2.1.-Malos tratos habituales en el ámbito familiar,88.0,
    2.2.-Otros contra la libertad,1754.0,
    3. LIBERTAD SEXUAL,146.0,
    3.1.-Agresión sexual,29.0,
    3.2.-Agresión sexual con penetración,20.0,
    3.3.-Corrupción de menores o incapacitados,1.0,
    3.4.-Pornografía de menores,8.0,
    3.5.-Otros contra la libertad e indemnidad sexual,88.0,
    4. RELACIONES FAMILIARES,117.0,
    5. PATRIMONIO,17964.0,
    5.1.-Hurtos,7261.0,
    5.2.-Robos con fuerza en las cosas,2650.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,485.0,
    5.2.2.-Robos con fuerza en viviendas,956.0,
    5.2.3.-Robos con fuerza en establecimientos,762.0,
    5.3.-Robos con violencia o intimidación,371.0,
    5.3.1.-Robos con violencia en vía pública,218.0,
    5.3.2.-Robos con violencia en viviendas,35.0,
    5.3.3.-Robos con violencia en establecimientos,70.0,
    5.4.-Sustracción de vehículos,394.0,
    5.5.-Estafas,3551.0,
    5.5.1.-Estafas bancarias,62.0,
    5.6.-Daños,3008.0,
    5.7.-Contra la propiedad intelectual/industrial,7.0,
    5.8.-Blanqueo de capitales,3.0,
    5.9.-Otros contra el patrimonio,719.0,
    6. SEGURIDAD COLECTIVA,1052.0,
    6.1.-Tráfico de drogas,130.0,
    6.2.-Contra la seguridad vial,860.0,
    6.3.-Otros contra la seguridad colectiva,62.0,
    7. FALSEDADES,178.0,
    8. ADMÓN. PÚBLICA,3.0,
    9. ADMÓN. JUSTICIA,575.0,
    10. ORDEN PÚBLICO,409.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,205.0,
    TOTAL INFRACCIONES PENALES,25652.0,
BALEARS (ILLES),
    1. CONTRA LAS PERSONAS,7096.0,
    1.1.-Homicidios dolosos/asesinatos,32.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,4.0,
    1.2.-Lesiones,3679.0,
    1.3.-Malos tratos ámbito familiar,3253.0,
    1.4.-Otros contra las personas,132.0,
    2. CONTRA LA LIBERTAD,4377.0,
    2.1.-Malos tratos habituales en el ámbito familiar,484.0,
    2.2.-Otros contra la libertad,3893.0,
    3. LIBERTAD SEXUAL,517.0,
    3.1.-Agresión sexual,94.0,
    3.2.-Agresión sexual con penetración,50.0,
    3.3.-Corrupción de menores o incapacitados,9.0,
    3.4.-Pornografía de menores,19.0,
    3.5.-Otros contra la libertad e indemnidad sexual,345.0,
    4. RELACIONES FAMILIARES,180.0,
    5. PATRIMONIO,55129.0,
    5.1.-Hurtos,29183.0,
    5.2.-Robos con fuerza en las cosas,8666.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2895.0,
    5.2.2.-Robos con fuerza en viviendas,3125.0,
    5.2.3.-Robos con fuerza en establecimientos,1145.0,
    5.3.-Robos con violencia o intimidación,1354.0,
    5.3.1.-Robos con violencia en vía pública,899.0,
    5.3.2.-Robos con violencia en viviendas,68.0,
    5.3.3.-Robos con violencia en establecimientos,186.0,
    5.4.-Sustracción de vehículos,1717.0,
    5.5.-Estafas,6696.0,
    5.5.1.-Estafas bancarias,999.0,
    5.6.-Daños,5290.0,
    5.7.-Contra la propiedad intelectual/industrial,77.0,
    5.8.-Blanqueo de capitales,4.0,
    5.9.-Otros contra el patrimonio,2142.0,
    6. SEGURIDAD COLECTIVA,2534.0,
    6.1.-Tráfico de drogas,483.0,
    6.2.-Contra la seguridad vial,1973.0,
    6.3.-Otros contra la seguridad colectiva,78.0,
    7. FALSEDADES,476.0,
    8. ADMÓN. PÚBLICA,18.0,
    9. ADMÓN. JUSTICIA,950.0,
    10. ORDEN PÚBLICO,634.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,246.0,
    TOTAL INFRACCIONES PENALES,72157.0,
CANARIAS,
    1. CONTRA LAS PERSONAS,11744.0,
    1.1.-Homicidios dolosos/asesinatos,56.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,20.0,
    1.2.-Lesiones,6892.0,
    1.3.-Malos tratos ámbito familiar,4650.0,
    1.4.-Otros contra las personas,146.0,
    2. CONTRA LA LIBERTAD,8825.0,
    2.1.-Malos tratos habituales en el ámbito familiar,751.0,
    2.2.-Otros contra la libertad,8074.0,
    3. LIBERTAD SEXUAL,625.0,
    3.1.-Agresión sexual,95.0,
    3.2.-Agresión sexual con penetración,80.0,
    3.3.-Corrupción de menores o incapacitados,25.0,
    3.4.-Pornografía de menores,45.0,
    3.5.-Otros contra la libertad e indemnidad sexual,380.0,
    4. RELACIONES FAMILIARES,833.0,
    5. PATRIMONIO,62255.0,
    5.1.-Hurtos,30127.0,
    5.2.-Robos con fuerza en las cosas,12638.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,4674.0,
    5.2.2.-Robos con fuerza en viviendas,3263.0,
    5.2.3.-Robos con fuerza en establecimientos,2028.0,
    5.3.-Robos con violencia o intimidación,1436.0,
    5.3.1.-Robos con violencia en vía pública,878.0,
    5.3.2.-Robos con violencia en viviendas,116.0,
    5.3.3.-Robos con violencia en establecimientos,245.0,
    5.4.-Sustracción de vehículos,1797.0,
    5.5.-Estafas,6447.0,
    5.5.1.-Estafas bancarias,710.0,
    5.6.-Daños,7324.0,
    5.7.-Contra la propiedad intelectual/industrial,75.0,
    5.8.-Blanqueo de capitales,13.0,
    5.9.-Otros contra el patrimonio,2398.0,
    6. SEGURIDAD COLECTIVA,3287.0,
    6.1.-Tráfico de drogas,597.0,
    6.2.-Contra la seguridad vial,2612.0,
    6.3.-Otros contra la seguridad colectiva,78.0,
    7. FALSEDADES,875.0,
    8. ADMÓN. PÚBLICA,135.0,
    9. ADMÓN. JUSTICIA,1521.0,
    10. ORDEN PÚBLICO,886.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,372.0,
    TOTAL INFRACCIONES PENALES,91359.0,
CANTABRIA,
    1. CONTRA LAS PERSONAS,1941.0,
    1.1.-Homicidios dolosos/asesinatos,7.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,3.0,
    1.2.-Lesiones,1323.0,
    1.3.-Malos tratos ámbito familiar,556.0,
    1.4.-Otros contra las personas,55.0,
    2. CONTRA LA LIBERTAD,1344.0,
    2.1.-Malos tratos habituales en el ámbito familiar,125.0,
    2.2.-Otros contra la libertad,1219.0,
    3. LIBERTAD SEXUAL,84.0,
    3.1.-Agresión sexual,11.0,
    3.2.-Agresión sexual con penetración,8.0,
    3.3.-Corrupción de menores o incapacitados,0.0,
    3.4.-Pornografía de menores,4.0,
    3.5.-Otros contra la libertad e indemnidad sexual,61.0,
    4. RELACIONES FAMILIARES,46.0,
    5. PATRIMONIO,12678.0,
    5.1.-Hurtos,4983.0,
    5.2.-Robos con fuerza en las cosas,2600.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,486.0,
    5.2.2.-Robos con fuerza en viviendas,939.0,
    5.2.3.-Robos con fuerza en establecimientos,686.0,
    5.3.-Robos con violencia o intimidación,214.0,
    5.3.1.-Robos con violencia en vía pública,127.0,
    5.3.2.-Robos con violencia en viviendas,25.0,
    5.3.3.-Robos con violencia en establecimientos,29.0,
    5.4.-Sustracción de vehículos,207.0,
    5.5.-Estafas,2139.0,
    5.5.1.-Estafas bancarias,138.0,
    5.6.-Daños,2024.0,
    5.7.-Contra la propiedad intelectual/industrial,6.0,
    5.8.-Blanqueo de capitales,1.0,
    5.9.-Otros contra el patrimonio,504.0,
    6. SEGURIDAD COLECTIVA,695.0,
    6.1.-Tráfico de drogas,63.0,
    6.2.-Contra la seguridad vial,602.0,
    6.3.-Otros contra la seguridad colectiva,30.0,
    7. FALSEDADES,106.0,
    8. ADMÓN. PÚBLICA,3.0,
    9. ADMÓN. JUSTICIA,269.0,
    10. ORDEN PÚBLICO,165.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,108.0,
    TOTAL INFRACCIONES PENALES,17440.0,
CASTILLA Y LEÓN,
    1. CONTRA LAS PERSONAS,7127.0,
    1.1.-Homicidios dolosos/asesinatos,30.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,13.0,
    1.2.-Lesiones,4650.0,
    1.3.-Malos tratos ámbito familiar,2332.0,
    1.4.-Otros contra las personas,115.0,
    2. CONTRA LA LIBERTAD,5083.0,
    2.1.-Malos tratos habituales en el ámbito familiar,526.0,
    2.2.-Otros contra la libertad,4557.0,
    3. LIBERTAD SEXUAL,368.0,
    3.1.-Agresión sexual,61.0,
    3.2.-Agresión sexual con penetración,31.0,
    3.3.-Corrupción de menores o incapacitados,21.0,
    3.4.-Pornografía de menores,23.0,
    3.5.-Otros contra la libertad e indemnidad sexual,232.0,
    4. RELACIONES FAMILIARES,226.0,
    5. PATRIMONIO,53459.0,
    5.1.-Hurtos,21070.0,
    5.2.-Robos con fuerza en las cosas,9684.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1679.0,
    5.2.2.-Robos con fuerza en viviendas,3154.0,
    5.2.3.-Robos con fuerza en establecimientos,1960.0,
    5.3.-Robos con violencia o intimidación,726.0,
    5.3.1.-Robos con violencia en vía pública,430.0,
    5.3.2.-Robos con violencia en viviendas,69.0,
    5.3.3.-Robos con violencia en establecimientos,130.0,
    5.4.-Sustracción de vehículos,659.0,
    5.5.-Estafas,9555.0,
    5.5.1.-Estafas bancarias,585.0,
    5.6.-Daños,10399.0,
    5.7.-Contra la propiedad intelectual/industrial,63.0,
    5.8.-Blanqueo de capitales,6.0,
    5.9.-Otros contra el patrimonio,1297.0,
    6. SEGURIDAD COLECTIVA,2473.0,
    6.1.-Tráfico de drogas,334.0,
    6.2.-Contra la seguridad vial,1971.0,
    6.3.-Otros contra la seguridad colectiva,168.0,
    7. FALSEDADES,774.0,
    8. ADMÓN. PÚBLICA,26.0,
    9. ADMÓN. JUSTICIA,1054.0,
    10. ORDEN PÚBLICO,699.0,
    11. LEGISLACIÓN ESPECIAL,8.0,
    12. OTRAS INFRACCIONES PENALES,577.0,
    TOTAL INFRACCIONES PENALES,71874.0,
CASTILLA - LA MANCHA,
    1. CONTRA LAS PERSONAS,6583.0,
    1.1.-Homicidios dolosos/asesinatos,46.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,12.0,
    1.2.-Lesiones,3836.0,
    1.3.-Malos tratos ámbito familiar,2607.0,
    1.4.-Otros contra las personas,94.0,
    2. CONTRA LA LIBERTAD,4362.0,
    2.1.-Malos tratos habituales en el ámbito familiar,593.0,
    2.2.-Otros contra la libertad,3769.0,
    3. LIBERTAD SEXUAL,371.0,
    3.1.-Agresión sexual,55.0,
    3.2.-Agresión sexual con penetración,34.0,
    3.3.-Corrupción de menores o incapacitados,27.0,
    3.4.-Pornografía de menores,18.0,
    3.5.-Otros contra la libertad e indemnidad sexual,237.0,
    4. RELACIONES FAMILIARES,335.0,
    5. PATRIMONIO,46528.0,
    5.1.-Hurtos,15200.0,
    5.2.-Robos con fuerza en las cosas,13183.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2583.0,
    5.2.2.-Robos con fuerza en viviendas,5500.0,
    5.2.3.-Robos con fuerza en establecimientos,2159.0,
    5.3.-Robos con violencia o intimidación,1026.0,
    5.3.1.-Robos con violencia en vía pública,614.0,
    5.3.2.-Robos con violencia en viviendas,80.0,
    5.3.3.-Robos con violencia en establecimientos,166.0,
    5.4.-Sustracción de vehículos,1105.0,
    5.5.-Estafas,6232.0,
    5.5.1.-Estafas bancarias,906.0,
    5.6.-Daños,7785.0,
    5.7.-Contra la propiedad intelectual/industrial,29.0,
    5.8.-Blanqueo de capitales,8.0,
    5.9.-Otros contra el patrimonio,1960.0,
    6. SEGURIDAD COLECTIVA,2598.0,
    6.1.-Tráfico de drogas,426.0,
    6.2.-Contra la seguridad vial,2083.0,
    6.3.-Otros contra la seguridad colectiva,89.0,
    7. FALSEDADES,942.0,
    8. ADMÓN. PÚBLICA,65.0,
    9. ADMÓN. JUSTICIA,1016.0,
    10. ORDEN PÚBLICO,649.0,
    11. LEGISLACIÓN ESPECIAL,9.0,
    12. OTRAS INFRACCIONES PENALES,548.0,
    TOTAL INFRACCIONES PENALES,64006.0,
CATALUÑA,
    1. CONTRA LAS PERSONAS,20582.0,
    1.1.-Homicidios dolosos/asesinatos,209.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,65.0,
    1.2.-Lesiones,13698.0,
    1.3.-Malos tratos ámbito familiar,6251.0,
    1.4.-Otros contra las personas,424.0,
    2. CONTRA LA LIBERTAD,18110.0,
    2.1.-Malos tratos habituales en el ámbito familiar,1740.0,
    2.2.-Otros contra la libertad,16370.0,
    3. LIBERTAD SEXUAL,2212.0,
    3.1.-Agresión sexual,346.0,
    3.2.-Agresión sexual con penetración,394.0,
    3.3.-Corrupción de menores o incapacitados,5.0,
    3.4.-Pornografía de menores,168.0,
    3.5.-Otros contra la libertad e indemnidad sexual,1299.0,
    4. RELACIONES FAMILIARES,1320.0,
    5. PATRIMONIO,361790.0,
    5.1.-Hurtos,173684.0,
    5.2.-Robos con fuerza en las cosas,65020.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,24940.0,
    5.2.2.-Robos con fuerza en viviendas,23313.0,
    5.2.3.-Robos con fuerza en establecimientos,7.0,
    5.3.-Robos con violencia o intimidación,20615.0,
    5.3.1.-Robos con violencia en vía pública,61.0,
    5.3.2.-Robos con violencia en viviendas,386.0,
    5.3.3.-Robos con violencia en establecimientos,6.0,
    5.4.-Sustracción de vehículos,8855.0,
    5.5.-Estafas,45004.0,
    5.5.1.-Estafas bancarias,29965.0,
    5.6.-Daños,38529.0,
    5.7.-Contra la propiedad intelectual/industrial,233.0,
    5.8.-Blanqueo de capitales,27.0,
    5.9.-Otros contra el patrimonio,9823.0,
    6. SEGURIDAD COLECTIVA,8273.0,
    6.1.-Tráfico de drogas,2269.0,
    6.2.-Contra la seguridad vial,5860.0,
    6.3.-Otros contra la seguridad colectiva,144.0,
    7. FALSEDADES,3235.0,
    8. ADMÓN. PÚBLICA,81.0,
    9. ADMÓN. JUSTICIA,3383.0,
    10. ORDEN PÚBLICO,2539.0,
    11. LEGISLACIÓN ESPECIAL,10.0,
    12. OTRAS INFRACCIONES PENALES,751.0,
    TOTAL INFRACCIONES PENALES,422286.0,
COMUNITAT VALENCIANA,
    1. CONTRA LAS PERSONAS,21164.0,
    1.1.-Homicidios dolosos/asesinatos,106.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,41.0,
    1.2.-Lesiones,11154.0,
    1.3.-Malos tratos ámbito familiar,9653.0,
    1.4.-Otros contra las personas,251.0,
    2. CONTRA LA LIBERTAD,12282.0,
    2.1.-Malos tratos habituales en el ámbito familiar,1500.0,
    2.2.-Otros contra la libertad,10782.0,
    3. LIBERTAD SEXUAL,1348.0,
    3.1.-Agresión sexual,187.0,
    3.2.-Agresión sexual con penetración,120.0,
    3.3.-Corrupción de menores o incapacitados,76.0,
    3.4.-Pornografía de menores,85.0,
    3.5.-Otros contra la libertad e indemnidad sexual,880.0,
    4. RELACIONES FAMILIARES,889.0,
    5. PATRIMONIO,173357.0,
    5.1.-Hurtos,73922.0,
    5.2.-Robos con fuerza en las cosas,37439.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,11287.0,
    5.2.2.-Robos con fuerza en viviendas,16928.0,
    5.2.3.-Robos con fuerza en establecimientos,4472.0,
    5.3.-Robos con violencia o intimidación,5393.0,
    5.3.1.-Robos con violencia en vía pública,3341.0,
    5.3.2.-Robos con violencia en viviendas,456.0,
    5.3.3.-Robos con violencia en establecimientos,805.0,
    5.4.-Sustracción de vehículos,3918.0,
    5.5.-Estafas,20844.0,
    5.5.1.-Estafas bancarias,2525.0,
    5.6.-Daños,26863.0,
    5.7.-Contra la propiedad intelectual/industrial,235.0,
    5.8.-Blanqueo de capitales,46.0,
    5.9.-Otros contra el patrimonio,4697.0,
    6. SEGURIDAD COLECTIVA,7273.0,
    6.1.-Tráfico de drogas,1592.0,
    6.2.-Contra la seguridad vial,5415.0,
    6.3.-Otros contra la seguridad colectiva,266.0,
    7. FALSEDADES,2794.0,
    8. ADMÓN. PÚBLICA,72.0,
    9. ADMÓN. JUSTICIA,4214.0,
    10. ORDEN PÚBLICO,2532.0,
    11. LEGISLACIÓN ESPECIAL,6.0,
    12. OTRAS INFRACCIONES PENALES,1171.0,
    TOTAL INFRACCIONES PENALES,227102.0,
EXTREMADURA,
    1. CONTRA LAS PERSONAS,3184.0,
    1.1.-Homicidios dolosos/asesinatos,24.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,8.0,
    1.2.-Lesiones,2087.0,
    1.3.-Malos tratos ámbito familiar,1034.0,
    1.4.-Otros contra las personas,39.0,
    2. CONTRA LA LIBERTAD,2233.0,
    2.1.-Malos tratos habituales en el ámbito familiar,208.0,
    2.2.-Otros contra la libertad,2025.0,
    3. LIBERTAD SEXUAL,153.0,
    3.1.-Agresión sexual,20.0,
    3.2.-Agresión sexual con penetración,10.0,
    3.3.-Corrupción de menores o incapacitados,5.0,
    3.4.-Pornografía de menores,12.0,
    3.5.-Otros contra la libertad e indemnidad sexual,106.0,
    4. RELACIONES FAMILIARES,216.0,
    5. PATRIMONIO,18059.0,
    5.1.-Hurtos,7245.0,
    5.2.-Robos con fuerza en las cosas,3994.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,745.0,
    5.2.2.-Robos con fuerza en viviendas,1288.0,
    5.2.3.-Robos con fuerza en establecimientos,862.0,
    5.3.-Robos con violencia o intimidación,277.0,
    5.3.1.-Robos con violencia en vía pública,152.0,
    5.3.2.-Robos con violencia en viviendas,23.0,
    5.3.3.-Robos con violencia en establecimientos,66.0,
    5.4.-Sustracción de vehículos,336.0,
    5.5.-Estafas,2268.0,
    5.5.1.-Estafas bancarias,136.0,
    5.6.-Daños,3326.0,
    5.7.-Contra la propiedad intelectual/industrial,23.0,
    5.8.-Blanqueo de capitales,2.0,
    5.9.-Otros contra el patrimonio,588.0,
    6. SEGURIDAD COLECTIVA,976.0,
    6.1.-Tráfico de drogas,201.0,
    6.2.-Contra la seguridad vial,687.0,
    6.3.-Otros contra la seguridad colectiva,88.0,
    7. FALSEDADES,373.0,
    8. ADMÓN. PÚBLICA,4.0,
    9. ADMÓN. JUSTICIA,614.0,
    10. ORDEN PÚBLICO,281.0,
    11. LEGISLACIÓN ESPECIAL,16.0,
    12. OTRAS INFRACCIONES PENALES,302.0,
    TOTAL INFRACCIONES PENALES,26411.0,
GALICIA,
    1. CONTRA LAS PERSONAS,7927.0,
    1.1.-Homicidios dolosos/asesinatos,40.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,13.0,
    1.2.-Lesiones,4905.0,
    1.3.-Malos tratos ámbito familiar,2832.0,
    1.4.-Otros contra las personas,150.0,
    2. CONTRA LA LIBERTAD,5935.0,
    2.1.-Malos tratos habituales en el ámbito familiar,658.0,
    2.2.-Otros contra la libertad,5277.0,
    3. LIBERTAD SEXUAL,459.0,
    3.1.-Agresión sexual,82.0,
    3.2.-Agresión sexual con penetración,44.0,
    3.3.-Corrupción de menores o incapacitados,15.0,
    3.4.-Pornografía de menores,30.0,
    3.5.-Otros contra la libertad e indemnidad sexual,288.0,
    4. RELACIONES FAMILIARES,224.0,
    5. PATRIMONIO,51864.0,
    5.1.-Hurtos,20320.0,
    5.2.-Robos con fuerza en las cosas,10055.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,3022.0,
    5.2.2.-Robos con fuerza en viviendas,3402.0,
    5.2.3.-Robos con fuerza en establecimientos,1979.0,
    5.3.-Robos con violencia o intimidación,1057.0,
    5.3.1.-Robos con violencia en vía pública,572.0,
    5.3.2.-Robos con violencia en viviendas,117.0,
    5.3.3.-Robos con violencia en establecimientos,217.0,
    5.4.-Sustracción de vehículos,794.0,
    5.5.-Estafas,8588.0,
    5.5.1.-Estafas bancarias,834.0,
    5.6.-Daños,9537.0,
    5.7.-Contra la propiedad intelectual/industrial,54.0,
    5.8.-Blanqueo de capitales,11.0,
    5.9.-Otros contra el patrimonio,1448.0,
    6. SEGURIDAD COLECTIVA,4424.0,
    6.1.-Tráfico de drogas,371.0,
    6.2.-Contra la seguridad vial,3888.0,
    6.3.-Otros contra la seguridad colectiva,165.0,
    7. FALSEDADES,708.0,
    8. ADMÓN. PÚBLICA,17.0,
    9. ADMÓN. JUSTICIA,1228.0,
    10. ORDEN PÚBLICO,732.0,
    11. LEGISLACIÓN ESPECIAL,2.0,
    12. OTRAS INFRACCIONES PENALES,654.0,
    TOTAL INFRACCIONES PENALES,74174.0,
