
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2012,
    5.2.3.-Robos con fuerza en establecimientos,280.0,
    5.3.-Robos con violencia o intimidación,422.0,
    5.3.1.-Robos con violencia en vía pública,322.0,
    5.3.2.-Robos con violencia en viviendas,36.0,
    5.3.3.-Robos con violencia en establecimientos,37.0,
    5.4.-Sustracción de vehículos,85.0,
    5.5.-Estafas,1023.0,
    5.5.1.-Estafas bancarias,4.0,
    5.6.-Daños,1569.0,
    5.7.-Contra la propiedad intelectual/industrial,12.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,149.0,
    6. SEGURIDAD COLECTIVA,351.0,
    6.1.-Tráfico de drogas,57.0,
    6.2.-Contra la seguridad vial,262.0,
    6.3.-Otros contra la seguridad colectiva,32.0,
    7. FALSEDADES,108.0,
    8. ADMÓN. PÚBLICA,13.0,
    9. ADMÓN. JUSTICIA,188.0,
    10. ORDEN PÚBLICO,300.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,69.0,
    TOTAL INFRACCIONES PENALES,14062.0,
Albacete,
    1. CONTRA LAS PERSONAS,2300.0,
    1.1.-Homicidios dolosos/asesinatos,11.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,4.0,
    1.2.-Lesiones,864.0,
    1.3.-Malos tratos ámbito familiar,550.0,
    1.4.-Otros contra las personas,875.0,
    2. CONTRA LA LIBERTAD,202.0,
    2.1.-Malos tratos habituales en el ámbito familiar,52.0,
    2.2.-Otros contra la libertad,150.0,
    3. LIBERTAD SEXUAL,60.0,
    3.1.-Agresión sexual,16.0,
    3.2.-Agresión sexual con penetración,5.0,
    3.3.-Corrupción de menores o incapacitados,0.0,
    3.4.-Pornografía de menores,2.0,
    3.5.-Otros contra la libertad e indemnidad sexual,37.0,
    4. RELACIONES FAMILIARES,85.0,
    5. PATRIMONIO,10452.0,
    5.1.-Hurtos,4879.0,
    5.2.-Robos con fuerza en las cosas,2683.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,607.0,
    5.2.2.-Robos con fuerza en viviendas,867.0,
    5.2.3.-Robos con fuerza en establecimientos,304.0,
    5.3.-Robos con violencia o intimidación,325.0,
    5.3.1.-Robos con violencia en vía pública,215.0,
    5.3.2.-Robos con violencia en viviendas,25.0,
    5.3.3.-Robos con violencia en establecimientos,34.0,
    5.4.-Sustracción de vehículos,214.0,
    5.5.-Estafas,680.0,
    5.5.1.-Estafas bancarias,73.0,
    5.6.-Daños,1497.0,
    5.7.-Contra la propiedad intelectual/industrial,15.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,159.0,
    6. SEGURIDAD COLECTIVA,533.0,
    6.1.-Tráfico de drogas,118.0,
    6.2.-Contra la seguridad vial,404.0,
    6.3.-Otros contra la seguridad colectiva,11.0,
    7. FALSEDADES,119.0,
    8. ADMÓN. PÚBLICA,1.0,
    9. ADMÓN. JUSTICIA,176.0,
    10. ORDEN PÚBLICO,283.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,58.0,
    TOTAL INFRACCIONES PENALES,14269.0,
Alicante/Alacant,
    1. CONTRA LAS PERSONAS,14171.0,
    1.1.-Homicidios dolosos/asesinatos,35.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,16.0,
    1.2.-Lesiones,4948.0,
    1.3.-Malos tratos ámbito familiar,3372.0,
    1.4.-Otros contra las personas,5816.0,
    2. CONTRA LA LIBERTAD,1803.0,
    2.1.-Malos tratos habituales en el ámbito familiar,733.0,
    2.2.-Otros contra la libertad,1070.0,
    3. LIBERTAD SEXUAL,446.0,
    3.1.-Agresión sexual,84.0,
    3.2.-Agresión sexual con penetración,61.0,
    3.3.-Corrupción de menores o incapacitados,20.0,
    3.4.-Pornografía de menores,23.0,
    3.5.-Otros contra la libertad e indemnidad sexual,258.0,
    4. RELACIONES FAMILIARES,515.0,
    5. PATRIMONIO,82789.0,
    5.1.-Hurtos,34926.0,
    5.2.-Robos con fuerza en las cosas,22539.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,6686.0,
    5.2.2.-Robos con fuerza en viviendas,10399.0,
    5.2.3.-Robos con fuerza en establecimientos,2211.0,
    5.3.-Robos con violencia o intimidación,3021.0,
    5.3.1.-Robos con violencia en vía pública,1948.0,
    5.3.2.-Robos con violencia en viviendas,269.0,
    5.3.3.-Robos con violencia en establecimientos,332.0,
    5.4.-Sustracción de vehículos,2840.0,
    5.5.-Estafas,5192.0,
    5.5.1.-Estafas bancarias,656.0,
    5.6.-Daños,12385.0,
    5.7.-Contra la propiedad intelectual/industrial,169.0,
    5.8.-Blanqueo de capitales,11.0,
    5.9.-Otros contra el patrimonio,1706.0,
    6. SEGURIDAD COLECTIVA,3240.0,
    6.1.-Tráfico de drogas,630.0,
    6.2.-Contra la seguridad vial,2463.0,
    6.3.-Otros contra la seguridad colectiva,147.0,
    7. FALSEDADES,865.0,
    8. ADMÓN. PÚBLICA,28.0,
    9. ADMÓN. JUSTICIA,1686.0,
    10. ORDEN PÚBLICO,1835.0,
    11. LEGISLACIÓN ESPECIAL,5.0,
    12. OTRAS INFRACCIONES PENALES,200.0,
    TOTAL INFRACCIONES PENALES,107583.0,
Almería,
    1. CONTRA LAS PERSONAS,5341.0,
    1.1.-Homicidios dolosos/asesinatos,42.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,11.0,
    1.2.-Lesiones,1973.0,
    1.3.-Malos tratos ámbito familiar,1290.0,
    1.4.-Otros contra las personas,2036.0,
    2. CONTRA LA LIBERTAD,842.0,
    2.1.-Malos tratos habituales en el ámbito familiar,385.0,
    2.2.-Otros contra la libertad,457.0,
    3. LIBERTAD SEXUAL,178.0,
    3.1.-Agresión sexual,52.0,
    3.2.-Agresión sexual con penetración,32.0,
    3.3.-Corrupción de menores o incapacitados,5.0,
    3.4.-Pornografía de menores,2.0,
    3.5.-Otros contra la libertad e indemnidad sexual,87.0,
    4. RELACIONES FAMILIARES,354.0,
    5. PATRIMONIO,25210.0,
    5.1.-Hurtos,8939.0,
    5.2.-Robos con fuerza en las cosas,8764.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2422.0,
    5.2.2.-Robos con fuerza en viviendas,3690.0,
    5.2.3.-Robos con fuerza en establecimientos,723.0,
    5.3.-Robos con violencia o intimidación,1177.0,
    5.3.1.-Robos con violencia en vía pública,799.0,
    5.3.2.-Robos con violencia en viviendas,100.0,
    5.3.3.-Robos con violencia en establecimientos,136.0,
    5.4.-Sustracción de vehículos,893.0,
    5.5.-Estafas,924.0,
    5.5.1.-Estafas bancarias,98.0,
    5.6.-Daños,4039.0,
    5.7.-Contra la propiedad intelectual/industrial,29.0,
    5.8.-Blanqueo de capitales,3.0,
    5.9.-Otros contra el patrimonio,442.0,
    6. SEGURIDAD COLECTIVA,1537.0,
    6.1.-Tráfico de drogas,279.0,
    6.2.-Contra la seguridad vial,1219.0,
    6.3.-Otros contra la seguridad colectiva,39.0,
    7. FALSEDADES,281.0,
    8. ADMÓN. PÚBLICA,2.0,
    9. ADMÓN. JUSTICIA,511.0,
    10. ORDEN PÚBLICO,522.0,
    11. LEGISLACIÓN ESPECIAL,3.0,
    12. OTRAS INFRACCIONES PENALES,125.0,
    TOTAL INFRACCIONES PENALES,34906.0,
Ávila,
    1. CONTRA LAS PERSONAS,1113.0,
    1.1.-Homicidios dolosos/asesinatos,4.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,0.0,
    1.2.-Lesiones,435.0,
    1.3.-Malos tratos ámbito familiar,156.0,
    1.4.-Otros contra las personas,518.0,
    2. CONTRA LA LIBERTAD,136.0,
    2.1.-Malos tratos habituales en el ámbito familiar,79.0,
    2.2.-Otros contra la libertad,57.0,
    3. LIBERTAD SEXUAL,25.0,
    3.1.-Agresión sexual,4.0,
    3.2.-Agresión sexual con penetración,4.0,
    3.3.-Corrupción de menores o incapacitados,1.0,
    3.4.-Pornografía de menores,0.0,
    3.5.-Otros contra la libertad e indemnidad sexual,16.0,
    4. RELACIONES FAMILIARES,31.0,
    5. PATRIMONIO,3748.0,
    5.1.-Hurtos,1280.0,
    5.2.-Robos con fuerza en las cosas,1077.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,106.0,
    5.2.2.-Robos con fuerza en viviendas,453.0,
    5.2.3.-Robos con fuerza en establecimientos,147.0,
    5.3.-Robos con violencia o intimidación,65.0,
    5.3.1.-Robos con violencia en vía pública,44.0,
    5.3.2.-Robos con violencia en viviendas,4.0,
    5.3.3.-Robos con violencia en establecimientos,6.0,
    5.4.-Sustracción de vehículos,54.0,
    5.5.-Estafas,237.0,
    5.5.1.-Estafas bancarias,24.0,
    5.6.-Daños,980.0,
    5.7.-Contra la propiedad intelectual/industrial,6.0,
    5.8.-Blanqueo de capitales,1.0,
    5.9.-Otros contra el patrimonio,48.0,
    6. SEGURIDAD COLECTIVA,350.0,
    6.1.-Tráfico de drogas,36.0,
    6.2.-Contra la seguridad vial,286.0,
    6.3.-Otros contra la seguridad colectiva,28.0,
    7. FALSEDADES,43.0,
    8. ADMÓN. PÚBLICA,1.0,
    9. ADMÓN. JUSTICIA,52.0,
    10. ORDEN PÚBLICO,142.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,27.0,
    TOTAL INFRACCIONES PENALES,5668.0,
Badajoz,
    1. CONTRA LAS PERSONAS,3623.0,
    1.1.-Homicidios dolosos/asesinatos,17.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,12.0,
    1.2.-Lesiones,1309.0,
    1.3.-Malos tratos ámbito familiar,679.0,
    1.4.-Otros contra las personas,1618.0,
    2. CONTRA LA LIBERTAD,427.0,
    2.1.-Malos tratos habituales en el ámbito familiar,160.0,
    2.2.-Otros contra la libertad,267.0,
    3. LIBERTAD SEXUAL,85.0,
    3.1.-Agresión sexual,20.0,
    3.2.-Agresión sexual con penetración,10.0,
    3.3.-Corrupción de menores o incapacitados,2.0,
    3.4.-Pornografía de menores,4.0,
    3.5.-Otros contra la libertad e indemnidad sexual,49.0,
    4. RELACIONES FAMILIARES,229.0,
    5. PATRIMONIO,13829.0,
    5.1.-Hurtos,6155.0,
    5.2.-Robos con fuerza en las cosas,3531.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,808.0,
    5.2.2.-Robos con fuerza en viviendas,961.0,
    5.2.3.-Robos con fuerza en establecimientos,601.0,
    5.3.-Robos con violencia o intimidación,300.0,
    5.3.1.-Robos con violencia en vía pública,185.0,
    5.3.2.-Robos con violencia en viviendas,27.0,
    5.3.3.-Robos con violencia en establecimientos,63.0,
    5.4.-Sustracción de vehículos,296.0,
    5.5.-Estafas,817.0,
    5.5.1.-Estafas bancarias,47.0,
    5.6.-Daños,2326.0,
    5.7.-Contra la propiedad intelectual/industrial,29.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,375.0,
    6. SEGURIDAD COLECTIVA,912.0,
    6.1.-Tráfico de drogas,198.0,
    6.2.-Contra la seguridad vial,695.0,
    6.3.-Otros contra la seguridad colectiva,19.0,
    7. FALSEDADES,200.0,
    8. ADMÓN. PÚBLICA,3.0,
    9. ADMÓN. JUSTICIA,359.0,
    10. ORDEN PÚBLICO,398.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,132.0,
    TOTAL INFRACCIONES PENALES,20198.0,
Balears (Illes),
    1. CONTRA LAS PERSONAS,8966.0,
    1.1.-Homicidios dolosos/asesinatos,30.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,5.0,
    1.2.-Lesiones,3387.0,
    1.3.-Malos tratos ámbito familiar,2232.0,
    1.4.-Otros contra las personas,3317.0,
    2. CONTRA LA LIBERTAD,1384.0,
    2.1.-Malos tratos habituales en el ámbito familiar,506.0,
    2.2.-Otros contra la libertad,878.0,
    3. LIBERTAD SEXUAL,383.0,
    3.1.-Agresión sexual,94.0,
    3.2.-Agresión sexual con penetración,65.0,
    3.3.-Corrupción de menores o incapacitados,20.0,
    3.4.-Pornografía de menores,13.0,
    3.5.-Otros contra la libertad e indemnidad sexual,191.0,
    4. RELACIONES FAMILIARES,258.0,
    5. PATRIMONIO,58202.0,
    5.1.-Hurtos,33392.0,
    5.2.-Robos con fuerza en las cosas,11756.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,3694.0,
    5.2.2.-Robos con fuerza en viviendas,4337.0,
    5.2.3.-Robos con fuerza en establecimientos,1346.0,
    5.3.-Robos con violencia o intimidación,1585.0,
    5.3.1.-Robos con violencia en vía pública,1031.0,
    5.3.2.-Robos con violencia en viviendas,101.0,
    5.3.3.-Robos con violencia en establecimientos,190.0,
    5.4.-Sustracción de vehículos,1650.0,
    5.5.-Estafas,3175.0,
    5.5.1.-Estafas bancarias,408.0,
    5.6.-Daños,5391.0,
    5.7.-Contra la propiedad intelectual/industrial,83.0,
    5.8.-Blanqueo de capitales,4.0,
    5.9.-Otros contra el patrimonio,1166.0,
    6. SEGURIDAD COLECTIVA,2948.0,
    6.1.-Tráfico de drogas,435.0,
    6.2.-Contra la seguridad vial,2421.0,
    6.3.-Otros contra la seguridad colectiva,92.0,
    7. FALSEDADES,419.0,
    8. ADMÓN. PÚBLICA,15.0,
    9. ADMÓN. JUSTICIA,781.0,
    10. ORDEN PÚBLICO,1003.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,199.0,
    TOTAL INFRACCIONES PENALES,74558.0,
Barcelona,
    1. CONTRA LAS PERSONAS,25631.0,
    1.1.-Homicidios dolosos/asesinatos,203.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,48.0,
    1.2.-Lesiones,10692.0,
    1.3.-Malos tratos ámbito familiar,3997.0,
    1.4.-Otros contra las personas,10739.0,
    2. CONTRA LA LIBERTAD,7879.0,
    2.1.-Malos tratos habituales en el ámbito familiar,2601.0,
    2.2.-Otros contra la libertad,5278.0,
    3. LIBERTAD SEXUAL,1218.0,
    3.1.-Agresión sexual,224.0,
    3.2.-Agresión sexual con penetración,218.0,
    3.3.-Corrupción de menores o incapacitados,4.0,
    3.4.-Pornografía de menores,110.0,
    3.5.-Otros contra la libertad e indemnidad sexual,662.0,
    4. RELACIONES FAMILIARES,1385.0,
    5. PATRIMONIO,294192.0,
    5.1.-Hurtos,145149.0,
    5.2.-Robos con fuerza en las cosas,55610.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,25382.0,
    5.2.2.-Robos con fuerza en viviendas,14191.0,
    5.2.3.-Robos con fuerza en establecimientos,5.0,
    5.3.-Robos con violencia o intimidación,28497.0,
    5.3.1.-Robos con violencia en vía pública,63.0,
    5.3.2.-Robos con violencia en viviendas,1466.0,
    5.3.3.-Robos con violencia en establecimientos,3.0,
    5.4.-Sustracción de vehículos,9436.0,
    5.5.-Estafas,18650.0,
    5.5.1.-Estafas bancarias,9420.0,
    5.6.-Daños,29622.0,
    5.7.-Contra la propiedad intelectual/industrial,328.0,
    5.8.-Blanqueo de capitales,21.0,
    5.9.-Otros contra el patrimonio,6879.0,
    6. SEGURIDAD COLECTIVA,4427.0,
    6.1.-Tráfico de drogas,1327.0,
    6.2.-Contra la seguridad vial,3003.0,
    6.3.-Otros contra la seguridad colectiva,97.0,
    7. FALSEDADES,2689.0,
    8. ADMÓN. PÚBLICA,18.0,
    9. ADMÓN. JUSTICIA,2314.0,
    10. ORDEN PÚBLICO,3235.0,
    11. LEGISLACIÓN ESPECIAL,23.0,
    12. OTRAS INFRACCIONES PENALES,947.0,
    TOTAL INFRACCIONES PENALES,343958.0,
Burgos,
    1. CONTRA LAS PERSONAS,1888.0,
    1.1.-Homicidios dolosos/asesinatos,9.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,3.0,
    1.2.-Lesiones,686.0,
    1.3.-Malos tratos ámbito familiar,337.0,
    1.4.-Otros contra las personas,856.0,
    2. CONTRA LA LIBERTAD,225.0,
    2.1.-Malos tratos habituales en el ámbito familiar,142.0,
    2.2.-Otros contra la libertad,83.0,
    3. LIBERTAD SEXUAL,53.0,
    3.1.-Agresión sexual,13.0,
    3.2.-Agresión sexual con penetración,4.0,
    3.3.-Corrupción de menores o incapacitados,0.0,
    3.4.-Pornografía de menores,9.0,
    3.5.-Otros contra la libertad e indemnidad sexual,27.0,
    4. RELACIONES FAMILIARES,25.0,
    5. PATRIMONIO,9968.0,
    5.1.-Hurtos,4803.0,
    5.2.-Robos con fuerza en las cosas,2111.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,471.0,
    5.2.2.-Robos con fuerza en viviendas,547.0,
    5.2.3.-Robos con fuerza en establecimientos,370.0,
    5.3.-Robos con violencia o intimidación,221.0,
    5.3.1.-Robos con violencia en vía pública,146.0,
    5.3.2.-Robos con violencia en viviendas,24.0,
    5.3.3.-Robos con violencia en establecimientos,24.0,
    5.4.-Sustracción de vehículos,162.0,
    5.5.-Estafas,572.0,
    5.5.1.-Estafas bancarias,25.0,
    5.6.-Daños,1937.0,
    5.7.-Contra la propiedad intelectual/industrial,10.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,152.0,
    6. SEGURIDAD COLECTIVA,535.0,
    6.1.-Tráfico de drogas,68.0,
    6.2.-Contra la seguridad vial,451.0,
    6.3.-Otros contra la seguridad colectiva,16.0,
    7. FALSEDADES,88.0,
    8. ADMÓN. PÚBLICA,1.0,
    9. ADMÓN. JUSTICIA,170.0,
    10. ORDEN PÚBLICO,232.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,56.0,
    TOTAL INFRACCIONES PENALES,13242.0,
Cáceres,
    1. CONTRA LAS PERSONAS,1689.0,
    1.1.-Homicidios dolosos/asesinatos,4.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,1.0,
    1.2.-Lesiones,748.0,
    1.3.-Malos tratos ámbito familiar,282.0,
    1.4.-Otros contra las personas,655.0,
    2. CONTRA LA LIBERTAD,202.0,
    2.1.-Malos tratos habituales en el ámbito familiar,102.0,
    2.2.-Otros contra la libertad,100.0,
    3. LIBERTAD SEXUAL,49.0,
    3.1.-Agresión sexual,17.0,
    3.2.-Agresión sexual con penetración,7.0,
    3.3.-Corrupción de menores o incapacitados,1.0,
    3.4.-Pornografía de menores,1.0,
    3.5.-Otros contra la libertad e indemnidad sexual,23.0,
    4. RELACIONES FAMILIARES,19.0,
    5. PATRIMONIO,6337.0,
    5.1.-Hurtos,2859.0,
    5.2.-Robos con fuerza en las cosas,1676.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,321.0,
    5.2.2.-Robos con fuerza en viviendas,437.0,
    5.2.3.-Robos con fuerza en establecimientos,317.0,
    5.3.-Robos con violencia o intimidación,88.0,
    5.3.1.-Robos con violencia en vía pública,54.0,
    5.3.2.-Robos con violencia en viviendas,10.0,
    5.3.3.-Robos con violencia en establecimientos,10.0,
    5.4.-Sustracción de vehículos,122.0,
    5.5.-Estafas,307.0,
    5.5.1.-Estafas bancarias,29.0,
    5.6.-Daños,1184.0,
    5.7.-Contra la propiedad intelectual/industrial,7.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,94.0,
    6. SEGURIDAD COLECTIVA,568.0,
    6.1.-Tráfico de drogas,93.0,
    6.2.-Contra la seguridad vial,458.0,
    6.3.-Otros contra la seguridad colectiva,17.0,
    7. FALSEDADES,46.0,
    8. ADMÓN. PÚBLICA,2.0,
    9. ADMÓN. JUSTICIA,155.0,
    10. ORDEN PÚBLICO,177.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,28.0,
    TOTAL INFRACCIONES PENALES,9272.0,
Cádiz,
    1. CONTRA LAS PERSONAS,10789.0,
    1.1.-Homicidios dolosos/asesinatos,24.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,8.0,
    1.2.-Lesiones,3556.0,
    1.3.-Malos tratos ámbito familiar,2227.0,
    1.4.-Otros contra las personas,4982.0,
    2. CONTRA LA LIBERTAD,948.0,
    2.1.-Malos tratos habituales en el ámbito familiar,354.0,
    2.2.-Otros contra la libertad,594.0,
    3. LIBERTAD SEXUAL,235.0,
    3.1.-Agresión sexual,49.0,
    3.2.-Agresión sexual con penetración,28.0,
    3.3.-Corrupción de menores o incapacitados,6.0,
    3.4.-Pornografía de menores,14.0,
    3.5.-Otros contra la libertad e indemnidad sexual,138.0,
    4. RELACIONES FAMILIARES,221.0,
    5. PATRIMONIO,41859.0,
    5.1.-Hurtos,19687.0,
    5.2.-Robos con fuerza en las cosas,9074.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,3302.0,
    5.2.2.-Robos con fuerza en viviendas,3029.0,
    5.2.3.-Robos con fuerza en establecimientos,1240.0,
    5.3.-Robos con violencia o intimidación,1121.0,
    5.3.1.-Robos con violencia en vía pública,766.0,
    5.3.2.-Robos con violencia en viviendas,70.0,
    5.3.3.-Robos con violencia en establecimientos,152.0,
    5.4.-Sustracción de vehículos,1963.0,
    5.5.-Estafas,2286.0,
    5.5.1.-Estafas bancarias,198.0,
    5.6.-Daños,6638.0,
    5.7.-Contra la propiedad intelectual/industrial,339.0,
    5.8.-Blanqueo de capitales,10.0,
    5.9.-Otros contra el patrimonio,741.0,
    6. SEGURIDAD COLECTIVA,2836.0,
    6.1.-Tráfico de drogas,1241.0,
    6.2.-Contra la seguridad vial,1503.0,
    6.3.-Otros contra la seguridad colectiva,92.0,
    7. FALSEDADES,554.0,
    8. ADMÓN. PÚBLICA,9.0,
    9. ADMÓN. JUSTICIA,1099.0,
    10. ORDEN PÚBLICO,1072.0,
    11. LEGISLACIÓN ESPECIAL,48.0,
    12. OTRAS INFRACCIONES PENALES,193.0,
    TOTAL INFRACCIONES PENALES,59863.0,
Castellón/Castelló,
    1. CONTRA LAS PERSONAS,3378.0,
    1.1.-Homicidios dolosos/asesinatos,9.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,3.0,
    1.2.-Lesiones,1304.0,
    1.3.-Malos tratos ámbito familiar,681.0,
    1.4.-Otros contra las personas,1384.0,
    2. CONTRA LA LIBERTAD,592.0,
    2.1.-Malos tratos habituales en el ámbito familiar,171.0,
    2.2.-Otros contra la libertad,421.0,
    3. LIBERTAD SEXUAL,138.0,
    3.1.-Agresión sexual,22.0,
    3.2.-Agresión sexual con penetración,10.0,
    3.3.-Corrupción de menores o incapacitados,12.0,
    3.4.-Pornografía de menores,8.0,
    3.5.-Otros contra la libertad e indemnidad sexual,86.0,
    4. RELACIONES FAMILIARES,72.0,
    5. PATRIMONIO,22797.0,
    5.1.-Hurtos,8877.0,
    5.2.-Robos con fuerza en las cosas,7482.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1942.0,
    5.2.2.-Robos con fuerza en viviendas,3029.0,
    5.2.3.-Robos con fuerza en establecimientos,743.0,
    5.3.-Robos con violencia o intimidación,721.0,
    5.3.1.-Robos con violencia en vía pública,435.0,
    5.3.2.-Robos con violencia en viviendas,60.0,
    5.3.3.-Robos con violencia en establecimientos,105.0,
    5.4.-Sustracción de vehículos,519.0,
    5.5.-Estafas,1195.0,
    5.5.1.-Estafas bancarias,198.0,
    5.6.-Daños,3658.0,
    5.7.-Contra la propiedad intelectual/industrial,19.0,
    5.8.-Blanqueo de capitales,1.0,
    5.9.-Otros contra el patrimonio,325.0,
    6. SEGURIDAD COLECTIVA,920.0,
    6.1.-Tráfico de drogas,120.0,
    6.2.-Contra la seguridad vial,744.0,
    6.3.-Otros contra la seguridad colectiva,56.0,
    7. FALSEDADES,197.0,
    8. ADMÓN. PÚBLICA,3.0,
    9. ADMÓN. JUSTICIA,308.0,
    10. ORDEN PÚBLICO,378.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,125.0,
    TOTAL INFRACCIONES PENALES,28908.0,
Ciudad Real,
    1. CONTRA LAS PERSONAS,2966.0,
    1.1.-Homicidios dolosos/asesinatos,5.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,3.0,
    1.2.-Lesiones,1054.0,
    1.3.-Malos tratos ámbito familiar,612.0,
    1.4.-Otros contra las personas,1295.0,
