
Series anuales. Hechos conocidos
Hechos conocidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos conocidos

,2012,
TOTAL NACIONAL,
    1. CONTRA LAS PERSONAS,286446.0,
    1.1.-Homicidios dolosos/asesinatos,1125.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,364.0,
    1.2.-Lesiones,105913.0,
    1.3.-Malos tratos ámbito familiar,59703.0,
    1.4.-Otros contra las personas,119705.0,
    2. CONTRA LA LIBERTAD,44476.0,
    2.1.-Malos tratos habituales en el ámbito familiar,17523.0,
    2.2.-Otros contra la libertad,26953.0,
    3. LIBERTAD SEXUAL,9008.0,
    3.1.-Agresión sexual,2014.0,
    3.2.-Agresión sexual con penetración,1280.0,
    3.3.-Corrupción de menores o incapacitados,278.0,
    3.4.-Pornografía de menores,569.0,
    3.5.-Otros contra la libertad e indemnidad sexual,4867.0,
    4. RELACIONES FAMILIARES,10424.0,
    5. PATRIMONIO,1754632.0,
    5.1.-Hurtos,790281.0,
    5.2.-Robos con fuerza en las cosas,405939.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,139483.0,
    5.2.2.-Robos con fuerza en viviendas,126425.0,
    5.2.3.-Robos con fuerza en establecimientos,41559.0,
    5.3.-Robos con violencia o intimidación,96607.0,
    5.3.1.-Robos con violencia en vía pública,45144.0,
    5.3.2.-Robos con violencia en viviendas,6912.0,
    5.3.3.-Robos con violencia en establecimientos,6822.0,
    5.4.-Sustracción de vehículos,55197.0,
    5.5.-Estafas,124647.0,
    5.5.1.-Estafas bancarias,20577.0,
    5.6.-Daños,246355.0,
    5.7.-Contra la propiedad intelectual/industrial,2884.0,
    5.8.-Blanqueo de capitales,199.0,
    5.9.-Otros contra el patrimonio,32523.0,
    6. SEGURIDAD COLECTIVA,76654.0,
    6.1.-Tráfico de drogas,14509.0,
    6.2.-Contra la seguridad vial,59634.0,
    6.3.-Otros contra la seguridad colectiva,2511.0,
    7. FALSEDADES,18223.0,
    8. ADMÓN. PÚBLICA,325.0,
    9. ADMÓN. JUSTICIA,28205.0,
    10. ORDEN PÚBLICO,33582.0,
    11. LEGISLACIÓN ESPECIAL,237.0,
    12. OTRAS INFRACCIONES PENALES,6655.0,
    TOTAL INFRACCIONES PENALES,2268867.0,
ANDALUCÍA,
    1. CONTRA LAS PERSONAS,59894.0,
    1.1.-Homicidios dolosos/asesinatos,247.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,68.0,
    1.2.-Lesiones,20923.0,
    1.3.-Malos tratos ámbito familiar,12522.0,
    1.4.-Otros contra las personas,26202.0,
    2. CONTRA LA LIBERTAD,7671.0,
    2.1.-Malos tratos habituales en el ámbito familiar,3477.0,
    2.2.-Otros contra la libertad,4194.0,
    3. LIBERTAD SEXUAL,1632.0,
    3.1.-Agresión sexual,376.0,
    3.2.-Agresión sexual con penetración,208.0,
    3.3.-Corrupción de menores o incapacitados,47.0,
    3.4.-Pornografía de menores,85.0,
    3.5.-Otros contra la libertad e indemnidad sexual,916.0,
    4. RELACIONES FAMILIARES,1691.0,
    5. PATRIMONIO,289754.0,
    5.1.-Hurtos,133759.0,
    5.2.-Robos con fuerza en las cosas,70769.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,26001.0,
