
Series anuales. Hechos conocidos
Hechos conocidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos conocidos

,2014,
    10. ORDEN PÚBLICO,636.0,
    11. LEGISLACIÓN ESPECIAL,4.0,
    12. OTRAS INFRACCIONES PENALES,122.0,
    TOTAL INFRACCIONES PENALES,40460.0,
ASTURIAS (PRINCIPADO DE),
    1. CONTRA LAS PERSONAS,5429.0,
    1.1.-Homicidios dolosos/asesinatos,27.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,7.0,
    1.2.-Lesiones,1951.0,
    1.3.-Malos tratos ámbito familiar,1213.0,
    1.4.-Otros contra las personas,2238.0,
    2. CONTRA LA LIBERTAD,494.0,
    2.1.-Malos tratos habituales en el ámbito familiar,113.0,
    2.2.-Otros contra la libertad,381.0,
    3. LIBERTAD SEXUAL,125.0,
    3.1.-Agresión sexual,25.0,
    3.2.-Agresión sexual con penetración,13.0,
    3.3.-Corrupción de menores o incapacitados,8.0,
    3.4.-Pornografía de menores,7.0,
    3.5.-Otros contra la libertad e indemnidad sexual,72.0,
    4. RELACIONES FAMILIARES,137.0,
    5. PATRIMONIO,19530.0,
    5.1.-Hurtos,8715.0,
    5.2.-Robos con fuerza en las cosas,3222.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,568.0,
    5.2.2.-Robos con fuerza en viviendas,931.0,
    5.2.3.-Robos con fuerza en establecimientos,944.0,
    5.3.-Robos con violencia o intimidación,683.0,
    5.3.1.-Robos con violencia en vía pública,408.0,
    5.3.2.-Robos con violencia en viviendas,85.0,
    5.3.3.-Robos con violencia en establecimientos,116.0,
    5.4.-Sustracción de vehículos,484.0,
    5.5.-Estafas,2033.0,
    5.5.1.-Estafas bancarias,48.0,
    5.6.-Daños,3265.0,
    5.7.-Contra la propiedad intelectual/industrial,26.0,
    5.8.-Blanqueo de capitales,1.0,
    5.9.-Otros contra el patrimonio,1101.0,
    6. SEGURIDAD COLECTIVA,1320.0,
    6.1.-Tráfico de drogas,167.0,
    6.2.-Contra la seguridad vial,1105.0,
    6.3.-Otros contra la seguridad colectiva,48.0,
    7. FALSEDADES,185.0,
    8. ADMÓN. PÚBLICA,0.0,
    9. ADMÓN. JUSTICIA,502.0,
    10. ORDEN PÚBLICO,626.0,
    11. LEGISLACIÓN ESPECIAL,2.0,
    12. OTRAS INFRACCIONES PENALES,80.0,
    TOTAL INFRACCIONES PENALES,28430.0,
BALEARS (ILLES),
    1. CONTRA LAS PERSONAS,9299.0,
    1.1.-Homicidios dolosos/asesinatos,33.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,12.0,
    1.2.-Lesiones,3325.0,
    1.3.-Malos tratos ámbito familiar,2502.0,
    1.4.-Otros contra las personas,3439.0,
    2. CONTRA LA LIBERTAD,1350.0,
    2.1.-Malos tratos habituales en el ámbito familiar,428.0,
    2.2.-Otros contra la libertad,922.0,
    3. LIBERTAD SEXUAL,394.0,
    3.1.-Agresión sexual,91.0,
    3.2.-Agresión sexual con penetración,58.0,
    3.3.-Corrupción de menores o incapacitados,19.0,
    3.4.-Pornografía de menores,23.0,
    3.5.-Otros contra la libertad e indemnidad sexual,203.0,
    4. RELACIONES FAMILIARES,255.0,
    5. PATRIMONIO,52211.0,
    5.1.-Hurtos,29784.0,
    5.2.-Robos con fuerza en las cosas,9219.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2878.0,
    5.2.2.-Robos con fuerza en viviendas,3608.0,
    5.2.3.-Robos con fuerza en establecimientos,1027.0,
    5.3.-Robos con violencia o intimidación,1217.0,
    5.3.1.-Robos con violencia en vía pública,769.0,
    5.3.2.-Robos con violencia en viviendas,89.0,
    5.3.3.-Robos con violencia en establecimientos,150.0,
    5.4.-Sustracción de vehículos,1445.0,
    5.5.-Estafas,3650.0,
    5.5.1.-Estafas bancarias,464.0,
    5.6.-Daños,4949.0,
    5.7.-Contra la propiedad intelectual/industrial,140.0,
    5.8.-Blanqueo de capitales,6.0,
    5.9.-Otros contra el patrimonio,1801.0,
    6. SEGURIDAD COLECTIVA,2810.0,
    6.1.-Tráfico de drogas,560.0,
    6.2.-Contra la seguridad vial,2154.0,
    6.3.-Otros contra la seguridad colectiva,96.0,
    7. FALSEDADES,380.0,
    8. ADMÓN. PÚBLICA,15.0,
    9. ADMÓN. JUSTICIA,846.0,
    10. ORDEN PÚBLICO,947.0,
    11. LEGISLACIÓN ESPECIAL,3.0,
    12. OTRAS INFRACCIONES PENALES,237.0,
    TOTAL INFRACCIONES PENALES,68747.0,
CANARIAS,
    1. CONTRA LAS PERSONAS,19560.0,
    1.1.-Homicidios dolosos/asesinatos,55.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,12.0,
    1.2.-Lesiones,6075.0,
    1.3.-Malos tratos ámbito familiar,3927.0,
    1.4.-Otros contra las personas,9503.0,
    2. CONTRA LA LIBERTAD,2014.0,
    2.1.-Malos tratos habituales en el ámbito familiar,681.0,
    2.2.-Otros contra la libertad,1333.0,
    3. LIBERTAD SEXUAL,446.0,
    3.1.-Agresión sexual,74.0,
    3.2.-Agresión sexual con penetración,46.0,
    3.3.-Corrupción de menores o incapacitados,15.0,
    3.4.-Pornografía de menores,34.0,
    3.5.-Otros contra la libertad e indemnidad sexual,277.0,
    4. RELACIONES FAMILIARES,1153.0,
    5. PATRIMONIO,59759.0,
    5.1.-Hurtos,30658.0,
    5.2.-Robos con fuerza en las cosas,12614.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,4614.0,
    5.2.2.-Robos con fuerza en viviendas,3609.0,
    5.2.3.-Robos con fuerza en establecimientos,1743.0,
    5.3.-Robos con violencia o intimidación,1628.0,
    5.3.1.-Robos con violencia en vía pública,1061.0,
    5.3.2.-Robos con violencia en viviendas,108.0,
    5.3.3.-Robos con violencia en establecimientos,243.0,
    5.4.-Sustracción de vehículos,1822.0,
    5.5.-Estafas,4197.0,
    5.5.1.-Estafas bancarias,647.0,
    5.6.-Daños,7170.0,
    5.7.-Contra la propiedad intelectual/industrial,68.0,
    5.8.-Blanqueo de capitales,5.0,
    5.9.-Otros contra el patrimonio,1597.0,
    6. SEGURIDAD COLECTIVA,3681.0,
    6.1.-Tráfico de drogas,557.0,
    6.2.-Contra la seguridad vial,3022.0,
    6.3.-Otros contra la seguridad colectiva,102.0,
    7. FALSEDADES,552.0,
    8. ADMÓN. PÚBLICA,17.0,
    9. ADMÓN. JUSTICIA,1339.0,
    10. ORDEN PÚBLICO,1309.0,
    11. LEGISLACIÓN ESPECIAL,3.0,
    12. OTRAS INFRACCIONES PENALES,300.0,
    TOTAL INFRACCIONES PENALES,90133.0,
CANTABRIA,
    1. CONTRA LAS PERSONAS,3312.0,
    1.1.-Homicidios dolosos/asesinatos,4.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,3.0,
    1.2.-Lesiones,1304.0,
    1.3.-Malos tratos ámbito familiar,548.0,
    1.4.-Otros contra las personas,1456.0,
    2. CONTRA LA LIBERTAD,356.0,
    2.1.-Malos tratos habituales en el ámbito familiar,133.0,
    2.2.-Otros contra la libertad,223.0,
    3. LIBERTAD SEXUAL,74.0,
    3.1.-Agresión sexual,20.0,
    3.2.-Agresión sexual con penetración,7.0,
    3.3.-Corrupción de menores o incapacitados,4.0,
    3.4.-Pornografía de menores,8.0,
    3.5.-Otros contra la libertad e indemnidad sexual,35.0,
    4. RELACIONES FAMILIARES,64.0,
    5. PATRIMONIO,11701.0,
    5.1.-Hurtos,5436.0,
    5.2.-Robos con fuerza en las cosas,2550.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,615.0,
