
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2014,
Total Nacional,
    1. CONTRA LAS PERSONAS,281713.0,
    1.1.-Homicidios dolosos/asesinatos,1048.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,323.0,
    1.2.-Lesiones,98821.0,
    1.3.-Malos tratos ámbito familiar,62392.0,
    1.4.-Otros contra las personas,119452.0,
    2. CONTRA LA LIBERTAD,42953.0,
    2.1.-Malos tratos habituales en el ámbito familiar,15958.0,
    2.2.-Otros contra la libertad,26995.0,
    3. LIBERTAD SEXUAL,9468.0,
    3.1.-Agresión sexual,1722.0,
    3.2.-Agresión sexual con penetración,1239.0,
    3.3.-Corrupción de menores o incapacitados,386.0,
    3.4.-Pornografía de menores,625.0,
    3.5.-Otros contra la libertad e indemnidad sexual,5496.0,
    4. RELACIONES FAMILIARES,10506.0,
    5. PATRIMONIO,1595984.0,
    5.1.-Hurtos,727800.0,
    5.2.-Robos con fuerza en las cosas,344875.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,106174.0,
    5.2.2.-Robos con fuerza en viviendas,120783.0,
    5.2.3.-Robos con fuerza en establecimientos,37962.0,
    5.3.-Robos con violencia o intimidación,70855.0,
    5.3.1.-Robos con violencia en vía pública,31830.0,
    5.3.2.-Robos con violencia en viviendas,4697.0,
    5.3.3.-Robos con violencia en establecimientos,5489.0,
    5.4.-Sustracción de vehículos,43206.0,
    5.5.-Estafas,140418.0,
    5.5.1.-Estafas bancarias,25554.0,
    5.6.-Daños,218166.0,
    5.7.-Contra la propiedad intelectual/industrial,2608.0,
    5.8.-Blanqueo de capitales,230.0,
    5.9.-Otros contra el patrimonio,47826.0,
    6. SEGURIDAD COLECTIVA,66938.0,
    6.1.-Tráfico de drogas,13411.0,
    6.2.-Contra la seguridad vial,51419.0,
    6.3.-Otros contra la seguridad colectiva,2108.0,
    7. FALSEDADES,18408.0,
    8. ADMÓN. PÚBLICA,521.0,
    9. ADMÓN. JUSTICIA,28034.0,
    10. ORDEN PÚBLICO,29466.0,
    11. LEGISLACIÓN ESPECIAL,185.0,
    12. OTRAS INFRACCIONES PENALES,7864.0,
    TOTAL INFRACCIONES PENALES,2092040.0,
Araba/Álava,
    1. CONTRA LAS PERSONAS,1926.0,
    1.1.-Homicidios dolosos/asesinatos,1.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,1.0,
    1.2.-Lesiones,646.0,
    1.3.-Malos tratos ámbito familiar,165.0,
    1.4.-Otros contra las personas,1114.0,
    2. CONTRA LA LIBERTAD,597.0,
    2.1.-Malos tratos habituales en el ámbito familiar,437.0,
    2.2.-Otros contra la libertad,160.0,
    3. LIBERTAD SEXUAL,63.0,
    3.1.-Agresión sexual,10.0,
    3.2.-Agresión sexual con penetración,8.0,
    3.3.-Corrupción de menores o incapacitados,7.0,
    3.4.-Pornografía de menores,7.0,
    3.5.-Otros contra la libertad e indemnidad sexual,31.0,
    4. RELACIONES FAMILIARES,41.0,
    5. PATRIMONIO,9224.0,
    5.1.-Hurtos,4628.0,
    5.2.-Robos con fuerza en las cosas,1879.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,8.0,
    5.2.2.-Robos con fuerza en viviendas,621.0,
    5.2.3.-Robos con fuerza en establecimientos,346.0,
    5.3.-Robos con violencia o intimidación,233.0,
    5.3.1.-Robos con violencia en vía pública,161.0,
    5.3.2.-Robos con violencia en viviendas,13.0,
    5.3.3.-Robos con violencia en establecimientos,32.0,
    5.4.-Sustracción de vehículos,63.0,
    5.5.-Estafas,1036.0,
    5.5.1.-Estafas bancarias,7.0,
    5.6.-Daños,1154.0,
    5.7.-Contra la propiedad intelectual/industrial,4.0,
    5.8.-Blanqueo de capitales,1.0,
    5.9.-Otros contra el patrimonio,226.0,
    6. SEGURIDAD COLECTIVA,201.0,
    6.1.-Tráfico de drogas,25.0,
    6.2.-Contra la seguridad vial,168.0,
    6.3.-Otros contra la seguridad colectiva,8.0,
    7. FALSEDADES,128.0,
    8. ADMÓN. PÚBLICA,19.0,
    9. ADMÓN. JUSTICIA,175.0,
    10. ORDEN PÚBLICO,208.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,58.0,
    TOTAL INFRACCIONES PENALES,12640.0,
Albacete,
    1. CONTRA LAS PERSONAS,2115.0,
    1.1.-Homicidios dolosos/asesinatos,10.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,4.0,
    1.2.-Lesiones,823.0,
    1.3.-Malos tratos ámbito familiar,564.0,
    1.4.-Otros contra las personas,718.0,
    2. CONTRA LA LIBERTAD,218.0,
    2.1.-Malos tratos habituales en el ámbito familiar,79.0,
    2.2.-Otros contra la libertad,139.0,
    3. LIBERTAD SEXUAL,55.0,
    3.1.-Agresión sexual,20.0,
    3.2.-Agresión sexual con penetración,6.0,
    3.3.-Corrupción de menores o incapacitados,1.0,
    3.4.-Pornografía de menores,3.0,
    3.5.-Otros contra la libertad e indemnidad sexual,25.0,
    4. RELACIONES FAMILIARES,86.0,
    5. PATRIMONIO,9454.0,
    5.1.-Hurtos,4651.0,
    5.2.-Robos con fuerza en las cosas,2190.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,577.0,
    5.2.2.-Robos con fuerza en viviendas,755.0,
    5.2.3.-Robos con fuerza en establecimientos,233.0,
