
Series anuales. Hechos conocidos
Hechos conocidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos conocidos

,2016,
TOTAL NACIONAL,
    1. CONTRA LAS PERSONAS,166431.0,
    1.1.-Homicidios dolosos/asesinatos,1107.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,294.0,
    1.2.-Lesiones,97108.0,
    1.3.-Malos tratos ámbito familiar,66102.0,
    1.4.-Otros contra las personas,2114.0,
    2. CONTRA LA LIBERTAD,115493.0,
    2.1.-Malos tratos habituales en el ámbito familiar,14554.0,
    2.2.-Otros contra la libertad,100939.0,
    3. LIBERTAD SEXUAL,10844.0,
    3.1.-Agresión sexual,1684.0,
    3.2.-Agresión sexual con penetración,1249.0,
    3.3.-Corrupción de menores o incapacitados,368.0,
    3.4.-Pornografía de menores,621.0,
    3.5.-Otros contra la libertad e indemnidad sexual,6922.0,
    4. RELACIONES FAMILIARES,8043.0,
    5. PATRIMONIO,1572967.0,
    5.1.-Hurtos,711507.0,
    5.2.-Robos con fuerza en las cosas,318164.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,104274.0,
    5.2.2.-Robos con fuerza en viviendas,113299.0,
    5.2.3.-Robos con fuerza en establecimientos,37619.0,
    5.3.-Robos con violencia o intimidación,62952.0,
    5.3.1.-Robos con violencia en vía pública,28900.0,
    5.3.2.-Robos con violencia en viviendas,3521.0,
    5.3.3.-Robos con violencia en establecimientos,5174.0,
    5.4.-Sustracción de vehículos,43335.0,
    5.5.-Estafas,179718.0,
    5.5.1.-Estafas bancarias,35824.0,
    5.6.-Daños,214709.0,
    5.7.-Contra la propiedad intelectual/industrial,1889.0,
    5.8.-Blanqueo de capitales,262.0,
    5.9.-Otros contra el patrimonio,40431.0,
    6. SEGURIDAD COLECTIVA,58350.0,
    6.1.-Tráfico de drogas,12448.0,
    6.2.-Contra la seguridad vial,43913.0,
    6.3.-Otros contra la seguridad colectiva,1989.0,
    7. FALSEDADES,19958.0,
    8. ADMÓN. PÚBLICA,553.0,
    9. ADMÓN. JUSTICIA,27647.0,
    10. ORDEN PÚBLICO,18867.0,
    11. LEGISLACIÓN ESPECIAL,143.0,
    12. OTRAS INFRACCIONES PENALES,10394.0,
    TOTAL INFRACCIONES PENALES,2009690.0,
ANDALUCÍA,
    1. CONTRA LAS PERSONAS,33661.0,
    1.1.-Homicidios dolosos/asesinatos,295.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,68.0,
    1.2.-Lesiones,19149.0,
    1.3.-Malos tratos ámbito familiar,13747.0,
    1.4.-Otros contra las personas,470.0,
    2. CONTRA LA LIBERTAD,23184.0,
    2.1.-Malos tratos habituales en el ámbito familiar,2703.0,
    2.2.-Otros contra la libertad,20481.0,
    3. LIBERTAD SEXUAL,1837.0,
    3.1.-Agresión sexual,309.0,
    3.2.-Agresión sexual con penetración,185.0,
    3.3.-Corrupción de menores o incapacitados,64.0,
    3.4.-Pornografía de menores,111.0,
    3.5.-Otros contra la libertad e indemnidad sexual,1168.0,
    4. RELACIONES FAMILIARES,1527.0,
    5. PATRIMONIO,243163.0,
    5.1.-Hurtos,109491.0,
    5.2.-Robos con fuerza en las cosas,54283.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,19022.0,
    5.2.2.-Robos con fuerza en viviendas,18367.0,
    5.2.3.-Robos con fuerza en establecimientos,7772.0,
    5.3.-Robos con violencia o intimidación,7431.0,
    5.3.1.-Robos con violencia en vía pública,5051.0,
    5.3.2.-Robos con violencia en viviendas,591.0,
    5.3.3.-Robos con violencia en establecimientos,956.0,
    5.4.-Sustracción de vehículos,8835.0,
    5.5.-Estafas,21545.0,
    5.5.1.-Estafas bancarias,1645.0,
    5.6.-Daños,34528.0,
    5.7.-Contra la propiedad intelectual/industrial,523.0,
    5.8.-Blanqueo de capitales,57.0,
    5.9.-Otros contra el patrimonio,6470.0,
    6. SEGURIDAD COLECTIVA,12880.0,
    6.1.-Tráfico de drogas,3143.0,
    6.2.-Contra la seguridad vial,9318.0,
    6.3.-Otros contra la seguridad colectiva,419.0,
    7. FALSEDADES,3606.0,
    8. ADMÓN. PÚBLICA,190.0,
    9. ADMÓN. JUSTICIA,5870.0,
    10. ORDEN PÚBLICO,3450.0,
    11. LEGISLACIÓN ESPECIAL,86.0,
    12. OTRAS INFRACCIONES PENALES,2382.0,
    TOTAL INFRACCIONES PENALES,331836.0,
ARAGÓN,
    1. CONTRA LAS PERSONAS,4005.0,
    1.1.-Homicidios dolosos/asesinatos,25.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,8.0,
    1.2.-Lesiones,2073.0,
    1.3.-Malos tratos ámbito familiar,1864.0,
    1.4.-Otros contra las personas,43.0,
    2. CONTRA LA LIBERTAD,2134.0,
    2.1.-Malos tratos habituales en el ámbito familiar,251.0,
    2.2.-Otros contra la libertad,1883.0,
    3. LIBERTAD SEXUAL,287.0,
    3.1.-Agresión sexual,47.0,
    3.2.-Agresión sexual con penetración,20.0,
    3.3.-Corrupción de menores o incapacitados,20.0,
    3.4.-Pornografía de menores,8.0,
    3.5.-Otros contra la libertad e indemnidad sexual,192.0,
    4. RELACIONES FAMILIARES,155.0,
    5. PATRIMONIO,28874.0,
    5.1.-Hurtos,11936.0,
    5.2.-Robos con fuerza en las cosas,5615.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1371.0,
    5.2.2.-Robos con fuerza en viviendas,1898.0,
    5.2.3.-Robos con fuerza en establecimientos,713.0,
    5.3.-Robos con violencia o intimidación,910.0,
    5.3.1.-Robos con violencia en vía pública,613.0,
    5.3.2.-Robos con violencia en viviendas,65.0,
    5.3.3.-Robos con violencia en establecimientos,128.0,
    5.4.-Sustracción de vehículos,388.0,
    5.5.-Estafas,3813.0,
    5.5.1.-Estafas bancarias,122.0,
    5.6.-Daños,5222.0,
    5.7.-Contra la propiedad intelectual/industrial,28.0,
    5.8.-Blanqueo de capitales,8.0,
    5.9.-Otros contra el patrimonio,954.0,
    6. SEGURIDAD COLECTIVA,1043.0,
    6.1.-Tráfico de drogas,252.0,
    6.2.-Contra la seguridad vial,719.0,
    6.3.-Otros contra la seguridad colectiva,72.0,
    7. FALSEDADES,330.0,
    8. ADMÓN. PÚBLICA,9.0,
    9. ADMÓN. JUSTICIA,594.0,
    10. ORDEN PÚBLICO,438.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,276.0,
    TOTAL INFRACCIONES PENALES,38146.0,
ASTURIAS (PRINCIPADO DE),
    1. CONTRA LAS PERSONAS,3239.0,
    1.1.-Homicidios dolosos/asesinatos,22.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,6.0,
    1.2.-Lesiones,1989.0,
    1.3.-Malos tratos ámbito familiar,1179.0,
    1.4.-Otros contra las personas,49.0,
    2. CONTRA LA LIBERTAD,1824.0,
    2.1.-Malos tratos habituales en el ámbito familiar,130.0,
    2.2.-Otros contra la libertad,1694.0,
    3. LIBERTAD SEXUAL,146.0,
    3.1.-Agresión sexual,24.0,
    3.2.-Agresión sexual con penetración,16.0,
    3.3.-Corrupción de menores o incapacitados,2.0,
    3.4.-Pornografía de menores,10.0,
    3.5.-Otros contra la libertad e indemnidad sexual,94.0,
    4. RELACIONES FAMILIARES,106.0,
    5. PATRIMONIO,18359.0,
    5.1.-Hurtos,7638.0,
    5.2.-Robos con fuerza en las cosas,3043.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,565.0,
    5.2.2.-Robos con fuerza en viviendas,1101.0,
    5.2.3.-Robos con fuerza en establecimientos,832.0,
    5.3.-Robos con violencia o intimidación,531.0,
    5.3.1.-Robos con violencia en vía pública,321.0,
    5.3.2.-Robos con violencia en viviendas,44.0,
    5.3.3.-Robos con violencia en establecimientos,103.0,
    5.4.-Sustracción de vehículos,371.0,
    5.5.-Estafas,2955.0,
    5.5.1.-Estafas bancarias,74.0,
    5.6.-Daños,3025.0,
    5.7.-Contra la propiedad intelectual/industrial,12.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,784.0,
    6. SEGURIDAD COLECTIVA,1108.0,
    6.1.-Tráfico de drogas,103.0,
    6.2.-Contra la seguridad vial,946.0,
    6.3.-Otros contra la seguridad colectiva,59.0,
    7. FALSEDADES,201.0,
    8. ADMÓN. PÚBLICA,0.0,
    9. ADMÓN. JUSTICIA,512.0,
    10. ORDEN PÚBLICO,368.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,230.0,
    TOTAL INFRACCIONES PENALES,26093.0,
BALEARS (ILLES),
    1. CONTRA LAS PERSONAS,6609.0,
    1.1.-Homicidios dolosos/asesinatos,32.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,9.0,
    1.2.-Lesiones,3456.0,
    1.3.-Malos tratos ámbito familiar,3045.0,
    1.4.-Otros contra las personas,76.0,
    2. CONTRA LA LIBERTAD,4258.0,
    2.1.-Malos tratos habituales en el ámbito familiar,514.0,
    2.2.-Otros contra la libertad,3744.0,
    3. LIBERTAD SEXUAL,442.0,
    3.1.-Agresión sexual,73.0,
    3.2.-Agresión sexual con penetración,51.0,
    3.3.-Corrupción de menores o incapacitados,27.0,
    3.4.-Pornografía de menores,17.0,
    3.5.-Otros contra la libertad e indemnidad sexual,274.0,
    4. RELACIONES FAMILIARES,212.0,
    5. PATRIMONIO,51859.0,
    5.1.-Hurtos,27962.0,
    5.2.-Robos con fuerza en las cosas,8737.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2965.0,
    5.2.2.-Robos con fuerza en viviendas,3104.0,
    5.2.3.-Robos con fuerza en establecimientos,1138.0,
    5.3.-Robos con violencia o intimidación,1186.0,
    5.3.1.-Robos con violencia en vía pública,721.0,
    5.3.2.-Robos con violencia en viviendas,78.0,
    5.3.3.-Robos con violencia en establecimientos,175.0,
    5.4.-Sustracción de vehículos,1925.0,
    5.5.-Estafas,5028.0,
    5.5.1.-Estafas bancarias,811.0,
    5.6.-Daños,5064.0,
    5.7.-Contra la propiedad intelectual/industrial,91.0,
    5.8.-Blanqueo de capitales,4.0,
    5.9.-Otros contra el patrimonio,1862.0,
    6. SEGURIDAD COLECTIVA,2332.0,
    6.1.-Tráfico de drogas,500.0,
    6.2.-Contra la seguridad vial,1764.0,
    6.3.-Otros contra la seguridad colectiva,68.0,
    7. FALSEDADES,479.0,
    8. ADMÓN. PÚBLICA,27.0,
    9. ADMÓN. JUSTICIA,980.0,
    10. ORDEN PÚBLICO,643.0,
    11. LEGISLACIÓN ESPECIAL,3.0,
    12. OTRAS INFRACCIONES PENALES,316.0,
    TOTAL INFRACCIONES PENALES,68160.0,
CANARIAS,
    1. CONTRA LAS PERSONAS,11021.0,
    1.1.-Homicidios dolosos/asesinatos,65.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,21.0,
    1.2.-Lesiones,6370.0,
    1.3.-Malos tratos ámbito familiar,4487.0,
    1.4.-Otros contra las personas,99.0,
    2. CONTRA LA LIBERTAD,8344.0,
    2.1.-Malos tratos habituales en el ámbito familiar,695.0,
    2.2.-Otros contra la libertad,7649.0,
    3. LIBERTAD SEXUAL,530.0,
    3.1.-Agresión sexual,76.0,
    3.2.-Agresión sexual con penetración,45.0,
    3.3.-Corrupción de menores o incapacitados,23.0,
    3.4.-Pornografía de menores,26.0,
    3.5.-Otros contra la libertad e indemnidad sexual,360.0,
    4. RELACIONES FAMILIARES,837.0,
    5. PATRIMONIO,61781.0,
    5.1.-Hurtos,30971.0,
    5.2.-Robos con fuerza en las cosas,12658.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,4507.0,
    5.2.2.-Robos con fuerza en viviendas,3572.0,
    5.2.3.-Robos con fuerza en establecimientos,2053.0,
    5.3.-Robos con violencia o intimidación,1537.0,
    5.3.1.-Robos con violencia en vía pública,962.0,
    5.3.2.-Robos con violencia en viviendas,132.0,
    5.3.3.-Robos con violencia en establecimientos,249.0,
    5.4.-Sustracción de vehículos,1606.0,
    5.5.-Estafas,5480.0,
    5.5.1.-Estafas bancarias,625.0,
    5.6.-Daños,7240.0,
    5.7.-Contra la propiedad intelectual/industrial,87.0,
    5.8.-Blanqueo de capitales,15.0,
    5.9.-Otros contra el patrimonio,2187.0,
    6. SEGURIDAD COLECTIVA,3029.0,
    6.1.-Tráfico de drogas,601.0,
    6.2.-Contra la seguridad vial,2363.0,
    6.3.-Otros contra la seguridad colectiva,65.0,
    7. FALSEDADES,643.0,
    8. ADMÓN. PÚBLICA,26.0,
    9. ADMÓN. JUSTICIA,1298.0,
    10. ORDEN PÚBLICO,863.0,
    11. LEGISLACIÓN ESPECIAL,3.0,
    12. OTRAS INFRACCIONES PENALES,407.0,
    TOTAL INFRACCIONES PENALES,88782.0,
CANTABRIA,
    1. CONTRA LAS PERSONAS,1971.0,
    1.1.-Homicidios dolosos/asesinatos,8.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,0.0,
    1.2.-Lesiones,1341.0,
    1.3.-Malos tratos ámbito familiar,572.0,
    1.4.-Otros contra las personas,50.0,
    2. CONTRA LA LIBERTAD,1261.0,
    2.1.-Malos tratos habituales en el ámbito familiar,145.0,
    2.2.-Otros contra la libertad,1116.0,
    3. LIBERTAD SEXUAL,69.0,
    3.1.-Agresión sexual,8.0,
    3.2.-Agresión sexual con penetración,6.0,
    3.3.-Corrupción de menores o incapacitados,0.0,
    3.4.-Pornografía de menores,8.0,
    3.5.-Otros contra la libertad e indemnidad sexual,47.0,
    4. RELACIONES FAMILIARES,37.0,
    5. PATRIMONIO,12290.0,
    5.1.-Hurtos,5108.0,
    5.2.-Robos con fuerza en las cosas,2562.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,407.0,
    5.2.2.-Robos con fuerza en viviendas,982.0,
    5.2.3.-Robos con fuerza en establecimientos,664.0,
    5.3.-Robos con violencia o intimidación,214.0,
    5.3.1.-Robos con violencia en vía pública,109.0,
    5.3.2.-Robos con violencia en viviendas,23.0,
    5.3.3.-Robos con violencia en establecimientos,55.0,
    5.4.-Sustracción de vehículos,245.0,
    5.5.-Estafas,1666.0,
    5.5.1.-Estafas bancarias,137.0,
    5.6.-Daños,1956.0,
    5.7.-Contra la propiedad intelectual/industrial,11.0,
    5.8.-Blanqueo de capitales,1.0,
    5.9.-Otros contra el patrimonio,527.0,
    6. SEGURIDAD COLECTIVA,733.0,
    6.1.-Tráfico de drogas,92.0,
    6.2.-Contra la seguridad vial,618.0,
    6.3.-Otros contra la seguridad colectiva,23.0,
    7. FALSEDADES,145.0,
    8. ADMÓN. PÚBLICA,2.0,
    9. ADMÓN. JUSTICIA,229.0,
    10. ORDEN PÚBLICO,154.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,110.0,
    TOTAL INFRACCIONES PENALES,17002.0,
CASTILLA Y LEÓN,
    1. CONTRA LAS PERSONAS,6922.0,
    1.1.-Homicidios dolosos/asesinatos,28.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,11.0,
    1.2.-Lesiones,4523.0,
    1.3.-Malos tratos ámbito familiar,2298.0,
    1.4.-Otros contra las personas,73.0,
    2. CONTRA LA LIBERTAD,5110.0,
    2.1.-Malos tratos habituales en el ámbito familiar,545.0,
    2.2.-Otros contra la libertad,4565.0,
    3. LIBERTAD SEXUAL,289.0,
    3.1.-Agresión sexual,47.0,
    3.2.-Agresión sexual con penetración,26.0,
    3.3.-Corrupción de menores o incapacitados,10.0,
    3.4.-Pornografía de menores,28.0,
    3.5.-Otros contra la libertad e indemnidad sexual,178.0,
    4. RELACIONES FAMILIARES,203.0,
    5. PATRIMONIO,54234.0,
    5.1.-Hurtos,22480.0,
    5.2.-Robos con fuerza en las cosas,10186.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1637.0,
    5.2.2.-Robos con fuerza en viviendas,3521.0,
    5.2.3.-Robos con fuerza en establecimientos,2165.0,
    5.3.-Robos con violencia o intimidación,847.0,
    5.3.1.-Robos con violencia en vía pública,512.0,
    5.3.2.-Robos con violencia en viviendas,90.0,
    5.3.3.-Robos con violencia en establecimientos,130.0,
    5.4.-Sustracción de vehículos,901.0,
    5.5.-Estafas,7850.0,
    5.5.1.-Estafas bancarias,512.0,
    5.6.-Daños,10667.0,
    5.7.-Contra la propiedad intelectual/industrial,61.0,
    5.8.-Blanqueo de capitales,6.0,
    5.9.-Otros contra el patrimonio,1236.0,
    6. SEGURIDAD COLECTIVA,2404.0,
    6.1.-Tráfico de drogas,352.0,
    6.2.-Contra la seguridad vial,1949.0,
    6.3.-Otros contra la seguridad colectiva,103.0,
    7. FALSEDADES,643.0,
    8. ADMÓN. PÚBLICA,8.0,
    9. ADMÓN. JUSTICIA,1057.0,
    10. ORDEN PÚBLICO,622.0,
    11. LEGISLACIÓN ESPECIAL,2.0,
    12. OTRAS INFRACCIONES PENALES,543.0,
    TOTAL INFRACCIONES PENALES,72037.0,
CASTILLA - LA MANCHA,
    1. CONTRA LAS PERSONAS,6383.0,
    1.1.-Homicidios dolosos/asesinatos,38.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,11.0,
    1.2.-Lesiones,3821.0,
    1.3.-Malos tratos ámbito familiar,2457.0,
    1.4.-Otros contra las personas,67.0,
    2. CONTRA LA LIBERTAD,4160.0,
    2.1.-Malos tratos habituales en el ámbito familiar,516.0,
    2.2.-Otros contra la libertad,3644.0,
    3. LIBERTAD SEXUAL,348.0,
    3.1.-Agresión sexual,61.0,
    3.2.-Agresión sexual con penetración,38.0,
    3.3.-Corrupción de menores o incapacitados,24.0,
    3.4.-Pornografía de menores,15.0,
    3.5.-Otros contra la libertad e indemnidad sexual,210.0,
    4. RELACIONES FAMILIARES,336.0,
    5. PATRIMONIO,46605.0,
    5.1.-Hurtos,15746.0,
    5.2.-Robos con fuerza en las cosas,14383.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2651.0,
    5.2.2.-Robos con fuerza en viviendas,5937.0,
    5.2.3.-Robos con fuerza en establecimientos,2215.0,
    5.3.-Robos con violencia o intimidación,1006.0,
    5.3.1.-Robos con violencia en vía pública,608.0,
    5.3.2.-Robos con violencia en viviendas,82.0,
    5.3.3.-Robos con violencia en establecimientos,150.0,
    5.4.-Sustracción de vehículos,1511.0,
    5.5.-Estafas,4937.0,
    5.5.1.-Estafas bancarias,649.0,
    5.6.-Daños,7335.0,
    5.7.-Contra la propiedad intelectual/industrial,23.0,
    5.8.-Blanqueo de capitales,8.0,
    5.9.-Otros contra el patrimonio,1656.0,
    6. SEGURIDAD COLECTIVA,2612.0,
