
Series anuales. Hechos conocidos
Hechos conocidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos conocidos

,2011,
TOTAL NACIONAL,
    1. CONTRA LAS PERSONAS,300654.0,
    1.1.-Homicidios dolosos/asesinatos,1210.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,385.0,
    1.2.-Lesiones,112824.0,
    1.3.-Malos tratos ámbito familiar,62260.0,
    1.4.-Otros contra las personas,124360.0,
    2. CONTRA LA LIBERTAD,45131.0,
    2.1.-Malos tratos habituales en el ámbito familiar,17694.0,
    2.2.-Otros contra la libertad,27437.0,
    3. LIBERTAD SEXUAL,9892.0,
    3.1.-Agresión sexual,2294.0,
    3.2.-Agresión sexual con penetración,1513.0,
    3.3.-Corrupción de menores o incapacitados,253.0,
    3.4.-Pornografía de menores,715.0,
    3.5.-Otros contra la libertad e indemnidad sexual,5117.0,
    4. RELACIONES FAMILIARES,9087.0,
    5. PATRIMONIO,1742631.0,
    5.1.-Hurtos,786704.0,
    5.2.-Robos con fuerza en las cosas,414961.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,153259.0,
    5.2.2.-Robos con fuerza en viviendas,100780.0,
    5.2.3.-Robos con fuerza en establecimientos,41250.0,
    5.3.-Robos con violencia o intimidación,87718.0,
    5.3.1.-Robos con violencia en vía pública,38831.0,
    5.3.2.-Robos con violencia en viviendas,5450.0,
    5.3.3.-Robos con violencia en establecimientos,6458.0,
    5.4.-Sustracción de vehículos,60061.0,
    5.5.-Estafas,106262.0,
    5.5.1.-Estafas bancarias,14517.0,
    5.6.-Daños,254361.0,
    5.7.-Contra la propiedad intelectual/industrial,2643.0,
    5.8.-Blanqueo de capitales,171.0,
    5.9.-Otros contra el patrimonio,29750.0,
    6. SEGURIDAD COLECTIVA,85010.0,
    6.1.-Tráfico de drogas,15220.0,
    6.2.-Contra la seguridad vial,67374.0,
    6.3.-Otros contra la seguridad colectiva,2416.0,
    7. FALSEDADES,20175.0,
    8. ADMÓN. PÚBLICA,341.0,
    9. ADMÓN. JUSTICIA,29410.0,
    10. ORDEN PÚBLICO,36317.0,
    11. LEGISLACIÓN ESPECIAL,285.0,
    12. OTRAS INFRACCIONES PENALES,6592.0,
    TOTAL INFRACCIONES PENALES,2285525.0,
ANDALUCÍA,
    1. CONTRA LAS PERSONAS,64275.0,
    1.1.-Homicidios dolosos/asesinatos,305.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,85.0,
    1.2.-Lesiones,22084.0,
    1.3.-Malos tratos ámbito familiar,13802.0,
    1.4.-Otros contra las personas,28084.0,
    2. CONTRA LA LIBERTAD,7145.0,
    2.1.-Malos tratos habituales en el ámbito familiar,2776.0,
    2.2.-Otros contra la libertad,4369.0,
    3. LIBERTAD SEXUAL,1725.0,
    3.1.-Agresión sexual,406.0,
    3.2.-Agresión sexual con penetración,236.0,
    3.3.-Corrupción de menores o incapacitados,64.0,
    3.4.-Pornografía de menores,97.0,
    3.5.-Otros contra la libertad e indemnidad sexual,922.0,
    4. RELACIONES FAMILIARES,1480.0,
    5. PATRIMONIO,295431.0,
    5.1.-Hurtos,134955.0,
    5.2.-Robos con fuerza en las cosas,74161.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,28610.0,
    5.2.2.-Robos con fuerza en viviendas,17972.0,
    5.2.3.-Robos con fuerza en establecimientos,8025.0,
    5.3.-Robos con violencia o intimidación,11867.0,
    5.3.1.-Robos con violencia en vía pública,8216.0,
    5.3.2.-Robos con violencia en viviendas,602.0,
    5.3.3.-Robos con violencia en establecimientos,1296.0,
    5.4.-Sustracción de vehículos,12037.0,
    5.5.-Estafas,15107.0,
    5.5.1.-Estafas bancarias,1115.0,
    5.6.-Daños,42657.0,
    5.7.-Contra la propiedad intelectual/industrial,579.0,
    5.8.-Blanqueo de capitales,46.0,
    5.9.-Otros contra el patrimonio,4022.0,
    6. SEGURIDAD COLECTIVA,19296.0,
    6.1.-Tráfico de drogas,3513.0,
    6.2.-Contra la seguridad vial,15360.0,
    6.3.-Otros contra la seguridad colectiva,423.0,
    7. FALSEDADES,3265.0,
    8. ADMÓN. PÚBLICA,70.0,
    9. ADMÓN. JUSTICIA,6537.0,
    10. ORDEN PÚBLICO,6492.0,
    11. LEGISLACIÓN ESPECIAL,106.0,
    12. OTRAS INFRACCIONES PENALES,1298.0,
    TOTAL INFRACCIONES PENALES,407120.0,
ARAGÓN,
    1. CONTRA LAS PERSONAS,6848.0,
    1.1.-Homicidios dolosos/asesinatos,14.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,6.0,
    1.2.-Lesiones,2584.0,
    1.3.-Malos tratos ámbito familiar,1913.0,
    1.4.-Otros contra las personas,2337.0,
    2. CONTRA LA LIBERTAD,1038.0,
    2.1.-Malos tratos habituales en el ámbito familiar,463.0,
    2.2.-Otros contra la libertad,575.0,
    3. LIBERTAD SEXUAL,271.0,
    3.1.-Agresión sexual,78.0,
    3.2.-Agresión sexual con penetración,42.0,
    3.3.-Corrupción de menores o incapacitados,15.0,
    3.4.-Pornografía de menores,24.0,
    3.5.-Otros contra la libertad e indemnidad sexual,112.0,
    4. RELACIONES FAMILIARES,139.0,
    5. PATRIMONIO,38211.0,
    5.1.-Hurtos,17216.0,
    5.2.-Robos con fuerza en las cosas,8712.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2546.0,
    5.2.2.-Robos con fuerza en viviendas,1618.0,
    5.2.3.-Robos con fuerza en establecimientos,1040.0,
    5.3.-Robos con violencia o intimidación,1566.0,
    5.3.1.-Robos con violencia en vía pública,981.0,
    5.3.2.-Robos con violencia en viviendas,112.0,
    5.3.3.-Robos con violencia en establecimientos,255.0,
    5.4.-Sustracción de vehículos,811.0,
    5.5.-Estafas,2222.0,
    5.5.1.-Estafas bancarias,154.0,
    5.6.-Daños,7121.0,
    5.7.-Contra la propiedad intelectual/industrial,64.0,
    5.8.-Blanqueo de capitales,6.0,
    5.9.-Otros contra el patrimonio,493.0,
    6. SEGURIDAD COLECTIVA,1640.0,
    6.1.-Tráfico de drogas,318.0,
    6.2.-Contra la seguridad vial,1159.0,
    6.3.-Otros contra la seguridad colectiva,163.0,
    7. FALSEDADES,401.0,
