
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2013,
Total Nacional,
    1. CONTRA LAS PERSONAS,274655.0,
    1.1.-Homicidios dolosos/asesinatos,964.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,302.0,
    1.2.-Lesiones,100193.0,
    1.3.-Malos tratos ámbito familiar,59819.0,
    1.4.-Otros contra las personas,113679.0,
    2. CONTRA LA LIBERTAD,43322.0,
    2.1.-Malos tratos habituales en el ámbito familiar,16676.0,
    2.2.-Otros contra la libertad,26646.0,
    3. LIBERTAD SEXUAL,8923.0,
    3.1.-Agresión sexual,1807.0,
    3.2.-Agresión sexual con penetración,1298.0,
    3.3.-Corrupción de menores o incapacitados,320.0,
    3.4.-Pornografía de menores,508.0,
    3.5.-Otros contra la libertad e indemnidad sexual,4990.0,
    4. RELACIONES FAMILIARES,10331.0,
    5. PATRIMONIO,1679585.0,
    5.1.-Hurtos,770296.0,
    5.2.-Robos con fuerza en las cosas,381777.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,123355.0,
    5.2.2.-Robos con fuerza en viviendas,127444.0,
    5.2.3.-Robos con fuerza en establecimientos,39940.0,
    5.3.-Robos con violencia o intimidación,86034.0,
    5.3.1.-Robos con violencia en vía pública,38975.0,
    5.3.2.-Robos con violencia en viviendas,6306.0,
    5.3.3.-Robos con violencia en establecimientos,6747.0,
    5.4.-Sustracción de vehículos,48855.0,
    5.5.-Estafas,122464.0,
    5.5.1.-Estafas bancarias,20292.0,
    5.6.-Daños,226619.0,
    5.7.-Contra la propiedad intelectual/industrial,3260.0,
    5.8.-Blanqueo de capitales,243.0,
    5.9.-Otros contra el patrimonio,40037.0,
    6. SEGURIDAD COLECTIVA,71596.0,
    6.1.-Tráfico de drogas,14296.0,
    6.2.-Contra la seguridad vial,55226.0,
    6.3.-Otros contra la seguridad colectiva,2074.0,
    7. FALSEDADES,17262.0,
    8. ADMÓN. PÚBLICA,391.0,
    9. ADMÓN. JUSTICIA,27245.0,
    10. ORDEN PÚBLICO,31489.0,
    11. LEGISLACIÓN ESPECIAL,205.0,
    12. OTRAS INFRACCIONES PENALES,7129.0,
    TOTAL INFRACCIONES PENALES,2172133.0,
Araba/Álava,
    1. CONTRA LAS PERSONAS,1686.0,
    1.1.-Homicidios dolosos/asesinatos,9.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,3.0,
    1.2.-Lesiones,607.0,
    1.3.-Malos tratos ámbito familiar,121.0,
    1.4.-Otros contra las personas,949.0,
    2. CONTRA LA LIBERTAD,691.0,
    2.1.-Malos tratos habituales en el ámbito familiar,513.0,
    2.2.-Otros contra la libertad,178.0,
    3. LIBERTAD SEXUAL,53.0,
    3.1.-Agresión sexual,10.0,
    3.2.-Agresión sexual con penetración,15.0,
    3.3.-Corrupción de menores o incapacitados,0.0,
    3.4.-Pornografía de menores,3.0,
    3.5.-Otros contra la libertad e indemnidad sexual,25.0,
    4. RELACIONES FAMILIARES,49.0,
    5. PATRIMONIO,9915.0,
    5.1.-Hurtos,4978.0,
    5.2.-Robos con fuerza en las cosas,2120.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,9.0,
    5.2.2.-Robos con fuerza en viviendas,635.0,
    5.2.3.-Robos con fuerza en establecimientos,341.0,
    5.3.-Robos con violencia o intimidación,262.0,
    5.3.1.-Robos con violencia en vía pública,164.0,
    5.3.2.-Robos con violencia en viviendas,28.0,
    5.3.3.-Robos con violencia en establecimientos,50.0,
    5.4.-Sustracción de vehículos,75.0,
    5.5.-Estafas,1001.0,
    5.5.1.-Estafas bancarias,6.0,
    5.6.-Daños,1276.0,
    5.7.-Contra la propiedad intelectual/industrial,7.0,
    5.8.-Blanqueo de capitales,1.0,
    5.9.-Otros contra el patrimonio,195.0,
    6. SEGURIDAD COLECTIVA,238.0,
    6.1.-Tráfico de drogas,44.0,
    6.2.-Contra la seguridad vial,190.0,
    6.3.-Otros contra la seguridad colectiva,4.0,
    7. FALSEDADES,191.0,
    8. ADMÓN. PÚBLICA,10.0,
    9. ADMÓN. JUSTICIA,204.0,
    10. ORDEN PÚBLICO,193.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,55.0,
    TOTAL INFRACCIONES PENALES,13285.0,
Albacete,
    1. CONTRA LAS PERSONAS,2070.0,
    1.1.-Homicidios dolosos/asesinatos,8.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,3.0,
    1.2.-Lesiones,819.0,
    1.3.-Malos tratos ámbito familiar,504.0,
    1.4.-Otros contra las personas,739.0,
    2. CONTRA LA LIBERTAD,232.0,
    2.1.-Malos tratos habituales en el ámbito familiar,92.0,
    2.2.-Otros contra la libertad,140.0,
    3. LIBERTAD SEXUAL,62.0,
    3.1.-Agresión sexual,19.0,
    3.2.-Agresión sexual con penetración,6.0,
    3.3.-Corrupción de menores o incapacitados,1.0,
    3.4.-Pornografía de menores,4.0,
    3.5.-Otros contra la libertad e indemnidad sexual,32.0,
    4. RELACIONES FAMILIARES,121.0,
    5. PATRIMONIO,10306.0,
    5.1.-Hurtos,4963.0,
    5.2.-Robos con fuerza en las cosas,2529.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,657.0,
    5.2.2.-Robos con fuerza en viviendas,837.0,
    5.2.3.-Robos con fuerza en establecimientos,262.0,
    5.3.-Robos con violencia o intimidación,338.0,
    5.3.1.-Robos con violencia en vía pública,205.0,
    5.3.2.-Robos con violencia en viviendas,39.0,
    5.3.3.-Robos con violencia en establecimientos,38.0,
    5.4.-Sustracción de vehículos,173.0,
    5.5.-Estafas,676.0,
    5.5.1.-Estafas bancarias,45.0,
    5.6.-Daños,1438.0,
    5.7.-Contra la propiedad intelectual/industrial,8.0,
    5.8.-Blanqueo de capitales,1.0,
    5.9.-Otros contra el patrimonio,180.0,
    6. SEGURIDAD COLECTIVA,547.0,
    6.1.-Tráfico de drogas,98.0,
    6.2.-Contra la seguridad vial,413.0,
    6.3.-Otros contra la seguridad colectiva,36.0,
    7. FALSEDADES,128.0,
    8. ADMÓN. PÚBLICA,1.0,
    9. ADMÓN. JUSTICIA,217.0,
    10. ORDEN PÚBLICO,212.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,47.0,
    TOTAL INFRACCIONES PENALES,13943.0,
Alicante/Alacant,
    1. CONTRA LAS PERSONAS,13501.0,
    1.1.-Homicidios dolosos/asesinatos,26.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,9.0,
    1.2.-Lesiones,4565.0,
    1.3.-Malos tratos ámbito familiar,3500.0,
    1.4.-Otros contra las personas,5410.0,
    2. CONTRA LA LIBERTAD,1486.0,
    2.1.-Malos tratos habituales en el ámbito familiar,522.0,
    2.2.-Otros contra la libertad,964.0,
    3. LIBERTAD SEXUAL,422.0,
    3.1.-Agresión sexual,78.0,
    3.2.-Agresión sexual con penetración,75.0,
    3.3.-Corrupción de menores o incapacitados,27.0,
    3.4.-Pornografía de menores,16.0,
    3.5.-Otros contra la libertad e indemnidad sexual,226.0,
    4. RELACIONES FAMILIARES,476.0,
    5. PATRIMONIO,77177.0,
    5.1.-Hurtos,33586.0,
    5.2.-Robos con fuerza en las cosas,20713.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,5416.0,
    5.2.2.-Robos con fuerza en viviendas,10250.0,
    5.2.3.-Robos con fuerza en establecimientos,2180.0,
    5.3.-Robos con violencia o intimidación,2640.0,
    5.3.1.-Robos con violencia en vía pública,1707.0,
    5.3.2.-Robos con violencia en viviendas,256.0,
    5.3.3.-Robos con violencia en establecimientos,306.0,
    5.4.-Sustracción de vehículos,2240.0,
    5.5.-Estafas,4976.0,
    5.5.1.-Estafas bancarias,516.0,
    5.6.-Daños,11108.0,
    5.7.-Contra la propiedad intelectual/industrial,158.0,
    5.8.-Blanqueo de capitales,18.0,
    5.9.-Otros contra el patrimonio,1738.0,
    6. SEGURIDAD COLECTIVA,3321.0,
    6.1.-Tráfico de drogas,778.0,
    6.2.-Contra la seguridad vial,2448.0,
    6.3.-Otros contra la seguridad colectiva,95.0,
    7. FALSEDADES,818.0,
    8. ADMÓN. PÚBLICA,12.0,
    9. ADMÓN. JUSTICIA,1611.0,
    10. ORDEN PÚBLICO,1785.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,276.0,
    TOTAL INFRACCIONES PENALES,100886.0,
Almería,
    1. CONTRA LAS PERSONAS,4856.0,
    1.1.-Homicidios dolosos/asesinatos,25.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,6.0,
    1.2.-Lesiones,1874.0,
    1.3.-Malos tratos ámbito familiar,1109.0,
    1.4.-Otros contra las personas,1848.0,
    2. CONTRA LA LIBERTAD,792.0,
    2.1.-Malos tratos habituales en el ámbito familiar,342.0,
    2.2.-Otros contra la libertad,450.0,
    3. LIBERTAD SEXUAL,144.0,
    3.1.-Agresión sexual,32.0,
    3.2.-Agresión sexual con penetración,23.0,
    3.3.-Corrupción de menores o incapacitados,8.0,
    3.4.-Pornografía de menores,1.0,
    3.5.-Otros contra la libertad e indemnidad sexual,80.0,
    4. RELACIONES FAMILIARES,295.0,
    5. PATRIMONIO,23649.0,
    5.1.-Hurtos,8779.0,
    5.2.-Robos con fuerza en las cosas,7829.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1803.0,
    5.2.2.-Robos con fuerza en viviendas,3417.0,
    5.2.3.-Robos con fuerza en establecimientos,660.0,
    5.3.-Robos con violencia o intimidación,1079.0,
    5.3.1.-Robos con violencia en vía pública,716.0,
    5.3.2.-Robos con violencia en viviendas,81.0,
    5.3.3.-Robos con violencia en establecimientos,112.0,
    5.4.-Sustracción de vehículos,696.0,
    5.5.-Estafas,1054.0,
    5.5.1.-Estafas bancarias,71.0,
    5.6.-Daños,3680.0,
    5.7.-Contra la propiedad intelectual/industrial,25.0,
    5.8.-Blanqueo de capitales,3.0,
    5.9.-Otros contra el patrimonio,504.0,
    6. SEGURIDAD COLECTIVA,1414.0,
    6.1.-Tráfico de drogas,267.0,
    6.2.-Contra la seguridad vial,1121.0,
    6.3.-Otros contra la seguridad colectiva,26.0,
    7. FALSEDADES,261.0,
    8. ADMÓN. PÚBLICA,6.0,
    9. ADMÓN. JUSTICIA,570.0,
    10. ORDEN PÚBLICO,489.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,89.0,
    TOTAL INFRACCIONES PENALES,32565.0,
Ávila,
    1. CONTRA LAS PERSONAS,924.0,
    1.1.-Homicidios dolosos/asesinatos,2.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,0.0,
    1.2.-Lesiones,327.0,
    1.3.-Malos tratos ámbito familiar,119.0,
    1.4.-Otros contra las personas,476.0,
    2. CONTRA LA LIBERTAD,128.0,
    2.1.-Malos tratos habituales en el ámbito familiar,70.0,
    2.2.-Otros contra la libertad,58.0,
    3. LIBERTAD SEXUAL,24.0,
    3.1.-Agresión sexual,3.0,
    3.2.-Agresión sexual con penetración,3.0,
    3.3.-Corrupción de menores o incapacitados,1.0,
    3.4.-Pornografía de menores,4.0,
    3.5.-Otros contra la libertad e indemnidad sexual,13.0,
    4. RELACIONES FAMILIARES,25.0,
    5. PATRIMONIO,3895.0,
    5.1.-Hurtos,1296.0,
    5.2.-Robos con fuerza en las cosas,1159.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,101.0,
    5.2.2.-Robos con fuerza en viviendas,570.0,
    5.2.3.-Robos con fuerza en establecimientos,145.0,
    5.3.-Robos con violencia o intimidación,53.0,
    5.3.1.-Robos con violencia en vía pública,32.0,
    5.3.2.-Robos con violencia en viviendas,7.0,
    5.3.3.-Robos con violencia en establecimientos,7.0,
    5.4.-Sustracción de vehículos,66.0,
    5.5.-Estafas,283.0,
    5.5.1.-Estafas bancarias,46.0,
    5.6.-Daños,959.0,
    5.7.-Contra la propiedad intelectual/industrial,2.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,77.0,
    6. SEGURIDAD COLECTIVA,260.0,
    6.1.-Tráfico de drogas,36.0,
    6.2.-Contra la seguridad vial,218.0,
    6.3.-Otros contra la seguridad colectiva,6.0,
    7. FALSEDADES,54.0,
    8. ADMÓN. PÚBLICA,1.0,
    9. ADMÓN. JUSTICIA,79.0,
    10. ORDEN PÚBLICO,103.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,20.0,
    TOTAL INFRACCIONES PENALES,5513.0,
Badajoz,
    1. CONTRA LAS PERSONAS,3681.0,
    1.1.-Homicidios dolosos/asesinatos,12.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,5.0,
    1.2.-Lesiones,1266.0,
    1.3.-Malos tratos ámbito familiar,726.0,
    1.4.-Otros contra las personas,1677.0,
    2. CONTRA LA LIBERTAD,435.0,
    2.1.-Malos tratos habituales en el ámbito familiar,192.0,
    2.2.-Otros contra la libertad,243.0,
    3. LIBERTAD SEXUAL,98.0,
    3.1.-Agresión sexual,24.0,
    3.2.-Agresión sexual con penetración,12.0,
    3.3.-Corrupción de menores o incapacitados,5.0,
    3.4.-Pornografía de menores,5.0,
    3.5.-Otros contra la libertad e indemnidad sexual,52.0,
    4. RELACIONES FAMILIARES,224.0,
    5. PATRIMONIO,14235.0,
    5.1.-Hurtos,6631.0,
    5.2.-Robos con fuerza en las cosas,3582.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,750.0,
    5.2.2.-Robos con fuerza en viviendas,1021.0,
    5.2.3.-Robos con fuerza en establecimientos,652.0,
    5.3.-Robos con violencia o intimidación,297.0,
    5.3.1.-Robos con violencia en vía pública,153.0,
    5.3.2.-Robos con violencia en viviendas,36.0,
    5.3.3.-Robos con violencia en establecimientos,70.0,
    5.4.-Sustracción de vehículos,270.0,
    5.5.-Estafas,781.0,
    5.5.1.-Estafas bancarias,49.0,
    5.6.-Daños,2232.0,
    5.7.-Contra la propiedad intelectual/industrial,32.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,410.0,
    6. SEGURIDAD COLECTIVA,747.0,
    6.1.-Tráfico de drogas,196.0,
    6.2.-Contra la seguridad vial,543.0,
    6.3.-Otros contra la seguridad colectiva,8.0,
    7. FALSEDADES,188.0,
    8. ADMÓN. PÚBLICA,0.0,
    9. ADMÓN. JUSTICIA,409.0,
    10. ORDEN PÚBLICO,321.0,
    11. LEGISLACIÓN ESPECIAL,3.0,
    12. OTRAS INFRACCIONES PENALES,134.0,
    TOTAL INFRACCIONES PENALES,20475.0,
Balears (Illes),
    1. CONTRA LAS PERSONAS,9030.0,
    1.1.-Homicidios dolosos/asesinatos,33.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,10.0,
    1.2.-Lesiones,3325.0,
    1.3.-Malos tratos ámbito familiar,2425.0,
    1.4.-Otros contra las personas,3247.0,
    2. CONTRA LA LIBERTAD,1327.0,
    2.1.-Malos tratos habituales en el ámbito familiar,474.0,
    2.2.-Otros contra la libertad,853.0,
    3. LIBERTAD SEXUAL,406.0,
    3.1.-Agresión sexual,90.0,
    3.2.-Agresión sexual con penetración,62.0,
    3.3.-Corrupción de menores o incapacitados,18.0,
    3.4.-Pornografía de menores,27.0,
    3.5.-Otros contra la libertad e indemnidad sexual,209.0,
    4. RELACIONES FAMILIARES,274.0,
    5. PATRIMONIO,57282.0,
    5.1.-Hurtos,34526.0,
    5.2.-Robos con fuerza en las cosas,10050.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,3037.0,
    5.2.2.-Robos con fuerza en viviendas,3540.0,
    5.2.3.-Robos con fuerza en establecimientos,1300.0,
    5.3.-Robos con violencia o intimidación,1319.0,
    5.3.1.-Robos con violencia en vía pública,851.0,
    5.3.2.-Robos con violencia en viviendas,78.0,
    5.3.3.-Robos con violencia en establecimientos,169.0,
    5.4.-Sustracción de vehículos,1582.0,
    5.5.-Estafas,3218.0,
    5.5.1.-Estafas bancarias,421.0,
    5.6.-Daños,4821.0,
    5.7.-Contra la propiedad intelectual/industrial,113.0,
    5.8.-Blanqueo de capitales,4.0,
    5.9.-Otros contra el patrimonio,1649.0,
    6. SEGURIDAD COLECTIVA,3052.0,
    6.1.-Tráfico de drogas,561.0,
    6.2.-Contra la seguridad vial,2413.0,
    6.3.-Otros contra la seguridad colectiva,78.0,
    7. FALSEDADES,405.0,
    8. ADMÓN. PÚBLICA,7.0,
