
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2017,
    12. OTRAS INFRACCIONES PENALES,105.0,
    TOTAL INFRACCIONES PENALES,11786.0,
Alicante/Alacant,
    1. CONTRA LAS PERSONAS,8425.0,
    1.1.-Homicidios dolosos/asesinatos,27.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,10.0,
    1.2.-Lesiones,4371.0,
    1.3.-Malos tratos ámbito familiar,3954.0,
    1.4.-Otros contra las personas,73.0,
    2. CONTRA LA LIBERTAD,4998.0,
    2.1.-Malos tratos habituales en el ámbito familiar,499.0,
    2.2.-Otros contra la libertad,4499.0,
    3. LIBERTAD SEXUAL,510.0,
    3.1.-Agresión sexual,70.0,
    3.2.-Agresión sexual con penetración,54.0,
    3.3.-Corrupción de menores o incapacitados,21.0,
    3.4.-Pornografía de menores,32.0,
    3.5.-Otros contra la libertad e indemnidad sexual,333.0,
    4. RELACIONES FAMILIARES,434.0,
    5. PATRIMONIO,69237.0,
    5.1.-Hurtos,29860.0,
    5.2.-Robos con fuerza en las cosas,16030.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,4757.0,
    5.2.2.-Robos con fuerza en viviendas,7609.0,
    5.2.3.-Robos con fuerza en establecimientos,1878.0,
    5.3.-Robos con violencia o intimidación,1818.0,
    5.3.1.-Robos con violencia en vía pública,1132.0,
    5.3.2.-Robos con violencia en viviendas,191.0,
    5.3.3.-Robos con violencia en establecimientos,258.0,
    5.4.-Sustracción de vehículos,1667.0,
    5.5.-Estafas,7753.0,
    5.5.1.-Estafas bancarias,903.0,
    5.6.-Daños,9932.0,
    5.7.-Contra la propiedad intelectual/industrial,121.0,
    5.8.-Blanqueo de capitales,11.0,
    5.9.-Otros contra el patrimonio,2045.0,
    6. SEGURIDAD COLECTIVA,2591.0,
    6.1.-Tráfico de drogas,626.0,
    6.2.-Contra la seguridad vial,1877.0,
    6.3.-Otros contra la seguridad colectiva,88.0,
    7. FALSEDADES,1111.0,
    8. ADMÓN. PÚBLICA,22.0,
    9. ADMÓN. JUSTICIA,1594.0,
    10. ORDEN PÚBLICO,1047.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,373.0,
    TOTAL INFRACCIONES PENALES,90343.0,
Almería,
    1. CONTRA LAS PERSONAS,3474.0,
    1.1.-Homicidios dolosos/asesinatos,18.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,5.0,
    1.2.-Lesiones,1956.0,
    1.3.-Malos tratos ámbito familiar,1473.0,
    1.4.-Otros contra las personas,27.0,
    2. CONTRA LA LIBERTAD,1978.0,
    2.1.-Malos tratos habituales en el ámbito familiar,289.0,
    2.2.-Otros contra la libertad,1689.0,
    3. LIBERTAD SEXUAL,184.0,
    3.1.-Agresión sexual,29.0,
    3.2.-Agresión sexual con penetración,17.0,
    3.3.-Corrupción de menores o incapacitados,9.0,
    3.4.-Pornografía de menores,16.0,
    3.5.-Otros contra la libertad e indemnidad sexual,113.0,
    4. RELACIONES FAMILIARES,255.0,
    5. PATRIMONIO,20833.0,
    5.1.-Hurtos,7794.0,
    5.2.-Robos con fuerza en las cosas,5649.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1591.0,
    5.2.2.-Robos con fuerza en viviendas,2260.0,
    5.2.3.-Robos con fuerza en establecimientos,498.0,
    5.3.-Robos con violencia o intimidación,588.0,
    5.3.1.-Robos con violencia en vía pública,343.0,
    5.3.2.-Robos con violencia en viviendas,53.0,
    5.3.3.-Robos con violencia en establecimientos,99.0,
    5.4.-Sustracción de vehículos,510.0,
    5.5.-Estafas,1816.0,
    5.5.1.-Estafas bancarias,189.0,
    5.6.-Daños,3666.0,
    5.7.-Contra la propiedad intelectual/industrial,15.0,
    5.8.-Blanqueo de capitales,2.0,
    5.9.-Otros contra el patrimonio,793.0,
    6. SEGURIDAD COLECTIVA,1264.0,
    6.1.-Tráfico de drogas,267.0,
    6.2.-Contra la seguridad vial,984.0,
    6.3.-Otros contra la seguridad colectiva,13.0,
    7. FALSEDADES,303.0,
    8. ADMÓN. PÚBLICA,14.0,
    9. ADMÓN. JUSTICIA,550.0,
    10. ORDEN PÚBLICO,387.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,159.0,
    TOTAL INFRACCIONES PENALES,29401.0,
Ávila,
    1. CONTRA LAS PERSONAS,491.0,
    1.1.-Homicidios dolosos/asesinatos,1.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,1.0,
    1.2.-Lesiones,337.0,
    1.3.-Malos tratos ámbito familiar,146.0,
    1.4.-Otros contra las personas,7.0,
    2. CONTRA LA LIBERTAD,432.0,
    2.1.-Malos tratos habituales en el ámbito familiar,70.0,
    2.2.-Otros contra la libertad,362.0,
    3. LIBERTAD SEXUAL,30.0,
    3.1.-Agresión sexual,2.0,
    3.2.-Agresión sexual con penetración,2.0,
    3.3.-Corrupción de menores o incapacitados,4.0,
    3.4.-Pornografía de menores,1.0,
    3.5.-Otros contra la libertad e indemnidad sexual,21.0,
    4. RELACIONES FAMILIARES,11.0,
    5. PATRIMONIO,3136.0,
    5.1.-Hurtos,870.0,
    5.2.-Robos con fuerza en las cosas,737.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,92.0,
    5.2.2.-Robos con fuerza en viviendas,282.0,
    5.2.3.-Robos con fuerza en establecimientos,135.0,
    5.3.-Robos con violencia o intimidación,32.0,
    5.3.1.-Robos con violencia en vía pública,16.0,
    5.3.2.-Robos con violencia en viviendas,5.0,
    5.3.3.-Robos con violencia en establecimientos,5.0,
    5.4.-Sustracción de vehículos,31.0,
    5.5.-Estafas,540.0,
    5.5.1.-Estafas bancarias,29.0,
    5.6.-Daños,823.0,
    5.7.-Contra la propiedad intelectual/industrial,7.0,
    5.8.-Blanqueo de capitales,2.0,
    5.9.-Otros contra el patrimonio,94.0,
    6. SEGURIDAD COLECTIVA,265.0,
    6.1.-Tráfico de drogas,34.0,
    6.2.-Contra la seguridad vial,158.0,
    6.3.-Otros contra la seguridad colectiva,73.0,
    7. FALSEDADES,94.0,
    8. ADMÓN. PÚBLICA,4.0,
    9. ADMÓN. JUSTICIA,92.0,
    10. ORDEN PÚBLICO,51.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,70.0,
    TOTAL INFRACCIONES PENALES,4676.0,
Badajoz,
    1. CONTRA LAS PERSONAS,2179.0,
    1.1.-Homicidios dolosos/asesinatos,15.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,5.0,
    1.2.-Lesiones,1467.0,
    1.3.-Malos tratos ámbito familiar,664.0,
    1.4.-Otros contra las personas,33.0,
    2. CONTRA LA LIBERTAD,1568.0,
    2.1.-Malos tratos habituales en el ámbito familiar,105.0,
    2.2.-Otros contra la libertad,1463.0,
    3. LIBERTAD SEXUAL,97.0,
    3.1.-Agresión sexual,10.0,
    3.2.-Agresión sexual con penetración,7.0,
    3.3.-Corrupción de menores o incapacitados,3.0,
    3.4.-Pornografía de menores,6.0,
    3.5.-Otros contra la libertad e indemnidad sexual,71.0,
    4. RELACIONES FAMILIARES,188.0,
    5. PATRIMONIO,13067.0,
    5.1.-Hurtos,5234.0,
    5.2.-Robos con fuerza en las cosas,2902.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,563.0,
    5.2.2.-Robos con fuerza en viviendas,978.0,
    5.2.3.-Robos con fuerza en establecimientos,622.0,
    5.3.-Robos con violencia o intimidación,224.0,
    5.3.1.-Robos con violencia en vía pública,124.0,
    5.3.2.-Robos con violencia en viviendas,19.0,
    5.3.3.-Robos con violencia en establecimientos,56.0,
    5.4.-Sustracción de vehículos,248.0,
    5.5.-Estafas,1804.0,
    5.5.1.-Estafas bancarias,100.0,
    5.6.-Daños,2219.0,
    5.7.-Contra la propiedad intelectual/industrial,10.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,426.0,
    6. SEGURIDAD COLECTIVA,592.0,
    6.1.-Tráfico de drogas,127.0,
    6.2.-Contra la seguridad vial,413.0,
    6.3.-Otros contra la seguridad colectiva,52.0,
    7. FALSEDADES,304.0,
    8. ADMÓN. PÚBLICA,3.0,
    9. ADMÓN. JUSTICIA,402.0,
    10. ORDEN PÚBLICO,186.0,
    11. LEGISLACIÓN ESPECIAL,6.0,
    12. OTRAS INFRACCIONES PENALES,157.0,
    TOTAL INFRACCIONES PENALES,18749.0,
Balears (Illes),
    1. CONTRA LAS PERSONAS,7096.0,
    1.1.-Homicidios dolosos/asesinatos,32.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,4.0,
    1.2.-Lesiones,3679.0,
    1.3.-Malos tratos ámbito familiar,3253.0,
    1.4.-Otros contra las personas,132.0,
    2. CONTRA LA LIBERTAD,4377.0,
    2.1.-Malos tratos habituales en el ámbito familiar,484.0,
    2.2.-Otros contra la libertad,3893.0,
    3. LIBERTAD SEXUAL,517.0,
    3.1.-Agresión sexual,94.0,
    3.2.-Agresión sexual con penetración,50.0,
    3.3.-Corrupción de menores o incapacitados,9.0,
    3.4.-Pornografía de menores,19.0,
    3.5.-Otros contra la libertad e indemnidad sexual,345.0,
    4. RELACIONES FAMILIARES,180.0,
    5. PATRIMONIO,55129.0,
    5.1.-Hurtos,29183.0,
    5.2.-Robos con fuerza en las cosas,8666.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2895.0,
    5.2.2.-Robos con fuerza en viviendas,3125.0,
    5.2.3.-Robos con fuerza en establecimientos,1145.0,
    5.3.-Robos con violencia o intimidación,1354.0,
    5.3.1.-Robos con violencia en vía pública,899.0,
    5.3.2.-Robos con violencia en viviendas,68.0,
    5.3.3.-Robos con violencia en establecimientos,186.0,
    5.4.-Sustracción de vehículos,1717.0,
    5.5.-Estafas,6696.0,
    5.5.1.-Estafas bancarias,999.0,
    5.6.-Daños,5290.0,
    5.7.-Contra la propiedad intelectual/industrial,77.0,
    5.8.-Blanqueo de capitales,4.0,
    5.9.-Otros contra el patrimonio,2142.0,
    6. SEGURIDAD COLECTIVA,2534.0,
    6.1.-Tráfico de drogas,483.0,
    6.2.-Contra la seguridad vial,1973.0,
    6.3.-Otros contra la seguridad colectiva,78.0,
    7. FALSEDADES,476.0,
    8. ADMÓN. PÚBLICA,18.0,
    9. ADMÓN. JUSTICIA,950.0,
    10. ORDEN PÚBLICO,634.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,246.0,
    TOTAL INFRACCIONES PENALES,72157.0,
Barcelona,
    1. CONTRA LAS PERSONAS,14480.0,
    1.1.-Homicidios dolosos/asesinatos,157.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,49.0,
    1.2.-Lesiones,9903.0,
    1.3.-Malos tratos ámbito familiar,4138.0,
    1.4.-Otros contra las personas,282.0,
    2. CONTRA LA LIBERTAD,12451.0,
    2.1.-Malos tratos habituales en el ámbito familiar,1288.0,
    2.2.-Otros contra la libertad,11163.0,
    3. LIBERTAD SEXUAL,1627.0,
    3.1.-Agresión sexual,243.0,
    3.2.-Agresión sexual con penetración,294.0,
    3.3.-Corrupción de menores o incapacitados,4.0,
    3.4.-Pornografía de menores,129.0,
    3.5.-Otros contra la libertad e indemnidad sexual,957.0,
    4. RELACIONES FAMILIARES,769.0,
    5. PATRIMONIO,287067.0,
    5.1.-Hurtos,146663.0,
    5.2.-Robos con fuerza en las cosas,45259.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,18272.0,
    5.2.2.-Robos con fuerza en viviendas,15994.0,
    5.2.3.-Robos con fuerza en establecimientos,5.0,
    5.3.-Robos con violencia o intimidación,18374.0,
    5.3.1.-Robos con violencia en vía pública,54.0,
    5.3.2.-Robos con violencia en viviendas,289.0,
    5.3.3.-Robos con violencia en establecimientos,4.0,
    5.4.-Sustracción de vehículos,7709.0,
    5.5.-Estafas,34024.0,
    5.5.1.-Estafas bancarias,22945.0,
    5.6.-Daños,27718.0,
    5.7.-Contra la propiedad intelectual/industrial,147.0,
    5.8.-Blanqueo de capitales,19.0,
    5.9.-Otros contra el patrimonio,7154.0,
    6. SEGURIDAD COLECTIVA,4508.0,
    6.1.-Tráfico de drogas,1436.0,
    6.2.-Contra la seguridad vial,2989.0,
    6.3.-Otros contra la seguridad colectiva,83.0,
    7. FALSEDADES,2427.0,
    8. ADMÓN. PÚBLICA,24.0,
    9. ADMÓN. JUSTICIA,2274.0,
    10. ORDEN PÚBLICO,1705.0,
    11. LEGISLACIÓN ESPECIAL,4.0,
    12. OTRAS INFRACCIONES PENALES,509.0,
    TOTAL INFRACCIONES PENALES,327845.0,
Burgos,
    1. CONTRA LAS PERSONAS,1180.0,
    1.1.-Homicidios dolosos/asesinatos,1.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,0.0,
    1.2.-Lesiones,749.0,
    1.3.-Malos tratos ámbito familiar,399.0,
    1.4.-Otros contra las personas,31.0,
    2. CONTRA LA LIBERTAD,772.0,
    2.1.-Malos tratos habituales en el ámbito familiar,161.0,
    2.2.-Otros contra la libertad,611.0,
    3. LIBERTAD SEXUAL,62.0,
    3.1.-Agresión sexual,13.0,
    3.2.-Agresión sexual con penetración,3.0,
    3.3.-Corrupción de menores o incapacitados,2.0,
    3.4.-Pornografía de menores,4.0,
    3.5.-Otros contra la libertad e indemnidad sexual,40.0,
    4. RELACIONES FAMILIARES,20.0,
    5. PATRIMONIO,8288.0,
    5.1.-Hurtos,3336.0,
    5.2.-Robos con fuerza en las cosas,1417.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,348.0,
    5.2.2.-Robos con fuerza en viviendas,457.0,
    5.2.3.-Robos con fuerza en establecimientos,216.0,
    5.3.-Robos con violencia o intimidación,126.0,
    5.3.1.-Robos con violencia en vía pública,80.0,
    5.3.2.-Robos con violencia en viviendas,10.0,
    5.3.3.-Robos con violencia en establecimientos,22.0,
    5.4.-Sustracción de vehículos,109.0,
    5.5.-Estafas,1436.0,
    5.5.1.-Estafas bancarias,85.0,
    5.6.-Daños,1675.0,
    5.7.-Contra la propiedad intelectual/industrial,6.0,
    5.8.-Blanqueo de capitales,2.0,
    5.9.-Otros contra el patrimonio,181.0,
    6. SEGURIDAD COLECTIVA,327.0,
    6.1.-Tráfico de drogas,74.0,
    6.2.-Contra la seguridad vial,235.0,
    6.3.-Otros contra la seguridad colectiva,18.0,
    7. FALSEDADES,93.0,
    8. ADMÓN. PÚBLICA,1.0,
    9. ADMÓN. JUSTICIA,176.0,
    10. ORDEN PÚBLICO,147.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,93.0,
    TOTAL INFRACCIONES PENALES,11160.0,
Cáceres,
    1. CONTRA LAS PERSONAS,1005.0,
    1.1.-Homicidios dolosos/asesinatos,9.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,3.0,
    1.2.-Lesiones,620.0,
    1.3.-Malos tratos ámbito familiar,370.0,
    1.4.-Otros contra las personas,6.0,
