
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2016,
Total Nacional,
    1. CONTRA LAS PERSONAS,166431.0,
    1.1.-Homicidios dolosos/asesinatos,1107.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,294.0,
    1.2.-Lesiones,97108.0,
    1.3.-Malos tratos ámbito familiar,66102.0,
    1.4.-Otros contra las personas,2114.0,
    2. CONTRA LA LIBERTAD,115493.0,
    2.1.-Malos tratos habituales en el ámbito familiar,14554.0,
    2.2.-Otros contra la libertad,100939.0,
    3. LIBERTAD SEXUAL,10844.0,
    3.1.-Agresión sexual,1684.0,
    3.2.-Agresión sexual con penetración,1249.0,
    3.3.-Corrupción de menores o incapacitados,368.0,
    3.4.-Pornografía de menores,621.0,
    3.5.-Otros contra la libertad e indemnidad sexual,6922.0,
    4. RELACIONES FAMILIARES,8043.0,
    5. PATRIMONIO,1572967.0,
    5.1.-Hurtos,711507.0,
    5.2.-Robos con fuerza en las cosas,318164.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,104274.0,
    5.2.2.-Robos con fuerza en viviendas,113299.0,
    5.2.3.-Robos con fuerza en establecimientos,37619.0,
    5.3.-Robos con violencia o intimidación,62952.0,
    5.3.1.-Robos con violencia en vía pública,28900.0,
    5.3.2.-Robos con violencia en viviendas,3521.0,
    5.3.3.-Robos con violencia en establecimientos,5174.0,
    5.4.-Sustracción de vehículos,43335.0,
    5.5.-Estafas,179718.0,
    5.5.1.-Estafas bancarias,35824.0,
    5.6.-Daños,214709.0,
    5.7.-Contra la propiedad intelectual/industrial,1889.0,
    5.8.-Blanqueo de capitales,262.0,
    5.9.-Otros contra el patrimonio,40431.0,
    6. SEGURIDAD COLECTIVA,58350.0,
    6.1.-Tráfico de drogas,12448.0,
    6.2.-Contra la seguridad vial,43913.0,
    6.3.-Otros contra la seguridad colectiva,1989.0,
    7. FALSEDADES,19958.0,
    8. ADMÓN. PÚBLICA,553.0,
    9. ADMÓN. JUSTICIA,27647.0,
    10. ORDEN PÚBLICO,18867.0,
    11. LEGISLACIÓN ESPECIAL,143.0,
    12. OTRAS INFRACCIONES PENALES,10394.0,
    TOTAL INFRACCIONES PENALES,2009690.0,
Araba/Álava,
    1. CONTRA LAS PERSONAS,795.0,
    1.1.-Homicidios dolosos/asesinatos,4.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,2.0,
    1.2.-Lesiones,568.0,
    1.3.-Malos tratos ámbito familiar,149.0,
    1.4.-Otros contra las personas,74.0,
    2. CONTRA LA LIBERTAD,1169.0,
    2.1.-Malos tratos habituales en el ámbito familiar,450.0,
    2.2.-Otros contra la libertad,719.0,
    3. LIBERTAD SEXUAL,49.0,
    3.1.-Agresión sexual,9.0,
    3.2.-Agresión sexual con penetración,2.0,
    3.3.-Corrupción de menores o incapacitados,5.0,
    3.4.-Pornografía de menores,6.0,
    3.5.-Otros contra la libertad e indemnidad sexual,27.0,
    4. RELACIONES FAMILIARES,26.0,
    5. PATRIMONIO,9042.0,
    5.1.-Hurtos,4745.0,
    5.2.-Robos con fuerza en las cosas,1206.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,9.0,
    5.2.2.-Robos con fuerza en viviendas,351.0,
    5.2.3.-Robos con fuerza en establecimientos,281.0,
    5.3.-Robos con violencia o intimidación,198.0,
    5.3.1.-Robos con violencia en vía pública,141.0,
    5.3.2.-Robos con violencia en viviendas,11.0,
    5.3.3.-Robos con violencia en establecimientos,34.0,
    5.4.-Sustracción de vehículos,104.0,
    5.5.-Estafas,1368.0,
    5.5.1.-Estafas bancarias,1.0,
    5.6.-Daños,1261.0,
    5.7.-Contra la propiedad intelectual/industrial,3.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,157.0,
    6. SEGURIDAD COLECTIVA,215.0,
    6.1.-Tráfico de drogas,48.0,
    6.2.-Contra la seguridad vial,160.0,
    6.3.-Otros contra la seguridad colectiva,7.0,
    7. FALSEDADES,149.0,
    8. ADMÓN. PÚBLICA,11.0,
    9. ADMÓN. JUSTICIA,194.0,
    10. ORDEN PÚBLICO,116.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,88.0,
    TOTAL INFRACCIONES PENALES,11854.0,
Albacete,
    1. CONTRA LAS PERSONAS,1314.0,
    1.1.-Homicidios dolosos/asesinatos,4.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,1.0,
    1.2.-Lesiones,752.0,
    1.3.-Malos tratos ámbito familiar,536.0,
    1.4.-Otros contra las personas,22.0,
    2. CONTRA LA LIBERTAD,704.0,
    2.1.-Malos tratos habituales en el ámbito familiar,79.0,
    2.2.-Otros contra la libertad,625.0,
    3. LIBERTAD SEXUAL,64.0,
    3.1.-Agresión sexual,19.0,
    3.2.-Agresión sexual con penetración,7.0,
    3.3.-Corrupción de menores o incapacitados,3.0,
    3.4.-Pornografía de menores,3.0,
    3.5.-Otros contra la libertad e indemnidad sexual,32.0,
    4. RELACIONES FAMILIARES,77.0,
    5. PATRIMONIO,8202.0,
    5.1.-Hurtos,4028.0,
    5.2.-Robos con fuerza en las cosas,1666.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,404.0,
    5.2.2.-Robos con fuerza en viviendas,682.0,
    5.2.3.-Robos con fuerza en establecimientos,189.0,
    5.3.-Robos con violencia o intimidación,190.0,
    5.3.1.-Robos con violencia en vía pública,116.0,
    5.3.2.-Robos con violencia en viviendas,13.0,
    5.3.3.-Robos con violencia en establecimientos,21.0,
    5.4.-Sustracción de vehículos,206.0,
    5.5.-Estafas,755.0,
    5.5.1.-Estafas bancarias,70.0,
    5.6.-Daños,1126.0,
    5.7.-Contra la propiedad intelectual/industrial,4.0,
    5.8.-Blanqueo de capitales,2.0,
    5.9.-Otros contra el patrimonio,225.0,
    6. SEGURIDAD COLECTIVA,425.0,
    6.1.-Tráfico de drogas,74.0,
    6.2.-Contra la seguridad vial,321.0,
    6.3.-Otros contra la seguridad colectiva,30.0,
    7. FALSEDADES,116.0,
    8. ADMÓN. PÚBLICA,2.0,
    9. ADMÓN. JUSTICIA,206.0,
    10. ORDEN PÚBLICO,129.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,122.0,
    TOTAL INFRACCIONES PENALES,11361.0,
Alicante/Alacant,
    1. CONTRA LAS PERSONAS,8090.0,
    1.1.-Homicidios dolosos/asesinatos,52.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,16.0,
    1.2.-Lesiones,4287.0,
    1.3.-Malos tratos ámbito familiar,3708.0,
    1.4.-Otros contra las personas,43.0,
    2. CONTRA LA LIBERTAD,4752.0,
    2.1.-Malos tratos habituales en el ámbito familiar,503.0,
    2.2.-Otros contra la libertad,4249.0,
    3. LIBERTAD SEXUAL,464.0,
    3.1.-Agresión sexual,81.0,
    3.2.-Agresión sexual con penetración,61.0,
    3.3.-Corrupción de menores o incapacitados,17.0,
    3.4.-Pornografía de menores,26.0,
    3.5.-Otros contra la libertad e indemnidad sexual,279.0,
    4. RELACIONES FAMILIARES,391.0,
    5. PATRIMONIO,70766.0,
    5.1.-Hurtos,31582.0,
    5.2.-Robos con fuerza en las cosas,16718.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,4144.0,
    5.2.2.-Robos con fuerza en viviendas,8751.0,
    5.2.3.-Robos con fuerza en establecimientos,1954.0,
    5.3.-Robos con violencia o intimidación,2064.0,
    5.3.1.-Robos con violencia en vía pública,1336.0,
    5.3.2.-Robos con violencia en viviendas,199.0,
    5.3.3.-Robos con violencia en establecimientos,286.0,
    5.4.-Sustracción de vehículos,2041.0,
    5.5.-Estafas,6815.0,
    5.5.1.-Estafas bancarias,877.0,
    5.6.-Daños,9612.0,
    5.7.-Contra la propiedad intelectual/industrial,114.0,
    5.8.-Blanqueo de capitales,11.0,
    5.9.-Otros contra el patrimonio,1809.0,
    6. SEGURIDAD COLECTIVA,2711.0,
    6.1.-Tráfico de drogas,704.0,
    6.2.-Contra la seguridad vial,1939.0,
    6.3.-Otros contra la seguridad colectiva,68.0,
    7. FALSEDADES,1026.0,
    8. ADMÓN. PÚBLICA,12.0,
    9. ADMÓN. JUSTICIA,1535.0,
    10. ORDEN PÚBLICO,1101.0,
    11. LEGISLACIÓN ESPECIAL,2.0,
    12. OTRAS INFRACCIONES PENALES,502.0,
    TOTAL INFRACCIONES PENALES,91352.0,
Almería,
    1. CONTRA LAS PERSONAS,3383.0,
    1.1.-Homicidios dolosos/asesinatos,23.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,6.0,
    1.2.-Lesiones,1924.0,
    1.3.-Malos tratos ámbito familiar,1417.0,
    1.4.-Otros contra las personas,19.0,
    2. CONTRA LA LIBERTAD,2049.0,
    2.1.-Malos tratos habituales en el ámbito familiar,294.0,
    2.2.-Otros contra la libertad,1755.0,
    3. LIBERTAD SEXUAL,178.0,
    3.1.-Agresión sexual,40.0,
    3.2.-Agresión sexual con penetración,24.0,
    3.3.-Corrupción de menores o incapacitados,7.0,
    3.4.-Pornografía de menores,8.0,
    3.5.-Otros contra la libertad e indemnidad sexual,99.0,
    4. RELACIONES FAMILIARES,297.0,
    5. PATRIMONIO,22080.0,
    5.1.-Hurtos,8004.0,
    5.2.-Robos con fuerza en las cosas,6583.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1790.0,
    5.2.2.-Robos con fuerza en viviendas,2738.0,
    5.2.3.-Robos con fuerza en establecimientos,621.0,
    5.3.-Robos con violencia o intimidación,692.0,
    5.3.1.-Robos con violencia en vía pública,453.0,
    5.3.2.-Robos con violencia en viviendas,63.0,
    5.3.3.-Robos con violencia en establecimientos,78.0,
    5.4.-Sustracción de vehículos,659.0,
    5.5.-Estafas,1657.0,
    5.5.1.-Estafas bancarias,185.0,
    5.6.-Daños,3897.0,
    5.7.-Contra la propiedad intelectual/industrial,15.0,
    5.8.-Blanqueo de capitales,1.0,
    5.9.-Otros contra el patrimonio,572.0,
    6. SEGURIDAD COLECTIVA,1190.0,
    6.1.-Tráfico de drogas,235.0,
    6.2.-Contra la seguridad vial,935.0,
    6.3.-Otros contra la seguridad colectiva,20.0,
    7. FALSEDADES,313.0,
    8. ADMÓN. PÚBLICA,17.0,
    9. ADMÓN. JUSTICIA,586.0,
    10. ORDEN PÚBLICO,344.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,180.0,
    TOTAL INFRACCIONES PENALES,30617.0,
Ávila,
    1. CONTRA LAS PERSONAS,498.0,
    1.1.-Homicidios dolosos/asesinatos,6.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,1.0,
    1.2.-Lesiones,328.0,
    1.3.-Malos tratos ámbito familiar,155.0,
    1.4.-Otros contra las personas,9.0,
    2. CONTRA LA LIBERTAD,391.0,
    2.1.-Malos tratos habituales en el ámbito familiar,58.0,
    2.2.-Otros contra la libertad,333.0,
    3. LIBERTAD SEXUAL,26.0,
    3.1.-Agresión sexual,7.0,
    3.2.-Agresión sexual con penetración,4.0,
    3.3.-Corrupción de menores o incapacitados,0.0,
    3.4.-Pornografía de menores,2.0,
    3.5.-Otros contra la libertad e indemnidad sexual,13.0,
    4. RELACIONES FAMILIARES,24.0,
    5. PATRIMONIO,3327.0,
    5.1.-Hurtos,892.0,
    5.2.-Robos con fuerza en las cosas,920.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,78.0,
    5.2.2.-Robos con fuerza en viviendas,455.0,
    5.2.3.-Robos con fuerza en establecimientos,124.0,
    5.3.-Robos con violencia o intimidación,38.0,
    5.3.1.-Robos con violencia en vía pública,28.0,
    5.3.2.-Robos con violencia en viviendas,0.0,
    5.3.3.-Robos con violencia en establecimientos,4.0,
    5.4.-Sustracción de vehículos,35.0,
    5.5.-Estafas,491.0,
    5.5.1.-Estafas bancarias,19.0,
    5.6.-Daños,850.0,
    5.7.-Contra la propiedad intelectual/industrial,5.0,
    5.8.-Blanqueo de capitales,1.0,
    5.9.-Otros contra el patrimonio,95.0,
    6. SEGURIDAD COLECTIVA,225.0,
    6.1.-Tráfico de drogas,27.0,
    6.2.-Contra la seguridad vial,168.0,
    6.3.-Otros contra la seguridad colectiva,30.0,
    7. FALSEDADES,62.0,
    8. ADMÓN. PÚBLICA,0.0,
    9. ADMÓN. JUSTICIA,83.0,
    10. ORDEN PÚBLICO,51.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,55.0,
    TOTAL INFRACCIONES PENALES,4743.0,
Badajoz,
    1. CONTRA LAS PERSONAS,2055.0,
    1.1.-Homicidios dolosos/asesinatos,14.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,6.0,
    1.2.-Lesiones,1372.0,
    1.3.-Malos tratos ámbito familiar,643.0,
    1.4.-Otros contra las personas,26.0,
    2. CONTRA LA LIBERTAD,1413.0,
    2.1.-Malos tratos habituales en el ámbito familiar,103.0,
    2.2.-Otros contra la libertad,1310.0,
    3. LIBERTAD SEXUAL,108.0,
    3.1.-Agresión sexual,9.0,
    3.2.-Agresión sexual con penetración,11.0,
    3.3.-Corrupción de menores o incapacitados,8.0,
    3.4.-Pornografía de menores,6.0,
    3.5.-Otros contra la libertad e indemnidad sexual,74.0,
    4. RELACIONES FAMILIARES,184.0,
    5. PATRIMONIO,13026.0,
    5.1.-Hurtos,5335.0,
    5.2.-Robos con fuerza en las cosas,3134.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,677.0,
    5.2.2.-Robos con fuerza en viviendas,964.0,
    5.2.3.-Robos con fuerza en establecimientos,684.0,
    5.3.-Robos con violencia o intimidación,220.0,
    5.3.1.-Robos con violencia en vía pública,134.0,
    5.3.2.-Robos con violencia en viviendas,24.0,
    5.3.3.-Robos con violencia en establecimientos,38.0,
    5.4.-Sustracción de vehículos,318.0,
    5.5.-Estafas,1476.0,
    5.5.1.-Estafas bancarias,110.0,
    5.6.-Daños,2125.0,
    5.7.-Contra la propiedad intelectual/industrial,23.0,
    5.8.-Blanqueo de capitales,2.0,
    5.9.-Otros contra el patrimonio,393.0,
    6. SEGURIDAD COLECTIVA,520.0,
    6.1.-Tráfico de drogas,115.0,
    6.2.-Contra la seguridad vial,381.0,
    6.3.-Otros contra la seguridad colectiva,24.0,
    7. FALSEDADES,272.0,
    8. ADMÓN. PÚBLICA,4.0,
    9. ADMÓN. JUSTICIA,402.0,
    10. ORDEN PÚBLICO,201.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,174.0,
    TOTAL INFRACCIONES PENALES,18359.0,
Balears (Illes),
    1. CONTRA LAS PERSONAS,6609.0,
    1.1.-Homicidios dolosos/asesinatos,32.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,9.0,
    1.2.-Lesiones,3456.0,
    1.3.-Malos tratos ámbito familiar,3045.0,
    1.4.-Otros contra las personas,76.0,
    2. CONTRA LA LIBERTAD,4258.0,
    2.1.-Malos tratos habituales en el ámbito familiar,514.0,
    2.2.-Otros contra la libertad,3744.0,
    3. LIBERTAD SEXUAL,442.0,
    3.1.-Agresión sexual,73.0,
    3.2.-Agresión sexual con penetración,51.0,
    3.3.-Corrupción de menores o incapacitados,27.0,
    3.4.-Pornografía de menores,17.0,
    3.5.-Otros contra la libertad e indemnidad sexual,274.0,
    4. RELACIONES FAMILIARES,212.0,
    5. PATRIMONIO,51859.0,
    5.1.-Hurtos,27962.0,
    5.2.-Robos con fuerza en las cosas,8737.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2965.0,
    5.2.2.-Robos con fuerza en viviendas,3104.0,
    5.2.3.-Robos con fuerza en establecimientos,1138.0,
    5.3.-Robos con violencia o intimidación,1186.0,
    5.3.1.-Robos con violencia en vía pública,721.0,
    5.3.2.-Robos con violencia en viviendas,78.0,
    5.3.3.-Robos con violencia en establecimientos,175.0,
    5.4.-Sustracción de vehículos,1925.0,
    5.5.-Estafas,5028.0,
    5.5.1.-Estafas bancarias,811.0,
    5.6.-Daños,5064.0,
    5.7.-Contra la propiedad intelectual/industrial,91.0,
    5.8.-Blanqueo de capitales,4.0,
    5.9.-Otros contra el patrimonio,1862.0,
    6. SEGURIDAD COLECTIVA,2332.0,
    6.1.-Tráfico de drogas,500.0,
    6.2.-Contra la seguridad vial,1764.0,
    6.3.-Otros contra la seguridad colectiva,68.0,
    7. FALSEDADES,479.0,
    8. ADMÓN. PÚBLICA,27.0,
    9. ADMÓN. JUSTICIA,980.0,
    10. ORDEN PÚBLICO,643.0,
    11. LEGISLACIÓN ESPECIAL,3.0,
    12. OTRAS INFRACCIONES PENALES,316.0,
    TOTAL INFRACCIONES PENALES,68160.0,
Barcelona,
    1. CONTRA LAS PERSONAS,13840.0,
    1.1.-Homicidios dolosos/asesinatos,153.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,45.0,
    1.2.-Lesiones,9536.0,
    1.3.-Malos tratos ámbito familiar,4134.0,
    1.4.-Otros contra las personas,17.0,
    2. CONTRA LA LIBERTAD,12260.0,
    2.1.-Malos tratos habituales en el ámbito familiar,1424.0,
    2.2.-Otros contra la libertad,10836.0,
    3. LIBERTAD SEXUAL,1703.0,
    3.1.-Agresión sexual,198.0,
    3.2.-Agresión sexual con penetración,250.0,
    3.3.-Corrupción de menores o incapacitados,2.0,
    3.4.-Pornografía de menores,132.0,
    3.5.-Otros contra la libertad e indemnidad sexual,1121.0,
    4. RELACIONES FAMILIARES,882.0,
    5. PATRIMONIO,271608.0,
    5.1.-Hurtos,135998.0,
    5.2.-Robos con fuerza en las cosas,46315.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,18409.0,
    5.2.2.-Robos con fuerza en viviendas,16283.0,
    5.2.3.-Robos con fuerza en establecimientos,10.0,
    5.3.-Robos con violencia o intimidación,17882.0,
    5.3.1.-Robos con violencia en vía pública,51.0,
    5.3.2.-Robos con violencia en viviendas,262.0,
    5.3.3.-Robos con violencia en establecimientos,4.0,
    5.4.-Sustracción de vehículos,6862.0,
    5.5.-Estafas,29444.0,
    5.5.1.-Estafas bancarias,19264.0,
    5.6.-Daños,27648.0,
    5.7.-Contra la propiedad intelectual/industrial,211.0,
    5.8.-Blanqueo de capitales,31.0,
    5.9.-Otros contra el patrimonio,7217.0,
    6. SEGURIDAD COLECTIVA,4338.0,
    6.1.-Tráfico de drogas,1318.0,
    6.2.-Contra la seguridad vial,2946.0,
    6.3.-Otros contra la seguridad colectiva,74.0,
    7. FALSEDADES,2706.0,
