
Series anuales. Hechos conocidos
Hechos conocidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos conocidos

,2015,
    4. RELACIONES FAMILIARES,1641.0,
    5. PATRIMONIO,241975.0,
    5.1.-Hurtos,110768.0,
    5.2.-Robos con fuerza en las cosas,54298.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,19160.0,
    5.2.2.-Robos con fuerza en viviendas,17798.0,
    5.2.3.-Robos con fuerza en establecimientos,7348.0,
    5.3.-Robos con violencia o intimidación,7283.0,
    5.3.1.-Robos con violencia en vía pública,5016.0,
    5.3.2.-Robos con violencia en viviendas,524.0,
    5.3.3.-Robos con violencia en establecimientos,931.0,
    5.4.-Sustracción de vehículos,9008.0,
    5.5.-Estafas,19399.0,
    5.5.1.-Estafas bancarias,1301.0,
    5.6.-Daños,33579.0,
    5.7.-Contra la propiedad intelectual/industrial,526.0,
    5.8.-Blanqueo de capitales,71.0,
    5.9.-Otros contra el patrimonio,7043.0,
    6. SEGURIDAD COLECTIVA,13484.0,
    6.1.-Tráfico de drogas,3086.0,
    6.2.-Contra la seguridad vial,9997.0,
    6.3.-Otros contra la seguridad colectiva,401.0,
    7. FALSEDADES,3524.0,
    8. ADMÓN. PÚBLICA,146.0,
    9. ADMÓN. JUSTICIA,6379.0,
    10. ORDEN PÚBLICO,4252.0,
    11. LEGISLACIÓN ESPECIAL,72.0,
    12. OTRAS INFRACCIONES PENALES,1943.0,
    TOTAL INFRACCIONES PENALES,337124.0,
ARAGÓN,
    1. CONTRA LAS PERSONAS,4735.0,
    1.1.-Homicidios dolosos/asesinatos,23.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,9.0,
    1.2.-Lesiones,2016.0,
    1.3.-Malos tratos ámbito familiar,1690.0,
    1.4.-Otros contra las personas,1006.0,
    2. CONTRA LA LIBERTAD,1384.0,
    2.1.-Malos tratos habituales en el ámbito familiar,304.0,
    2.2.-Otros contra la libertad,1080.0,
    3. LIBERTAD SEXUAL,251.0,
    3.1.-Agresión sexual,41.0,
    3.2.-Agresión sexual con penetración,24.0,
    3.3.-Corrupción de menores o incapacitados,21.0,
    3.4.-Pornografía de menores,19.0,
    3.5.-Otros contra la libertad e indemnidad sexual,146.0,
    4. RELACIONES FAMILIARES,159.0,
    5. PATRIMONIO,29101.0,
    5.1.-Hurtos,12155.0,
    5.2.-Robos con fuerza en las cosas,5636.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1348.0,
    5.2.2.-Robos con fuerza en viviendas,1883.0,
    5.2.3.-Robos con fuerza en establecimientos,690.0,
    5.3.-Robos con violencia o intimidación,820.0,
    5.3.1.-Robos con violencia en vía pública,530.0,
    5.3.2.-Robos con violencia en viviendas,63.0,
    5.3.3.-Robos con violencia en establecimientos,142.0,
    5.4.-Sustracción de vehículos,373.0,
    5.5.-Estafas,3685.0,
    5.5.1.-Estafas bancarias,182.0,
    5.6.-Daños,5355.0,
    5.7.-Contra la propiedad intelectual/industrial,47.0,
    5.8.-Blanqueo de capitales,5.0,
    5.9.-Otros contra el patrimonio,1025.0,
    6. SEGURIDAD COLECTIVA,1054.0,
    6.1.-Tráfico de drogas,285.0,
    6.2.-Contra la seguridad vial,693.0,
    6.3.-Otros contra la seguridad colectiva,76.0,
    7. FALSEDADES,303.0,
    8. ADMÓN. PÚBLICA,10.0,
    9. ADMÓN. JUSTICIA,674.0,
    10. ORDEN PÚBLICO,494.0,
    11. LEGISLACIÓN ESPECIAL,2.0,
    12. OTRAS INFRACCIONES PENALES,217.0,
    TOTAL INFRACCIONES PENALES,38384.0,
ASTURIAS (PRINCIPADO DE),
    1. CONTRA LAS PERSONAS,4238.0,
    1.1.-Homicidios dolosos/asesinatos,18.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,4.0,
    1.2.-Lesiones,1935.0,
    1.3.-Malos tratos ámbito familiar,1175.0,
    1.4.-Otros contra las personas,1110.0,
    2. CONTRA LA LIBERTAD,1155.0,
    2.1.-Malos tratos habituales en el ámbito familiar,128.0,
    2.2.-Otros contra la libertad,1027.0,
    3. LIBERTAD SEXUAL,147.0,
    3.1.-Agresión sexual,31.0,
    3.2.-Agresión sexual con penetración,8.0,
    3.3.-Corrupción de menores o incapacitados,7.0,
    3.4.-Pornografía de menores,10.0,
    3.5.-Otros contra la libertad e indemnidad sexual,91.0,
    4. RELACIONES FAMILIARES,149.0,
    5. PATRIMONIO,18946.0,
    5.1.-Hurtos,8275.0,
    5.2.-Robos con fuerza en las cosas,3075.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,467.0,
    5.2.2.-Robos con fuerza en viviendas,956.0,
    5.2.3.-Robos con fuerza en establecimientos,1000.0,
    5.3.-Robos con violencia o intimidación,603.0,
    5.3.1.-Robos con violencia en vía pública,360.0,
    5.3.2.-Robos con violencia en viviendas,64.0,
    5.3.3.-Robos con violencia en establecimientos,130.0,
    5.4.-Sustracción de vehículos,449.0,
    5.5.-Estafas,2446.0,
    5.5.1.-Estafas bancarias,57.0,
    5.6.-Daños,3112.0,
    5.7.-Contra la propiedad intelectual/industrial,16.0,
    5.8.-Blanqueo de capitales,1.0,
    5.9.-Otros contra el patrimonio,969.0,
    6. SEGURIDAD COLECTIVA,1111.0,
    6.1.-Tráfico de drogas,154.0,
    6.2.-Contra la seguridad vial,924.0,
    6.3.-Otros contra la seguridad colectiva,33.0,
    7. FALSEDADES,188.0,
    8. ADMÓN. PÚBLICA,4.0,
    9. ADMÓN. JUSTICIA,446.0,
    10. ORDEN PÚBLICO,449.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,149.0,
    TOTAL INFRACCIONES PENALES,26982.0,
BALEARS (ILLES),
    1. CONTRA LAS PERSONAS,7774.0,
    1.1.-Homicidios dolosos/asesinatos,35.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,8.0,
    1.2.-Lesiones,3301.0,
    1.3.-Malos tratos ámbito familiar,2647.0,
    1.4.-Otros contra las personas,1791.0,
    2. CONTRA LA LIBERTAD,2685.0,
    2.1.-Malos tratos habituales en el ámbito familiar,472.0,
    2.2.-Otros contra la libertad,2213.0,
    3. LIBERTAD SEXUAL,411.0,
    3.1.-Agresión sexual,82.0,
    3.2.-Agresión sexual con penetración,47.0,
    3.3.-Corrupción de menores o incapacitados,17.0,
    3.4.-Pornografía de menores,11.0,
    3.5.-Otros contra la libertad e indemnidad sexual,254.0,
    4. RELACIONES FAMILIARES,234.0,
    5. PATRIMONIO,50642.0,
    5.1.-Hurtos,27662.0,
    5.2.-Robos con fuerza en las cosas,8506.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2528.0,
    5.2.2.-Robos con fuerza en viviendas,3323.0,
    5.2.3.-Robos con fuerza en establecimientos,1042.0,
    5.3.-Robos con violencia o intimidación,1069.0,
    5.3.1.-Robos con violencia en vía pública,652.0,
    5.3.2.-Robos con violencia en viviendas,61.0,
    5.3.3.-Robos con violencia en establecimientos,141.0,
    5.4.-Sustracción de vehículos,1770.0,
    5.5.-Estafas,4741.0,
    5.5.1.-Estafas bancarias,635.0,
    5.6.-Daños,4994.0,
    5.7.-Contra la propiedad intelectual/industrial,116.0,
    5.8.-Blanqueo de capitales,8.0,
    5.9.-Otros contra el patrimonio,1776.0,
    6. SEGURIDAD COLECTIVA,2517.0,
    6.1.-Tráfico de drogas,419.0,
    6.2.-Contra la seguridad vial,2017.0,
    6.3.-Otros contra la seguridad colectiva,81.0,
    7. FALSEDADES,417.0,
    8. ADMÓN. PÚBLICA,8.0,
    9. ADMÓN. JUSTICIA,916.0,
    10. ORDEN PÚBLICO,791.0,
    11. LEGISLACIÓN ESPECIAL,2.0,
    12. OTRAS INFRACCIONES PENALES,283.0,
    TOTAL INFRACCIONES PENALES,66680.0,
CANARIAS,
    1. CONTRA LAS PERSONAS,15540.0,
    1.1.-Homicidios dolosos/asesinatos,64.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,20.0,
    1.2.-Lesiones,6409.0,
    1.3.-Malos tratos ámbito familiar,4346.0,
    1.4.-Otros contra las personas,4721.0,
    2. CONTRA LA LIBERTAD,5244.0,
    2.1.-Malos tratos habituales en el ámbito familiar,681.0,
    2.2.-Otros contra la libertad,4563.0,
    3. LIBERTAD SEXUAL,506.0,
    3.1.-Agresión sexual,64.0,
    3.2.-Agresión sexual con penetración,70.0,
    3.3.-Corrupción de menores o incapacitados,31.0,
    3.4.-Pornografía de menores,27.0,
    3.5.-Otros contra la libertad e indemnidad sexual,314.0,
    4. RELACIONES FAMILIARES,1010.0,
    5. PATRIMONIO,60740.0,
    5.1.-Hurtos,30242.0,
    5.2.-Robos con fuerza en las cosas,12752.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,4766.0,
    5.2.2.-Robos con fuerza en viviendas,3398.0,
    5.2.3.-Robos con fuerza en establecimientos,2011.0,
    5.3.-Robos con violencia o intimidación,1530.0,
    5.3.1.-Robos con violencia en vía pública,940.0,
    5.3.2.-Robos con violencia en viviendas,130.0,
    5.3.3.-Robos con violencia en establecimientos,246.0,
    5.4.-Sustracción de vehículos,1677.0,
    5.5.-Estafas,5289.0,
    5.5.1.-Estafas bancarias,674.0,
    5.6.-Daños,7168.0,
    5.7.-Contra la propiedad intelectual/industrial,86.0,
    5.8.-Blanqueo de capitales,21.0,
    5.9.-Otros contra el patrimonio,1975.0,
    6. SEGURIDAD COLECTIVA,3140.0,
    6.1.-Tráfico de drogas,569.0,
    6.2.-Contra la seguridad vial,2489.0,
    6.3.-Otros contra la seguridad colectiva,82.0,
    7. FALSEDADES,701.0,
    8. ADMÓN. PÚBLICA,18.0,
    9. ADMÓN. JUSTICIA,1266.0,
    10. ORDEN PÚBLICO,1001.0,
    11. LEGISLACIÓN ESPECIAL,5.0,
    12. OTRAS INFRACCIONES PENALES,368.0,
    TOTAL INFRACCIONES PENALES,89539.0,
CANTABRIA,
    1. CONTRA LAS PERSONAS,2656.0,
    1.1.-Homicidios dolosos/asesinatos,8.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,3.0,
    1.2.-Lesiones,1366.0,
    1.3.-Malos tratos ámbito familiar,582.0,
    1.4.-Otros contra las personas,700.0,
    2. CONTRA LA LIBERTAD,864.0,
    2.1.-Malos tratos habituales en el ámbito familiar,126.0,
    2.2.-Otros contra la libertad,738.0,
    3. LIBERTAD SEXUAL,70.0,
    3.1.-Agresión sexual,18.0,
    3.2.-Agresión sexual con penetración,10.0,
    3.3.-Corrupción de menores o incapacitados,1.0,
    3.4.-Pornografía de menores,12.0,
    3.5.-Otros contra la libertad e indemnidad sexual,29.0,
    4. RELACIONES FAMILIARES,51.0,
    5. PATRIMONIO,11661.0,
    5.1.-Hurtos,5097.0,
    5.2.-Robos con fuerza en las cosas,2279.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,499.0,
    5.2.2.-Robos con fuerza en viviendas,733.0,
    5.2.3.-Robos con fuerza en establecimientos,528.0,
    5.3.-Robos con violencia o intimidación,261.0,
    5.3.1.-Robos con violencia en vía pública,149.0,
    5.3.2.-Robos con violencia en viviendas,19.0,
    5.3.3.-Robos con violencia en establecimientos,45.0,
    5.4.-Sustracción de vehículos,250.0,
    5.5.-Estafas,1370.0,
    5.5.1.-Estafas bancarias,116.0,
    5.6.-Daños,1735.0,
    5.7.-Contra la propiedad intelectual/industrial,10.0,
    5.8.-Blanqueo de capitales,3.0,
    5.9.-Otros contra el patrimonio,656.0,
    6. SEGURIDAD COLECTIVA,768.0,
    6.1.-Tráfico de drogas,115.0,
    6.2.-Contra la seguridad vial,628.0,
    6.3.-Otros contra la seguridad colectiva,25.0,
    7. FALSEDADES,113.0,
    8. ADMÓN. PÚBLICA,3.0,
    9. ADMÓN. JUSTICIA,256.0,
    10. ORDEN PÚBLICO,230.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,81.0,
    TOTAL INFRACCIONES PENALES,16754.0,
CASTILLA Y LEÓN,
    1. CONTRA LAS PERSONAS,10203.0,
    1.1.-Homicidios dolosos/asesinatos,27.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,9.0,
    1.2.-Lesiones,4725.0,
    1.3.-Malos tratos ámbito familiar,2240.0,
    1.4.-Otros contra las personas,3211.0,
    2. CONTRA LA LIBERTAD,3208.0,
    2.1.-Malos tratos habituales en el ámbito familiar,523.0,
    2.2.-Otros contra la libertad,2685.0,
    3. LIBERTAD SEXUAL,282.0,
    3.1.-Agresión sexual,46.0,
    3.2.-Agresión sexual con penetración,28.0,
    3.3.-Corrupción de menores o incapacitados,23.0,
    3.4.-Pornografía de menores,21.0,
    3.5.-Otros contra la libertad e indemnidad sexual,164.0,
    4. RELACIONES FAMILIARES,251.0,
    5. PATRIMONIO,54991.0,
    5.1.-Hurtos,24474.0,
    5.2.-Robos con fuerza en las cosas,10304.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1667.0,
    5.2.2.-Robos con fuerza en viviendas,3547.0,
    5.2.3.-Robos con fuerza en establecimientos,1993.0,
    5.3.-Robos con violencia o intimidación,914.0,
    5.3.1.-Robos con violencia en vía pública,571.0,
    5.3.2.-Robos con violencia en viviendas,98.0,
    5.3.3.-Robos con violencia en establecimientos,130.0,
    5.4.-Sustracción de vehículos,789.0,
    5.5.-Estafas,6317.0,
    5.5.1.-Estafas bancarias,426.0,
    5.6.-Daños,10672.0,
    5.7.-Contra la propiedad intelectual/industrial,64.0,
    5.8.-Blanqueo de capitales,6.0,
    5.9.-Otros contra el patrimonio,1451.0,
    6. SEGURIDAD COLECTIVA,2626.0,
    6.1.-Tráfico de drogas,313.0,
    6.2.-Contra la seguridad vial,2216.0,
    6.3.-Otros contra la seguridad colectiva,97.0,
    7. FALSEDADES,541.0,
    8. ADMÓN. PÚBLICA,10.0,
    9. ADMÓN. JUSTICIA,1005.0,
    10. ORDEN PÚBLICO,951.0,
    11. LEGISLACIÓN ESPECIAL,2.0,
    12. OTRAS INFRACCIONES PENALES,433.0,
    TOTAL INFRACCIONES PENALES,74503.0,
CASTILLA - LA MANCHA,
    1. CONTRA LAS PERSONAS,8877.0,
    1.1.-Homicidios dolosos/asesinatos,38.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,13.0,
    1.2.-Lesiones,3793.0,
    1.3.-Malos tratos ámbito familiar,2493.0,
    1.4.-Otros contra las personas,2553.0,
    2. CONTRA LA LIBERTAD,2707.0,
    2.1.-Malos tratos habituales en el ámbito familiar,577.0,
    2.2.-Otros contra la libertad,2130.0,
    3. LIBERTAD SEXUAL,309.0,
    3.1.-Agresión sexual,45.0,
    3.2.-Agresión sexual con penetración,23.0,
    3.3.-Corrupción de menores o incapacitados,17.0,
    3.4.-Pornografía de menores,21.0,
    3.5.-Otros contra la libertad e indemnidad sexual,203.0,
    4. RELACIONES FAMILIARES,355.0,
    5. PATRIMONIO,49126.0,
    5.1.-Hurtos,17080.0,
    5.2.-Robos con fuerza en las cosas,15750.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2760.0,
    5.2.2.-Robos con fuerza en viviendas,6248.0,
    5.2.3.-Robos con fuerza en establecimientos,2127.0,
    5.3.-Robos con violencia o intimidación,1010.0,
    5.3.1.-Robos con violencia en vía pública,644.0,
    5.3.2.-Robos con violencia en viviendas,83.0,
    5.3.3.-Robos con violencia en establecimientos,123.0,
    5.4.-Sustracción de vehículos,1283.0,
    5.5.-Estafas,4456.0,
    5.5.1.-Estafas bancarias,558.0,
    5.6.-Daños,7897.0,
    5.7.-Contra la propiedad intelectual/industrial,22.0,
    5.8.-Blanqueo de capitales,5.0,
    5.9.-Otros contra el patrimonio,1623.0,
    6. SEGURIDAD COLECTIVA,2548.0,
    6.1.-Tráfico de drogas,352.0,
    6.2.-Contra la seguridad vial,2105.0,
    6.3.-Otros contra la seguridad colectiva,91.0,
    7. FALSEDADES,752.0,
    8. ADMÓN. PÚBLICA,13.0,
    9. ADMÓN. JUSTICIA,1086.0,
    10. ORDEN PÚBLICO,693.0,
    11. LEGISLACIÓN ESPECIAL,7.0,
    12. OTRAS INFRACCIONES PENALES,505.0,
    TOTAL INFRACCIONES PENALES,66978.0,
CATALUÑA,
    1. CONTRA LAS PERSONAS,27269.0,
    1.1.-Homicidios dolosos/asesinatos,151.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,42.0,
    1.2.-Lesiones,13296.0,
    1.3.-Malos tratos ámbito familiar,5828.0,
    1.4.-Otros contra las personas,7994.0,
    2. CONTRA LA LIBERTAD,15034.0,
    2.1.-Malos tratos habituales en el ámbito familiar,2771.0,
    2.2.-Otros contra la libertad,12263.0,
    3. LIBERTAD SEXUAL,1928.0,
    3.1.-Agresión sexual,239.0,
    3.2.-Agresión sexual con penetración,330.0,
    3.3.-Corrupción de menores o incapacitados,16.0,
    3.4.-Pornografía de menores,195.0,
    3.5.-Otros contra la libertad e indemnidad sexual,1148.0,
    4. RELACIONES FAMILIARES,2012.0,
    5. PATRIMONIO,350445.0,
    5.1.-Hurtos,165519.0,
    5.2.-Robos con fuerza en las cosas,68484.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,23665.0,
    5.2.2.-Robos con fuerza en viviendas,24592.0,
    5.2.3.-Robos con fuerza en establecimientos,18.0,
    5.3.-Robos con violencia o intimidación,21514.0,
    5.3.1.-Robos con violencia en vía pública,81.0,
    5.3.2.-Robos con violencia en viviendas,343.0,
    5.3.3.-Robos con violencia en establecimientos,7.0,
    5.4.-Sustracción de vehículos,8651.0,
    5.5.-Estafas,35530.0,
    5.5.1.-Estafas bancarias,22384.0,
    5.6.-Daños,38961.0,
    5.7.-Contra la propiedad intelectual/industrial,376.0,
    5.8.-Blanqueo de capitales,29.0,
    5.9.-Otros contra el patrimonio,11381.0,
    6. SEGURIDAD COLECTIVA,7760.0,
    6.1.-Tráfico de drogas,1953.0,
    6.2.-Contra la seguridad vial,5672.0,
    6.3.-Otros contra la seguridad colectiva,135.0,
    7. FALSEDADES,3241.0,
    8. ADMÓN. PÚBLICA,58.0,
    9. ADMÓN. JUSTICIA,3261.0,
    10. ORDEN PÚBLICO,3236.0,
    11. LEGISLACIÓN ESPECIAL,46.0,
    12. OTRAS INFRACCIONES PENALES,1174.0,
    TOTAL INFRACCIONES PENALES,415464.0,
COMUNITAT VALENCIANA,
    1. CONTRA LAS PERSONAS,26573.0,
    1.1.-Homicidios dolosos/asesinatos,100.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,48.0,
    1.2.-Lesiones,10833.0,
    1.3.-Malos tratos ámbito familiar,9032.0,
    1.4.-Otros contra las personas,6608.0,
    2. CONTRA LA LIBERTAD,7906.0,
    2.1.-Malos tratos habituales en el ámbito familiar,1518.0,
    2.2.-Otros contra la libertad,6388.0,
    3. LIBERTAD SEXUAL,1216.0,
    3.1.-Agresión sexual,191.0,
    3.2.-Agresión sexual con penetración,114.0,
    3.3.-Corrupción de menores o incapacitados,86.0,
    3.4.-Pornografía de menores,88.0,
    3.5.-Otros contra la libertad e indemnidad sexual,737.0,
    4. RELACIONES FAMILIARES,988.0,
    5. PATRIMONIO,179704.0,
    5.1.-Hurtos,78850.0,
    5.2.-Robos con fuerza en las cosas,41473.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,10618.0,
    5.2.2.-Robos con fuerza en viviendas,19712.0,
    5.2.3.-Robos con fuerza en establecimientos,4850.0,
    5.3.-Robos con violencia o intimidación,6152.0,
    5.3.1.-Robos con violencia en vía pública,3925.0,
    5.3.2.-Robos con violencia en viviendas,535.0,
    5.3.3.-Robos con violencia en establecimientos,782.0,
    5.4.-Sustracción de vehículos,4358.0,
    5.5.-Estafas,15837.0,
    5.5.1.-Estafas bancarias,2054.0,
    5.6.-Daños,27949.0,
    5.7.-Contra la propiedad intelectual/industrial,254.0,
    5.8.-Blanqueo de capitales,24.0,
    5.9.-Otros contra el patrimonio,4807.0,
    6. SEGURIDAD COLECTIVA,7501.0,
    6.1.-Tráfico de drogas,1506.0,
    6.2.-Contra la seguridad vial,5658.0,
    6.3.-Otros contra la seguridad colectiva,337.0,
    7. FALSEDADES,2379.0,
    8. ADMÓN. PÚBLICA,97.0,
    9. ADMÓN. JUSTICIA,4137.0,
    10. ORDEN PÚBLICO,3100.0,
    11. LEGISLACIÓN ESPECIAL,17.0,
    12. OTRAS INFRACCIONES PENALES,1107.0,
    TOTAL INFRACCIONES PENALES,234725.0,
EXTREMADURA,
    1. CONTRA LAS PERSONAS,4245.0,
    1.1.-Homicidios dolosos/asesinatos,9.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,1.0,
    1.2.-Lesiones,1902.0,
    1.3.-Malos tratos ámbito familiar,1013.0,
    1.4.-Otros contra las personas,1321.0,
    2. CONTRA LA LIBERTAD,1312.0,
    2.1.-Malos tratos habituales en el ámbito familiar,277.0,
    2.2.-Otros contra la libertad,1035.0,
    3. LIBERTAD SEXUAL,164.0,
    3.1.-Agresión sexual,15.0,
    3.2.-Agresión sexual con penetración,14.0,
    3.3.-Corrupción de menores o incapacitados,10.0,
    3.4.-Pornografía de menores,15.0,
    3.5.-Otros contra la libertad e indemnidad sexual,110.0,
    4. RELACIONES FAMILIARES,231.0,
    5. PATRIMONIO,18942.0,
    5.1.-Hurtos,8083.0,
    5.2.-Robos con fuerza en las cosas,4585.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,878.0,
    5.2.2.-Robos con fuerza en viviendas,1334.0,
    5.2.3.-Robos con fuerza en establecimientos,904.0,
    5.3.-Robos con violencia o intimidación,308.0,
    5.3.1.-Robos con violencia en vía pública,187.0,
    5.3.2.-Robos con violencia en viviendas,38.0,
    5.3.3.-Robos con violencia en establecimientos,52.0,
    5.4.-Sustracción de vehículos,382.0,
    5.5.-Estafas,1748.0,
    5.5.1.-Estafas bancarias,138.0,
    5.6.-Daños,3196.0,
    5.7.-Contra la propiedad intelectual/industrial,34.0,
    5.8.-Blanqueo de capitales,3.0,
    5.9.-Otros contra el patrimonio,603.0,
    6. SEGURIDAD COLECTIVA,966.0,
    6.1.-Tráfico de drogas,201.0,
    6.2.-Contra la seguridad vial,711.0,
    6.3.-Otros contra la seguridad colectiva,54.0,
    7. FALSEDADES,299.0,
    8. ADMÓN. PÚBLICA,1.0,
    9. ADMÓN. JUSTICIA,530.0,
    10. ORDEN PÚBLICO,354.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,206.0,
    TOTAL INFRACCIONES PENALES,27251.0,
GALICIA,
    1. CONTRA LAS PERSONAS,11296.0,
    1.1.-Homicidios dolosos/asesinatos,56.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,19.0,
    1.2.-Lesiones,5114.0,
    1.3.-Malos tratos ámbito familiar,2651.0,
    1.4.-Otros contra las personas,3475.0,
    2. CONTRA LA LIBERTAD,3736.0,
    2.1.-Malos tratos habituales en el ámbito familiar,651.0,
    2.2.-Otros contra la libertad,3085.0,
    3. LIBERTAD SEXUAL,434.0,
    3.1.-Agresión sexual,83.0,
    3.2.-Agresión sexual con penetración,54.0,
    3.3.-Corrupción de menores o incapacitados,11.0,
    3.4.-Pornografía de menores,37.0,
    3.5.-Otros contra la libertad e indemnidad sexual,249.0,
    4. RELACIONES FAMILIARES,286.0,
    5. PATRIMONIO,53286.0,
    5.1.-Hurtos,22032.0,
    5.2.-Robos con fuerza en las cosas,11616.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2827.0,
    5.2.2.-Robos con fuerza en viviendas,4235.0,
    5.2.3.-Robos con fuerza en establecimientos,2264.0,
    5.3.-Robos con violencia o intimidación,1070.0,
    5.3.1.-Robos con violencia en vía pública,567.0,
    5.3.2.-Robos con violencia en viviendas,113.0,
    5.3.3.-Robos con violencia en establecimientos,253.0,
    5.4.-Sustracción de vehículos,980.0,
    5.5.-Estafas,6168.0,
    5.5.1.-Estafas bancarias,668.0,
    5.6.-Daños,9924.0,
    5.7.-Contra la propiedad intelectual/industrial,77.0,
    5.8.-Blanqueo de capitales,8.0,
    5.9.-Otros contra el patrimonio,1411.0,
    6. SEGURIDAD COLECTIVA,4513.0,
    6.1.-Tráfico de drogas,348.0,
    6.2.-Contra la seguridad vial,4020.0,
    6.3.-Otros contra la seguridad colectiva,145.0,
    7. FALSEDADES,630.0,
    8. ADMÓN. PÚBLICA,37.0,
    9. ADMÓN. JUSTICIA,1032.0,
    10. ORDEN PÚBLICO,937.0,
    11. LEGISLACIÓN ESPECIAL,9.0,
    12. OTRAS INFRACCIONES PENALES,424.0,
    TOTAL INFRACCIONES PENALES,76620.0,
