
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2011,
Total Nacional,
    1. CONTRA LAS PERSONAS,300654.0,
    1.1.-Homicidios dolosos/asesinatos,1210.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,385.0,
    1.2.-Lesiones,112824.0,
    1.3.-Malos tratos ámbito familiar,62260.0,
    1.4.-Otros contra las personas,124360.0,
    2. CONTRA LA LIBERTAD,45131.0,
    2.1.-Malos tratos habituales en el ámbito familiar,17694.0,
    2.2.-Otros contra la libertad,27437.0,
    3. LIBERTAD SEXUAL,9892.0,
    3.1.-Agresión sexual,2294.0,
    3.2.-Agresión sexual con penetración,1513.0,
    3.3.-Corrupción de menores o incapacitados,253.0,
    3.4.-Pornografía de menores,715.0,
    3.5.-Otros contra la libertad e indemnidad sexual,5117.0,
    4. RELACIONES FAMILIARES,9087.0,
    5. PATRIMONIO,1742631.0,
    5.1.-Hurtos,786704.0,
    5.2.-Robos con fuerza en las cosas,414961.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,153259.0,
    5.2.2.-Robos con fuerza en viviendas,100780.0,
    5.2.3.-Robos con fuerza en establecimientos,41250.0,
    5.3.-Robos con violencia o intimidación,87718.0,
    5.3.1.-Robos con violencia en vía pública,38831.0,
    5.3.2.-Robos con violencia en viviendas,5450.0,
    5.3.3.-Robos con violencia en establecimientos,6458.0,
    5.4.-Sustracción de vehículos,60061.0,
    5.5.-Estafas,106262.0,
    5.5.1.-Estafas bancarias,14517.0,
    5.6.-Daños,254361.0,
    5.7.-Contra la propiedad intelectual/industrial,2643.0,
    5.8.-Blanqueo de capitales,171.0,
    5.9.-Otros contra el patrimonio,29750.0,
    6. SEGURIDAD COLECTIVA,85010.0,
    6.1.-Tráfico de drogas,15220.0,
    6.2.-Contra la seguridad vial,67374.0,
    6.3.-Otros contra la seguridad colectiva,2416.0,
    7. FALSEDADES,20175.0,
    8. ADMÓN. PÚBLICA,341.0,
    9. ADMÓN. JUSTICIA,29410.0,
    10. ORDEN PÚBLICO,36317.0,
    11. LEGISLACIÓN ESPECIAL,285.0,
    12. OTRAS INFRACCIONES PENALES,6592.0,
    TOTAL INFRACCIONES PENALES,2285525.0,
Araba/Álava,
    1. CONTRA LAS PERSONAS,1910.0,
    1.1.-Homicidios dolosos/asesinatos,6.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,2.0,
    1.2.-Lesiones,830.0,
    1.3.-Malos tratos ámbito familiar,164.0,
    1.4.-Otros contra las personas,910.0,
    2. CONTRA LA LIBERTAD,621.0,
    2.1.-Malos tratos habituales en el ámbito familiar,449.0,
    2.2.-Otros contra la libertad,172.0,
    3. LIBERTAD SEXUAL,72.0,
    3.1.-Agresión sexual,32.0,
    3.2.-Agresión sexual con penetración,10.0,
    3.3.-Corrupción de menores o incapacitados,1.0,
    3.4.-Pornografía de menores,5.0,
    3.5.-Otros contra la libertad e indemnidad sexual,24.0,
    4. RELACIONES FAMILIARES,24.0,
    5. PATRIMONIO,11160.0,
    5.1.-Hurtos,5520.0,
    5.2.-Robos con fuerza en las cosas,2574.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,12.0,
    5.2.2.-Robos con fuerza en viviendas,497.0,
    5.2.3.-Robos con fuerza en establecimientos,320.0,
    5.3.-Robos con violencia o intimidación,506.0,
    5.3.1.-Robos con violencia en vía pública,342.0,
    5.3.2.-Robos con violencia en viviendas,74.0,
    5.3.3.-Robos con violencia en establecimientos,62.0,
    5.4.-Sustracción de vehículos,103.0,
    5.5.-Estafas,695.0,
    5.5.1.-Estafas bancarias,1.0,
    5.6.-Daños,1628.0,
    5.7.-Contra la propiedad intelectual/industrial,4.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,130.0,
    6. SEGURIDAD COLECTIVA,290.0,
    6.1.-Tráfico de drogas,39.0,
    6.2.-Contra la seguridad vial,244.0,
    6.3.-Otros contra la seguridad colectiva,7.0,
    7. FALSEDADES,90.0,
    8. ADMÓN. PÚBLICA,0.0,
    9. ADMÓN. JUSTICIA,161.0,
    10. ORDEN PÚBLICO,315.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,50.0,
    TOTAL INFRACCIONES PENALES,14693.0,
Albacete,
    1. CONTRA LAS PERSONAS,2241.0,
    1.1.-Homicidios dolosos/asesinatos,2.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,0.0,
    1.2.-Lesiones,892.0,
    1.3.-Malos tratos ámbito familiar,533.0,
    1.4.-Otros contra las personas,814.0,
    2. CONTRA LA LIBERTAD,309.0,
    2.1.-Malos tratos habituales en el ámbito familiar,93.0,
    2.2.-Otros contra la libertad,216.0,
    3. LIBERTAD SEXUAL,65.0,
    3.1.-Agresión sexual,22.0,
    3.2.-Agresión sexual con penetración,8.0,
    3.3.-Corrupción de menores o incapacitados,2.0,
    3.4.-Pornografía de menores,1.0,
    3.5.-Otros contra la libertad e indemnidad sexual,32.0,
    4. RELACIONES FAMILIARES,72.0,
    5. PATRIMONIO,10231.0,
    5.1.-Hurtos,4683.0,
    5.2.-Robos con fuerza en las cosas,2608.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,635.0,
    5.2.2.-Robos con fuerza en viviendas,857.0,
    5.2.3.-Robos con fuerza en establecimientos,302.0,
    5.3.-Robos con violencia o intimidación,323.0,
    5.3.1.-Robos con violencia en vía pública,202.0,
    5.3.2.-Robos con violencia en viviendas,32.0,
    5.3.3.-Robos con violencia en establecimientos,37.0,
    5.4.-Sustracción de vehículos,289.0,
    5.5.-Estafas,603.0,
    5.5.1.-Estafas bancarias,61.0,
    5.6.-Daños,1547.0,
    5.7.-Contra la propiedad intelectual/industrial,12.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,166.0,
    6. SEGURIDAD COLECTIVA,676.0,
    6.1.-Tráfico de drogas,128.0,
    6.2.-Contra la seguridad vial,531.0,
    6.3.-Otros contra la seguridad colectiva,17.0,
    7. FALSEDADES,161.0,
    8. ADMÓN. PÚBLICA,3.0,
    9. ADMÓN. JUSTICIA,191.0,
