
Series anuales. Hechos conocidos
Hechos conocidos por comunidades autónomas, tipología penal y  periodo.
Unidades: Hechos conocidos

,2013,
TOTAL NACIONAL,
    1. CONTRA LAS PERSONAS,274655.0,
    1.1.-Homicidios dolosos/asesinatos,964.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,302.0,
    1.2.-Lesiones,100193.0,
    1.3.-Malos tratos ámbito familiar,59819.0,
    1.4.-Otros contra las personas,113679.0,
    2. CONTRA LA LIBERTAD,43322.0,
    2.1.-Malos tratos habituales en el ámbito familiar,16676.0,
    2.2.-Otros contra la libertad,26646.0,
    3. LIBERTAD SEXUAL,8923.0,
    3.1.-Agresión sexual,1807.0,
    3.2.-Agresión sexual con penetración,1298.0,
    3.3.-Corrupción de menores o incapacitados,320.0,
    3.4.-Pornografía de menores,508.0,
    3.5.-Otros contra la libertad e indemnidad sexual,4990.0,
    4. RELACIONES FAMILIARES,10331.0,
    5. PATRIMONIO,1679585.0,
    5.1.-Hurtos,770296.0,
    5.2.-Robos con fuerza en las cosas,381777.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,123355.0,
    5.2.2.-Robos con fuerza en viviendas,127444.0,
    5.2.3.-Robos con fuerza en establecimientos,39940.0,
    5.3.-Robos con violencia o intimidación,86034.0,
    5.3.1.-Robos con violencia en vía pública,38975.0,
    5.3.2.-Robos con violencia en viviendas,6306.0,
    5.3.3.-Robos con violencia en establecimientos,6747.0,
    5.4.-Sustracción de vehículos,48855.0,
    5.5.-Estafas,122464.0,
    5.5.1.-Estafas bancarias,20292.0,
    5.6.-Daños,226619.0,
    5.7.-Contra la propiedad intelectual/industrial,3260.0,
    5.8.-Blanqueo de capitales,243.0,
    5.9.-Otros contra el patrimonio,40037.0,
    6. SEGURIDAD COLECTIVA,71596.0,
    6.1.-Tráfico de drogas,14296.0,
    6.2.-Contra la seguridad vial,55226.0,
    6.3.-Otros contra la seguridad colectiva,2074.0,
    7. FALSEDADES,17262.0,
    8. ADMÓN. PÚBLICA,391.0,
    9. ADMÓN. JUSTICIA,27245.0,
    10. ORDEN PÚBLICO,31489.0,
    11. LEGISLACIÓN ESPECIAL,205.0,
    12. OTRAS INFRACCIONES PENALES,7129.0,
    TOTAL INFRACCIONES PENALES,2172133.0,
ANDALUCÍA,
    1. CONTRA LAS PERSONAS,56840.0,
    1.1.-Homicidios dolosos/asesinatos,247.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,65.0,
    1.2.-Lesiones,19956.0,
    1.3.-Malos tratos ámbito familiar,12241.0,
    1.4.-Otros contra las personas,24396.0,
    2. CONTRA LA LIBERTAD,7773.0,
    2.1.-Malos tratos habituales en el ámbito familiar,3579.0,
    2.2.-Otros contra la libertad,4194.0,
    3. LIBERTAD SEXUAL,1624.0,
    3.1.-Agresión sexual,363.0,
    3.2.-Agresión sexual con penetración,188.0,
    3.3.-Corrupción de menores o incapacitados,87.0,
    3.4.-Pornografía de menores,86.0,
    3.5.-Otros contra la libertad e indemnidad sexual,900.0,
    4. RELACIONES FAMILIARES,1559.0,
    5. PATRIMONIO,273325.0,
    5.1.-Hurtos,127933.0,
    5.2.-Robos con fuerza en las cosas,67166.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,23407.0,
    5.2.2.-Robos con fuerza en viviendas,22031.0,
    5.2.3.-Robos con fuerza en establecimientos,7951.0,
    5.3.-Robos con violencia o intimidación,10531.0,
    5.3.1.-Robos con violencia en vía pública,7437.0,
    5.3.2.-Robos con violencia en viviendas,695.0,
    5.3.3.-Robos con violencia en establecimientos,1410.0,
    5.4.-Sustracción de vehículos,9125.0,
    5.5.-Estafas,15060.0,
    5.5.1.-Estafas bancarias,764.0,
    5.6.-Daños,36487.0,
    5.7.-Contra la propiedad intelectual/industrial,971.0,
    5.8.-Blanqueo de capitales,71.0,
    5.9.-Otros contra el patrimonio,5981.0,
    6. SEGURIDAD COLECTIVA,16119.0,
    6.1.-Tráfico de drogas,3274.0,
    6.2.-Contra la seguridad vial,12422.0,
    6.3.-Otros contra la seguridad colectiva,423.0,
    7. FALSEDADES,3013.0,
    8. ADMÓN. PÚBLICA,103.0,
    9. ADMÓN. JUSTICIA,6347.0,
    10. ORDEN PÚBLICO,5666.0,
    11. LEGISLACIÓN ESPECIAL,76.0,
    12. OTRAS INFRACCIONES PENALES,1401.0,
    TOTAL INFRACCIONES PENALES,373846.0,
ARAGÓN,
    1. CONTRA LAS PERSONAS,6330.0,
    1.1.-Homicidios dolosos/asesinatos,14.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,7.0,
    1.2.-Lesiones,2329.0,
    1.3.-Malos tratos ámbito familiar,1719.0,
    1.4.-Otros contra las personas,2268.0,
    2. CONTRA LA LIBERTAD,909.0,
    2.1.-Malos tratos habituales en el ámbito familiar,387.0,
    2.2.-Otros contra la libertad,522.0,
    3. LIBERTAD SEXUAL,232.0,
    3.1.-Agresión sexual,56.0,
    3.2.-Agresión sexual con penetración,30.0,
    3.3.-Corrupción de menores o incapacitados,18.0,
    3.4.-Pornografía de menores,14.0,
    3.5.-Otros contra la libertad e indemnidad sexual,114.0,
    4. RELACIONES FAMILIARES,168.0,
    5. PATRIMONIO,32032.0,
    5.1.-Hurtos,14058.0,
    5.2.-Robos con fuerza en las cosas,6993.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1374.0,
    5.2.2.-Robos con fuerza en viviendas,2179.0,
    5.2.3.-Robos con fuerza en establecimientos,1033.0,
    5.3.-Robos con violencia o intimidación,1240.0,
    5.3.1.-Robos con violencia en vía pública,790.0,
    5.3.2.-Robos con violencia en viviendas,86.0,
    5.3.3.-Robos con violencia en establecimientos,217.0,
    5.4.-Sustracción de vehículos,504.0,
    5.5.-Estafas,2397.0,
    5.5.1.-Estafas bancarias,116.0,
    5.6.-Daños,5993.0,
    5.7.-Contra la propiedad intelectual/industrial,67.0,
    5.8.-Blanqueo de capitales,7.0,
    5.9.-Otros contra el patrimonio,773.0,
    6. SEGURIDAD COLECTIVA,1225.0,
    6.1.-Tráfico de drogas,343.0,
    6.2.-Contra la seguridad vial,803.0,
    6.3.-Otros contra la seguridad colectiva,79.0,
    7. FALSEDADES,339.0,
    8. ADMÓN. PÚBLICA,20.0,
    9. ADMÓN. JUSTICIA,616.0,
    10. ORDEN PÚBLICO,733.0,
    11. LEGISLACIÓN ESPECIAL,3.0,
    12. OTRAS INFRACCIONES PENALES,128.0,
    TOTAL INFRACCIONES PENALES,42735.0,
ASTURIAS (PRINCIPADO DE),
    1. CONTRA LAS PERSONAS,5617.0,
    1.1.-Homicidios dolosos/asesinatos,17.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,8.0,
    1.2.-Lesiones,2102.0,
    1.3.-Malos tratos ámbito familiar,1215.0,
    1.4.-Otros contra las personas,2283.0,
    2. CONTRA LA LIBERTAD,513.0,
    2.1.-Malos tratos habituales en el ámbito familiar,69.0,
    2.2.-Otros contra la libertad,444.0,
    3. LIBERTAD SEXUAL,119.0,
    3.1.-Agresión sexual,20.0,
    3.2.-Agresión sexual con penetración,19.0,
    3.3.-Corrupción de menores o incapacitados,7.0,
    3.4.-Pornografía de menores,9.0,
    3.5.-Otros contra la libertad e indemnidad sexual,64.0,
    4. RELACIONES FAMILIARES,144.0,
    5. PATRIMONIO,20834.0,
    5.1.-Hurtos,10060.0,
    5.2.-Robos con fuerza en las cosas,3348.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,568.0,
    5.2.2.-Robos con fuerza en viviendas,1029.0,
    5.2.3.-Robos con fuerza en establecimientos,896.0,
    5.3.-Robos con violencia o intimidación,766.0,
    5.3.1.-Robos con violencia en vía pública,458.0,
    5.3.2.-Robos con violencia en viviendas,81.0,
    5.3.3.-Robos con violencia en establecimientos,130.0,
    5.4.-Sustracción de vehículos,451.0,
    5.5.-Estafas,1646.0,
    5.5.1.-Estafas bancarias,47.0,
    5.6.-Daños,3718.0,
    5.7.-Contra la propiedad intelectual/industrial,23.0,
    5.8.-Blanqueo de capitales,3.0,
    5.9.-Otros contra el patrimonio,819.0,
    6. SEGURIDAD COLECTIVA,1458.0,
    6.1.-Tráfico de drogas,189.0,
    6.2.-Contra la seguridad vial,1219.0,
    6.3.-Otros contra la seguridad colectiva,50.0,
    7. FALSEDADES,157.0,
    8. ADMÓN. PÚBLICA,8.0,
    9. ADMÓN. JUSTICIA,447.0,
    10. ORDEN PÚBLICO,664.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,87.0,
    TOTAL INFRACCIONES PENALES,30049.0,
BALEARS (ILLES),
    1. CONTRA LAS PERSONAS,9030.0,
    1.1.-Homicidios dolosos/asesinatos,33.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,10.0,
    1.2.-Lesiones,3325.0,
    1.3.-Malos tratos ámbito familiar,2425.0,
    1.4.-Otros contra las personas,3247.0,
    2. CONTRA LA LIBERTAD,1327.0,
    2.1.-Malos tratos habituales en el ámbito familiar,474.0,
    2.2.-Otros contra la libertad,853.0,
    3. LIBERTAD SEXUAL,406.0,
    3.1.-Agresión sexual,90.0,
    3.2.-Agresión sexual con penetración,62.0,
    3.3.-Corrupción de menores o incapacitados,18.0,
    3.4.-Pornografía de menores,27.0,
    3.5.-Otros contra la libertad e indemnidad sexual,209.0,
    4. RELACIONES FAMILIARES,274.0,
    5. PATRIMONIO,57282.0,
    5.1.-Hurtos,34526.0,
    5.2.-Robos con fuerza en las cosas,10050.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,3037.0,
    5.2.2.-Robos con fuerza en viviendas,3540.0,
    5.2.3.-Robos con fuerza en establecimientos,1300.0,
    5.3.-Robos con violencia o intimidación,1319.0,
    5.3.1.-Robos con violencia en vía pública,851.0,
    5.3.2.-Robos con violencia en viviendas,78.0,
    5.3.3.-Robos con violencia en establecimientos,169.0,
    5.4.-Sustracción de vehículos,1582.0,
    5.5.-Estafas,3218.0,
    5.5.1.-Estafas bancarias,421.0,
    5.6.-Daños,4821.0,
    5.7.-Contra la propiedad intelectual/industrial,113.0,
    5.8.-Blanqueo de capitales,4.0,
    5.9.-Otros contra el patrimonio,1649.0,
    6. SEGURIDAD COLECTIVA,3052.0,
    6.1.-Tráfico de drogas,561.0,
    6.2.-Contra la seguridad vial,2413.0,
    6.3.-Otros contra la seguridad colectiva,78.0,
    7. FALSEDADES,405.0,
    8. ADMÓN. PÚBLICA,7.0,
    9. ADMÓN. JUSTICIA,798.0,
    10. ORDEN PÚBLICO,1009.0,
    11. LEGISLACIÓN ESPECIAL,1.0,
    12. OTRAS INFRACCIONES PENALES,242.0,
    TOTAL INFRACCIONES PENALES,73833.0,
CANARIAS,
    1. CONTRA LAS PERSONAS,19224.0,
    1.1.-Homicidios dolosos/asesinatos,50.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,13.0,
    1.2.-Lesiones,6408.0,
    1.3.-Malos tratos ámbito familiar,4024.0,
    1.4.-Otros contra las personas,8742.0,
    2. CONTRA LA LIBERTAD,2103.0,
    2.1.-Malos tratos habituales en el ámbito familiar,708.0,
    2.2.-Otros contra la libertad,1395.0,
    3. LIBERTAD SEXUAL,469.0,
    3.1.-Agresión sexual,93.0,
    3.2.-Agresión sexual con penetración,52.0,
    3.3.-Corrupción de menores o incapacitados,14.0,
    3.4.-Pornografía de menores,32.0,
    3.5.-Otros contra la libertad e indemnidad sexual,278.0,
    4. RELACIONES FAMILIARES,1117.0,
    5. PATRIMONIO,62970.0,
    5.1.-Hurtos,32519.0,
    5.2.-Robos con fuerza en las cosas,13661.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,4598.0,
    5.2.2.-Robos con fuerza en viviendas,4001.0,
    5.2.3.-Robos con fuerza en establecimientos,1809.0,
    5.3.-Robos con violencia o intimidación,1818.0,
    5.3.1.-Robos con violencia en vía pública,1208.0,
    5.3.2.-Robos con violencia en viviendas,138.0,
    5.3.3.-Robos con violencia en establecimientos,222.0,
    5.4.-Sustracción de vehículos,1893.0,
    5.5.-Estafas,3736.0,
    5.5.1.-Estafas bancarias,505.0,
    5.6.-Daños,8060.0,
    5.7.-Contra la propiedad intelectual/industrial,82.0,
    5.8.-Blanqueo de capitales,5.0,
    5.9.-Otros contra el patrimonio,1196.0,
    6. SEGURIDAD COLECTIVA,4159.0,
    6.1.-Tráfico de drogas,615.0,
    6.2.-Contra la seguridad vial,3443.0,
    6.3.-Otros contra la seguridad colectiva,101.0,
    7. FALSEDADES,516.0,
    8. ADMÓN. PÚBLICA,12.0,
    9. ADMÓN. JUSTICIA,1298.0,
    10. ORDEN PÚBLICO,1293.0,
    11. LEGISLACIÓN ESPECIAL,4.0,
    12. OTRAS INFRACCIONES PENALES,176.0,
    TOTAL INFRACCIONES PENALES,93341.0,
CANTABRIA,
    1. CONTRA LAS PERSONAS,3180.0,
    1.1.-Homicidios dolosos/asesinatos,5.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,4.0,
    1.2.-Lesiones,1405.0,
    1.3.-Malos tratos ámbito familiar,547.0,
    1.4.-Otros contra las personas,1223.0,
    2. CONTRA LA LIBERTAD,331.0,
    2.1.-Malos tratos habituales en el ámbito familiar,138.0,
    2.2.-Otros contra la libertad,193.0,
    3. LIBERTAD SEXUAL,55.0,
    3.1.-Agresión sexual,6.0,
    3.2.-Agresión sexual con penetración,5.0,
    3.3.-Corrupción de menores o incapacitados,0.0,
    3.4.-Pornografía de menores,4.0,
    3.5.-Otros contra la libertad e indemnidad sexual,40.0,
    4. RELACIONES FAMILIARES,54.0,
    5. PATRIMONIO,11875.0,
    5.1.-Hurtos,5940.0,
    5.2.-Robos con fuerza en las cosas,2432.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,450.0,
    5.2.2.-Robos con fuerza en viviendas,905.0,
    5.2.3.-Robos con fuerza en establecimientos,543.0,
    5.3.-Robos con violencia o intimidación,371.0,
    5.3.1.-Robos con violencia en vía pública,199.0,
    5.3.2.-Robos con violencia en viviendas,45.0,
    5.3.3.-Robos con violencia en establecimientos,79.0,
    5.4.-Sustracción de vehículos,264.0,
    5.5.-Estafas,803.0,
    5.5.1.-Estafas bancarias,43.0,
    5.6.-Daños,1672.0,
    5.7.-Contra la propiedad intelectual/industrial,25.0,
    5.8.-Blanqueo de capitales,0.0,
    5.9.-Otros contra el patrimonio,368.0,
    6. SEGURIDAD COLECTIVA,873.0,
    6.1.-Tráfico de drogas,92.0,
    6.2.-Contra la seguridad vial,769.0,
    6.3.-Otros contra la seguridad colectiva,12.0,
    7. FALSEDADES,99.0,
    8. ADMÓN. PÚBLICA,1.0,
    9. ADMÓN. JUSTICIA,300.0,
    10. ORDEN PÚBLICO,410.0,
    11. LEGISLACIÓN ESPECIAL,0.0,
    12. OTRAS INFRACCIONES PENALES,61.0,
    TOTAL INFRACCIONES PENALES,17239.0,
CASTILLA Y LEÓN,
    1. CONTRA LAS PERSONAS,13015.0,
    1.1.-Homicidios dolosos/asesinatos,41.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,19.0,
    1.2.-Lesiones,4668.0,
    1.3.-Malos tratos ámbito familiar,2135.0,
    1.4.-Otros contra las personas,6171.0,
    2. CONTRA LA LIBERTAD,1221.0,
    2.1.-Malos tratos habituales en el ámbito familiar,484.0,
    2.2.-Otros contra la libertad,737.0,
    3. LIBERTAD SEXUAL,238.0,
    3.1.-Agresión sexual,62.0,
    3.2.-Agresión sexual con penetración,31.0,
    3.3.-Corrupción de menores o incapacitados,7.0,
    3.4.-Pornografía de menores,15.0,
    3.5.-Otros contra la libertad e indemnidad sexual,123.0,
    4. RELACIONES FAMILIARES,282.0,
    5. PATRIMONIO,58837.0,
    5.1.-Hurtos,28107.0,
    5.2.-Robos con fuerza en las cosas,12317.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,2203.0,
    5.2.2.-Robos con fuerza en viviendas,3818.0,
    5.2.3.-Robos con fuerza en establecimientos,2402.0,
    5.3.-Robos con violencia o intimidación,1121.0,
    5.3.1.-Robos con violencia en vía pública,709.0,
    5.3.2.-Robos con violencia en viviendas,128.0,
    5.3.3.-Robos con violencia en establecimientos,168.0,
    5.4.-Sustracción de vehículos,790.0,
    5.5.-Estafas,4138.0,
    5.5.1.-Estafas bancarias,217.0,
    5.6.-Daños,10914.0,
    5.7.-Contra la propiedad intelectual/industrial,140.0,
    5.8.-Blanqueo de capitales,8.0,
    5.9.-Otros contra el patrimonio,1302.0,
    6. SEGURIDAD COLECTIVA,3329.0,
    6.1.-Tráfico de drogas,380.0,
