"Reported criminal offences by type of offence, region and time"

" "," ","2018Q2"
"Nature of the offence, total"
" ","All Denmark",118708
" ","Region Hovedstaden",46173
" ","Copenhagen",23430
" ","Frederiksberg",1821
" ","Dragør",126
" ","Tårnby",1962
" ","Albertslund",774
" ","Ballerup",808
" ","Brøndby",859
" ","Gentofte",1475
" ","Gladsaxe",1163
" ","Glostrup",709
" ","Herlev",714
" ","Hvidovre",1085
" ","Høje-Taastrup",1078
" ","Ishøj",537
" ","Lyngby-Taarbæk",1176
" ","Rødovre",866
" ","Vallensbæk",219
" ","Allerød",437
" ","Egedal",374
" ","Fredensborg",481
" ","Frederikssund",646
" ","Furesø",621
" ","Gribskov",552
" ","Halsnæs",460
" ","Helsingør",1146
" ","Hillerød",799
" ","Hørsholm",491
" ","Rudersdal",914
" ","Bornholm",449
" ","Christiansø",1
" ","Region Sjælland",13986
" ","Greve",867
" ","Køge",975
" ","Lejre",327
" ","Roskilde",1829
" ","Solrød",251
" ","Faxe",420
" ","Guldborgsund",1082
" ","Holbæk",1038
" ","Kalundborg",735
" ","Lolland",1070
" ","Næstved",1297
" ","Odsherred",596
" ","Ringsted",598
" ","Slagelse",1534
" ","Sorø",467
" ","Stevns",267
" ","Vordingborg",633
" ","Region Syddanmark",20189
" ","Assens",407
" ","Faaborg-Midtfyn",585
" ","Kerteminde",225
" ","Langeland",140
" ","Middelfart",555
" ","Nordfyns",317
" ","Nyborg",505
" ","Odense",3907
" ","Svendborg",732
" ","Ærø",95
" ","Billund",495
" ","Esbjerg",2198
" ","Fanø",54
" ","Fredericia",1186
" ","Haderslev",858
" ","Kolding",1861
" ","Sønderborg",1150
" ","Tønder",609
" ","Varde",647
" ","Vejen",507
" ","Vejle",2005
" ","Aabenraa",1151
" ","Region Midtjylland",21694
" ","Favrskov",504
" ","Hedensted",573
" ","Horsens",1657
" ","Norddjurs",493
" ","Odder",227
" ","Randers",1443
" ","Samsø",30
" ","Silkeborg",1209
" ","Skanderborg",707
" ","Syddjurs",550
" ","Aarhus",7606
" ","Herning",1493
" ","Holstebro",933
" ","Ikast-Brande",1367
" ","Lemvig",161
" ","Ringkøbing-Skjern",609
" ","Skive",578
" ","Struer",198
" ","Viborg",1356
" ","Region Nordjylland",9020
" ","Brønderslev",462
" ","Frederikshavn",1215
" ","Hjørring",765
" ","Jammerbugt",440
" ","Læsø",8
" ","Mariagerfjord",496
" ","Morsø",171
" ","Rebild",244
" ","Thisted",559
" ","Vesthimmerlands",492
" ","Aalborg",4168
" ","Unknown municipality",7646
"Penal Code, total"
" ","All Denmark",88326
" ","Region Hovedstaden",35903
" ","Copenhagen",18231
" ","Frederiksberg",1651
" ","Dragør",107
" ","Tårnby",977
" ","Albertslund",554
" ","Ballerup",668
" ","Brøndby",650
" ","Gentofte",1317
" ","Gladsaxe",929
" ","Glostrup",593
" ","Herlev",593
" ","Hvidovre",898
" ","Høje-Taastrup",792
" ","Ishøj",369
" ","Lyngby-Taarbæk",1073
" ","Rødovre",674
" ","Vallensbæk",160
" ","Allerød",246
" ","Egedal",311
" ","Fredensborg",385
" ","Frederikssund",493
" ","Furesø",529
" ","Gribskov",424
" ","Halsnæs",368
" ","Helsingør",819
" ","Hillerød",643
" ","Hørsholm",428
" ","Rudersdal",771
" ","Bornholm",250
" ","Christiansø",0
" ","Region Sjælland",10336
" ","Greve",630
" ","Køge",779
" ","Lejre",246
" ","Roskilde",1374
" ","Solrød",189
" ","Faxe",300
" ","Guldborgsund",808
" ","Holbæk",731
" ","Kalundborg",575
" ","Lolland",716
" ","Næstved",1008
" ","Odsherred",446
" ","Ringsted",418
" ","Slagelse",1112
" ","Sorø",358
" ","Stevns",183
" ","Vordingborg",463
" ","Region Syddanmark",14787
" ","Assens",283
" ","Faaborg-Midtfyn",420
" ","Kerteminde",169
" ","Langeland",108
" ","Middelfart",455
" ","Nordfyns",246
" ","Nyborg",398
" ","Odense",3152
" ","Svendborg",546
" ","Ærø",33
" ","Billund",330
" ","Esbjerg",1532
" ","Fanø",45
" ","Fredericia",778
" ","Haderslev",583
" ","Kolding",1374
" ","Sønderborg",905
" ","Tønder",403
" ","Varde",463
" ","Vejen",355
" ","Vejle",1530
" ","Aabenraa",679
" ","Region Midtjylland",15889
" ","Favrskov",379
" ","Hedensted",386
" ","Horsens",1134
" ","Norddjurs",355
" ","Odder",174
" ","Randers",994
" ","Samsø",20
" ","Silkeborg",892
" ","Skanderborg",558
" ","Syddjurs",414
" ","Aarhus",6249
" ","Herning",1029
" ","Holstebro",710
" ","Ikast-Brande",408
" ","Lemvig",109
" ","Ringkøbing-Skjern",471
" ","Skive",414
" ","Struer",153
" ","Viborg",1040
" ","Region Nordjylland",6225
" ","Brønderslev",316
" ","Frederikshavn",946
" ","Hjørring",566
" ","Jammerbugt",331
" ","Læsø",7
" ","Mariagerfjord",338
" ","Morsø",111
" ","Rebild",153
" ","Thisted",424
" ","Vesthimmerlands",350
" ","Aalborg",2683
" ","Unknown municipality",5186
"Penal code, unspecified"
" ","All Denmark",0
" ","Region Hovedstaden",0
" ","Copenhagen",0
" ","Frederiksberg",0
" ","Dragør",0
" ","Tårnby",0
" ","Albertslund",0
" ","Ballerup",0
" ","Brøndby",0
" ","Gentofte",0
" ","Gladsaxe",0
" ","Glostrup",0
" ","Herlev",0
" ","Hvidovre",0
" ","Høje-Taastrup",0
" ","Ishøj",0
" ","Lyngby-Taarbæk",0
" ","Rødovre",0
" ","Vallensbæk",0
" ","Allerød",0
" ","Egedal",0
" ","Fredensborg",0
" ","Frederikssund",0
" ","Furesø",0
" ","Gribskov",0
" ","Halsnæs",0
" ","Helsingør",0
" ","Hillerød",0
" ","Hørsholm",0
" ","Rudersdal",0
" ","Bornholm",0
" ","Christiansø",0
" ","Region Sjælland",0
" ","Greve",0
" ","Køge",0
" ","Lejre",0
" ","Roskilde",0
" ","Solrød",0
" ","Faxe",0
" ","Guldborgsund",0
" ","Holbæk",0
" ","Kalundborg",0
" ","Lolland",0
" ","Næstved",0
" ","Odsherred",0
" ","Ringsted",0
" ","Slagelse",0
" ","Sorø",0
" ","Stevns",0
" ","Vordingborg",0
" ","Region Syddanmark",0
" ","Assens",0
" ","Faaborg-Midtfyn",0
" ","Kerteminde",0
" ","Langeland",0
" ","Middelfart",0
" ","Nordfyns",0
" ","Nyborg",0
" ","Odense",0
" ","Svendborg",0
" ","Ærø",0
" ","Billund",0
" ","Esbjerg",0
" ","Fanø",0
" ","Fredericia",0
" ","Haderslev",0
" ","Kolding",0
" ","Sønderborg",0
" ","Tønder",0
" ","Varde",0
" ","Vejen",0
" ","Vejle",0
" ","Aabenraa",0
" ","Region Midtjylland",0
" ","Favrskov",0
" ","Hedensted",0
" ","Horsens",0
" ","Norddjurs",0
" ","Odder",0
" ","Randers",0
" ","Samsø",0
" ","Silkeborg",0
" ","Skanderborg",0
" ","Syddjurs",0
" ","Aarhus",0
" ","Herning",0
" ","Holstebro",0
" ","Ikast-Brande",0
" ","Lemvig",0
" ","Ringkøbing-Skjern",0
" ","Skive",0
" ","Struer",0
" ","Viborg",0
" ","Region Nordjylland",0
" ","Brønderslev",0
" ","Frederikshavn",0
" ","Hjørring",0
" ","Jammerbugt",0
" ","Læsø",0
" ","Mariagerfjord",0
" ","Morsø",0
" ","Rebild",0
" ","Thisted",0
" ","Vesthimmerlands",0
" ","Aalborg",0
" ","Unknown municipality",0
"Sexual offenses, total"
" ","All Denmark",1249
" ","Region Hovedstaden",415
" ","Copenhagen",166
" ","Frederiksberg",11
" ","Dragør",2
" ","Tårnby",26
" ","Albertslund",6
" ","Ballerup",9
" ","Brøndby",7
" ","Gentofte",23
" ","Gladsaxe",8
" ","Glostrup",3
" ","Herlev",3
" ","Hvidovre",7
" ","Høje-Taastrup",8
" ","Ishøj",5
" ","Lyngby-Taarbæk",14
" ","Rødovre",9
" ","Vallensbæk",1
" ","Allerød",4
" ","Egedal",11
" ","Fredensborg",9
" ","Frederikssund",8
" ","Furesø",7
" ","Gribskov",9
" ","Halsnæs",7
" ","Helsingør",24
" ","Hillerød",16
" ","Hørsholm",3
" ","Rudersdal",4
" ","Bornholm",5
" ","Christiansø",0
" ","Region Sjælland",174
" ","Greve",7
" ","Køge",12
" ","Lejre",1
" ","Roskilde",16
" ","Solrød",7
" ","Faxe",8
" ","Guldborgsund",13
" ","Holbæk",11
" ","Kalundborg",4
" ","Lolland",20
" ","Næstved",30
" ","Odsherred",5
" ","Ringsted",4
" ","Slagelse",8
" ","Sorø",6
" ","Stevns",7
" ","Vordingborg",15
" ","Region Syddanmark",256
" ","Assens",1
" ","Faaborg-Midtfyn",7
" ","Kerteminde",6
" ","Langeland",1
" ","Middelfart",16
" ","Nordfyns",8
" ","Nyborg",6
" ","Odense",30
" ","Svendborg",8
" ","Ærø",1
" ","Billund",2
" ","Esbjerg",35
" ","Fanø",0
" ","Fredericia",12
" ","Haderslev",10
" ","Kolding",32
" ","Sønderborg",9
" ","Tønder",9
" ","Varde",6
" ","Vejen",17
" ","Vejle",26
" ","Aabenraa",14
" ","Region Midtjylland",213
" ","Favrskov",2
" ","Hedensted",14
" ","Horsens",22
" ","Norddjurs",5
" ","Odder",3
" ","Randers",15
" ","Samsø",1
" ","Silkeborg",12
" ","Skanderborg",6
" ","Syddjurs",7
" ","Aarhus",49
" ","Herning",15
" ","Holstebro",23
" ","Ikast-Brande",4
" ","Lemvig",2
" ","Ringkøbing-Skjern",8
" ","Skive",12
" ","Struer",4
" ","Viborg",9
" ","Region Nordjylland",131
" ","Brønderslev",9
" ","Frederikshavn",18
" ","Hjørring",10
" ","Jammerbugt",14
" ","Læsø",0
" ","Mariagerfjord",4
" ","Morsø",0
" ","Rebild",2
" ","Thisted",7
" ","Vesthimmerlands",5
" ","Aalborg",62
" ","Unknown municipality",60
"Incest, etc."
" ","All Denmark",11
" ","Region Hovedstaden",5
" ","Copenhagen",3
" ","Frederiksberg",0
" ","Dragør",0
" ","Tårnby",0
" ","Albertslund",0
" ","Ballerup",0
" ","Brøndby",0
" ","Gentofte",2
" ","Gladsaxe",0
" ","Glostrup",0
" ","Herlev",0
" ","Hvidovre",0
" ","Høje-Taastrup",0
" ","Ishøj",0
" ","Lyngby-Taarbæk",0
" ","Rødovre",0
" ","Vallensbæk",0
" ","Allerød",0
" ","Egedal",0
" ","Fredensborg",0
" ","Frederikssund",0
" ","Furesø",0
" ","Gribskov",0
" ","Halsnæs",0
" ","Helsingør",0
" ","Hillerød",0
" ","Hørsholm",0
" ","Rudersdal",0
" ","Bornholm",0
" ","Christiansø",0
" ","Region Sjælland",2
" ","Greve",0
" ","Køge",0
" ","Lejre",0
" ","Roskilde",0
" ","Solrød",0
" ","Faxe",0
" ","Guldborgsund",1
" ","Holbæk",0
" ","Kalundborg",0
" ","Lolland",0
" ","Næstved",0
" ","Odsherred",0
" ","Ringsted",0
" ","Slagelse",0
" ","Sorø",1
" ","Stevns",0
" ","Vordingborg",0
" ","Region Syddanmark",2
" ","Assens",0
" ","Faaborg-Midtfyn",0
" ","Kerteminde",0
" ","Langeland",0
" ","Middelfart",0
" ","Nordfyns",1
" ","Nyborg",0
" ","Odense",0
" ","Svendborg",0
" ","Ærø",0
" ","Billund",0
" ","Esbjerg",0
" ","Fanø",0
" ","Fredericia",0
" ","Haderslev",0
" ","Kolding",0
" ","Sønderborg",0
" ","Tønder",1
" ","Varde",0
" ","Vejen",0
" ","Vejle",0
" ","Aabenraa",0
" ","Region Midtjylland",2
" ","Favrskov",0
" ","Hedensted",0
" ","Horsens",0
" ","Norddjurs",0
" ","Odder",0
" ","Randers",0
" ","Samsø",0
" ","Silkeborg",0
" ","Skanderborg",0
" ","Syddjurs",0
" ","Aarhus",0
" ","Herning",0
" ","Holstebro",0
" ","Ikast-Brande",0
" ","Lemvig",1
" ","Ringkøbing-Skjern",0
" ","Skive",0
" ","Struer",1
" ","Viborg",0
" ","Region Nordjylland",0
" ","Brønderslev",0
" ","Frederikshavn",0
" ","Hjørring",0
" ","Jammerbugt",0
" ","Læsø",0
" ","Mariagerfjord",0
" ","Morsø",0
" ","Rebild",0
" ","Thisted",0
" ","Vesthimmerlands",0
" ","Aalborg",0
" ","Unknown municipality",0
"Rape, etc."
" ","All Denmark",275
" ","Region Hovedstaden",86
" ","Copenhagen",39
" ","Frederiksberg",1
" ","Dragør",0
" ","Tårnby",1
" ","Albertslund",1
" ","Ballerup",1
" ","Brøndby",2
" ","Gentofte",3
" ","Gladsaxe",1
" ","Glostrup",0
" ","Herlev",0
" ","Hvidovre",3
" ","Høje-Taastrup",2
" ","Ishøj",1
" ","Lyngby-Taarbæk",2
" ","Rødovre",4
" ","Vallensbæk",1
" ","Allerød",0
" ","Egedal",1
" ","Fredensborg",5
" ","Frederikssund",1
" ","Furesø",1
" ","Gribskov",1
" ","Halsnæs",2
" ","Helsingør",5
" ","Hillerød",5
" ","Hørsholm",1
" ","Rudersdal",1
" ","Bornholm",1
" ","Christiansø",0
" ","Region Sjælland",51
" ","Greve",1
" ","Køge",4
" ","Lejre",1
" ","Roskilde",4
" ","Solrød",0
" ","Faxe",3
" ","Guldborgsund",4
" ","Holbæk",3
" ","Kalundborg",0
" ","Lolland",7
" ","Næstved",7
" ","Odsherred",0
" ","Ringsted",2
" ","Slagelse",3
" ","Sorø",3
" ","Stevns",6
" ","Vordingborg",3
" ","Region Syddanmark",48
" ","Assens",0
" ","Faaborg-Midtfyn",1
" ","Kerteminde",2
" ","Langeland",0
" ","Middelfart",4
" ","Nordfyns",3
" ","Nyborg",0
" ","Odense",6
" ","Svendborg",2
" ","Ærø",0
" ","Billund",0
" ","Esbjerg",7
" ","Fanø",0
" ","Fredericia",3
" ","Haderslev",2
" ","Kolding",1
" ","Sønderborg",1
" ","Tønder",0
" ","Varde",1
" ","Vejen",5
" ","Vejle",9
" ","Aabenraa",1
" ","Region Midtjylland",56
" ","Favrskov",1
" ","Hedensted",4
" ","Horsens",2
" ","Norddjurs",0
" ","Odder",1
" ","Randers",2
" ","Samsø",1
" ","Silkeborg",3
" ","Skanderborg",3
" ","Syddjurs",2
" ","Aarhus",16
" ","Herning",4
" ","Holstebro",6
" ","Ikast-Brande",0
" ","Lemvig",0
" ","Ringkøbing-Skjern",3
" ","Skive",5
" ","Struer",0
" ","Viborg",3
" ","Region Nordjylland",22
" ","Brønderslev",1
" ","Frederikshavn",4
" ","Hjørring",0
" ","Jammerbugt",3
" ","Læsø",0
" ","Mariagerfjord",1
" ","Morsø",0
" ","Rebild",0
" ","Thisted",0
" ","Vesthimmerlands",1
" ","Aalborg",12
" ","Unknown municipality",12
"Heterosexual offence against a child under 12 (Repealed in 2013)"
" ","All Denmark",0
" ","Region Hovedstaden",0
" ","Copenhagen",0
" ","Frederiksberg",0
" ","Dragør",0
" ","Tårnby",0
" ","Albertslund",0
" ","Ballerup",0
" ","Brøndby",0
" ","Gentofte",0
" ","Gladsaxe",0
" ","Glostrup",0
" ","Herlev",0
" ","Hvidovre",0
" ","Høje-Taastrup",0
" ","Ishøj",0
" ","Lyngby-Taarbæk",0
" ","Rødovre",0
" ","Vallensbæk",0
" ","Allerød",0
" ","Egedal",0
" ","Fredensborg",0
" ","Frederikssund",0
" ","Furesø",0
" ","Gribskov",0
" ","Halsnæs",0
" ","Helsingør",0
" ","Hillerød",0
" ","Hørsholm",0
" ","Rudersdal",0
" ","Bornholm",0
" ","Christiansø",0
" ","Region Sjælland",0
" ","Greve",0
" ","Køge",0
" ","Lejre",0
" ","Roskilde",0
" ","Solrød",0
" ","Faxe",0
" ","Guldborgsund",0
" ","Holbæk",0
" ","Kalundborg",0
" ","Lolland",0
" ","Næstved",0
" ","Odsherred",0
" ","Ringsted",0
" ","Slagelse",0
" ","Sorø",0
" ","Stevns",0
" ","Vordingborg",0
" ","Region Syddanmark",0
" ","Assens",0
" ","Faaborg-Midtfyn",0
" ","Kerteminde",0
" ","Langeland",0
" ","Middelfart",0
" ","Nordfyns",0
" ","Nyborg",0
" ","Odense",0
" ","Svendborg",0
" ","Ærø",0
" ","Billund",0
" ","Esbjerg",0
" ","Fanø",0
" ","Fredericia",0
" ","Haderslev",0
" ","Kolding",0
" ","Sønderborg",0
" ","Tønder",0
" ","Varde",0
" ","Vejen",0
" ","Vejle",0
" ","Aabenraa",0
" ","Region Midtjylland",0
" ","Favrskov",0
" ","Hedensted",0
" ","Horsens",0
" ","Norddjurs",0
" ","Odder",0
" ","Randers",0
" ","Samsø",0
" ","Silkeborg",0
" ","Skanderborg",0
" ","Syddjurs",0
" ","Aarhus",0
" ","Herning",0
" ","Holstebro",0
" ","Ikast-Brande",0
" ","Lemvig",0
" ","Ringkøbing-Skjern",0
" ","Skive",0
" ","Struer",0
" ","Viborg",0
" ","Region Nordjylland",0
" ","Brønderslev",0
" ","Frederikshavn",0
" ","Hjørring",0
" ","Jammerbugt",0
" ","Læsø",0
" ","Mariagerfjord",0
" ","Morsø",0
" ","Rebild",0
" ","Thisted",0
" ","Vesthimmerlands",0
" ","Aalborg",0
" ","Unknown municipality",0
"Sexual offence against a child under 12 (New from 2013)"
" ","All Denmark",63
" ","Region Hovedstaden",17
" ","Copenhagen",5
" ","Frederiksberg",0
" ","Dragør",0
" ","Tårnby",0
" ","Albertslund",0
