"Reported criminal offences by type of offence, region and time"

" "," ","2018Q3"
"Nature of the offence, total"
" ","Frederikssund",0
" ","Furesø",0
" ","Gribskov",0
" ","Halsnæs",0
" ","Helsingør",0
" ","Hillerød",0
" ","Hørsholm",0
" ","Rudersdal",0
" ","Bornholm",0
" ","Christiansø",0
" ","Region Sjælland",0
" ","Greve",0
" ","Køge",0
" ","Lejre",0
" ","Roskilde",0
" ","Solrød",0
" ","Faxe",0
" ","Guldborgsund",0
" ","Holbæk",0
" ","Kalundborg",0
" ","Lolland",0
" ","Næstved",0
" ","Odsherred",0
" ","Ringsted",0
" ","Slagelse",0
" ","Sorø",0
" ","Stevns",0
" ","Vordingborg",0
" ","Region Syddanmark",0
" ","Assens",0
" ","Faaborg-Midtfyn",0
" ","Kerteminde",0
" ","Langeland",0
" ","Middelfart",0
" ","Nordfyns",0
" ","Nyborg",0
" ","Odense",0
" ","Svendborg",0
" ","Ærø",0
" ","Billund",0
" ","Esbjerg",0
" ","Fanø",0
" ","Fredericia",0
" ","Haderslev",0
" ","Kolding",0
" ","Sønderborg",0
" ","Tønder",0
" ","Varde",0
" ","Vejen",0
" ","Vejle",0
" ","Aabenraa",0
" ","Region Midtjylland",0
" ","Favrskov",0
" ","Hedensted",0
" ","Horsens",0
" ","Norddjurs",0
" ","Odder",0
" ","Randers",0
" ","Samsø",0
" ","Silkeborg",0
" ","Skanderborg",0
" ","Syddjurs",0
" ","Aarhus",0
" ","Herning",0
" ","Holstebro",0
" ","Ikast-Brande",0
" ","Lemvig",0
" ","Ringkøbing-Skjern",0
" ","Skive",0
" ","Struer",0
" ","Viborg",0
" ","Region Nordjylland",0
" ","Brønderslev",0
" ","Frederikshavn",0
" ","Hjørring",0
" ","Jammerbugt",0
" ","Læsø",0
" ","Mariagerfjord",0
" ","Morsø",0
" ","Rebild",0
" ","Thisted",0
" ","Vesthimmerlands",0
" ","Aalborg",0
" ","Unknown municipality",0
"Sexual offenses, total"
" ","All Denmark",1235
" ","Region Hovedstaden",445
" ","Copenhagen",181
" ","Frederiksberg",15
" ","Dragør",0
" ","Tårnby",10
" ","Albertslund",7
" ","Ballerup",6
" ","Brøndby",7
" ","Gentofte",19
" ","Gladsaxe",12
" ","Glostrup",6
" ","Herlev",3
" ","Hvidovre",9
" ","Høje-Taastrup",10
" ","Ishøj",53
" ","Lyngby-Taarbæk",13
" ","Rødovre",7
" ","Vallensbæk",2
" ","Allerød",9
" ","Egedal",3
" ","Fredensborg",2
" ","Frederikssund",9
" ","Furesø",4
" ","Gribskov",7
" ","Halsnæs",7
" ","Helsingør",19
" ","Hillerød",11
" ","Hørsholm",1
" ","Rudersdal",5
" ","Bornholm",8
" ","Christiansø",0
" ","Region Sjælland",191
" ","Greve",12
" ","Køge",2
" ","Lejre",2
" ","Roskilde",25
" ","Solrød",0
" ","Faxe",19
" ","Guldborgsund",22
" ","Holbæk",17
" ","Kalundborg",6
" ","Lolland",12
" ","Næstved",16
" ","Odsherred",3
" ","Ringsted",4
" ","Slagelse",20
" ","Sorø",9
" ","Stevns",4
" ","Vordingborg",18
" ","Region Syddanmark",254
" ","Assens",8
" ","Faaborg-Midtfyn",7
" ","Kerteminde",5
" ","Langeland",2
" ","Middelfart",26
" ","Nordfyns",5
" ","Nyborg",4
" ","Odense",34
" ","Svendborg",9
" ","Ærø",0
" ","Billund",9
" ","Esbjerg",28
" ","Fanø",0
" ","Fredericia",18
" ","Haderslev",13
" ","Kolding",21
" ","Sønderborg",12
" ","Tønder",6
" ","Varde",10
" ","Vejen",12
" ","Vejle",15
" ","Aabenraa",10
" ","Region Midtjylland",187
" ","Favrskov",7
" ","Hedensted",6
" ","Horsens",23
" ","Norddjurs",9
" ","Odder",2
" ","Randers",11
" ","Samsø",1
" ","Silkeborg",17
" ","Skanderborg",16
" ","Syddjurs",7
" ","Aarhus",35
" ","Herning",13
" ","Holstebro",8
" ","Ikast-Brande",5
" ","Lemvig",2
" ","Ringkøbing-Skjern",4
" ","Skive",7
" ","Struer",2
" ","Viborg",12
" ","Region Nordjylland",101
" ","Brønderslev",10
" ","Frederikshavn",15
" ","Hjørring",11
" ","Jammerbugt",8
