"Reported criminal offences by type of offence, region and time"

" "," ","2018Q4"
"Nature of the offence, total"
" ","All Denmark",123546
" ","Region Hovedstaden",46235
" ","Copenhagen",22640
" ","Frederiksberg",1800
" ","Dragør",142
" ","Tårnby",2081
" ","Albertslund",605
" ","Ballerup",1016
" ","Brøndby",896
" ","Gentofte",1388
" ","Gladsaxe",1247
" ","Glostrup",694
" ","Herlev",718
" ","Hvidovre",1154
" ","Høje-Taastrup",1124
" ","Ishøj",511
" ","Lyngby-Taarbæk",1369
" ","Rødovre",875
" ","Vallensbæk",253
" ","Allerød",501
" ","Egedal",510
" ","Fredensborg",479
" ","Frederikssund",771
" ","Furesø",534
" ","Gribskov",655
" ","Halsnæs",546
" ","Helsingør",1123
" ","Hillerød",913
" ","Hørsholm",417
" ","Rudersdal",876
" ","Bornholm",397
" ","Christiansø",0
" ","Region Sjælland",15494
" ","Greve",900
" ","Køge",913
" ","Lejre",421
" ","Roskilde",1754
" ","Solrød",364
" ","Faxe",559
" ","Guldborgsund",1223
" ","Holbæk",1146
" ","Kalundborg",717
" ","Lolland",1217
" ","Næstved",1926
" ","Odsherred",631
" ","Ringsted",547
" ","Slagelse",1768
" ","Sorø",436
" ","Stevns",258
" ","Vordingborg",714
" ","Region Syddanmark",21701
" ","Assens",498
" ","Faaborg-Midtfyn",652
" ","Kerteminde",293
" ","Langeland",179
" ","Middelfart",540
" ","Nordfyns",433
" ","Nyborg",521
" ","Odense",3962
" ","Svendborg",896
" ","Ærø",85
" ","Billund",525
" ","Esbjerg",2433
" ","Fanø",49
" ","Fredericia",1156
" ","Haderslev",851
" ","Kolding",1953
" ","Sønderborg",1136
" ","Tønder",759
" ","Varde",699
" ","Vejen",568
" ","Vejle",2104
" ","Aabenraa",1409
" ","Region Midtjylland",22724
" ","Favrskov",478
" ","Hedensted",563
" ","Horsens",1472
" ","Norddjurs",647
" ","Odder",218
" ","Randers",1702
" ","Samsø",29
" ","Silkeborg",1429
" ","Skanderborg",631
" ","Syddjurs",533
" ","Aarhus",7789
" ","Herning",1598
" ","Holstebro",945
" ","Ikast-Brande",1824
" ","Lemvig",179
" ","Ringkøbing-Skjern",566
" ","Skive",580
" ","Struer",196
" ","Viborg",1345
" ","Region Nordjylland",9462
" ","Brønderslev",417
" ","Frederikshavn",1548
" ","Hjørring",903
" ","Jammerbugt",509
" ","Læsø",19
" ","Mariagerfjord",618
" ","Morsø",285
" ","Rebild",298
" ","Thisted",571
" ","Vesthimmerlands",458
" ","Aalborg",3836
" ","Unknown municipality",7930
"Penal Code, total"
" ","All Denmark",90109
" ","Region Hovedstaden",35874
" ","Copenhagen",17731
" ","Frederiksberg",1586
" ","Dragør",128
" ","Tårnby",951
" ","Albertslund",445
" ","Ballerup",764
" ","Brøndby",682
" ","Gentofte",1245
" ","Gladsaxe",1000
" ","Glostrup",533
" ","Herlev",573
" ","Hvidovre",925
" ","Høje-Taastrup",741
" ","Ishøj",373
" ","Lyngby-Taarbæk",1229
" ","Rødovre",660
" ","Vallensbæk",200
" ","Allerød",306
" ","Egedal",450
" ","Fredensborg",399
" ","Frederikssund",584
" ","Furesø",460
" ","Gribskov",509
" ","Halsnæs",432
" ","Helsingør",919
" ","Hillerød",770
" ","Hørsholm",309
" ","Rudersdal",750
" ","Bornholm",220
" ","Christiansø",0
" ","Region Sjælland",10708
" ","Greve",638
" ","Køge",698
" ","Lejre",353
" ","Roskilde",1445
" ","Solrød",309
" ","Faxe",391
" ","Guldborgsund",793
" ","Holbæk",811
" ","Kalundborg",580
" ","Lolland",706
" ","Næstved",877
" ","Odsherred",514
" ","Ringsted",406
" ","Slagelse",1226
" ","Sorø",311
" ","Stevns",175
" ","Vordingborg",475
" ","Region Syddanmark",15623
" ","Assens",382
" ","Faaborg-Midtfyn",480
" ","Kerteminde",223
" ","Langeland",131
" ","Middelfart",425
" ","Nordfyns",352
" ","Nyborg",404
" ","Odense",3175
" ","Svendborg",655
" ","Ærø",34
" ","Billund",330
" ","Esbjerg",1722
" ","Fanø",41
" ","Fredericia",791
" ","Haderslev",595
" ","Kolding",1424
" ","Sønderborg",859
" ","Tønder",518
" ","Varde",482
" ","Vejen",386
" ","Vejle",1504
" ","Aabenraa",710
" ","Region Midtjylland",15933
" ","Favrskov",350
" ","Hedensted",396
" ","Horsens",1018
" ","Norddjurs",445
" ","Odder",157
" ","Randers",1151
" ","Samsø",19
" ","Silkeborg",1098
" ","Skanderborg",482
